,Unnamed: 0_x,cat,text,total_count_x,book_title_x,count_x,Unnamed: 0_y,total_count_y,book_title_y,supersense_category,count_y,_merge
0,,,-,,,,0,1,the_blue_fairy_book,noun.location,1,right_only
1,,,- Water,,,,1,1,fairy_and_folk_tales_of_the_irish_peasantry,noun.location,1,right_only
2,,,- la,,,,2,1,fairy_realm,noun.location,1,right_only
3,,,.... Ch,,,,3,2,evening_at_home,noun.location,2,right_only
4,,,.... HARPER,,,,4,1,the_fairy_book,noun.group,1,right_only
5,,,109journeys,,,,5,1,evening_at_home,noun.location,1,right_only
6,,,138city,,,,6,1,the_diamond_fairy_book,noun.location,1,right_only
7,,,144]stirabout,,,,7,1,more_celtic_fairy_tales,noun.location,1,right_only
8,,,165]great,,,,8,1,more_celtic_fairy_tales,noun.location,1,right_only
9,,,210rock,,,,9,1,the_diamond_fairy_book,noun.location,1,right_only
10,6.0,GPE,244]island,1.0,icelandic_fairy_tales,1.0,10,1,icelandic_fairy_tales,noun.location,1,both
11,,,370ones,,,,11,1,evening_at_home,noun.location,1,right_only
12,,,66]body,,,,12,1,icelandic_fairy_tales,noun.location,1,right_only
13,,,87Highlands,,,,13,1,evening_at_home,noun.location,1,right_only
14,,,96]island,,,,14,1,icelandic_fairy_tales,noun.location,1,right_only
15,,,A B C,,,,15,1,brothers_grimm_fairy_tales,noun.group,1,right_only
16,,,A NEW,,,,16,1,the_yellow_fairy_book,noun.group,1,right_only
17,,,A. L.,,,,17,1,the_red_fairy_book_preface,noun.group,1,right_only
18,,,AIR AND,,,,18,1,the_violet_fairy_book,noun.location,1,right_only
19,,,AT THE MERCY,,,,19,1,the_diamond_fairy_book,noun.location,1,right_only
20,,,AZEEZEH,,,,20,1,the_thousand_and_one_nights,noun.location,1,right_only
21,17.0,GPE,Aachen,1.0,fairy_circles,1.0,21,1,fairy_circles,noun.location,1,both
22,18.0,GPE,Aagerup,5.0,the_fairy_mythology,5.0,22,5,the_fairy_mythology,noun.location,5,both
23,,,Aakjær,,,,23,1,the_fairy_mythology,noun.location,1,right_only
