,text,total_count,book_title,supersense_category,count
0,-,1,the_light_princess_and_other_fairy_stories,noun.location,1
1,A LAKE,1,old_fashioned_fairy_tales,noun.location,1
2,A NUMEROUS COMPANY,1,phantasmion,noun.group,1
3,A THICKET,1,phantasmion,noun.location,1
4,AGRICULTURAL SYSTEM OF,1,the_king_of_the_golden_river,noun.group,1
5,Africa,2,prince_ricardo_of_pantouflia,noun.location,1
6,Africa,2,the_rose_and_the_ring,noun.location,1
7,Al- materra,2,phantasmion,noun.location,2
8,Albi- nian,1,phantasmion,noun.location,1
9,Albuquerque,1,a_house_of_pomegranates,noun.location,1
10,Alma,1,the_rose_and_the_ring,noun.location,1
11,Alma- terra,1,phantasmion,noun.location,1
12,Almaterra,19,phantasmion,noun.group,1
13,Almaterra,19,phantasmion,noun.location,18
14,America,3,the_magic_fishbone,noun.location,1
15,America,3,the_rose_and_the_ring,noun.location,2
16,Anthemmina,1,phantasmion,noun.location,1
17,Arabian Nights,1,prince_prigio,noun.location,1
18,Aragon,1,a_house_of_pomegranates,noun.location,1
19,Arctic regions,4,the_book_of_dragons,noun.location,4
20,Arden,1,the_little_lame_prince_and_his_travelling_cloak,noun.location,1
21,Arecarp,4,the_brown_owl,noun.location,4
22,Arithmetic Prize,1,the_rose_and_the_ring,noun.group,1
23,Army,3,phantasmion,noun.group,1
24,Army,3,the_rose_and_the_ring,noun.group,2
25,Arzene,4,phantasmion,noun.location,4
26,Ashter,1,a_house_of_pomegranates,noun.location,1
27,Asia,4,prince_ricardo_of_pantouflia,noun.location,3
28,Asia,4,the_pied_piper_of_hamelin,noun.location,1
29,At Gortuleg,1,prince_ricardo_of_pantouflia,noun.location,1
30,Aurora Borealis,6,the_book_of_dragons,noun.location,5
31,Aurora Borealis,6,the_happy_prince_and_other_tales,noun.location,1
32,Australia,4,melisande,noun.location,1
33,Australia,4,the_little_lame_prince_and_his_travelling_cloak,noun.location,1
34,Australia,4,the_rose_and_the_ring,noun.location,2
35,BAD Rocket,2,the_happy_prince_and_other_tales,noun.location,2
36,BANKS OF,1,phantasmion,noun.location,1
37,BEHIND THE THRONE,1,the_rose_and_the_ring,noun.location,1
38,BLACK BROTHERS,1,the_king_of_the_golden_river,noun.location,1
39,BLACK LAKE,1,phantasmion,noun.location,1
40,BLACK STONE CHAPTER,1,the_king_of_the_golden_river,noun.location,1
41,BOLD COUNT,1,the_rose_and_the_ring,noun.location,1
42,BOTTLES,1,melisande,noun.group,1
43,BOWELS OF THE EARTH,1,phantasmion,noun.location,1
44,Baalbec,1,the_happy_prince_and_other_tales,noun.location,1
45,Bear Inn,1,prince_prigio,noun.location,1
46,Beautiful Mountains,16,the_little_lame_prince_and_his_travelling_cloak,noun.location,16
47,Ben Muich Dhui,1,old_fashioned_fairy_tales,noun.location,1
48,Bengal Light,1,the_happy_prince_and_other_tales,noun.group,1
49,Bengal Lights,1,the_happy_prince_and_other_tales,noun.location,1
50,Beyond,1,phantasmion,noun.location,1
51,Billiard Table,1,the_rose_and_the_ring,noun.location,1
52,Bisnagar,1,prince_prigio,noun.location,1
