COREF	start_token	end_token	prop	cat	text
19	7	8	PROP	PER	the Grimms
20	14	15	PROP	PER	Edgar Taylor
21	17	18	PROP	PER	Marian Edwardes
-1	20	41	PROP	PER	CONTENTS THE BROTHERS GRIMM FAIRY TALES THE GOLDEN BIRD HANS IN LUCK JORINDA AND JORINDEL THE TRAVELLING MUSICIANS OLD SULTAN THE STRAW
1	43	44	PROP	LOC	THE COAL
22	47	52	PROP	PER	THE BEAN BRIAR ROSE THE DOG
-1	54	59	NOM	PER	THE SPARROW THE TWELVE DANCING PRINCESSES
-1	60	61	NOM	PER	THE FISHERMAN
-1	63	63	PRON	PER	HIS
-1	63	64	NOM	PER	HIS WIFE
23	65	73	PROP	PER	THE WILLOW - WREN AND THE BEAR THE FROG
24	75	78	PROP	PER	PRINCE CAT AND MOUSE
2	80	80	PROP	GPE	PARTNERSHIP
-1	81	97	NOM	PER	THE GOOSE - GIRL THE ADVENTURES OF CHANTICLEER AND PARTLET RAPUNZEL FUNDEVOGEL THE VALIANT LITTLE TAILOR HANSEL
25	99	101	PROP	PER	GRETEL THE MOUSE
-1	103	104	NOM	PER	THE BIRD
26	107	114	PROP	PER	THE SAUSAGE MOTHER HOLLE LITTLE RED - CAP
27	116	119	PROP	PER	LITTLE RED RIDING HOOD
-1	121	123	NOM	PER	THE ROBBER BRIDEGROOM
28	124	131	PROP	PER	TOM THUMB RUMPELSTILTSKIN CLEVER GRETEL THE OLD MAN
-1	133	133	PRON	PER	HIS
29	135	138	PROP	PER	THE LITTLE PEASANT FREDERICK
-1	140	156	PROP	PER	CATHERINE SWEETHEART ROLAND SNOWDROP THE PINK CLEVER ELSIE THE MISER IN THE BUSH ASHPUTTEL THE WHITE SNAKE
-1	157	163	NOM	PER	THE WOLF AND THE SEVEN LITTLE KIDS
-1	164	215	NOM	PER	THE QUEEN BEE THE ELVES AND THE SHOEMAKER THE JUNIPER - TREE THE TURNIP CLEVER HANS THE THREE LANGUAGES THE FOX AND THE CAT THE FOUR CLEVER BROTHERS LILY AND THE LION THE FOX AND THE HORSE THE BLUE LIGHT THE RAVEN THE GOLDEN GOOSE THE WATER OF LIFE THE TWELVE HUNTSMEN
-1	216	229	NOM	PER	THE KING OF THE GOLDEN MOUNTAIN DOCTOR KNOWALL THE SEVEN RAVENS THE WEDDING OF
30	230	231	PROP	PER	MRS FOX
-1	232	241	NOM	PER	THE SALAD THE STORY OF THE YOUTH WHO WENT FORTH
-1	247	266	PROP	PER	KING GRISLY - BEARD IRON HANS CAT - SKIN SNOW - WHITE AND ROSE - RED THE BROTHERS GRIMM FAIRY
-1	268	273	NOM	PER	THE GOLDEN BIRD A certain king
-1	275	277	NOM	FAC	a beautiful garden
-1	281	282	NOM	FAC	the garden
-1	315	315	PRON	PER	them
-1	319	320	NOM	PER	The king
-1	329	330	NOM	PER	the gardener
-1	340	341	NOM	PER	The gardener
-1	343	343	PRON	PER	his
-1	343	345	NOM	PER	his eldest son
-1	353	353	PRON	PER	he
-1	369	371	NOM	PER	the second son
-1	380	380	PRON	PER	he
-1	395	397	NOM	PER	the third son
-1	404	405	NOM	PER	the gardener
-1	411	411	PRON	PER	him
-1	420	420	PRON	PER	him
-1	426	426	PRON	PER	he
-1	430	432	NOM	PER	the young man
-1	434	434	PRON	PER	himself
-1	446	446	PRON	PER	he
-1	480	481	NOM	PER	the gardener
-1	480	483	NOM	PER	the gardener ’s son
-1	491	491	PRON	PER	it
-1	503	503	PRON	PER	it
-1	523	524	NOM	PER	the king
-1	530	532	NOM	PER	all the council
-1	537	537	NOM	PER	Everyone
-1	549	550	NOM	GPE	the kingdom
-1	553	554	NOM	PER	the king
-1	565	565	PRON	PER	me
-1	567	567	PRON	PER	I
-1	576	577	NOM	PER	the gardener
-1	576	580	NOM	PER	the gardener ’s eldest son
-1	595	595	PRON	PER	he
-1	603	603	PRON	PER	he
-1	611	615	NOM	LOC	the side of the wood
-1	616	616	PRON	PER	he
-1	623	623	PRON	PER	he
-1	625	625	PRON	PER	his
-1	636	637	NOM	PER	the fox
-1	644	644	PRON	PER	me
-1	647	647	PRON	PER	I
-1	650	650	PRON	PER	you
-1	654	654	PRON	PER	I
-1	657	657	PRON	PER	your
-1	663	663	PRON	PER	you
-1	671	671	PRON	PER	You
-1	674	675	NOM	GPE	a village
-1	682	682	PRON	PER	you
-1	684	684	NOM	GPE	there
-1	686	686	PRON	PER	you
-1	689	694	NOM	FAC	two inns opposite to each other
-1	696	706	NOM	FAC	one of which is very pleasant and beautiful to look at
-1	727	727	PRON	PER	you
-1	737	738	NOM	PER	the son
-1	741	741	PRON	PER	himself
