COREF	start_token	end_token	prop	cat	text
103	7	8	PROP	PER	JOSEPH JACOBS
-1	16	16	PRON	PER	your
-1	32	32	PRON	PER	you
-1	36	36	PRON	PER	you
104	41	43	PROP	PER	ALFRED NUTT CONTENTS
1	45	45	PROP	GPE	CONNLA
-1	47	50	NOM	PER	THE FAIRY MAIDEN II
2	52	53	PROP	FAC	GULEESH III
3	55	59	PROP	FAC	THE FIELD OF BOLIAUNS IV
-1	61	63	NOM	PER	THE HORNED WOMEN
4	65	67	PROP	FAC	CONAL YELLOWCLAW VI
5	69	75	PROP	FAC	HUDDEN AND DUDDEN AND DONALD O'NEARY VII
-1	77	79	NOM	PER	THE SHEPHERD OF
6	80	80	PROP	GPE	MYDDVAI
-1	83	86	NOM	PER	THE SPRIGHTLY TAILOR IX
141	91	91	PROP	GPE	DEIRDRE
156	93	93	PROP	LOC	MUNACHAR
157	95	95	PROP	GPE	MANACHAR
-1	107	108	NOM	PER	KING O'TOOLE
-1	110	110	PRON	PER	HIS
105	117	118	PROP	PER	OLWEN XIV
106	120	120	PROP	PER	JACK
-1	122	122	PRON	PER	HIS
10	129	129	PROP	GPE	GANNON
107	131	134	PROP	PER	THE GRUAGACH GAIRE XVI
11	141	142	PROP	FAC	FAULT XVII
12	144	145	PROP	LOC	THE SEA
-1	150	153	NOM	GPE	A LEGEND OF KNOCKMANY
108	161	162	PROP	PER	TREMBLING XX
106	164	164	PROP	PER	JACK
-1	166	166	PRON	PER	HIS
109	170	172	PROP	PER	BETH GELLERT XXII
110	177	178	PROP	PER	IVAN XXIII
111	180	182	PROP	PER	ANDREW COFFEY XXIV
13	184	189	PROP	FAC	THE BATTLE OF THE BIRDS XXV
14	191	194	PROP	FAC	BREWERY OF EGGSHELLS XXVI
-1	196	212	NOM	PER	THE LAD WITH THE GOAT - SKIN CONNLA AND THE FAIRY MAIDEN Connla of the Fiery Hair
-1	214	220	NOM	PER	son of Conn of the Hundred Fights
-1	225	225	PRON	PER	he
-1	231	231	PRON	PER	his
-1	231	232	NOM	PER	his father
-1	234	237	NOM	LOC	the height of Usna
15	237	237	PROP	GPE	Usna
-1	239	239	PRON	PER	he
-1	241	242	NOM	PER	a maiden
-1	249	249	PRON	PER	him
-1	254	254	PRON	PER	thou
-1	256	256	NOM	PER	maiden
112	260	260	PROP	PER	Connla
-1	263	263	PRON	PER	I
-1	266	271	NOM	FAC	the Plains of the Ever Living
-1	274	274	PRON	PER	she
-1	278	285	NOM	LOC	there where there is neither death nor sin
-1	288	288	PRON	PER	we
-1	290	291	NOM	FAC	holiday alway
-1	295	295	PRON	PER	we
-1	300	300	PRON	PER	our
-1	306	306	PRON	PER	our
-1	308	308	PRON	PER	we
-1	315	315	PRON	PER	we
-1	317	317	PRON	PER	our
-1	317	323	NOM	FAC	our homes in the round green hills
-1	320	323	NOM	LOC	the round green hills
-1	325	325	NOM	PER	men
-1	327	327	PRON	PER	us
-1	328	330	NOM	PER	the Hill Folk
-1	333	334	NOM	PER	The king
-1	336	338	NOM	PER	all with him
-1	338	338	PRON	PER	him
-1	346	346	PRON	PER	they
-1	348	349	NOM	PER	no one
112	353	353	PROP	PER	Connla
-1	356	356	NOM	PER	none
-1	358	360	NOM	PER	the Fairy Maiden
-1	366	366	PRON	PER	thou
-1	369	369	PRON	PER	my
-1	369	370	NOM	PER	my son
113	374	374	PROP	PER	Conn
-1	375	376	NOM	PER	the king
-1	379	380	NOM	PER	the maiden
112	384	384	PROP	PER	Connla
-1	387	399	NOM	PER	a young , fair maid , whom neither death nor old age awaits
-1	401	401	PRON	PER	I
112	403	403	PROP	PER	Connla
-1	407	407	PRON	PER	I
-1	409	409	PRON	PER	him
-1	412	415	NOM	GPE	the Plain of Pleasure
16	417	418	PROP	LOC	Moy Mell
114	421	421	PROP	PER	Boadag
-1	423	423	NOM	PER	king
-1	435	436	NOM	GPE	that land
-1	438	438	PRON	PER	he
-1	448	448	PRON	PER	me
112	450	454	PROP	PER	Connla of the Fiery Hair
-1	461	461	PRON	PER	thy
-1	469	469	PRON	PER	thee
-1	472	472	PRON	PER	thy
-1	484	484	PRON	PER	thy
-1	489	489	PRON	PER	thy
-1	501	502	NOM	PER	The king
-1	507	508	NOM	PER	the maiden
-1	512	512	PRON	PER	he
-1	515	515	PRON	PER	he
-1	519	519	PRON	PER	her
-1	524	524	PRON	PER	his
-1	524	525	NOM	PER	his Druid
115	527	527	PROP	PER	Coran
115	534	534	PROP	PER	Coran
-1	541	541	PRON	PER	he
-1	551	551	PRON	PER	I
-1	554	554	PRON	PER	thy
-1	561	561	PRON	PER	me
-1	566	566	PRON	PER	my
-1	576	576	PRON	PER	me
-1	578	578	PRON	PER	I
-1	583	585	NOM	PER	A maiden unseen
-1	588	588	PRON	PER	us
-1	592	592	PRON	PER	her
-1	597	597	PRON	PER	me
-1	598	598	PRON	PER	my
-1	598	599	NOM	PER	my dear
-1	601	601	PRON	PER	my
-1	601	603	NOM	PER	my comely son
-1	606	606	PRON	PER	thou
-1	610	610	PRON	PER	he
-1	615	615	PRON	PER	thy
-1	615	616	NOM	PER	thy king
-1	618	618	NOM	PER	woman
115	626	628	PROP	PER	Coran the Druid
-1	633	633	PRON	PER	his
-1	639	640	NOM	PER	the maiden
-1	648	648	NOM	PER	none
-1	650	650	PRON	PER	her
112	656	656	PROP	PER	Connla
-1	658	658	PRON	PER	her
-1	663	663	PRON	PER	she
115	666	667	PROP	PER	the Druid
-1	672	672	PRON	PER	she
112	677	677	PROP	PER	Connla
112	686	686	PROP	PER	Connla
-1	706	706	PRON	PER	he
-1	723	723	PRON	PER	him
-1	730	734	NOM	PER	the maiden he had seen
-1	732	732	PRON	PER	he
112	748	748	PROP	PER	Connla
-1	754	755	NOM	PER	the king
-1	754	762	NOM	PER	the king his father on the Plain of Arcomin
-1	756	756	PRON	PER	his
-1	756	757	NOM	PER	his father
-1	759	762	NOM	LOC	the Plain of Arcomin
17	762	762	PROP	GPE	Arcomin
-1	766	766	PRON	PER	he
-1	768	769	NOM	PER	the maiden
-1	772	772	PRON	PER	him
-1	776	776	PRON	PER	she
-1	779	779	PRON	PER	him
112	791	791	PROP	PER	Connla
-1	794	802	NOM	PER	short - lived mortals awaiting the day of death
-1	806	809	NOM	PER	the folk of life
-1	811	815	NOM	PER	the ever - living ones
-1	820	820	PRON	PER	thee
16	823	824	PROP	LOC	Moy Mell
-1	826	829	NOM	LOC	the Plain of Pleasure
-1	832	832	PRON	PER	they
-1	837	837	PRON	PER	thee
-1	840	840	PRON	PER	thee
-1	842	842	PRON	PER	thy
-1	842	843	NOM	FAC	thy home
-1	845	845	PRON	PER	thy
-1	845	847	NOM	PER	thy dear ones
113	851	851	PROP	PER	Conn
-1	852	853	NOM	PER	the king
-1	855	856	NOM	PER	the maiden
-1	859	859	PRON	PER	he
-1	862	862	PRON	PER	his
-1	862	863	NOM	PER	his men
-1	871	871	PRON	PER	my
-1	871	873	NOM	PER	my Druid Coran
-1	876	876	PRON	PER	I
-1	878	878	PRON	PER	she
-1	890	891	NOM	PER	the maiden
-1	906	907	NOM	PER	the Druid
-1	919	921	NOM	LOC	the mighty land
115	942	943	PROP	PER	the Druid
-1	953	956	NOM	PER	the false black demon
113	960	960	PROP	PER	Conn
-1	961	962	NOM	PER	the king
-1	966	967	NOM	PER	the maiden
112	970	970	PROP	PER	Connla
-1	971	971	PRON	PER	his
-1	971	972	NOM	PER	his son
-1	979	979	PRON	PER	him
-1	981	986	NOM	PER	So Conn of the hundred fights
-1	989	989	PRON	PER	him
-1	995	995	PRON	PER	thy
-1	998	999	NOM	PER	the woman
-1	1002	1002	PRON	PER	my
-1	1002	1003	NOM	PER	my son
-1	1011	1011	PRON	PER	me
112	1016	1016	PROP	PER	Connla
-1	1019	1019	PRON	PER	I
-1	1021	1021	PRON	PER	my
-1	1021	1023	NOM	PER	my own folk
-1	1036	1036	PRON	PER	me
-1	1038	1039	NOM	PER	the maiden
-1	1043	1044	NOM	PER	the maiden
-1	1048	1048	PRON	PER	she
-1	1053	1054	NOM	LOC	The ocean
-1	1063	1063	PRON	PER	thy
-1	1068	1068	PRON	PER	me
-1	1070	1070	PRON	PER	my
-1	1070	1071	NOM	FAC	my curragh
-1	1073	1080	NOM	VEH	the gleaming , straight - gliding crystal canoe
-1	1083	1083	PRON	PER	we
114	1086	1086	PROP	PER	Boadag
-1	1086	1088	NOM	LOC	Boadag 's realm
-1	1090	1090	PRON	PER	I
-1	1103	1103	PRON	PER	we
-1	1106	1106	PRON	LOC	it
-1	1115	1120	NOM	LOC	another land worthy of thy journey
-1	1119	1119	PRON	PER	thy
-1	1122	1129	NOM	GPE	a land joyous to all that seek it
-1	1131	1132	NOM	PER	Only wives
-1	1134	1134	NOM	PER	maidens
-1	1139	1139	PRON	PER	thou
-1	1142	1142	PRON	PER	we
-1	1156	1157	NOM	PER	the maiden
112	1162	1166	PROP	PER	Connla of the Fiery Hair
-1	1170	1170	PRON	PER	them
-1	1177	1184	NOM	VEH	the gleaming , straight - gliding crystal canoe
-1	1188	1188	PRON	PER	they
-1	1191	1191	NOM	PER	king
-1	1193	1193	NOM	PER	court
-1	1200	1202	NOM	LOC	the bright sea
-1	1213	1213	NOM	PER	eye
112	1221	1221	PROP	PER	Connla
-1	1223	1225	NOM	PER	the Fairy Maiden
-1	1227	1227	PRON	PER	their
-1	1230	1231	NOM	LOC	the sea
-1	1244	1244	PRON	PER	they
116	1247	1247	PROP	PER	GULEESH
-1	1251	1256	NOM	PER	a boy in the County Mayo
-1	1254	1256	NOM	GPE	the County Mayo
116	1258	1258	PROP	PER	Guleesh
-1	1260	1260	PRON	PER	his
-1	1273	1277	NOM	FAC	the gable of the house
-1	1276	1277	NOM	FAC	the house
-1	1280	1280	PRON	PER	he
-1	1288	1288	PRON	PER	himself
-1	1298	1298	PRON	FAC	it
-1	1302	1302	PRON	PER	he
-1	1311	1312	NOM	FAC	the house
-1	1328	1328	PRON	PER	his
-1	1332	1332	PRON	PER	he
-1	1344	1344	PRON	PER	he
-1	1347	1347	PRON	PER	himself
-1	1350	1350	PRON	PER	My
-1	1354	1354	PRON	PER	I
-1	1361	1362	NOM	LOC	this place
-1	1365	1365	PRON	PER	I
-1	1369	1373	NOM	LOC	any place in the world
-1	1372	1373	NOM	LOC	the world
-1	1383	1383	PRON	PER	you
