COREF	start_token	end_token	prop	cat	text
13	7	9	PROP	PER	JOSEPH JACOBS PREFACE
-1	15	17	NOM	PER	the young ones
0	25	25	PRON	PER	my
-1	37	37	PRON	PER	them
-1	46	50	NOM	PER	the Celts of these islands
-1	49	50	NOM	LOC	these islands
0	52	52	PRON	PER	my
1	61	61	PROP	GPE	Ireland
-1	65	65	PRON	PER	her
-1	73	76	NOM	GPE	any country in Europe
2	76	76	PROP	GPE	Europe
14	79	79	PROP	PER	Croker
-1	82	86	NOM	PER	a whole school of successors
3	88	88	PROP	GPE	Carleton
15	90	90	PROP	PER	Griffin
16	92	92	PROP	PER	Kennedy
17	94	94	PROP	PER	Curtin
18	97	98	PROP	PER	Douglas Hyde
4	100	100	PROP	GPE	Scotland
19	106	106	PROP	PER	Campbell
20	114	114	PROP	PER	MacDougall
21	116	116	PROP	PER	MacInnes
22	118	118	PROP	PER	Carmichael
23	120	120	PROP	PER	Macleod
5	125	125	PROP	GPE	Tiree
7	127	129	PROP	LOC	Gallant little Wales
7	129	129	PROP	GPE	Wales
8	141	142	PROP	LOC	the Cymru
9	148	149	PROP	LOC	the Gaedhel
7	173	173	PROP	GPE	Wales
-1	187	188	NOM	PER	the Celts
0	203	203	PRON	PER	my
0	205	205	PRON	PER	I
16	223	223	PROP	PER	Kennedy
-1	244	244	NOM	PER	one
0	257	257	PRON	PER	I
0	280	280	PRON	PER	I
4	292	292	PROP	GPE	Scotland
1	294	294	PROP	GPE	Ireland
0	297	297	PRON	PER	I
-1	312	316	NOM	PER	Celtic peasants ignorant of English
0	324	324	PRON	PER	I
0	338	338	PRON	PER	I
24	354	354	PROP	PER	Grimm
25	356	356	PROP	PER	Asbjörnsen
-1	362	362	PRON	PER	they
-1	366	371	NOM	PER	the Celtic peasant who speaks Gaelic
-1	384	384	PRON	PER	he
0	391	391	PRON	PER	I
-1	393	393	PRON	PER	him
0	396	396	PRON	PER	my
0	411	411	PRON	PER	I
-1	419	424	NOM	PER	the Irish peasant of the Pale
0	431	431	PRON	PER	I
0	440	440	PRON	PER	I
0	450	450	PRON	PER	I
0	464	464	PRON	PER	I
-1	470	470	NOM	PER	translators
0	473	473	PRON	PER	I
0	476	476	PRON	PER	myself
-1	481	482	NOM	PER	the translators
-1	483	483	PRON	PER	themselves
0	503	503	PRON	PER	I
0	519	519	PRON	PER	I
-1	533	538	NOM	LOC	both sides of the North Channel
10	536	538	PROP	LOC	the North Channel
-1	544	544	PRON	PER	them
0	545	545	PRON	PER	I
-1	572	573	NOM	PER	the translators
-1	576	577	NOM	PER	English folklorists
-1	579	579	NOM	PER	scholars
0	581	581	PRON	PER	I
-1	586	587	NOM	PER	English children
-1	589	589	PRON	PER	They
0	592	592	PRON	PER	I
0	600	600	PRON	PER	I
0	605	605	PRON	PER	myself
-1	610	619	NOM	PER	an ollamh or sheenachie familiar with both forms of Gaelic
-1	625	625	PRON	PER	his
-1	633	634	NOM	PER	English children
0	636	636	PRON	PER	I
0	638	638	PRON	PER	I
-1	643	644	NOM	PER	Celtic scholars
0	648	648	PRON	PER	I
0	673	673	PRON	PER	I
-1	679	681	NOM	PER	The romantic ones
11	748	748	PROP	GPE	England
