COREF	start_token	end_token	prop	cat	text
24	8	9	PROP	PER	JOSEPH JACOBS
25	14	17	PROP	PER	JOHN D. BATTEN Copyright
24	21	22	PROP	PER	JOSEPH JACOBS
26	24	24	PROP	PER	Peggy
26	27	27	PROP	PER	Madge
27	30	30	PROP	PER	Pearl
26	33	33	PROP	PER	Maggie
26	36	36	PROP	PER	Marguerite
28	39	39	PROP	PER	Peggotty
26	42	42	PROP	PER	Meg
29	45	45	PROP	PER	Marjory
26	48	48	PROP	PER	Daisy
30	51	51	PROP	PER	Pegg
29	54	55	PROP	PER	MARGARET HAYS
-1	78	80	NOM	PER	Cinder - Maid
-1	91	95	NOM	PER	The King of the Fishes
31	112	112	PROP	PER	Reynard
42	114	114	PROP	GPE	Bruin
2	119	121	PROP	LOC	The Dancing Water
32	123	124	PROP	PER	Singing Apple
-1	127	128	NOM	PER	Speaking Bird
33	136	136	PROP	PER	Animals
-1	141	143	NOM	PER	The Three Soldiers
-1	153	153	PRON	PER	XI
34	156	159	PROP	PER	The Earl of Cattenborough
-1	164	166	NOM	PER	The Swan Maidens
35	171	171	PROP	PER	Androcles
36	191	193	PROP	PER	The Master Thief
-1	198	200	NOM	PER	The Unseen Bridegroom
-1	205	208	NOM	PER	The Master - Maid
-1	213	214	NOM	PER	A Visitor
3	216	216	PROP	GPE	Paradise
37	227	229	PROP	PER	John the True
38	234	236	PROP	PER	Johnnie and Grizzle
39	241	243	PROP	PER	The Clever Lass
40	248	248	PROP	PER	Thumbkin
41	266	267	PROP	PER	The Marshal
-1	270	270	PRON	PER	he
-1	272	274	NOM	PER	the Dragon Frontispiece
-1	275	283	NOM	PER	The Herald Announces the Court Ball 1 The Soldier
-1	295	295	PRON	PER	her
-1	300	300	PRON	PER	you
-1	302	302	PRON	PER	my
-1	307	311	NOM	PER	The Seven - Headed Dragon
-1	313	314	NOM	PER	The Marshal
-1	317	317	PRON	PER	he
-1	319	320	NOM	PER	the Dragon
31	329	329	PROP	PER	Reynard
42	331	331	PROP	PER	Bruin
42	336	336	PROP	PER	Bruin
31	338	338	PROP	PER	Reynard
-1	340	342	NOM	PER	The Foster Mother
-1	344	345	NOM	PER	The King
-1	349	350	NOM	PER	The Girl
-1	355	356	NOM	PER	The Pope
-1	360	362	NOM	PER	The Magic Purse
-1	364	365	NOM	PER	The Princess
-1	369	369	PRON	PER	her
-1	372	373	NOM	PER	The Unicorn
-1	375	378	NOM	PER	The Earl of Cattenborough
-1	388	389	NOM	PER	The Cat
-1	391	392	NOM	PER	the Ogre
-1	396	396	PRON	PER	you
-1	400	400	PRON	PER	me
4	402	403	PROP	LOC	the Millstream
-1	407	408	NOM	PER	The Child
5	426	430	PROP	LOC	West o ' the Moon
35	432	432	PROP	PER	Androcles
35	434	435	PROP	PER	the Lion
-1	441	442	NOM	PER	The Pig
-1	446	447	NOM	PER	The Dummy
6	452	453	PROP	FAC	the Hole
-1	458	459	NOM	PER	The Dog
7	461	462	PROP	FAC	The Casket
43	464	471	PROP	PER	The Master - Maid with the Glass Axe
-1	473	474	NOM	PER	The Prince
-1	476	476	PRON	PER	his
-1	479	485	NOM	PER	The Giant Tries to Drink the Stream
-1	487	488	NOM	PER	The Visitor
8	497	499	PROP	FAC	The Three Ravens
-1	501	503	NOM	PER	The Wounded Dragon
-1	505	506	NOM	PER	The Witch
44	508	509	PROP	PER	The Duck
-1	525	525	PRON	PER	us
-1	532	548	NOM	PER	the Three Dwarfs 211 [ 1 ] The Herald Announces the Court Ball THE CINDER - MAID
0	559	559	PRON	PER	my
-1	563	563	PRON	PER	your
-1	568	569	NOM	PER	anybody else
-1	575	577	NOM	PER	a great King
-1	580	582	NOM	PER	an only son
-1	584	585	NOM	PER	the Prince
-1	587	594	NOM	PER	Heir who was about to come of age
-1	597	598	NOM	PER	the King
-1	601	615	NOM	PER	a herald who should blow his trumpet at every four corners where two roads met
-1	606	606	PRON	PER	his
-1	613	614	NOM	FAC	two roads
-1	619	620	NOM	PER	the people
-1	623	623	PRON	PER	he
-1	639	639	PRON	PER	ye
-1	641	641	PRON	PER	His
-1	643	644	NOM	PER	the King
-1	661	665	NOM	PER	all maidens of noble birth
-1	676	676	PRON	PER	you
-1	681	681	PRON	PER	his[2
-1	684	685	NOM	PER	the Prince
-1	689	689	PRON	PER	himself
-1	690	700	NOM	PER	a lady that shall be his bride and our future Queen
-1	695	695	PRON	PER	his
-1	695	696	NOM	PER	his bride
-1	698	698	PRON	PER	our
-1	698	700	NOM	PER	our future Queen
