COREF	start_token	end_token	prop	cat	text
255	13	15	PROP	PER	W. B. YEATS
0	18	18	PRON	PER	MY
-1	22	32	NOM	PER	G. R. [ Pg vii ] CONTENTS . THE TROOPING FAIRIES
256	34	36	PROP	PER	PAGE The Fairies
257	38	39	PROP	PER	Frank Martin
-1	41	42	NOM	PER	the Fairies
-1	44	45	NOM	PER	The Priest
1	49	53	PROP	FAC	The Fairy Well of Lagnanay
2	53	53	PROP	GPE	Lagnanay
258	55	56	PROP	PER	Teig O'Kane
-1	58	59	NOM	PER	the Corpse
259	61	62	PROP	PER	Paddy Corcoran
-1	61	64	NOM	PER	Paddy Corcoran 's Wife
3	66	67	PROP	FAC	Cusheen Loo
-1	69	71	NOM	PER	The White Trout
-1	78	80	NOM	PER	The Fairy Thorn
4	85	85	PROP	GPE	Knockgrafton
5	87	89	PROP	FAC	A Donegal Fairy
-1	100	102	NOM	PER	The Fairy Nurse
260	104	105	PROP	PER	Jamie Freel
-1	107	109	NOM	PER	the Young Lady
-1	111	113	NOM	PER	The Stolen Child
6	115	116	PROP	LOC	The Merrow
378	122	123	PROP	FAC	Flory Cantillon
-1	127	129	NOM	PER	THE SOLITARY FAIRIES
261	136	137	PROP	PER	Fairy Shoemaker
-1	139	139	NOM	PER	Master
-1	141	141	NOM	PER	Man
8	146	146	PROP	GPE	Donegal
-1	148	149	NOM	PER	The Piper
-1	151	152	NOM	PER	the Puca
262	154	155	PROP	PER	Daniel O'Rourke
263	157	159	PROP	PER	The Kildare Pooka
264	162	163	PROP	PER	Thomas Connolly
265	165	166	PROP	PER	the Banshee
266	174	176	PROP	PER	Sir Maurice Fitzgerald
9	178	182	PROP	FAC	The Banshee of the MacCarthys
267	189	190	PROP	PER	Grace Connor
10	195	195	PROP	GPE	Tyrone
268	197	199	PROP	PER	The Black Lamb
-1	201	203	NOM	PER	The Radiant Boy
269	208	209	PROP	PER	Frank M'Kenna
-1	211	214	NOM	PER	WITCHES , FAIRY DOCTORS
8	223	223	PROP	GPE	Donegal
-1	226	230	NOM	PER	A Queen 's County Witch
-1	232	234	NOM	PER	The Witch Hare
-1	239	241	NOM	GPE	Queen 's County
-1	244	246	NOM	PER	The Horned Women
-1	248	249	NOM	PER	The Witches
270	256	257	PROP	PER	Tom Bourke
11	263	269	PROP	GPE	T'YEER - NA - N - OGE
561	274	274	PROP	GPE	O'Donoghue
13	282	284	PROP	LOC	Lake of Healing
14	287	293	PROP	LOC	Hy - Brasail.—The Isle of the Blest
