COREF	start_token	end_token	prop	cat	text
85	6	6	PROP	PER	Giants
-1	8	8	NOM	PER	Dwarfs
86	10	10	PROP	PER	Fairies
87	12	14	PROP	PER	Water - Sprites
1	22	22	PROP	GPE	VILLAMARIA
88	28	29	PROP	PER	PAGE Barbarossa
89	35	36	PROP	PER	King Laurin
-1	39	42	NOM	PER	The Dwarf of Venice
2	42	42	PROP	GPE	Venice
90	52	53	PROP	PER	the Dwarfs
-1	57	61	NOM	PER	The Dying Dwarf - Queen
-1	66	70	NOM	PER	The Friends of the Rock
3	72	75	PROP	LOC	The Flower of Iceland
4	75	75	PROP	GPE	Iceland
-1	78	81	NOM	PER	The Sea - fairy
-1	84	86	NOM	PER	The Faithful Goblin
-1	89	91	NOM	PER	The Fallen Bell
-1	94	99	NOM	FAC	The Last Home of the Giants
85	98	99	PROP	PER	the Giants
5	107	111	PROP	FAC	the Fairy King 's Paradise
91	118	118	PROP	PER	Frederick
106	122	122	PROP	GPE	Gela
91	124	124	PROP	GPE	Barbarossa
8	126	128	PROP	LOC	the Holy Land
91	130	130	PROP	PER	Barbarossa
106	132	132	PROP	GPE	Gela
116	137	137	PROP	GPE	Vreneli
-1	139	144	NOM	FAC	King Laurin 's Rose - Garden
89	146	147	PROP	PER	King Laurin
116	149	149	PROP	GPE	Vreneli
-1	149	151	NOM	FAC	Vreneli 's Cottage
-1	153	155	NOM	PER	The Dwarf of
2	156	156	PROP	GPE	Venice
-1	158	158	PRON	PER	his
-1	161	161	PRON	PER	his
-1	161	163	NOM	LOC	his Native Land
89	165	165	PROP	PER	Hans
89	167	168	PROP	PER	King Laurin
89	176	176	PROP	PER	Hans
-1	182	184	NOM	PER	an Old Friend
92	186	186	PROP	PER	Haco
10	191	192	PROP	LOC	the Nibelungen
11	194	195	PROP	LOC	the Rhine
93	197	197	PROP	PER	Charlemagne
94	200	200	PROP	PER	Kriemhild
-1	202	203	NOM	PER	The Countess
95	204	204	PROP	PER	Matilda
-1	206	209	NOM	PER	the Dwarf - Queen
96	213	213	PROP	PER	Eckbert
97	218	218	PROP	PER	Kuno
97	222	222	PROP	PER	Kuno
-1	225	227	NOM	PER	the Wise Man
98	231	231	PROP	PER	Helga
-1	233	233	PRON	PER	her
98	240	240	PROP	GPE	Helga
99	249	256	PROP	PER	The Old Man beside the Corpse of Antonio
99	256	256	PROP	PER	Antonio
99	258	258	PROP	PER	Antonio
-1	260	262	NOM	FAC	the Crystal Castle
99	264	264	PROP	PER	Antonio
-1	266	268	NOM	PER	the dead Maiden
-1	270	270	PRON	PER	her
100	279	279	PROP	PER	Puck
101	282	282	PROP	PER	Gero
100	284	284	PROP	PER	Puck
-1	288	288	PRON	PER	him
-1	290	290	PRON	PER	him
-1	292	292	PRON	PER	his
13	302	303	PROP	LOC	the Stream
-1	305	308	NOM	PER	The Water - elf
14	314	317	PROP	LOC	the Raft of Water
-1	324	324	PRON	PER	her
-1	324	325	NOM	PER	her Father
102	327	327	PROP	PER	Guru
15	335	338	PROP	FAC	Barbarossa 's Youthful Dream
-1	349	350	NOM	FAC	a castle
-1	358	360	NOM	LOC	the Franconian plains
-1	362	374	NOM	LOC	the well - watered Kinzig Valley , with its pleasant villages and towns
21	366	367	PROP	LOC	Kinzig Valley
-1	370	372	NOM	GPE	its pleasant villages
-1	374	374	NOM	GPE	towns
-1	377	377	PRON	FAC	It
-1	380	392	NOM	PER	the powerful Swabian duke Frederick of Hohenstaufen , whose young and valiant son
17	386	386	PROP	GPE	Hohenstaufen
-1	399	399	PRON	PER	his
-1	399	400	NOM	PER	his father
-1	399	403	NOM	FAC	his father 's proud castles
-1	408	408	PRON	PER	his
-1	408	409	NOM	PER	his uncle
-1	408	412	NOM	FAC	his uncle 's splendid palace
-1	416	416	PRON	LOC	its
-1	416	417	NOM	LOC	its forests
-1	424	424	PRON	FAC	its
-1	429	432	NOM	LOC	the blooming plain below
-1	434	434	PRON	PER	His
-1	434	435	NOM	PER	His father
-1	437	437	NOM	PER	uncle
-1	440	440	PRON	PER	him
-1	443	443	PRON	PER	His
-1	453	453	PRON	PER	his
-1	459	466	NOM	PER	the two grave and war - weary men
-1	474	474	PRON	PER	they
-1	480	480	PRON	PER	him
-1	482	482	PRON	PER	them
