COREF	start_token	end_token	prop	cat	text
-1	7	7	PROP	PER	Mrs.
-1	71	72	NOM	PER	the Editor
-1	97	97	PRON	PER	them
-1	125	126	NOM	PER	countless children
-1	132	132	PRON	PER	they
-1	138	138	PRON	PER	their
-1	155	167	NOM	PER	the prince who delivers the princess and performs the heroic and valorous deeds
-1	159	160	NOM	PER	the princess
-1	178	191	NOM	PER	the young [ 6]princess or peasant maiden who undergoes all the hardships and trials
-1	198	211	NOM	PER	the prince who has fallen under the ban of some wicked witch or giantess
-1	207	211	NOM	PER	some wicked witch or giantess
-1	216	218	NOM	PER	the five brothers
-1	277	278	NOM	PER	THE KING
-1	280	281	NOM	PER	THREE SONS
22	285	285	PROP	PER	THORSTEIN
22	288	288	PROP	PER	Thorstein
-1	290	290	PRON	PER	his
-1	295	295	PRON	PER	His
1	298	301	PROP	FAC	the Giant ’s Castle
2	308	310	PROP	FAC	the Locked Room
22	315	315	PROP	PER	Thorstein
-1	320	320	PRON	PER	their
23	325	325	PROP	PER	Sigurd
-1	327	328	NOM	PER	a Friend
-1	330	330	PRON	PER	his
-1	330	331	NOM	FAC	his Stepmother
-1	335	335	PRON	PER	He
24	338	340	PROP	PER	the Giant Sisters
-1	344	344	PRON	PER	His
25	347	347	PROP	PER	Helga
-1	351	351	PRON	PER	His
-1	354	357	NOM	FAC	the Wonderful Horse Gullfaxi
26	359	361	PROP	PER	LINEIK AND LAUFEY
-1	363	365	NOM	PER	THE FIVE BROTHERS
-1	367	367	PRON	PER	HERMOD
27	369	369	PROP	PER	HADVÖR
28	373	373	PROP	PER	HANS
28	375	375	PROP	PER	Hans
-1	378	378	PRON	PER	his
-1	383	383	PRON	PER	His
-1	389	389	PRON	PER	he
-1	398	403	NOM	PER	THE GIANTESS AND THE GRANITE BOAT
29	405	405	PROP	PER	GREYBEARD
3	407	411	PROP	LOC	The Strange Adventures of Geir
30	411	411	PROP	PER	Geir
29	416	416	PROP	PER	Greybeard
-1	418	419	NOM	PER	the King
31	422	423	PROP	PER	Princess Sigrid
4	427	427	PROP	GPE	TRITILL
-1	429	435	NOM	PER	THE BIRDS , AND THE PEASANT LAD
32	440	440	PROP	PER	Thorwald
33	442	442	PROP	PER	Ingibjörg
-1	447	447	PRON	PER	their
-1	447	448	NOM	PER	their stepmother
-1	456	456	PRON	PER	them
32	461	461	PROP	PER	Thorwald
33	463	463	PROP	PER	Ingibjörg
-1	465	465	PRON	PER	themselves
-1	467	470	NOM	FAC	the Witch ’s Island
-1	474	474	PRON	PER	they
-1	479	479	PRON	PER	Their
34	487	488	PROP	PER	The King
35	493	494	PROP	PER	Queen Guda
-1	498	501	NOM	FAC	the Witch ’s Thrall
5	501	501	PROP	GPE	Thrall
-1	503	506	NOM	PER	THE THREE PEASANT MAIDENS
36	509	510	PROP	PER	Queen Hertha
-1	513	513	PRON	PER	her
-1	513	515	NOM	FAC	her High Estate
37	522	525	PROP	PER	the Two Little Princes
-1	527	527	PRON	PER	their
-1	527	528	NOM	PER	their Sister
38	532	532	PROP	PER	Olga
-1	536	536	PRON	PER	Her
-1	536	537	NOM	PER	Her Brothers
-1	539	539	NOM	PER	Queen
-1	539	540	NOM	PER	Queen Hertha
-1	540	540	PRON	PER	Hertha
-1	544	544	PRON	PER	her
-1	544	545	NOM	PER	her Husband
-1	548	549	NOM	PER	the Parents
-1	551	551	PRON	PER	their
-1	551	552	NOM	PER	their Children
39	557	559	PROP	FAC	THE DARK ISOLDE
-1	563	564	NOM	PER	the Queen
-1	566	567	NOM	PER	The King
-1	576	576	PRON	PER	his
-1	576	577	NOM	GPE	his Kingdom
39	584	585	PROP	PER	Fair Isolde
-1	588	588	PRON	PER	her
-1	588	589	NOM	PER	her Father
39	596	597	PROP	PER	Fair Isolde
-1	603	603	PRON	PER	herself
41	607	607	PROP	GPE	Fertram
40	618	619	PROP	PER	Dark Isolde
-1	629	631	NOM	PER	the Wicked Queen
41	637	642	PROP	PER	PRINCE HLINI 291 FERTRAM AND HILDUR
42	668	668	PROP	PER	Randur
-1	678	678	PRON	PER	She
-1	680	685	NOM	PER	a Big Three - Headed Giant
-1	689	689	PRON	PER	He
-1	691	693	NOM	PER	a Young Girl
-1	702	702	PRON	PER	her
-1	710	710	PRON	PER	He
-1	713	713	PRON	PER	himself
-1	721	723	NOM	PER	A Gigantic Woman
25	728	728	PROP	PER	Helga
-1	730	733	NOM	PER	a Cry of Terror
-1	737	737	PRON	PER	She
43	741	743	PROP	PER	Some Terrible Giantess
-1	750	750	PRON	PER	her
-1	750	751	NOM	LOC	her Tree
44	755	755	PROP	PER	Laufey
-1	763	765	NOM	PER	A Monstrous Hand
8	778	779	PROP	FAC	the Grave
-1	783	783	NOM	GPE	There
-1	784	785	NOM	PER	the Rat
45	787	787	PROP	PER	Mouse
-1	792	793	NOM	PER	One Another
-1	800	800	PRON	PER	you
-1	803	803	PRON	PER	your
-1	806	806	PRON	PER	he
28	812	812	PROP	PER	Hans
-1	819	820	NOM	PER	a Dragon
46	824	824	PROP	PER	Kurt
43	826	827	PROP	PER	the Giantess
-1	847	849	NOM	PER	The Grey Man
9	855	856	PROP	LOC	the Branch
-1	860	860	PRON	PER	They
-1	862	868	NOM	ORG	a Figure all blazing with Light ”
-1	862	868	NOM	PER	a Figure all blazing with Light ”
47	874	874	PROP	PER	Harald
-1	876	878	NOM	PER	the Old Man
35	882	883	PROP	PER	Queen Guda
-1	888	889	NOM	LOC	the Sea
-1	895	895	PRON	PER	me
-1	897	897	PRON	PER	you
38	903	903	PROP	PER	Olga
10	907	908	PROP	LOC	the Rock
-1	916	916	PRON	PER	me
-1	917	917	NOM	FAC	here
39	921	922	PROP	PER	Fair Isolde
-1	926	928	NOM	PER	The Old Cook
48	939	939	PROP	PER	Signy
-1	946	946	PRON	PER	She
-1	950	952	NOM	PER	a Simple Peasant
-1	967	968	NOM	PER	the King
-1	975	976	NOM	PER	the King
-1	978	979	NOM	PER	Three Sons
-1	986	987	NOM	PER	a king
-1	989	990	NOM	PER	a queen
-1	992	992	PRON	PER	they
-1	999	999	PRON	PER	their
-1	999	1000	NOM	GPE	their kingdom
-1	1007	1013	NOM	GPE	the happiest and best - governed country
-1	1015	1016	NOM	LOC	the world
-1	1018	1018	PRON	PER	They
-1	1020	1021	NOM	PER	three sons
49	1023	1023	PROP	PER	Osric
50	1025	1025	PROP	PER	Edric
51	1028	1028	PROP	PER	Frithiof,—all
-1	1036	1036	PRON	PER	their
-1	1036	1037	NOM	PER	their parents
-1	1042	1043	NOM	PER	no daughter
-1	1045	1046	NOM	PER	the king
-1	1049	1049	PRON	PER	his
-1	1049	1052	NOM	PER	his little orphan niece
39	1053	1053	PROP	PER	Isolde
-1	1055	1055	PRON	PER	She
-1	1059	1059	PRON	PER	his
-1	1059	1060	NOM	PER	his sons
-1	1064	1064	PRON	PER	their
-1	1064	1068	NOM	PER	their best - loved playfellow
-1	1071	1072	NOM	PER	the king
-1	1074	1074	NOM	PER	queen
-1	1079	1079	PRON	PER	her
-1	1081	1081	PRON	PER	their
-1	1081	1083	NOM	PER	their own children
-1	1086	1087	NOM	PER	the princess
-1	1091	1091	PRON	PER	she
-1	1098	1098	PRON	PER	she
-1	1105	1109	NOM	PER	no maiden in the land
-1	1108	1109	NOM	LOC	the land
39	1115	1115	PROP	PER	Isolde
-1	1117	1119	NOM	PER	All three brothers
-1	1124	1124	PRON	PER	her
-1	1129	1129	PRON	PER	her
-1	1135	1135	PRON	PER	his
-1	1135	1136	NOM	PER	his father
-1	1138	1138	PRON	PER	her
-1	1144	1145	NOM	PER	the king
-1	1154	1154	PRON	PER	he
-1	1156	1156	PRON	PER	his
-1	1156	1157	NOM	PER	his sons
-1	1165	1165	PRON	PER	he
-1	1169	1170	NOM	PER	the princess
-1	1174	1174	PRON	PER	herself
-1	1180	1180	PRON	PER	she
-1	1184	1184	PRON	PER	He
-1	1188	1188	PRON	PER	her
-1	1192	1192	PRON	PER	her
-1	1194	1194	PRON	PER	she
-1	1196	1196	PRON	PER	herself
-1	1200	1208	NOM	PER	a husband whichever of his sons she liked best
-1	1204	1204	PRON	PER	his
-1	1204	1205	NOM	PER	his sons
-1	1206	1206	PRON	PER	she
-1	1213	1213	PRON	PER	my
-1	1218	1218	PRON	PER	my
-1	1222	1222	PRON	PER	you
-1	1224	1225	NOM	PER	dear father
39	1229	1229	PROP	PER	Isolde
-1	1234	1234	PRON	PER	you
-1	1236	1236	PRON	PER	me
-1	1241	1242	NOM	PER	the princes
-1	1244	1244	PRON	PER	my
-1	1244	1245	NOM	PER	my husband
-1	1247	1247	PRON	PER	you
-1	1249	1249	PRON	PER	me
-1	1256	1256	PRON	PER	they
-1	1262	1262	PRON	PER	me
-1	1266	1267	NOM	PER	the king
-1	1272	1272	PRON	PER	he
-1	1275	1275	PRON	PER	his
-1	1286	1286	PRON	PER	he
-1	1293	1293	PRON	PER	he
-1	1302	1303	NOM	PER	all parties
-1	1311	1313	NOM	PER	all three sons
-1	1325	1325	PRON	PER	they
-1	1344	1344	PRON	PER	his
39	1351	1351	PROP	PER	Isolde
-1	1353	1353	PRON	PER	his
-1	1356	1358	NOM	PER	The three princes
-1	1370	1370	PRON	PER	themselves
-1	1378	1378	PRON	PER	they
-1	1383	1383	PRON	PER	their
-1	1383	1386	NOM	FAC	their hunting - lodge
-1	1392	1393	NOM	PER	the king
-1	1392	1395	NOM	FAC	the king ’s palace
-1	1397	1397	PRON	PER	their
-1	1405	1405	PRON	PER	their
-1	1405	1406	NOM	PER	their parents
39	1408	1408	PROP	PER	Isolde
-1	1410	1410	PRON	PER	they
-1	1414	1414	PRON	PER	their
49	1418	1418	PROP	PER	Osric
-1	1420	1422	NOM	PER	the eldest son
-1	1426	1426	NOM	GPE	city
-1	1428	1428	NOM	GPE	city
-1	1432	1434	NOM	LOC	various foreign countries
-1	1443	1443	NOM	FAC	home
-1	1449	1449	PRON	PER	he
-1	1457	1457	PRON	PER	he
-1	1467	1467	PRON	PER	he
-1	1473	1492	NOM	PER	a princess who possessed a wonderful telescope , which was so powerful that one could see all over the world
-1	1491	1492	NOM	LOC	the world
-1	1496	1497	NOM	GPE	No country
-1	1508	1509	NOM	GPE	every town
-1	1513	1514	NOM	FAC	every house
-1	1520	1520	NOM	PER	people
-1	1524	1525	NOM	FAC	the houses
49	1532	1532	PROP	PER	Osric
-1	1535	1536	NOM	PER	no one
-1	1562	1567	NOM	FAC	the castle where the princess dwelt
-1	1565	1566	NOM	PER	the princess
-1	1569	1569	PRON	PER	he
-1	1571	1571	PRON	PER	her
-1	1575	1575	PRON	PER	his
-1	1581	1581	PRON	PER	she
-1	1584	1584	PRON	PER	him
-1	1585	1585	PRON	PER	her
-1	1590	1591	NOM	PER	the princess
-1	1593	1593	PRON	PER	she
49	1602	1602	PROP	PER	Osric
-1	1604	1604	PRON	PER	her
-1	1609	1609	PRON	PER	his
-1	1617	1617	PRON	PER	she
-1	1621	1621	PRON	PER	him
-1	1632	1633	NOM	PER	The prince
-1	1639	1639	PRON	PER	he
-1	1655	1655	PRON	PER	he
39	1661	1661	PROP	PER	Isolde
50	1663	1664	PROP	PER	Prince Edric
-1	1670	1670	PRON	PER	his
-1	1670	1672	NOM	PER	his elder brother
-1	1674	1674	PRON	PER	He
-1	1679	1680	NOM	GPE	distant countries
-1	1692	1692	NOM	FAC	home
-1	1706	1706	PRON	PER	he
-1	1708	1712	NOM	GPE	a large and populous town
-1	1716	1721	NOM	FAC	the inn where he lodged he
-1	1719	1719	PRON	PER	he
-1	1721	1721	PRON	PER	he
-1	1723	1734	NOM	PER	a man who told him that in a cave outside the town
-1	1727	1727	PRON	PER	him
-1	1730	1734	NOM	LOC	a cave outside the town
-1	1733	1734	NOM	GPE	the town
-1	1737	1756	NOM	PER	a curious little dwarf called Völund,1 who was famed for his rare skill in all kinds of metal - work
-1	1747	1747	PRON	PER	his
-1	1766	1767	NOM	PER	the prince
-1	1770	1770	PRON	PER	he
-1	1776	1776	PRON	PER	me
-1	1789	1789	PRON	PER	he
-1	1792	1793	NOM	PER	the dwarf
-1	1797	1797	PRON	PER	he
-1	1799	1799	PRON	PER	him
-1	1801	1801	PRON	PER	he
-1	1804	1805	NOM	PER	the dwarf
