COREF	start_token	end_token	prop	cat	text
-1	10	10	PRON	PER	your
-1	23	23	PRON	PER	you
-1	27	27	PRON	PER	you
113	30	30	PROP	PER	THE·GOLDEN·BIRD
114	43	44	PROP	PER	JOSEPH JACOBS
115	55	57	PROP	PER	JOHN D. BATTEN
-1	59	63	NOM	FAC	THE MANY UNKNOWN LITTLE FRIENDS
0	64	64	PRON	PER	I
1	68	73	PROP	FAC	THE FORMER BOOKS OF THIS SERIES
-1	101	106	NOM	PER	THE CHILDREN OF LIR 1 XXVIII
-1	108	111	NOM	PER	JACK THE CUNNING THIEF
-1	117	119	NOM	PER	PRINCE OF DYFED
116	126	127	PROP	PER	THE WEASEL
2	140	140	PROP	GPE	MACCONGLINNEY
117	146	147	PROP	PER	OWEN O'MULREADY
118	151	151	PROP	PER	MORRAHA
119	158	160	PROP	PER	THE MACANDREW FAMILY
3	164	167	PROP	FAC	THE FARMER OF LIDDESDALE
4	167	167	PROP	GPE	LIDDESDALE
-1	171	179	NOM	PER	THE GREEK PRINCESS AND THE YOUNG GARDENER 110 XXXVIII
-1	181	183	NOM	PER	THE RUSSET DOG
-1	189	195	NOM	PER	THE KING 'S SONS 135[xii ] XL
5	197	204	PROP	FAC	THE LEGEND OF KNOCKGRAFTON 156 XLI . ELIDORE
-1	221	222	NOM	GPE	THE KINGDOM
6	223	223	PROP	GPE	OF
-1	224	226	NOM	PER	THE BIG MEN
7	236	236	PROP	GPE	FAERY
-1	240	243	NOM	PER	THE RIDERE OF RIDDLES
-1	265	268	NOM	PER	THE CHILDREN OF LIR
8	273	275	PROP	FAC	THE BLACK HORSE
118	278	278	PROP	GPE	MORRAHA
-1	281	283	NOM	PER	THE GREEK PRINCESS
-1	286	289	NOM	PER	THE BRIDGE OF BLOOD
120	292	293	PROP	PER	KOISHA KAYN
-1	298	298	NOM	PER	READERS
121	315	318	PROP	PER	Messrs. J. C. Drummond
-1	331	333	NOM	LOC	a moonlit lake
122	337	340	PROP	PER	the Children of Lir
122	340	340	PROP	GPE	Lir
0	341	341	PRON	PER	I
-1	345	349	NOM	PER	the five Kings of Ireland
11	349	349	PROP	GPE	Ireland
-1	360	360	PRON	PER	them
-1	363	371	NOM	PER	King Lir of the Hill of the White Field
-1	366	371	NOM	LOC	the Hill of the White Field
12	369	371	PROP	LOC	the White Field
-1	374	374	PRON	PER	he
-1	380	381	NOM	PER	the nobles
-1	386	386	PRON	PER	they
-1	389	390	NOM	PER	head king
123	392	392	PROP	PER	Dearg
-1	394	396	NOM	PER	son of Daghda
124	396	396	PROP	PER	Daghda
-1	399	399	PRON	PER	his
-1	399	400	NOM	PER	his father
-1	405	406	NOM	PER	a Druid
-1	408	408	PRON	PER	he
-1	410	416	NOM	PER	the eldest of his father 's sons
-1	413	413	PRON	PER	his
-1	413	416	NOM	PER	his father 's sons
122	419	419	PROP	PER	Lir
-1	421	425	NOM	PER	the Assembly of the Kings
-1	424	425	NOM	PER	the Kings
-1	428	428	NOM	FAC	home
-1	430	435	NOM	LOC	the Hill of the White Field
12	433	435	PROP	LOC	the White Field
-1	437	439	NOM	PER	The other kings
122	444	444	PROP	PER	Lir
-1	447	447	PRON	PER	him
-1	460	470	NOM	PER	the man to whom they had given the over - lordship
-1	464	464	PRON	PER	they
-1	473	476	NOM	PER	Dearg the[2 ] king
-1	488	488	PRON	PER	us
-1	490	490	PRON	PER	him
-1	492	492	PRON	PER	us
-1	505	506	NOM	LOC	the land
-1	511	511	PRON	PER	him
-1	513	513	NOM	PER	wife
-1	517	523	NOM	PER	the three maidens of the fairest form
13	528	528	PROP	GPE	Erin
-1	530	536	NOM	PER	the three daughters of Oilell of Aran
125	534	536	PROP	PER	Oilell of Aran
-1	538	538	PRON	PER	my
-1	538	543	NOM	PER	my own three bosom - nurslings
-1	547	548	NOM	PER	the messengers
122	552	552	PROP	PER	Lir
123	554	554	PROP	PER	Dearg
-1	555	556	NOM	PER	the king
-1	559	559	PRON	PER	him
-1	560	568	NOM	PER	a foster - child of his foster - children
-1	565	565	PRON	PER	his
-1	565	568	NOM	PER	his foster - children
122	570	570	PROP	PER	Lir
-1	582	583	NOM	VEH	fifty chariots
-1	585	590	NOM	LOC	the Hill of the White Field
12	588	590	PROP	LOC	the White Field
-1	593	593	PRON	PER	he
-1	596	603	NOM	LOC	the Lake of the Red Eye near Killaloe
14	599	601	PROP	LOC	the Red Eye
