COREF	start_token	end_token	prop	cat	text
78	8	9	PROP	PER	JOSEPH JACOBS
79	19	21	PROP	PER	JOHN D. BATTEN
-1	22	22	PRON	PER	YOU
-1	48	48	PRON	PER	you
-1	53	53	PRON	PER	you
-1	72	72	PRON	PER	you
-1	79	79	PRON	PER	you
80	88	88	PROP	PER	J.J.
-1	90	91	NOM	FAC	the wards
-1	113	180	NOM	FAC	THE PIED PIPER OF FRANCHVILLE HEREAFTERTHIS THE GOLDEN BALL MY OWN SELF THE BLACK BULL OF NORROWAY YALLERY BROWN THREE FEATHERS SIR GAMMER VANS TOM HICKATHRIFT THE HEDLEY KOW GOBBORN SEER LAWKAMERCYME TATTERCOATS THE WEE BANNOCK JOHNNY GLOKE COAT O ' CLAY THE THREE COWS THE BLINDED GIANT SCRAPEFOOT THE PEDLAR OF SWAFFHAM THE OLD WITCH THE THREE WISHES THE BURIED MOON A SON OF ADAM THE CHILDREN
1	182	185	PROP	FAC	THE WOOD THE HOBYAHS
2	186	220	PROP	FAC	A POTTLE O ' BRAINS THE KING OF ENGLAND AND HIS THREE SONS KING JOHN AND THE ABBOT OF CANTERBURY RUSHEN COATIE THE KING ' O THE CATS TAMLANE THE STARS IN THE SKY NEWS
3	194	194	PROP	GPE	ENGLAND
-1	196	196	PRON	PER	HIS
81	199	200	PROP	PER	KING JOHN
4	202	220	PROP	FAC	THE ABBOT OF CANTERBURY RUSHEN COATIE THE KING ' O THE CATS TAMLANE THE STARS IN THE SKY NEWS
175	222	222	PROP	GPE	PUDDOCK
82	224	224	PROP	PER	MOUSIE
6	226	226	PROP	GPE	RATTON
-1	227	252	NOM	ORG	THE LITTLE BULL - CALF THE WEE , WEE MANNIE HABETROT AND SCANTLIE MAB OLD MOTHER WIGGLE - WAGGLE CATSKIN STUPID 'S CRIES THE LAMBTON WORM
-1	227	252	NOM	PER	THE LITTLE BULL - CALF THE WEE , WEE MANNIE HABETROT AND SCANTLIE MAB OLD MOTHER WIGGLE - WAGGLE CATSKIN STUPID 'S CRIES THE LAMBTON WORM
-1	253	260	NOM	PER	THE WISE MEN OF GOTHAM THE PRINCESS OF
7	261	261	PROP	GPE	CANTERBURY
-1	268	291	NOM	FAC	TAMLANE THE BLACK BULL OF NORROWAY TATTERCOATS THE OLD WITCH THE CASTLE OF MELVALES THE LITTLE BULL - CALF THE LAMBTON WORM WARNING TO
-1	292	299	NOM	PER	CHILDREN MORE ENGLISH FAIRY TALES The Pied Piper
8	300	300	PROP	GPE	Newtown
9	303	303	PROP	GPE	Franchville
-1	314	317	NOM	GPE	a sleepy little town
-1	320	320	PRON	PER	you
-1	326	328	NOM	LOC	the Solent shore
-1	332	332	PRON	GPE	it
-1	336	336	PRON	LOC	it
-1	351	352	NOM	FAC	The place
-1	357	357	PRON	PER	them
-1	369	370	NOM	FAC	a barn
-1	372	375	NOM	FAC	a corn - rick
-1	377	380	NOM	FAC	a store - room
-1	382	383	NOM	FAC	a cupboard
-1	386	386	PRON	PER	they
-1	388	388	PRON	PER	their
-1	391	391	PRON	FAC	it
-1	397	397	PRON	PER	they
-1	407	407	PRON	PER	they
-1	424	424	PRON	PER	them
-1	426	426	PRON	PER	They
-1	442	444	NOM	PER	one master rat
-1	450	450	PRON	PER	he
-1	457	459	NOM	PER	all the friends
-1	461	461	NOM	PER	cousins
-1	474	474	PRON	PER	they
-1	476	476	NOM	FAC	here
-1	496	496	PRON	PER	you
-1	500	500	PRON	PER	yourself
83	521	521	PROP	PER	Mamma
-1	533	533	NOM	PER	baby
-1	548	551	NOM	PER	the poor little fellow
-1	565	570	NOM	PER	the good people of the town
-1	569	570	NOM	GPE	the town
-1	575	575	PRON	PER	they
-1	599	600	NOM	PER	the pussies
-1	605	606	NOM	FAC	the field
0	610	610	PRON	PER	I
-1	612	612	PRON	PER	you
-1	617	617	PRON	PER	they
-1	628	628	NOM	PER	Ratcatchers
84	637	640	PROP	PER	John o ' Groat
-1	637	642	NOM	FAC	John o ' Groat 's house
10	644	645	PROP	LOC	the Land
-1	644	647	NOM	LOC	the Land 's End
-1	652	652	PRON	PER	his
-1	658	658	PRON	PER	they
-1	686	686	PRON	PER	his
-1	690	690	PRON	PER	his
-1	693	694	NOM	PER	The Mayor
-1	696	698	NOM	PER	the town council
-1	701	701	PRON	PER	their
-1	707	707	PRON	PER	they
-1	713	715	NOM	FAC	the town hall
-1	717	717	PRON	PER	their
-1	723	723	PRON	PER	their
-1	738	738	PRON	PER	your
-1	738	739	NOM	PER	your Honour
-1	743	743	PRON	PER	he
-1	748	754	NOM	PER	a very queer fellow come to town
-1	754	754	NOM	GPE	town
-1	756	756	PRON	PER	I
-1	765	765	PRON	PER	him
-1	770	770	PRON	PER	him
-1	775	776	NOM	PER	the Mayor
-1	780	780	PRON	PER	he
-1	783	785	NOM	PER	A queer fellow
-1	799	799	PRON	PER	you
-1	807	807	PRON	PER	his
-1	811	811	PRON	PER	he
-1	824	824	PRON	PER	I
-1	827	829	NOM	PER	the Pied Piper
-1	832	832	PRON	PER	he
-1	840	840	PRON	PER	you
-1	845	845	PRON	PER	me
-1	848	848	PRON	PER	I
-1	850	850	PRON	PER	you
-1	852	856	NOM	PER	every single rat in Franchville
9	856	856	PROP	GPE	Franchville
-1	863	863	PRON	PER	they
-1	868	868	PRON	PER	they
-1	872	872	PRON	PER	their
-1	879	879	PRON	PER	they
-1	886	887	NOM	PER	the Piper
-1	890	894	NOM	PER	a man to stand nonsense
-1	905	905	PRON	PER	him
9	932	932	PROP	GPE	Franchville
-1	936	937	NOM	FAC	the hall
-1	939	940	NOM	PER	the Piper
-1	944	944	PRON	PER	he
-1	946	946	PRON	PER	he
-1	948	948	PRON	PER	his
-1	951	951	PRON	PER	his
-1	960	960	NOM	FAC	street
-1	962	962	NOM	FAC	house
-1	971	971	PRON	PER	you
85	1009	1010	PROP	PER	the Piper
-1	1023	1023	PRON	PER	him
-1	1025	1025	PRON	PER	he
-1	1027	1028	NOM	FAC	the streets
-1	1032	1033	NOM	PER	the Piper
-1	1036	1039	NOM	PER	the little toddling ones
-1	1045	1045	PRON	PER	he
-1	1054	1054	PRON	PER	his
-1	1059	1059	PRON	PER	them
-1	1065	1071	NOM	PER	the older and stronger of the band
-1	1070	1071	NOM	PER	the band
-1	1074	1075	NOM	FAC	Silver Street
-1	1076	1076	PRON	PER	he
11	1081	1082	PROP	FAC	Gold Street
11	1089	1090	PROP	FAC	Gold Street
-1	1092	1093	NOM	FAC	the harbour
-1	1095	1098	NOM	FAC	the broad Solent beyond
-1	1102	1102	PRON	PER	he
-1	1110	1111	NOM	PER	the townsfolk
-1	1119	1121	NOM	PER	many a blessing
-1	1122	1122	PRON	PER	they
-1	1126	1126	PRON	PER	his
-1	1133	1133	PRON	PER	him
-1	1143	1143	PRON	PER	he
-1	1146	1147	NOM	LOC	the water
-1	1150	1150	PRON	PER	he
-1	1153	1154	NOM	VEH	a boat
-1	1162	1162	PRON	PER	he
-1	1177	1177	PRON	PER	him
-1	1185	1185	PRON	PER	their
-1	1193	1193	PRON	PER	he
-1	1204	1206	NOM	PER	each master rat
-1	1216	1217	NOM	LOC	the harbour
-1	1220	1221	NOM	PER	every mother
-1	1220	1225	NOM	PER	every mother 's son of them
-1	1225	1225	PRON	PER	them
-1	1234	1234	PRON	PER	he
-1	1254	1255	NOM	PER	the Piper
-1	1258	1258	NOM	LOC	shore
-1	1266	1266	PRON	PER	You
-1	1269	1270	NOM	PER	the townsfolk
-1	1275	1275	PRON	PER	their
-1	1295	1296	NOM	PER	the Piper
-1	1312	1313	NOM	PER	the Mayor
-1	1315	1316	NOM	PER	the Council
-1	1319	1320	NOM	PER	the townsfolk
-1	1332	1332	PRON	PER	their
-1	1367	1368	NOM	VEH	a boat
-1	1375	1376	NOM	PER	the Mayor
-1	1377	1377	PRON	PER	himself
-1	1384	1384	PRON	PER	he
-1	1391	1391	PRON	PER	he
-1	1402	1402	PRON	PER	my
-1	1402	1404	NOM	PER	my good man
-1	1408	1408	PRON	PER	he
-1	1411	1411	PRON	PER	you
-1	1414	1417	NOM	PER	poor folk we are
-1	1416	1416	PRON	PER	we
-1	1421	1421	PRON	PER	we
-1	1425	1425	PRON	PER	you
-1	1430	1430	PRON	PER	you
-1	1451	1451	PRON	PER	you
-1	1461	1461	PRON	PER	I
-1	1467	1468	NOM	PER	the piper
-1	1474	1474	PRON	PER	I
-1	1476	1476	PRON	PER	you
-1	1477	1477	PRON	PER	I
-1	1484	1484	PRON	PER	I
-1	1493	1493	NOM	PER	folk
-1	1503	1503	PRON	PER	you
-1	1505	1505	PRON	PER	us
-1	1507	1507	PRON	PER	you
-1	1513	1514	NOM	PER	the Mayor
-1	1521	1521	PRON	PER	he
-1	1524	1525	NOM	PER	the Council
-1	1538	1538	PRON	PER	he
-1	1543	1543	PRON	PER	You
-1	1546	1546	PRON	PER	your
-1	1549	1549	PRON	PER	my
-1	1549	1551	NOM	PER	my good man
-1	1557	1557	PRON	PER	he
-1	1561	1561	PRON	PER	his
-1	1570	1571	NOM	PER	the Piper
-1	1574	1574	PRON	PER	he
-1	1582	1582	PRON	PER	he
-1	1584	1584	PRON	PER	his
-1	1587	1587	PRON	PER	his
-1	1632	1632	PRON	PER	he
-1	1635	1636	NOM	FAC	the streets
-1	1637	1638	NOM	PER	the elders
-1	1643	1645	NOM	FAC	school - room
-1	1647	1649	NOM	FAC	play - room
-1	1652	1652	NOM	FAC	nursery
-1	1654	1654	NOM	FAC	workshop
-1	1657	1658	NOM	PER	a child
-1	1670	1671	NOM	PER	the Piper
-1	1685	1687	NOM	PER	the bright throng
11	1691	1692	PROP	FAC	Gold Street
12	1695	1696	PROP	FAC	Silver Street
12	1700	1701	PROP	FAC	Silver Street
-1	1703	1706	NOM	LOC	the cool green forest
-1	1725	1725	PRON	PER	you
85	1730	1731	PROP	PER	the Piper
-1	1738	1738	PRON	PER	You
-1	1744	1745	NOM	PER	the children
-1	1761	1762	NOM	PER	the stranger
-1	1765	1766	NOM	PER	the children
-1	1773	1774	NOM	PER	the elders
-1	1779	1779	PRON	PER	They
-1	1790	1790	PRON	PER	they
-1	1795	1795	PRON	PER	they
-1	1797	1797	PRON	PER	their
-1	1801	1802	NOM	PER	the Piper
-1	1804	1804	PRON	PER	his
-1	1812	1812	PRON	PER	their
-1	1821	1822	NOM	PER	the children
-1	1831	1832	NOM	LOC	the forest
-1	1842	1843	NOM	PER	a farmer
86	1845	1845	PROP	PER	Jan
-1	1848	1848	PRON	PER	he
-1	1853	1853	PRON	PER	himself
-1	1855	1857	NOM	FAC	a little farmhouse
-1	1864	1864	PRON	PER	he
-1	1867	1867	PRON	PER	he
-1	1872	1873	NOM	PER	a wife
-1	1880	1880	PRON	PER	him
-1	1883	1883	PRON	PER	he
