COREF	start_token	end_token	prop	cat	text
-1	6	22	NOM	PER	Sir George Webbe Dasent WITH AN INTRODUCTORY ESSAY ON THE ORIGIN AND DIFFUSION OF POPULAR TALES Contents
1	50	51	PROP	LOC	THE SEA
2	56	58	PROP	FAC	THE OLD DAME
-1	60	60	PRON	PER	HER
-1	64	76	NOM	FAC	EAST O ’ THE SUN , AND WEST O ’ THE MOON V.
-1	77	85	NOM	PER	BOOTS WHO ATE A MATCH WITH THE TROLL VI
53	87	89	PROP	PER	HACON GRIZZLEBEARD VII
-1	91	95	NOM	PER	BOOTS WHO MADE THE PRINCESS
54	109	110	PROP	PER	DUCKS IX
-1	112	117	NOM	PER	THE GIANT WHO HAD NO HEART
-1	119	119	PRON	PER	HIS
-1	122	126	NOM	PER	THE FOX AS HERDSMAN XI
-1	128	130	NOM	PER	THE MASTERMAID XII
3	141	144	PROP	FAC	THE GLASS HILL XIV
4	160	164	PROP	FAC	THE MASTER - SMITH XVII
55	166	174	PROP	PER	THE TWO STEP - SISTERS XVIII . BUTTERCUP XIX
56	176	184	PROP	PER	TAMING THE SHREW XX . SHORTSHANKS XXI . GUDBRAND
5	186	189	PROP	LOC	THE HILL - SIDE
6	192	204	PROP	FAC	THE BLUE BELT XXIII . WHY THE BEAR IS STUMPY - TAILED XXIV
-1	215	222	NOM	PER	ONE ’S OWN CHILDREN ARE ALWAYS PRETTIEST XXVI
-1	224	229	NOM	PER	THE THREE PRINCESSES OF WHITELAND XXVII
-1	234	234	PRON	PER	HER
-1	238	240	NOM	PER	THE THREE AUNTS
-1	243	254	NOM	PER	THE COCK , THE CUCKOO , AND THE BLACK - COCK XXX
57	256	260	PROP	PER	RICH PETER THE PEDLAR XXXI
58	262	265	PROP	PER	GERTRUDE ’S BIRD XXXII
59	267	271	PROP	PER	BOOTS AND THE TROLL XXXIII
60	273	275	PROP	PER	GOOSEY GRIZZEL XXXIV
-1	277	285	NOM	PER	THE LAD WHO WENT TO THE NORTH WIND XXXV
61	287	289	PROP	PER	THE MASTER THIEF
-1	292	295	NOM	PER	THE BEST WISH XXXVII
-1	297	303	NOM	PER	THE THREE BILLY - GOATS GRUFF XXXVIII
-1	305	310	NOM	PER	WELL DONE AND ILL PAID XXXIX
-1	312	323	NOM	PER	THE HUSBAND WHO WAS TO MIND THE HOUSE XL . DAPPLEGRIM XLI
62	325	327	PROP	PER	FARMER WEATHERSKY XLII
