COREF	start_token	end_token	prop	cat	text
-1	23	24	NOM	PER	the Translator
162	41	41	PROP	PER	Moe
-1	131	132	NOM	PER	the Translator
-1	137	137	PRON	PER	him
-1	139	139	PRON	PER	his
-1	142	145	NOM	PER	“ gentle ” readers
-1	155	155	PRON	PER	him
-1	157	157	PRON	PER	he
-1	161	161	PRON	PER	he
-1	164	164	PRON	PER	he
-1	212	212	PRON	PER	them
-1	259	259	PRON	PER	their
-1	271	272	NOM	PER	the Translator
-1	276	276	PRON	PER	his
-1	276	277	NOM	PER	his readers
-1	283	283	PRON	PER	he
-1	289	291	NOM	PER	the good godmother
-1	300	302	NOM	PER	all good children
-1	319	319	PRON	PER	him
-1	321	322	NOM	PER	the godmother
-1	324	324	PRON	PER	She
-1	326	326	PRON	PER	her
-1	326	329	NOM	PER	her foster - daughter
-1	334	334	PRON	PER	she
-1	338	338	PRON	PER	He
-1	345	347	NOM	PER	any bad child
-1	350	350	PRON	PER	his
-1	354	354	PRON	PER	he
-1	357	363	NOM	PER	all good children who read this book
-1	389	389	PRON	PER	he
-1	391	391	PRON	PER	them
-1	400	402	NOM	PER	no good child
-1	408	410	NOM	FAC	those two rooms
-1	418	418	PRON	PER	they
-1	422	422	PRON	PER	they
-1	430	430	PRON	PER	them
-1	436	436	PRON	PER	them
-1	441	443	NOM	PER	some grown reader
-1	452	452	PRON	PER	you
-1	457	457	NOM	PER	children
-1	461	461	PRON	PER	you
-1	468	469	NOM	LOC	the world
-1	474	474	PRON	PER	you
-1	495	495	PRON	PER	their
-1	520	520	PRON	PER	they
-1	542	543	NOM	PER	the Translator
-1	560	569	NOM	PER	Those who , with so large a choice of beauty
-1	571	571	PRON	PER	them
163	602	602	PROP	PER	Leviticus
-1	605	616	NOM	PER	those whose Shakespeare would open of itself at Pericles Prince of Tyre
-1	613	616	NOM	PER	Pericles Prince of Tyre
1	616	616	PROP	GPE	Tyre
-1	618	619	NOM	PER	Such readers
-1	620	621	NOM	PER	the Translator
164	647	647	PROP	PER	MM
162	651	651	PROP	PER	Moe
-1	690	691	NOM	PER	the Translator
-1	707	707	PRON	PER	them
-1	709	711	NOM	PER	The Master Thief
165	717	717	PROP	PER	Blackwood
-1	740	741	NOM	PER	the Proprietors
-1	743	744	NOM	PER	The Translator
-1	748	748	PRON	PER	he
-1	759	791	NOM	PER	some friends upon whose good - will he sets all store , who wished him to change and soften some features in these tales , which they thought likely to shock English feeling
-1	766	766	PRON	PER	he
-1	773	773	PRON	PER	him
-1	785	785	PRON	PER	they
-1	793	793	PRON	PER	He
-1	804	804	PRON	PER	his
-1	808	808	PRON	PER	their
-1	829	859	NOM	PER	the man who , in such a work , wilfully changes or softens , is as guilty as he “ who puts bitter for sweet , and sweet for bitter ”
-1	847	847	PRON	PER	he
-1	868	869	NOM	PER	the Translator
-1	871	871	PRON	PER	himself
-1	879	889	NOM	PER	any , who may be inclined to be offended at first
-1	906	906	PRON	PER	they
-1	925	928	NOM	PER	the most childish readers
-1	936	936	PRON	PER	them
-1	959	959	PRON	PER	him
-1	967	967	PRON	PER	his
-1	975	976	NOM	PER	the reader
-1	1007	1007	PRON	PER	his
-1	1012	1012	PRON	PER	he
-1	1025	1025	PRON	PER	he
-1	1028	1028	PRON	PER	himself
-1	1030	1031	NOM	PER	the Translator
-1	1038	1041	NOM	PER	a gentle reader ”
-1	1054	1057	NOM	PER	The most careless reader
-1	1079	1079	PRON	PER	he
-1	1084	1084	PRON	PER	his
-1	1104	1104	NOM	PER	nurseries
-1	1106	1107	NOM	PER	old wives
-1	1133	1134	NOM	PER	English nurses
-1	1139	1140	NOM	PER	English children
-1	1155	1155	PRON	PER	we
-1	1175	1179	NOM	FAC	l ’ Oye of Perrault
166	1179	1179	PROP	PER	Perrault
167	1187	1188	PROP	PER	Madame D’Aulnoy
168	1206	1207	PROP	PER	Louis XIV
-1	1209	1209	PRON	PER	his
-1	1209	1210	NOM	PER	his successors
-1	1223	1234	NOM	PER	an artless country girl in the stifling atmosphere of a London theatre
-1	1232	1234	NOM	FAC	a London theatre
-1	1245	1247	NOM	PER	the English reciter
2	1256	1256	PROP	GPE	England
-1	1263	1263	PRON	PER	our
-1	1263	1266	NOM	PER	our great - grandmothers
169	1271	1271	PROP	PER	Cinderella
-1	1291	1294	NOM	FAC	the Cabinet des Fées
3	1296	1296	PROP	GPE	Sinbad
-1	1297	1298	NOM	PER	the Sailor
170	1300	1300	PROP	PER	Aladdin
-1	1328	1329	NOM	LOC	the globe
-1	1397	1397	NOM	PER	translators
2	1413	1413	PROP	GPE	England
-1	1433	1435	NOM	FAC	home - growths
-1	1437	1437	PRON	PER	We
-1	1442	1442	PRON	PER	our
-1	1442	1444	NOM	PER	our own children
-1	1455	1455	PRON	PER	their
-1	1470	1470	PRON	PER	their
-1	1477	1477	PRON	PER	their
-1	1518	1523	NOM	LOC	the nations north of the Alps
4	1522	1523	PROP	LOC	the Alps
-1	1548	1553	NOM	LOC	the other languages of the earth
-1	1552	1553	NOM	LOC	the earth
-1	1570	1578	NOM	PER	that base - born slave , the vulgar tongue
-1	1592	1607	NOM	PER	the twin tyrants who ruled all the dialects of the world with a pedant ’s rod
-1	1597	1602	NOM	LOC	all the dialects of the world
-1	1601	1602	NOM	LOC	the world
5	1621	1622	PROP	LOC	Western Europe
-1	1630	1632	NOM	PER	the first Napoleon
171	1639	1639	PROP	PER	Prometheus
-1	1656	1656	PRON	PER	his
6	1659	1660	PROP	LOC	the Atlantic
-1	1664	1668	NOM	PER	a man in Central Germany
7	1667	1668	PROP	GPE	Central Germany
-1	1671	1674	NOM	GPE	the old Thuringian soil
-1	1739	1739	PRON	PER	he
-1	1746	1746	PRON	PER	he
172	1770	1771	PROP	PER	Jacob Grimm
-1	1773	1778	NOM	LOC	not a “ household word ”
-1	1780	1780	PRON	PER	His
8	1784	1786	PROP	LOC	all the Teutonic
9	1787	1791	PROP	GPE	Dialects from Iceland to England
10	1789	1789	PROP	GPE	Iceland
2	1791	1791	PROP	GPE	England
-1	1800	1800	PRON	PER	their
-1	1800	1803	NOM	PER	their ancient classical oppressors
-1	1805	1805	PRON	PER	His
-1	1816	1817	NOM	PER	the Lombards
173	1819	1819	PROP	PER	Franks
-1	1822	1822	NOM	PER	Goths
-1	1847	1847	PRON	PER	His
-1	1851	1853	NOM	PER	early German authors
-1	1857	1863	NOM	PER	the German poets of the Middle Age
174	1865	1865	PROP	PER	Godfrey
-1	1865	1867	NOM	PER	Godfrey of Strasburg
11	1867	1867	PROP	GPE	Strasburg
175	1869	1871	PROP	PER	Wolfram von Eschenbach
176	1873	1876	PROP	PER	Hartman von der Aue
177	1878	1881	PROP	PER	Walter von der Vogelweide
-1	1884	1885	NOM	PER	the rest
-1	1889	1889	PRON	PER	their
-1	1892	1897	NOM	PER	any contemporary writers in other lands
-1	1896	1897	NOM	GPE	other lands
-1	1905	1905	PRON	PER	us
-1	1906	1906	NOM	GPE	here
-1	1908	1908	PRON	PER	his
-1	1912	1912	PRON	PER	his
-1	1926	1926	PRON	PER	he
-1	1928	1928	PRON	PER	his
-1	1928	1929	NOM	PER	his brother
178	1930	1930	PROP	PER	William
-1	1948	1948	PRON	PER	our
-1	1948	1949	NOM	PER	our race
-1	1966	1967	NOM	PER	old wives
-1	1979	1980	NOM	PER	grown men
-1	1996	1996	PRON	PER	we
-1	2001	2005	NOM	LOC	a vast tract of space
-1	2007	2023	NOM	PER	the reader who wishes to learn and not to cavil — and for such alone this introduction
-1	2044	2044	PRON	PER	he
-1	2055	2055	PRON	PER	him
-1	2076	2076	PRON	PER	we
-1	2091	2094	NOM	LOC	the East and West
-1	2099	2100	NOM	PER	each other
-1	2103	2103	PRON	PER	they
-1	2111	2111	PRON	PER	they
-1	2113	2114	NOM	PER	one another
-1	2119	2119	NOM	PER	one
-1	2132	2132	PRON	PER	We
172	2147	2147	PROP	PER	Grimm
-1	2149	2149	PRON	PER	his
-1	2149	2150	NOM	PER	his disciples
179	2163	2165	PROP	PER	Anquetil du Perron
-1	2167	2167	NOM	PER	others
12	2169	2169	PROP	GPE	India
13	2171	2171	PROP	GPE	France
178	2190	2192	PROP	PER	Sir William Jones
180	2194	2194	PROP	PER	Colebrooke
-1	2197	2197	NOM	PER	others
12	2200	2200	PROP	GPE	India
2	2202	2202	PROP	GPE	England
181	2219	2219	PROP	PER	Wilson
182	2221	2221	PROP	PER	Bopp
-1	2223	2223	NOM	PER	Lassen
183	2226	2227	PROP	PER	Max Müller
-1	2277	2281	NOM	PER	the man who denies it
-1	2283	2283	PRON	PER	himself
-1	2292	2292	PRON	PER	he
-1	2302	2309	NOM	PER	a grave divine of the Church of England
14	2306	2309	PROP	ORG	the Church of England
2	2309	2309	PROP	GPE	England
-1	2315	2315	PRON	PER	her
-1	2322	2322	PRON	PER	his
-1	2328	2329	NOM	PER	no God
-1	2338	2338	PRON	PER	we
-1	2365	2366	NOM	PER	a nation
-1	2371	2371	PRON	PER	its
-1	2374	2374	PRON	PER	We
-1	2383	2384	NOM	GPE	a country
-1	2394	2394	PRON	PER	its
2	2406	2406	PROP	GPE	England
-1	2448	2448	PRON	PER	us
-1	2465	2465	PRON	PER	our
-1	2465	2466	NOM	LOC	our island
-1	2470	2470	PRON	PER	their
-1	2475	2476	NOM	LOC	the soil
-1	2480	2480	PRON	PER	our
-1	2503	2504	NOM	LOC	the world
-1	2513	2513	NOM	PER	man
-1	2524	2525	NOM	PER	all races
-1	2528	2528	PRON	PER	their
-1	2555	2565	NOM	PER	a man who knows only one language that he knows none
-1	2563	2563	PRON	PER	he
-1	2573	2574	NOM	PER	one family
-1	2588	2588	PRON	PER	they
-1	2615	2615	PRON	PER	we
-1	2619	2624	NOM	PER	the various members of each family
-1	2623	2624	NOM	PER	each family
-1	2652	2653	NOM	PER	a race
-1	2662	2662	PRON	PER	its
-1	2672	2672	PRON	PER	we
15	2709	2710	PROP	LOC	the East
-1	2715	2715	PRON	PER	our
-1	2715	2716	NOM	PER	our ancestors
-1	2792	2792	PRON	PER	us
-1	2794	2794	PRON	PER	we
-1	2816	2816	PRON	PER	their
15	2836	2837	PROP	LOC	the East
-1	2838	2838	PRON	PER	we
-1	2843	2847	NOM	GPE	that central plain of Asia
16	2852	2852	PROP	GPE	Iran
16	2854	2854	PROP	GPE	Iran
-1	2859	2862	NOM	PER	the tillers and earers[2
-1	2865	2866	NOM	LOC	the earth
17	2871	2871	PROP	GPE	Turan
-1	2876	2880	NOM	PER	restless horse - riding nomads
184	2883	2883	PROP	PER	Turks
-1	2890	2890	PRON	PER	their
-1	2899	2904	NOM	PER	the great Turanian or Mongolian family
-1	2907	2916	NOM	PER	the Aryan , Iranian , or Indo - European race
-1	2938	2938	PRON	PER	them
-1	2942	2942	PRON	PER	their
-1	2957	2961	NOM	PER	other nationalities in recent times
-1	2967	2977	NOM	PER	adventurous chiefs , whose spirit chafed at the narrowness of home
-1	2983	2983	PRON	PER	they
-1	2986	2986	NOM	FAC	home
6	2999	3000	PROP	LOC	the Atlantic
-1	3002	3004	NOM	LOC	the Northern Ocean
-1	3012	3012	PRON	PER	they
18	3035	3035	PROP	GPE	Europe
-1	3053	3053	PRON	PER	their
19	3059	3061	PROP	LOC	the Indian Caucasus
-1	3065	3068	NOM	LOC	the defiles of Affghanistan
20	3068	3068	PROP	GPE	Affghanistan
-1	3071	3076	NOM	LOC	the plain of the Five Rivers
