COREF	start_token	end_token	prop	cat	text
71	11	15	PROP	PER	Andrew Lang THE BLUE FAIRY
72	21	28	PROP	PER	Andrew Lang CONTENTS THE BRONZE RING PRINCE HYACINTH
-1	30	87	NOM	PER	THE DEAR LITTLE PRINCESS EAST OF THE SUN AND WEST OF THE MOON THE YELLOW DWARF LITTLE RED RIDING HOOD THE SLEEPING BEAUTY IN THE WOOD CINDERELLA , OR THE LITTLE GLASS SLIPPER ALADDIN AND THE WONDERFUL LAMP THE TALE OF A YOUTH WHO SET OUT TO LEARN WHAT FEAR WAS RUMPELSTILTZKIN BEAUTY AND THE BEAST THE MASTER
1	91	92	PROP	LOC	THE SEA
2	94	94	PROP	GPE	SALT
-1	95	97	NOM	PER	THE MASTER CAT
73	101	104	PROP	PER	PUSS IN BOOTS FELICIA
-1	106	112	NOM	PER	THE POT OF PINKS THE WHITE CAT
3	113	116	PROP	LOC	THE WATER - LILY
-1	118	209	NOM	PER	THE GOLD - SPINNERS THE TERRIBLE HEAD THE STORY OF PRETTY GOLDILOCKS THE HISTORY OF WHITTINGTON THE WONDERFUL SHEEP LITTLE THUMB THE FORTY THIEVES HANSEL AND GRETTEL SNOW - WHITE AND ROSE - RED THE GOOSE - GIRL TOADS AND DIAMONDS PRINCE DARLING BLUE BEARD TRUSTY JOHN THE BRAVE LITTLE TAILOR A VOYAGE TO LILLIPUT CHAPTER I CHAPTER II CHAPTER III CHAPTER IV CHAPTER V THE PRINCESS ON THE GLASS HILL THE STORY OF PRINCE AHMED AND THE FAIRY PARIBANOU THE HISTORY OF JACK THE GIANT - KILLER THE BLACK BULL OF
4	210	210	PROP	GPE	NORROWAY
-1	211	216	NOM	PER	THE RED ETIN THE BRONZE RING
-1	222	224	NOM	GPE	a certain country
-1	227	230	NOM	PER	a king whose palace
-1	234	236	NOM	FAC	a spacious garden
-1	241	242	NOM	PER	the gardeners
-1	251	252	NOM	FAC	this garden
-1	266	267	NOM	PER	The King
-1	275	278	NOM	PER	a wise old man
-1	281	281	PRON	PER	him
-1	284	284	PRON	PER	Your
-1	284	285	NOM	PER	Your gardeners
-1	289	289	PRON	PER	their
-1	295	295	PRON	PER	you
-1	298	300	NOM	PER	men whose fathers
-1	302	302	NOM	PER	cobblers
-1	304	304	NOM	PER	carpenters
-1	308	308	PRON	PER	they
-1	313	313	PRON	PER	your
-1	318	318	PRON	PER	You
-1	325	326	NOM	PER	the King
-1	333	335	NOM	PER	the old man
-1	338	338	PRON	PER	you
-1	342	352	NOM	PER	a gardener whose father and grandfather have been gardeners before him
-1	347	347	NOM	PER	grandfather
-1	350	350	NOM	PER	gardeners
-1	352	352	PRON	PER	him
-1	357	357	PRON	PER	your
-1	357	358	NOM	FAC	your garden
-1	370	370	PRON	PER	you
-1	379	380	NOM	PER	the King
-1	382	382	NOM	PER	messengers
-1	384	385	NOM	GPE	every town
-1	387	387	NOM	GPE	village
-1	390	390	NOM	GPE	hamlet
-1	392	392	PRON	PER	his
-1	392	393	NOM	LOC	his dominions
-1	398	401	NOM	PER	a gardener whose forefathers
-1	404	404	NOM	PER	gardeners
-1	418	418	PRON	PER	us
-1	421	421	NOM	PER	gardener
-1	423	424	NOM	PER	the King
-1	427	427	PRON	PER	they
-1	430	430	PRON	PER	him
-1	435	435	PRON	PER	I
-1	438	439	NOM	PER	the King
-1	443	444	NOM	PER	the gardener
-1	447	451	NOM	PER	a poor wretch like me
-1	451	451	PRON	PER	me
-1	462	462	PRON	PER	they
-1	471	471	PRON	PER	you
-1	473	473	PRON	PER	your
-1	473	474	NOM	PER	your family
-1	479	479	PRON	PER	I
-1	483	484	NOM	PER	several people
-1	488	488	PRON	PER	We
-1	491	491	PRON	PER	your
-1	495	495	PRON	PER	they
-1	499	500	NOM	PER	the gardener
-1	502	502	PRON	PER	himself
-1	511	512	NOM	PER	the messengers
-1	515	515	PRON	PER	his
-1	515	516	NOM	PER	his wife
-1	518	518	PRON	PER	his
-1	518	519	NOM	PER	his son
-1	521	521	PRON	PER	him
-1	524	525	NOM	PER	the King
-1	531	533	NOM	PER	a real gardener
-1	536	536	PRON	PER	him
-1	541	541	PRON	PER	his
-1	541	542	NOM	FAC	his garden
-1	544	545	NOM	PER	The man
-1	551	553	NOM	FAC	the royal garden
-1	566	567	NOM	FAC	the park
-1	571	573	NOM	FAC	the same place
-1	576	577	NOM	PER	the King
-1	581	581	PRON	PER	his
-1	581	583	NOM	PER	his new servant
-1	585	586	NOM	PER	The gardener
-1	589	589	PRON	PER	you
-1	595	596	NOM	PER	a son
-1	600	609	NOM	PER	a very handsome young man , with most agreeable manners
-1	614	614	PRON	PER	he
-1	620	621	NOM	FAC	the garden
-1	623	624	NOM	PER	the King
-1	632	632	PRON	PER	his
-1	632	633	NOM	PER	his daughter
-1	636	637	NOM	PER	this princess
-1	649	650	NOM	PER	the King
-1	659	659	PRON	PER	she
-1	665	665	PRON	PER	My
-1	665	667	NOM	PER	My dear child
-1	671	671	PRON	PER	he
-1	674	674	PRON	PER	you
-1	681	682	NOM	PER	a husband
-1	685	685	PRON	PER	I
-1	690	690	PRON	PER	you
-1	692	697	NOM	PER	the son of my prime minister
-1	695	695	PRON	PER	my
-1	695	697	NOM	PER	my prime minister
-1	700	700	NOM	PER	Father
-1	704	705	NOM	PER	the Princess
-1	708	708	PRON	PER	I
-1	712	716	NOM	PER	the son of the minister
-1	715	716	NOM	PER	the minister
-1	725	726	NOM	PER	the King
-1	730	730	PRON	PER	I
-1	732	733	NOM	PER	the gardener
-1	732	735	NOM	PER	the gardener ’s son
-1	739	740	NOM	PER	the Princess
-1	745	746	NOM	PER	the King
-1	755	755	PRON	PER	he
-1	763	765	NOM	PER	such a husband
-1	770	770	PRON	PER	his
-1	770	771	NOM	PER	his daughter
-1	774	776	NOM	PER	the young Princess
-1	783	783	PRON	PER	her
-1	787	788	NOM	PER	the gardener
-1	787	790	NOM	PER	the gardener ’s son
-1	793	794	NOM	PER	the King
-1	796	796	PRON	PER	his
-1	796	797	NOM	PER	his ministers
-1	803	803	PRON	PER	you
-1	808	808	PRON	PER	they
-1	816	817	NOM	PER	the gardener
-1	818	818	PRON	PER	you
-1	821	822	NOM	PER	both suitors
-1	824	827	NOM	LOC	a very distant country
-1	830	834	NOM	PER	the one who returns first
-1	837	837	PRON	PER	your
-1	837	838	NOM	PER	your daughter
-1	841	842	NOM	PER	The King
-1	848	849	NOM	PER	the minister
-1	848	851	NOM	PER	the minister ’s son
-1	867	868	NOM	PER	the gardener
-1	867	870	NOM	PER	the gardener ’s son
-1	886	887	NOM	PER	every one
-1	889	889	PRON	PER	he
-1	895	895	PRON	PER	his
-1	901	901	PRON	PER	they
-1	903	904	NOM	PER	the Princess
-1	906	906	PRON	PER	her
-1	906	907	NOM	PER	her lover
-1	911	911	PRON	PER	him
-1	921	921	PRON	PER	I
-1	923	923	PRON	PER	you
-1	936	936	PRON	PER	you
-1	943	943	PRON	PER	me
-1	951	951	PRON	PER	my
-1	955	957	NOM	PER	The two suitors
-1	959	960	NOM	GPE	the town
-1	964	965	NOM	PER	the minister
-1	964	967	NOM	PER	the minister ’s son
-1	974	974	PRON	PER	his
-1	986	989	NOM	LOC	the most distant hills
-1	991	991	PRON	PER	He
-1	1005	1010	NOM	PER	an old woman all in rags
-1	1021	1021	PRON	PER	you
-1	1023	1024	NOM	PER	young traveler
-1	1028	1028	PRON	PER	she
-1	1031	1032	NOM	PER	the minister
-1	1031	1034	NOM	PER	the minister ’s son
-1	1043	1043	PRON	PER	me
-1	1045	1045	NOM	PER	traveler
-1	1048	1048	PRON	PER	she
-1	1053	1053	PRON	PER	I
-1	1060	1060	PRON	PER	you
-1	1067	1067	PRON	PER	I
-1	1069	1069	NOM	FAC	here
-1	1071	1072	NOM	PER	no one
-1	1075	1075	PRON	PER	me
-1	1081	1081	PRON	PER	me
-1	1084	1085	NOM	PER	old witch
-1	1089	1091	NOM	PER	the young man
-1	1094	1094	PRON	PER	I
-1	1099	1099	PRON	PER	you
-1	1105	1105	PRON	PER	he
-1	1108	1108	PRON	PER	his
-1	1114	1117	NOM	PER	the gardener ’s son
-1	1124	1124	PRON	PER	his
-1	1134	1134	PRON	PER	you
-1	1136	1137	NOM	PER	young traveler
-1	1141	1144	NOM	PER	the beggar - woman
-1	1151	1152	NOM	PER	good woman
-1	1156	1156	PRON	PER	he
-1	1159	1160	NOM	PER	Young traveler
-1	1165	1165	PRON	PER	me
-1	1170	1170	PRON	PER	my
-1	1173	1174	NOM	PER	good woman
-1	1178	1178	PRON	PER	he
-1	1184	1184	PRON	PER	me
-1	1187	1187	PRON	PER	your
-1	1196	1198	NOM	PER	The old woman
-1	1210	1210	PRON	PER	him
-1	1216	1216	PRON	PER	they
-1	1218	1224	NOM	GPE	the chief city of a powerful kingdom
-1	1222	1224	NOM	GPE	a powerful kingdom
-1	1226	1227	NOM	PER	The minister
-1	1226	1229	NOM	PER	The minister ’s son
-1	1233	1235	NOM	FAC	a grand inn
-1	1237	1238	NOM	PER	the gardener
-1	1237	1240	NOM	PER	the gardener ’s son
-1	1242	1244	NOM	PER	the old woman
-1	1247	1248	NOM	FAC	the inn
-1	1250	1250	NOM	PER	beggars
-1	1255	1258	NOM	PER	the gardener ’s son
-1	1264	1265	NOM	FAC	the street
-1	1268	1269	NOM	PER	the King
-1	1268	1271	NOM	PER	the King ’s heralds
-1	1284	1285	NOM	PER	The King
-1	1287	1287	PRON	PER	our
-1	1287	1288	NOM	PER	our master
-1	1295	1295	PRON	PER	He
-1	1305	1305	PRON	PER	him
-1	1308	1308	PRON	PER	him
-1	1313	1313	PRON	PER	his
-1	1318	1322	NOM	PER	the old beggar - woman
-1	1325	1325	PRON	PER	her
-1	1325	1326	NOM	PER	her benefactor
-1	1332	1332	PRON	PER	you
-1	1340	1341	NOM	PER	the King
-1	1347	1348	NOM	GPE	the town
-1	1356	1356	PRON	PER	you
-1	1380	1380	PRON	PER	You
-1	1383	1383	PRON	PER	them
-1	1387	1387	PRON	PER	them
-1	1416	1417	NOM	FAC	the palace
-1	1423	1425	NOM	PER	A celebrated physician
5	1429	1429	PROP	GPE	Janina
6	1431	1431	PROP	GPE	Albania
-1	1433	1433	PRON	PER	He
-1	1437	1438	NOM	PER	the King
-1	1441	1441	PRON	PER	him
-1	1446	1446	PRON	PER	his
-1	1450	1451	NOM	PER	The King
-1	1450	1453	NOM	PER	The King ’s physicians
-1	1459	1460	NOM	PER	an impostor
-1	1464	1466	NOM	PER	a learned man
-1	1470	1470	PRON	PER	they
-1	1479	1479	PRON	PER	you
-1	1482	1482	PRON	PER	them
-1	1490	1490	PRON	PER	yourself
-1	1492	1494	NOM	PER	the sick King
-1	1496	1496	PRON	PER	You
-1	1517	1517	PRON	PER	yourself
-1	1520	1524	NOM	FAC	a room with the Sultan
-1	1523	1524	NOM	PER	the Sultan
-1	1531	1531	PRON	PER	you
-1	1534	1534	PRON	PER	him
-1	1541	1541	PRON	PER	him
-1	1543	1543	PRON	PER	his
-1	1549	1549	PRON	PER	his
-1	1573	1574	NOM	PER	The King
-1	1586	1586	PRON	PER	he
-1	1589	1589	PRON	PER	he
-1	1596	1596	PRON	PER	your
-1	1598	1598	PRON	PER	you
-1	1610	1610	PRON	PER	you
-1	1612	1612	PRON	PER	you
-1	1617	1617	PRON	PER	my
-1	1617	1618	NOM	PER	my son
-1	1626	1626	PRON	PER	my
-1	1630	1632	NOM	PER	The young man
-1	1634	1638	NOM	PER	the old beggar - woman
-1	1646	1647	NOM	GPE	the town
-1	1648	1648	PRON	PER	he
-1	1673	1673	PRON	PER	he
-1	1676	1677	NOM	FAC	the palace
-1	1682	1684	NOM	PER	A celebrated physician
5	1689	1689	PROP	GPE	Janina
6	1691	1691	PROP	GPE	Albania
-1	1693	1693	PRON	PER	He
-1	1697	1698	NOM	PER	the King
-1	1701	1701	PRON	PER	him
-1	1706	1706	PRON	PER	his
-1	1710	1711	NOM	PER	The King
-1	1710	1713	NOM	PER	The King ’s physicians
-1	1718	1720	NOM	PER	the unknown wayfarer
-1	1723	1724	NOM	PER	the Sultan
-1	1727	1728	NOM	PER	the stranger
-1	1733	1733	PRON	PER	They
-1	1746	1747	NOM	PER	the King
-1	1756	1757	NOM	PER	the gardener
-1	1756	1759	NOM	PER	the gardener ’s son
-1	1764	1764	PRON	PER	their
-1	1768	1768	PRON	PER	he
-1	1777	1779	NOM	PER	the old King
-1	1784	1784	PRON	PER	himself
-1	1794	1794	PRON	PER	I
-1	1796	1796	PRON	PER	you
-1	1798	1798	PRON	PER	my
-1	1798	1799	NOM	PER	my benefactor
-1	1802	1802	PRON	PER	he
-1	1807	1807	PRON	PER	you
-1	1810	1810	PRON	PER	my
-1	1819	1820	NOM	PER	the gardener
-1	1819	1822	NOM	PER	the gardener ’s son
-1	1825	1825	PRON	PER	My
-1	1825	1826	NOM	PER	My daughter
-1	1838	1838	PRON	PER	my
-1	1838	1839	NOM	LOC	my kingdom
-1	1846	1846	PRON	PER	me
-1	1855	1855	PRON	PER	me
-1	1857	1857	PRON	PER	I
-1	1867	1868	NOM	PER	the King
-1	1871	1871	PRON	PER	I
-1	1882	1882	PRON	PER	you
-1	1889	1889	PRON	PER	he
-1	1893	1893	PRON	PER	him
-1	1895	1898	NOM	PER	The gardener ’s son
-1	1907	1911	NOM	PER	the old beggar - woman
-1	1914	1914	PRON	PER	he
-1	1923	1932	NOM	VEH	a splendid ship in which I may continue my journey
-1	1928	1928	PRON	PER	I
-1	1931	1931	PRON	PER	my
-1	1953	1954	NOM	PER	the crew
-1	1957	1962	NOM	PER	twelve young men of noble appearance
-1	1966	1966	NOM	PER	kings
74	1968	1969	PROP	PER	St. Nicholas
-1	1996	1997	NOM	VEH	a ship
-1	2000	2001	NOM	LOC	the sea
-1	2011	2012	NOM	PER	the gardener
-1	2011	2014	NOM	PER	the gardener ’s son
-1	2022	2022	PRON	PER	he
-1	2024	2024	PRON	PER	his
-1	2028	2028	PRON	PER	he
-1	2031	2033	NOM	GPE	a great town
-1	2036	2036	PRON	PER	himself
-1	2038	2040	NOM	FAC	a wonderful palace
-1	2045	2045	PRON	PER	he
-1	2047	2047	PRON	PER	his
-1	2047	2048	NOM	PER	his rival
-1	2050	2051	NOM	PER	the minister
-1	2050	2053	NOM	PER	the minister ’s son
-1	2059	2059	PRON	PER	his
-1	2069	2074	NOM	PER	a carrier of dust and rubbish
-1	2076	2077	NOM	PER	The gardener
-1	2076	2079	NOM	PER	The gardener ’s son
-1	2082	2082	PRON	PER	him
-1	2087	2087	PRON	PER	your
-1	2092	2092	PRON	PER	your
-1	2092	2093	NOM	PER	your family
-1	2097	2098	NOM	LOC	what country
-1	2100	2100	PRON	PER	you
-1	2105	2105	PRON	PER	I
-1	2107	2116	NOM	PER	the son of the prime minister of a great nation
-1	2110	2116	NOM	PER	the prime minister of a great nation
-1	2114	2116	NOM	GPE	a great nation
-1	2125	2125	PRON	PER	I
-1	2134	2134	PRON	PER	me
-1	2137	2137	PRON	PER	I
-1	2144	2144	PRON	PER	you
-1	2146	2146	PRON	PER	I
-1	2151	2151	PRON	PER	you
-1	2153	2153	PRON	PER	I
-1	2156	2156	PRON	PER	you
-1	2157	2158	NOM	VEH	a ship
-1	2161	2161	PRON	PER	you
-1	2164	2164	PRON	PER	your
-1	2164	2166	NOM	GPE	your own country
-1	2178	2178	PRON	PER	I
-1	2186	2186	PRON	PER	me
-1	2188	2188	PRON	PER	my
-1	2188	2189	NOM	FAC	my palace
