COREF	start_token	end_token	prop	cat	text
75	14	15	PROP	PER	MISS MULOCK
76	20	21	PROP	PER	JOHN HALIFAX
-1	23	23	NOM	PER	GENTLEMAN
77	29	30	PROP	PER	LITTLE OLIVE
-1	84	85	NOM	PER	all children
-1	89	97	NOM	PER	many grown people who retain the child - heart
-1	162	164	NOM	PER	modern British children
78	166	166	PROP	PER	Perrault
79	172	172	PROP	PER	Grimm
-1	234	238	NOM	PER	Jack the Giant[viii ] Killer
80	240	241	PROP	PER	Tom Thumb
-1	309	309	PRON	PER	we
-1	325	325	NOM	PER	children
-1	330	330	PRON	PER	themselves
-1	335	337	NOM	PER	all beautiful people
-1	343	346	NOM	PER	all ugly ones wicked
-1	349	351	NOM	PER	every elder sister
-1	357	358	NOM	PER	every stepmother
-1	362	366	NOM	PER	the tender baby - heart
-1	392	396	NOM	PER	the Editor of this collection
-1	412	413	NOM	PER	a child
-1	415	415	PRON	PER	She
-1	448	449	NOM	PER	the author
1	466	467	PROP	LOC	THE WOOD
91	469	473	PROP	FAC	HOP - O'-MY - THUMB
-1	479	482	NOM	PER	THE LITTLE GLASS SLIPPER
81	486	492	PROP	PER	JOHN DIETRICH 44 BEAUTY AND THE BEAST
82	498	500	PROP	PER	LITTLE TWO EYES
82	503	505	PROP	FAC	LITTLE THREE EYES
83	507	510	PROP	PER	JACK THE GIANT KILLER
80	512	513	PROP	LOC	TOM THUMB
5	515	517	PROP	FAC	RUMPELSTILZCHEN 126 FORTUNATUS
-1	519	548	NOM	FAC	THE BREMEN TOWN MUSICIANS 145 RIQUET WITH THE TUFT 150 HOUSE ISLAND 157 SNOW - WHITE AND ROSE RED 170 JACK AND THE BEAN - STALK 179 GRACIOSA AND PERCINET
-1	550	552	NOM	FAC	THE IRON STOVE
-1	554	556	NOM	GPE	THE INVISIBLE PRINCE
-1	558	561	NOM	PER	THE WOODCUTTER 'S DAUGHTER
-1	565	565	NOM	PER	SISTER
84	567	576	PROP	PER	LITTLE RED - RIDING - HOOD 288 PUSS IN BOOTS
-1	581	584	NOM	PER	THE SEVEN YOUNG GOSLINGS
6	586	591	PROP	FAC	THE FAIR ONE WITH GOLDEN LOOKS
85	593	594	PROP	PER	THE BUTTERFLY
86	596	599	PROP	PER	THE FROG - PRINCE
87	601	603	PROP	PER	THE WHITE CAT
88	605	606	PROP	PER	PRINCE CHERRY
89	608	609	PROP	PER	LITTLE SNOWDROP
230	611	613	PROP	FAC	THE BLUE BIRD
-1	615	617	NOM	PER	THE YELLOW DWARF
90	619	621	PROP	PER	THE SIX SWANS
-1	623	627	NOM	PER	THE PRINCE WITH THE NOSE
8	629	631	PROP	FAC	THE HIND OF
-1	632	633	NOM	GPE	THE FOREST
9	635	640	PROP	FAC	THE JUNIPER TREE 463 CLEVER ALICE
10	646	648	PROP	FAC	THE SLEEPING BEAUTY
-1	657	659	NOM	PER	a royal couple
-1	664	664	PRON	PER	they
-1	666	667	NOM	PER	no children
-1	677	678	NOM	PER	the queen
-1	680	680	PRON	PER	her
-1	680	681	NOM	PER	her husband
-1	683	685	NOM	PER	a little daughter
-1	687	687	PRON	PER	his
-1	687	688	NOM	PER	his majesty
-1	690	690	PRON	PER	his
-1	709	709	PRON	PER	He
-1	711	716	NOM	PER	all the fairies in the land
-1	715	716	NOM	LOC	the land
-1	720	721	NOM	PER	seven altogether
-1	725	725	NOM	PER	godmothers
-1	727	729	NOM	PER	the little princess
-1	737	737	PRON	PER	her
-1	757	759	NOM	PER	all the guests
-1	762	763	NOM	FAC	the palace
-1	770	773	NOM	PER	each fairy - godmother
-1	805	805	PRON	PER	they
-1	807	807	PRON	PER	themselves
-1	813	820	NOM	PER	an old fairy who had never been invited
-1	828	828	PRON	PER	she
-1	831	832	NOM	PER	the king
-1	831	834	NOM	FAC	the king 's dominion
-1	851	851	PRON	PER	His
-1	851	852	NOM	PER	His majesty
-1	864	864	PRON	PER	her
-1	874	874	PRON	PER	he
-1	878	878	PRON	PER	his
-1	878	879	NOM	PER	his jeweller
-1	885	888	NOM	PER	the seven fairies aforesaid
-1	890	892	NOM	PER	The elderly fairy
-1	894	894	PRON	PER	herself
-1	908	917	NOM	PER	the younger fairies , who chanced to sit beside her
-1	917	917	PRON	PER	her
-1	919	929	NOM	PER	This good godmother , afraid of harm to the pretty baby
-1	927	929	NOM	PER	the pretty baby
-1	934	934	PRON	PER	herself
-1	939	940	NOM	FAC	the hall
-1	942	942	PRON	PER	She
-1	947	947	PRON	PER	she
-1	949	951	NOM	PER	all the others
-1	965	966	NOM	PER	the child
-1	968	968	PRON	PER	she
-1	980	980	PRON	PER	their
-1	996	999	NOM	PER	The fortunate little princess
-1	1004	1009	NOM	PER	the fairest woman in the world
-1	1008	1009	NOM	LOC	the world
-1	1017	1018	NOM	PER	an angel
-1	1052	1054	NOM	PER	the old fairy
-1	1060	1060	PRON	PER	her
-1	1064	1064	PRON	PER	she
-1	1070	1071	NOM	PER	the baby
-1	1075	1077	NOM	PER	a young lady
-1	1084	1084	PRON	PER	she
-1	1087	1087	PRON	PER	her
-1	1103	1104	NOM	PER	the guests
-1	1110	1114	NOM	PER	the more tender - hearted
-1	1119	1122	NOM	PER	The lately happy parents
-1	1127	1127	PRON	PER	their
-1	1134	1137	NOM	PER	the wise young fairy
-1	1147	1147	PRON	PER	Your
-1	1147	1148	NOM	PER	Your majesties
-1	1152	1152	PRON	PER	yourselves
-1	1154	1155	NOM	PER	the princess
-1	1160	1160	PRON	PER	I
-1	1172	1172	PRON	PER	her
-1	1174	1174	PRON	PER	my
-1	1174	1176	NOM	PER	my ancient sister
-1	1178	1178	PRON	PER	her
-1	1185	1185	PRON	PER	she
-1	1214	1218	NOM	PER	the son of a king
-1	1217	1218	NOM	PER	a king
-1	1221	1221	PRON	PER	her
-1	1224	1224	PRON	PER	her
-1	1228	1228	PRON	PER	her
-1	1232	1234	NOM	PER	all the fairies
-1	1237	1238	NOM	PER	The king
-1	1245	1245	PRON	PER	his
-1	1245	1246	NOM	PER	his daughter
-1	1255	1256	NOM	PER	all persons
-1	1268	1268	PRON	PER	their
-1	1268	1269	NOM	FAC	their houses
-1	1287	1287	PRON	PER	she
-1	1295	1296	NOM	PER	the king
-1	1298	1298	NOM	PER	queen
-1	1300	1300	PRON	PER	their
-1	1300	1301	NOM	PER	their daughter
-1	1304	1307	NOM	FAC	one of their castles
-1	1306	1306	PRON	PER	their
-1	1306	1307	NOM	FAC	their castles
-1	1314	1314	PRON	PER	her
-1	1317	1317	PRON	PER	she
-1	1320	1323	NOM	FAC	an ancient donjon tower
-1	1327	1329	NOM	LOC	the top of
-1	1330	1330	PRON	FAC	it
-1	1335	1338	NOM	PER	a very old woman
-1	1345	1345	PRON	PER	she
-1	1350	1351	NOM	PER	the king
-1	1357	1357	PRON	PER	her
-1	1363	1363	PRON	PER	you
-1	1366	1368	NOM	PER	good old woman
-1	1372	1373	NOM	PER	the princess
-1	1376	1376	PRON	PER	I
-1	1380	1380	PRON	PER	my
-1	1380	1382	NOM	PER	my pretty child
-1	1392	1392	PRON	PER	me
-1	1395	1395	PRON	PER	I
-1	1401	1401	PRON	PER	She
-1	1416	1416	PRON	PER	she
-1	1427	1427	PRON	PER	her
-1	1438	1438	PRON	PER	she
-1	1452	1456	NOM	PER	The poor frightened old woman
-1	1463	1476	NOM	PER	the ladies in wait[14]ing , who tried every means to restore their young mistress
-1	1474	1474	PRON	PER	their
-1	1474	1476	NOM	PER	their young mistress
-1	1480	1480	PRON	PER	their
-1	1485	1485	PRON	PER	She
-1	1490	1491	NOM	PER	an angel
-1	1498	1498	PRON	PER	her
-1	1503	1503	PRON	PER	her
-1	1509	1509	PRON	PER	her
-1	1513	1513	PRON	PER	her
-1	1520	1521	NOM	PER	the king
-1	1522	1522	PRON	PER	her
-1	1522	1523	NOM	PER	her father
-1	1525	1526	NOM	PER	the queen
-1	1527	1527	PRON	PER	her
