COREF	start_token	end_token	prop	cat	text
1	11	12	PROP	LOC	Various Countries
775	15	16	PROP	PER	THOMAS KEIGHTLEY
776	28	29	PROP	PER	the Fairies
-1	35	35	PRON	PER	they
-1	37	37	PRON	PER	their
-1	41	41	PRON	PER	they
-1	45	45	PRON	PER	them
777	46	46	PROP	PER	Drayton
778	60	61	PROP	PER	FRANCIS EARL
2	63	63	PROP	GPE	ELLESMERE
-1	98	99	NOM	PER	THE AUTHOR
776	114	114	PROP	PER	Fairies
-1	128	131	NOM	PER	The Peri - Wife
3	143	143	PROP	GPE	LAND
-1	154	155	NOM	PER	The Alfar
779	160	160	PROP	PER	Loki
780	162	163	PROP	PER	the Dwarf
781	165	165	PROP	PER	Thorston
-1	167	168	NOM	PER	the Dwarf
4	176	176	PROP	GPE	SCANDINAVIA
782	178	178	PROP	PER	Elves
783	180	181	PROP	PER	Sir Olof
-1	183	186	NOM	FAC	the Elve - Dance
-1	188	191	NOM	PER	The Elf - Woman
783	193	194	PROP	PER	Sir Olof
784	196	198	PROP	PER	The Young Swain
782	200	201	PROP	PER	the Elves
785	203	204	PROP	PER	Svend Faelling
-1	206	209	NOM	PER	the Elle - Maid
786	211	214	PROP	PER	The Elle - Maids
5	216	217	PROP	LOC	Maid Væ
6	224	224	PROP	GPE	Ebeltoft
787	226	227	PROP	PER	Hans Puntleder
788	229	231	PROP	PER	Dwarfs or Trolls
789	233	234	PROP	PER	Sir Thynnè
790	237	237	PROP	PER	Margaret
-1	239	241	NOM	PER	The Troll Wife
7	243	246	PROP	FAC	The Altar - Cup
8	248	248	PROP	GPE	Aagerup
9	252	253	PROP	LOC	Tiis Lake
-1	255	256	NOM	PER	A Farmer
-1	258	259	NOM	PER	a Troll
791	261	261	PROP	PER	Skotte
10	269	269	PROP	GPE	Bodedys
11	271	271	PROP	GPE	Kallundborg
-1	272	272	NOM	GPE	Church
-1	274	281	NOM	PER	The Hill - Man invited to the Christening
-1	283	286	NOM	PER	The Troll turned Cat
792	288	288	PROP	PER	Kirsten
-1	288	290	NOM	FAC	Kirsten 's Hill
-1	292	295	NOM	PER	The Troll - Labour
-1	297	300	NOM	FAC	The Hill - Smith
-1	302	303	NOM	PER	The Girl
12	321	322	PROP	LOC	the Brook
788	326	327	PROP	PER	the Trolls
13	329	329	PROP	GPE	Vendsyssel
785	331	332	PROP	PER	Svend Faelling
-1	334	335	NOM	PER	The Dwarfs
1160	339	339	PROP	GPE	Nisses
-1	341	342	NOM	GPE	The Nis
793	345	347	PROP	FAC	The Penitent Nis
793	349	350	PROP	PER	The Nis
-1	352	353	NOM	PER	the Boy
-1	355	358	NOM	PER	The Nis Stealing Corn
793	360	361	PROP	LOC	The Nis
1160	370	371	PROP	FAC	The Nisses
18	373	373	PROP	GPE	Vosborg
19	375	375	PROP	GPE	Necks
794	377	377	PROP	PER	Mermen
795	380	380	PROP	PER	Mermaids
796	388	389	PROP	PER	Duke Magnus
797	391	392	PROP	PER	the Mermaid
20	394	395	PROP	LOC	NORTHERN ISLANDS
21	397	397	PROP	GPE	Iceland
280	399	399	PROP	GPE	Feroes
23	401	401	PROP	GPE	Shetland
1207	403	403	PROP	GPE	Gioga
-1	403	405	NOM	PER	Gioga 's Son
-1	407	409	NOM	PER	The Mermaid Wife
25	411	411	PROP	GPE	Orkneys
798	419	420	PROP	PER	John Dietrich
26	422	425	PROP	FAC	The Little Glass Shoe
27	427	429	PROP	FAC	The Wonderful Plough
-1	431	433	NOM	PER	The Lost Bell
-1	435	438	NOM	PER	The Black Dwarfs of
28	439	439	PROP	GPE	Granitz
29	441	441	PROP	GPE	GERMANY
-1	443	443	NOM	PER	Dwarfs
1146	445	446	PROP	LOC	The Hill
-1	453	454	NOM	PER	The Dwarf
-1	458	460	NOM	PER	The Friendly Dwarfs
-1	466	468	NOM	PER	the Little People
799	470	471	PROP	PER	Smith Riechert
788	473	473	PROP	PER	Dwarfs
788	479	479	PROP	PER	Dwarfs
31	481	482	PROP	LOC	the Mountain
788	484	485	PROP	PER	The Dwarfs
-1	489	490	NOM	PER	The Changeling
-1	492	495	NOM	PER	The Dwarf - Husband
800	497	499	PROP	PER	Inge of Rantum
-1	501	504	NOM	PER	The Wild - Women
32	506	508	PROP	LOC	The Oldenburg Horn
1290	510	510	PROP	GPE	Kobolds
1329	512	512	PROP	GPE	Hinzelmann
801	516	517	PROP	PER	King Goldemar
-1	519	522	NOM	FAC	The Heinzelmänchen 257 Nixes
-1	524	525	NOM	PER	The Peasant
-1	527	528	NOM	PER	the Waterman
-1	530	539	NOM	PER	The Water - Smith 260[Pg ix ] The Working Waterman
-1	541	544	NOM	PER	The Nix - Labour
35	546	546	PROP	GPE	SWITZERLAND
788	548	548	PROP	PER	Dwarfs
802	550	550	PROP	PER	Gertrude
803	552	552	PROP	PER	Rosy
36	554	557	PROP	LOC	The Chamois - Hunter
788	559	560	PROP	PER	The Dwarfs
-1	562	563	NOM	LOC	the Tree
37	572	575	PROP	LOC	The Wonderful Little Pouch
-1	581	582	NOM	PER	The Dwarf
38	588	589	PROP	LOC	GREAT BRITAIN
39	591	591	PROP	GPE	England
-1	593	595	NOM	PER	The Green Children
40	607	608	PROP	LOC	The Portunes
-1	610	611	NOM	GPE	The Grant
41	616	617	PROP	FAC	Eden Hall
42	624	627	PROP	FAC	The Fairies ' Caldron
43	629	633	PROP	FAC	The Cauld Lad of Hilton
44	633	633	PROP	GPE	Hilton
-1	635	642	NOM	PER	The Pixy - Labour 301 Pixy - Vengeance
804	644	644	PROP	PER	Pixy
-1	648	651	NOM	PER	The Fairy - Thieves
-1	653	654	NOM	GPE	The Boggart
805	656	656	PROP	PER	Addlers
-1	658	658	NOM	PER	Menters
-1	660	663	NOM	PER	The Fary - Nurseling
45	665	668	PROP	GPE	The Fary - Labour
806	670	670	PROP	PER	Ainsel
46	674	675	PROP	GPE	Scottish Lowlands
-1	677	688	NOM	PER	The Fairies ' Nurse 353 The Fairy - Rade 354 The Changeling
776	692	693	PROP	PER	the Fairies
-1	695	696	NOM	PER	The Brownie
47	700	700	PROP	GPE	CYMRY
48	702	702	PROP	GPE	Ireland
807	704	705	PROP	PER	Clever Tom
808	707	708	PROP	PER	the Leprechaun
-1	713	714	NOM	FAC	the Garden
-1	716	722	NOM	FAC	The Three Leprechauns 379 The Little Shoe
49	724	725	PROP	LOC	Scottish Highlands
809	727	728	PROP	PER	The Fairy
-1	732	734	NOM	PER	The Young Man
50	736	737	PROP	LOC	the Shian
-1	739	741	NOM	PER	The two Fiddlers
-1	743	773	NOM	PER	The Fairy - Labour 388[Pg x ] The Fairy borrowing Oatmeal 389 The Fairy - Gift 390 The Stolen Ox 390 The Stolen Lady 391 The Changeling 393 The Wounded Seal
1665	775	776	PROP	LOC	The Brownies
52	781	783	PROP	LOC	Isle of Man
-1	785	788	NOM	PER	The Fairy - Chapman
-1	790	796	NOM	PER	The Fairy - Banquet 399 The Fairies
-1	805	808	NOM	PER	The Fairy - Hunt
-1	810	811	NOM	PER	The Fiddler
-1	813	814	NOM	PER	the Fairy
810	816	817	PROP	PER	The Phynnodderee
53	819	819	PROP	GPE	Wales
1687	823	823	PROP	GPE	Elidurus
-1	825	827	NOM	GPE	The Tylwyth Têg
55	829	833	PROP	LOC	The Spirit of the Van
56	832	833	PROP	VEH	the Van
811	835	835	PROP	PER	Rhys
1713	842	843	PROP	FAC	Gitto Bach
-1	845	846	NOM	PER	The Fairies
58	849	849	PROP	GPE	Brittany
812	851	852	PROP	PER	Lai D'Ywenec
813	854	855	PROP	PER	Lord Nann
814	857	858	PROP	PER	the Korrigan
-1	865	866	NOM	GPE	the Korred
59	868	869	PROP	LOC	SOUTHERN EUROPE
60	871	871	PROP	GPE	Greece
61	873	873	PROP	GPE	Italy
62	875	875	PROP	GPE	Spain
815	880	882	PROP	PER	Peter do Cabinam
63	886	889	PROP	FAC	the House of Haro
64	889	889	PROP	GPE	Haro
65	891	892	PROP	FAC	La Infantina
66	894	896	PROP	FAC	Pepito el Corcovado
67	898	898	PROP	GPE	France
1912	902	902	PROP	GPE	Melusina
69	904	905	PROP	LOC	EASTERN EUROPE
-1	909	915	NOM	PER	Slaves 490 Vilas 492 Deer and Vila
816	917	917	PROP	PER	AFRICANS
-1	919	921	NOM	PER	JEWS , Africans
-1	923	923	NOM	PER	Jews
-1	929	951	NOM	PER	The Moohel 506 The Mazik - Ass 510 APPENDIX 513 INDEX 557 [ Pg 1 ] THE FAIRY MYTHOLOGY ORIENTAL ROMANCE.[22 ] Sadee
817	953	953	PROP	PER	Sadee
-1	955	957	NOM	PER	All human beings
-1	963	963	PRON	PER	you
0	967	967	PRON	PER	I
76	981	982	PROP	LOC	ancient Persia
-1	991	995	NOM	PER	a pastoral and hunting race
-1	997	1001	NOM	LOC	the lofty hills of Aderbijân
71	1001	1001	PROP	GPE	Aderbijân
-1	1006	1006	NOM	PER	others
-1	1010	1014	NOM	LOC	the elevated plains of Bactria
72	1014	1014	PROP	GPE	Bactria
-1	1017	1025	NOM	LOC	a region where light appears in all its splendour
-1	1052	1055	NOM	PER	the people of Irân
73	1055	1055	PROP	GPE	Irân
-1	1057	1060	NOM	LOC	the land of light
-1	1063	1066	NOM	FAC	the favourites of Heaven
74	1066	1066	PROP	LOC	Heaven
75	1071	1071	PROP	GPE	Turân
