COREF	start_token	end_token	prop	cat	text
-1	2	6	NOM	PER	The Green Fairy Book Editor
52	8	12	PROP	PER	Andrew Lang THE GREEN FAIRY
53	18	26	PROP	PER	Andrew Lang To Stella Margaret Alleyne the Green Fairy
-1	31	97	NOM	PER	THE BLUE BIRD THE HALF - CHICK THE STORY OF CALIPH STORK THE ENCHANTED WATCH ROSANELLA SYLVAIN AND JOCOSA FAIRY GIFTS PRINCE NARCISSUS AND THE PRINCESS POTENTILLA PRINCE FEATHERHEAD AND THE PRINCESS CELANDINE THE THREE LITTLE PIGS HEART OF ICE THE ENCHANTED RING THE SNUFF - BOX THE GOLDEN BLACKBIRD THE LITTLE SOLDIER THE MAGIC SWAN THE DIRTY SHEPHERDESS THE ENCHANTED SNAKE THE BITER BIT KING KOJATA
1	100	101	PROP	LOC	the Russian
2	106	107	PROP	LOC	FAIR HELENA
3	110	111	PROP	LOC	the German
3	116	117	PROP	LOC	the German
-1	119	132	NOM	FAC	THE STORY OF HOK LEE AND THE DWARFS THE STORY OF THE THREE BEARS
54	133	134	PROP	PER	PRINCE VIVIEN
-1	136	147	NOM	PER	THE PRINCESS PLACIDA LITTLE ONE - EYE , LITTLE TWO - EYES
55	150	157	PROP	PER	LITTLE THREE - EYES JORINDE AND JORINGEL ALLERLEIRAUH
-1	161	215	NOM	PER	THE MANY - FURRED CREATURE THE TWELVE HUNTSMEN SPINDLE , SHUTTLE , AND NEEDLE THE CRYSTAL COFFIN THE THREE SNAKE - LEAVES THE RIDDLE JACK MY HEDGEHOG THE GOLDEN LADS THE WHITE SNAKE THE STORY OF A CLEVER TAILOR THE GOLDEN MERMAID THE WAR OF THE WOLF AND THE FOX THE STORY OF THE FISHERMAN
-1	217	217	PRON	PER	HIS
-1	219	227	NOM	PER	THE THREE MUSICIANS THE THREE DOGS THE BLUE BIRD
-1	234	235	NOM	PER	a King
-1	241	241	PRON	PER	He
-1	243	244	NOM	LOC	broad lands
-1	255	255	PRON	PER	he
-1	263	263	PRON	PER	his
-1	267	268	NOM	PER	the Queen
-1	270	270	PRON	PER	his
-1	270	271	NOM	PER	his wife
-1	276	276	PRON	PER	He
-1	278	278	PRON	PER	himself
-1	281	283	NOM	FAC	a little room
-1	286	286	PRON	PER	his
-1	295	295	PRON	PER	his
-1	295	296	NOM	PER	his courtiers
-1	301	301	PRON	PER	he
-1	304	304	PRON	PER	himself
-1	307	307	PRON	PER	they
-1	321	321	PRON	PER	he
-1	326	326	PRON	PER	his
-1	336	336	PRON	PER	him
-1	343	345	NOM	PER	All his subjects
-1	344	344	PRON	PER	his
-1	349	349	PRON	PER	him
-1	354	354	PRON	PER	they
-1	358	358	PRON	PER	him
-1	367	367	PRON	PER	him
-1	377	378	NOM	PER	not one
-1	385	385	PRON	PER	him
-1	389	389	PRON	PER	he
-1	395	395	PRON	PER	they
-1	401	418	NOM	PER	a lady who was wrapped in a black mantle , and seemed to be in the deepest grief
-1	420	420	PRON	PER	She
-1	426	427	NOM	PER	the King
-1	435	435	PRON	PER	she
-1	446	446	PRON	PER	his
-1	449	449	PRON	PER	she
-1	455	457	NOM	PER	a good husband
-1	463	463	PRON	PER	her
-1	466	466	PRON	PER	his
-1	469	469	PRON	PER	she
-1	472	472	PRON	PER	he
-1	477	478	NOM	PER	the King
-1	480	480	PRON	PER	his
-1	484	484	PRON	PER	he
-1	486	488	NOM	PER	the sorrowful lady
-1	496	496	PRON	PER	his
-1	496	498	NOM	PER	his departed Queen
-1	501	501	PRON	PER	she
-1	503	503	PRON	PER	her
-1	510	510	PRON	PER	her
-1	510	512	NOM	PER	her departed husband
-1	522	523	NOM	PER	the King
-1	528	528	PRON	PER	his
-1	537	538	NOM	PER	the lady
-1	547	547	PRON	PER	her
-1	558	558	PRON	PER	they
-1	567	568	NOM	PER	the King
-1	579	581	NOM	PER	the whole kingdom
-1	588	589	NOM	PER	the King
-1	594	596	NOM	PER	the sorrowful lady
-1	599	600	NOM	PER	the King
-1	602	603	NOM	PER	one daughter
-1	612	612	PRON	PER	Her
56	615	615	PROP	PER	Fiordelisa
-1	618	618	PRON	PER	she
-1	620	626	NOM	PER	the prettiest and most charming Princess imaginable
-1	633	635	NOM	PER	The new Queen
-1	640	641	NOM	PER	a daughter
-1	647	647	PRON	PER	her
-1	651	652	NOM	FAC	the Palace
57	654	654	PROP	PER	Turritella
-1	659	659	PRON	PER	her
-1	667	667	PRON	PER	her
-1	667	668	NOM	PER	her godmother
58	670	672	PROP	PER	the Fairy Mazilla
-1	683	683	PRON	PER	her
-1	685	685	PRON	PER	she
-1	695	696	NOM	PER	the Queen
-1	704	704	PRON	PER	she
56	707	707	PROP	PER	Fiordelisa
-1	708	708	PRON	PER	she
-1	717	717	PRON	PER	her
-1	721	722	NOM	PER	the King
-1	724	724	PRON	PER	his
-1	724	726	NOM	PER	his own daughter
-1	732	732	PRON	PER	he
57	738	738	PROP	PER	Turritella
-1	742	743	NOM	PER	the King
56	749	749	PROP	PER	Fiordelisa
57	751	751	PROP	PER	Turritella
-1	756	756	PRON	PER	he
-1	761	761	PRON	PER	them
-1	763	770	NOM	PER	the first suitable Prince who visited his Court
-1	769	769	PRON	PER	his
-1	769	770	NOM	LOC	his Court
-1	772	773	NOM	PER	The Queen
-1	777	777	PRON	PER	My
-1	777	778	NOM	PER	My daughter
-1	789	789	PRON	PER	she
-1	793	793	PRON	PER	yours
-1	803	808	NOM	PER	The King , who hated disputes
-1	821	821	PRON	PER	mine
-1	825	825	PRON	PER	your
59	837	838	PROP	PER	King Charming
-1	842	852	NOM	PER	the most handsome and magnificent Prince in all the country round
-1	850	852	NOM	LOC	the country round
-1	856	856	PRON	PER	his
-1	860	861	NOM	PER	the King
-1	866	867	NOM	PER	the Queen
-1	871	871	PRON	PER	she
-1	874	874	PRON	PER	her
-1	874	875	NOM	PER	her jewellers
-1	877	877	NOM	PER	tailors
-1	879	879	NOM	PER	weavers
-1	882	882	NOM	PER	embroiderers
57	891	891	PROP	PER	Turritella
-1	894	894	PRON	PER	she
-1	896	897	NOM	PER	the King
56	899	899	PROP	PER	Fiordelisa
-1	911	912	NOM	PER	the King
-1	917	917	PRON	PER	she
-1	919	919	PRON	PER	her
-1	919	921	NOM	PER	her waiting woman
-1	926	927	NOM	PER	the Princess
56	942	942	PROP	PER	Fiordelisa
-1	946	946	PRON	PER	herself
-1	949	949	PRON	PER	her
-1	958	958	PRON	PER	she
-1	964	964	PRON	PER	she
-1	970	970	PRON	PER	her
-1	975	975	PRON	PER	she
-1	983	984	NOM	PER	the merchants
-1	991	991	PRON	PER	they
-1	994	995	NOM	PER	the Queen
-1	999	999	PRON	PER	them
-1	1002	1002	PRON	PER	her
-1	1007	1007	PRON	PER	they
-1	1013	1014	NOM	PER	the Princess
-1	1026	1026	PRON	PER	she
-1	1039	1039	PRON	PER	she
-1	1046	1047	NOM	PER	the King
-1	1062	1063	NOM	PER	The Queen
-1	1065	1065	PRON	PER	her
-1	1065	1066	NOM	PER	her guest
-1	1073	1073	PRON	PER	him
-1	1075	1075	PRON	PER	her
-1	1075	1076	NOM	PER	her daughter
-1	1089	1089	PRON	PER	her
-1	1095	1096	NOM	PER	the King
-1	1102	1102	PRON	PER	her
-1	1109	1110	NOM	PER	The Queen
-1	1117	1117	PRON	PER	he
57	1126	1126	PROP	PER	Turritella
59	1131	1132	PROP	PER	King Charming
-1	1139	1140	NOM	PER	another Princess
56	1143	1143	PROP	PER	Fiordelisa
57	1150	1150	PROP	PER	Turritella
-1	1154	1154	PRON	PER	her
-1	1159	1159	PRON	PER	she
-1	1169	1169	PRON	PER	she
56	1177	1177	PROP	PER	Fiordelisa
-1	1189	1190	NOM	PER	the King
-1	1195	1195	PRON	PER	He
-1	1202	1202	PRON	PER	her
-1	1207	1207	NOM	PER	Madam
-1	1209	1209	PRON	PER	your
-1	1218	1218	NOM	PER	Sire
-1	1222	1223	NOM	PER	the Princess
-1	1226	1226	PRON	PER	I
-1	1228	1228	PRON	PER	you
-1	1230	1230	PRON	PER	I
-1	1248	1248	PRON	PER	I
-1	1255	1255	PRON	PER	you
-1	1259	1259	PRON	PER	me
59	1269	1270	PROP	PER	King Charming
-1	1275	1278	NOM	PER	a marvellously beautiful Princess
-1	1280	1280	PRON	PER	I
-1	1289	1290	NOM	PER	the Queen
-1	1298	1298	PRON	PER	I
-1	1300	1300	PRON	PER	you
-1	1302	1302	NOM	PER	Sire
56	1305	1305	PROP	PER	Fiordelisa
-1	1313	1313	PRON	PER	her
-1	1320	1321	NOM	PER	The King
-1	1325	1325	PRON	PER	she
-1	1336	1336	PRON	PER	him
-1	1339	1339	PRON	PER	he
56	1341	1341	PROP	PER	Fiordelisa
-1	1343	1343	PRON	PER	his
-1	1351	1351	PRON	PER	her
-1	1358	1359	NOM	PER	The Queen
57	1367	1367	PROP	PER	Turritella
-1	1370	1370	PRON	PER	they
-1	1374	1375	NOM	PER	the King
56	1377	1377	PROP	PER	Fiordelisa
-1	1379	1379	PRON	PER	They
-1	1383	1384	NOM	PER	the King
-1	1390	1390	PRON	PER	him
-1	1393	1393	PRON	PER	he
-1	1399	1400	NOM	PER	the Princess
59	1408	1409	PROP	PER	King Charming
-1	1419	1419	PRON	PER	she
-1	1422	1422	PRON	PER	her
-1	1422	1423	NOM	FAC	her room
-1	1425	1425	PRON	PER	she
-1	1429	1431	NOM	PER	four masked figures
-1	1437	1443	NOM	FAC	the topmost room of a high tower
-1	1441	1443	NOM	FAC	a high tower
-1	1446	1446	PRON	PER	they
-1	1448	1448	PRON	PER	her
-1	1454	1454	PRON	PER	She
-1	1458	1458	PRON	PER	she
-1	1468	1469	NOM	PER	the King
-1	1475	1475	PRON	PER	her
-1	1486	1486	PRON	PER	she
-1	1489	1489	PRON	PER	him
-1	1503	1503	PRON	PER	his
-1	1503	1504	NOM	PER	his bride
59	1507	1508	PROP	PER	King Charming
-1	1516	1517	NOM	PER	the Princess
-1	1519	1519	PRON	PER	he
-1	1525	1525	PRON	PER	her
-1	1529	1529	PRON	PER	he
-1	1534	1534	PRON	PER	her
-1	1536	1544	NOM	PER	the courtiers who were placed in attendance on him
-1	1544	1544	PRON	PER	him
-1	1548	1549	NOM	PER	the Queen
-1	1552	1552	PRON	PER	they
-1	1558	1558	PRON	PER	her
-1	1563	1563	PRON	PER	she
-1	1575	1575	PRON	PER	she
-1	1577	1577	PRON	PER	her
-1	1577	1580	NOM	PER	her waiting - maids
-1	1592	1593	NOM	PER	the King
-1	1595	1595	PRON	PER	her
-1	1597	1597	PRON	PER	she
-1	1602	1602	PRON	PER	she
-1	1609	1611	NOM	PER	a poor shepherdess
-1	1624	1625	NOM	PER	the King
-1	1630	1630	PRON	PER	he
-1	1641	1641	PRON	PER	he
-1	1645	1645	PRON	PER	she
-1	1653	1653	PRON	PER	she
-1	1661	1661	PRON	PER	she
-1	1669	1669	PRON	PER	I
-1	1678	1678	PRON	PER	she
-1	1688	1688	PRON	PER	they
-1	1695	1696	NOM	PER	the Queen
-1	1701	1701	PRON	PER	her
-1	1706	1710	NOM	PER	that ugly daughter of hers
-1	1721	1722	NOM	PER	The courtiers
-1	1729	1729	PRON	PER	they
-1	1732	1733	NOM	PER	the King
-1	1737	1737	PRON	PER	him
-1	1742	1742	PRON	PER	them
56	1747	1747	PROP	PER	Fiordelisa
-1	1750	1750	PRON	PER	he
-1	1754	1755	NOM	PER	the King
-1	1760	1761	NOM	PER	the others
59	1763	1764	PROP	PER	King Charming
-1	1774	1774	PRON	PER	he
-1	1785	1785	PRON	PER	he
-1	1787	1788	NOM	PER	the Princess
-1	1792	1793	NOM	PER	the Queen
-1	1796	1797	NOM	PER	the courtiers
-1	1800	1800	PRON	PER	them
-1	1803	1803	PRON	PER	they
-1	1808	1808	PRON	PER	their
-1	1811	1811	PRON	PER	her
56	1817	1820	PROP	PER	the poor Princess Fiordelisa
-1	1822	1822	PRON	PER	she
-1	1842	1844	NOM	FAC	this gloomy tower
-1	1846	1846	PRON	PER	I
59	1850	1851	PROP	PER	King Charming
-1	1854	1854	PRON	PER	she
-1	1861	1861	PRON	PER	he
-1	1866	1866	PRON	PER	they
-1	1870	1870	PRON	PER	themselves
-1	1872	1872	PRON	PER	him
-1	1883	1884	NOM	PER	the Queen
59	1886	1887	PROP	PER	King Charming
-1	1954	1954	PRON	PER	me
-1	1973	1974	NOM	LOC	the world
-1	1977	1978	NOM	LOC	a world
-1	1988	1989	NOM	PER	the King
-1	1998	1998	PRON	PER	him
-1	2000	2004	NOM	PER	The page who brought it
-1	2006	2006	PRON	PER	him
-1	2011	2012	NOM	PER	the Princess
-1	2016	2016	PRON	PER	him
-1	2019	2019	PRON	PER	her
-1	2019	2020	NOM	PER	her knight
-1	2027	2027	PRON	PER	he
-1	2031	2034	NOM	PER	the lovely Princess Fiordelisa
56	2034	2034	PROP	PER	Fiordelisa
-1	2039	2039	PRON	PER	me
-1	2049	2049	PRON	PER	You
-1	2054	2054	NOM	PER	Sire
-1	2058	2059	NOM	PER	the page
-1	2063	2063	PRON	PER	I
57	2068	2070	PROP	PER	the Princess Turritella
57	2078	2078	PROP	PER	Turritella
-1	2081	2081	PRON	PER	me
-1	2084	2084	PRON	PER	her
-1	2084	2085	NOM	PER	her knight
-1	2089	2090	NOM	PER	the King
-1	2094	2094	PRON	PER	I
-1	2098	2098	PRON	PER	I
-1	2107	2107	PRON	PER	he
-1	2114	2115	NOM	PER	the Queen
57	2117	2117	PROP	PER	Turritella
-1	2128	2128	PRON	PER	they
-1	2135	2135	PRON	PER	he
59	2139	2140	PROP	PER	King Charming
-1	2144	2145	NOM	PER	the King
60	2147	2147	PROP	PER	Queen
-1	2151	2151	PRON	PER	he
-1	2153	2154	NOM	FAC	the hall
-1	2155	2155	PRON	PER	he
60	2158	2158	PROP	PER	Fiordelisa
-1	2163	2163	NOM	PER	anyone
-1	2166	2166	PRON	PER	he
-1	2183	2184	NOM	PER	the Queen
-1	2190	2190	PRON	PER	she
-1	2204	2204	PRON	PER	she
-1	2208	2209	NOM	PER	The Prince
-1	2218	2218	PRON	PER	he
56	2227	2229	PROP	PER	the Princess Fiordelisa
-1	2232	2232	NOM	PER	Sire
-1	2236	2237	NOM	PER	the Queen
-1	2241	2241	PRON	PER	her
-1	2241	2242	NOM	PER	her father
-1	2246	2246	PRON	PER	she
-1	2250	2250	PRON	PER	her
-1	2250	2252	NOM	FAC	her own apartments
-1	2254	2254	PRON	PER	my
-1	2254	2255	NOM	PER	my daughter
-1	2268	2270	NOM	PER	that lovely Princess
-1	2271	2272	NOM	PER	a prisoner
-1	2276	2277	NOM	PER	the King
-1	2284	2284	PRON	PER	I
-1	2291	2292	NOM	PER	the Queen
-1	2298	2298	PRON	PER	I
-1	2301	2301	PRON	PER	I
-1	2308	2308	PRON	PER	you
-1	2311	2312	NOM	PER	The King
-1	2322	2322	PRON	PER	He
57	2326	2326	PROP	PER	Turritella
-1	2339	2339	PRON	PER	her
-1	2340	2340	PRON	PER	he
-1	2345	2346	NOM	PER	the Queen
-1	2351	2351	PRON	PER	his
-1	2351	2353	NOM	FAC	his own apartments
-1	2356	2356	PRON	PER	he
-1	2359	2367	NOM	PER	a young squire whom he had brought with him
-1	2363	2363	PRON	PER	he
-1	2367	2367	PRON	PER	him
-1	2370	2370	PRON	PER	I
-1	2374	2374	PRON	PER	I
-1	2377	2378	NOM	LOC	the world
-1	2385	2392	NOM	PER	one of the Princess ’s waiting - women
-1	2387	2388	NOM	PER	the Princess
-1	2387	2392	NOM	PER	the Princess ’s waiting - women
56	2401	2401	PROP	PER	Fiordelisa
-1	2412	2414	NOM	PER	the young squire
-1	2417	2417	PRON	PER	he
-1	2425	2426	NOM	PER	the ladies
-1	2430	2430	PRON	PER	him
56	2435	2435	PROP	PER	Fiordelisa
-1	2445	2446	NOM	FAC	the garden
-1	2449	2449	PRON	PER	he
-1	2455	2455	PRON	PER	her
-1	2459	2459	PRON	PER	she
-1	2462	2462	PRON	PER	he
-1	2480	2480	PRON	PER	her
59	2488	2489	PROP	PER	King Charming
-1	2492	2493	NOM	PER	the Princess
-1	2495	2496	NOM	PER	The squire
-1	2503	2503	PRON	PER	she
-1	2509	2509	PRON	PER	he
-1	2515	2515	PRON	PER	his
-1	2518	2519	NOM	PER	the King
-1	2521	2525	NOM	PER	the false waiting - woman
-1	2529	2530	NOM	PER	the Queen
-1	2536	2536	PRON	PER	She
-1	2541	2541	PRON	PER	her
-1	2541	2543	NOM	PER	her own daughter
-1	2552	2552	PRON	PER	she
-1	2554	2554	PRON	PER	her
-1	2558	2558	PRON	PER	she
57	2567	2569	PROP	PER	the stupid Turritella
-1	2581	2582	NOM	PER	the King
-1	2597	2597	PRON	PER	him
-1	2600	2600	PRON	PER	he
-1	2613	2613	PRON	PER	he
56	2620	2620	PROP	PER	Fiordelisa
-1	2623	2623	PRON	PER	her
-1	2625	2625	PRON	PER	his
-1	2628	2628	PRON	PER	her
57	2630	2630	PROP	PER	Turritella
-1	2633	2633	PRON	PER	she
-1	2639	2639	PRON	PER	she
-1	2651	2651	PRON	PER	her
-1	2656	2657	NOM	PER	the Queen
-1	2659	2659	PRON	PER	her
-1	2659	2660	NOM	PER	her daughter
-1	2666	2667	NOM	PER	the King
-1	2669	2669	PRON	PER	her
-1	2672	2672	PRON	PER	him
-1	2676	2676	PRON	PER	he
-1	2678	2678	PRON	PER	his
-1	2681	2681	PRON	PER	his
57	2687	2687	PROP	PER	Turritella
-1	2691	2691	PRON	PER	she
-1	2693	2693	PRON	PER	him
-1	2697	2697	PRON	PER	she
-1	2700	2701	NOM	PER	The King
-1	2707	2707	PRON	PER	she
-1	2713	2713	PRON	PER	he
-1	2718	2718	PRON	PER	his
-1	2718	2719	NOM	PER	his darling
56	2720	2720	PROP	PER	Fiordelisa
-1	2723	2723	PRON	PER	he
-1	2725	2725	PRON	PER	himself
-1	2733	2734	NOM	PER	the Queen
-1	2737	2737	PRON	PER	her
-1	2742	2742	PRON	PER	He
-1	2746	2746	PRON	PER	her
-1	2748	2748	PRON	PER	she
-1	2753	2753	PRON	PER	him
57	2760	2760	PROP	PER	Turritella
-1	2765	2766	NOM	PER	The Queen
-1	2773	2773	PRON	PER	her
-1	2778	2778	PRON	PER	herself
-1	2785	2785	PRON	PER	she
-1	2801	2802	NOM	PER	the King
-1	2807	2807	PRON	PER	him
-1	2808	2809	NOM	VEH	a chariot
-1	2814	2814	PRON	PER	him
-1	2816	2821	NOM	PER	an Enchanter who was his friend
-1	2820	2820	PRON	PER	his
-1	2820	2821	NOM	PER	his friend
-1	2823	2824	NOM	VEH	This chariot
-1	2832	2833	NOM	PER	the King
57	2836	2836	PROP	PER	Turritella
-1	2842	2842	PRON	PER	him
-1	2844	2844	PRON	PER	her
-1	2851	2851	PRON	PER	her
-1	2852	2852	PRON	PER	he
-1	2859	2859	PRON	PER	my
-1	2859	2860	NOM	PER	my Princess
-1	2862	2862	PRON	PER	you
-1	2870	2870	PRON	PER	you
-1	2872	2872	PRON	PER	we
-1	2875	2875	PRON	PER	our
57	2880	2880	PROP	PER	Turritella
-1	2883	2883	PRON	PER	her
-1	2887	2887	PRON	PER	her
58	2892	2894	PROP	PER	the Fairy Mazilla
-1	2896	2896	PRON	PER	her
-1	2896	2897	NOM	PER	her godmother
-1	2901	2901	PRON	PER	she
-1	2908	2908	PRON	PER	her
-1	2908	2909	NOM	FAC	her castle
-1	2912	2913	NOM	PER	the King
-1	2915	2916	NOM	PER	the Frogs
-1	2923	2925	NOM	LOC	the whole world
-1	2927	2927	PRON	PER	their
-1	2933	2933	PRON	PER	he
57	2935	2935	PROP	PER	Turritella
-1	2940	2945	NOM	FAC	the castle of the Fairy Mazilla
58	2943	2945	PROP	PER	the Fairy Mazilla
-1	2947	2948	NOM	PER	The King
-1	2954	2954	PRON	PER	his
-1	2958	2958	PRON	PER	they
-1	2961	2964	NOM	FAC	the brilliantly lighted castle
57	2967	2967	PROP	PER	Turritella
-1	2969	2969	PRON	PER	her
-1	2974	2974	PRON	PER	her
-1	2980	2981	NOM	PER	the Fairy
-1	2983	2983	PRON	PER	herself
-1	2988	2988	PRON	PER	her
-1	2996	2996	PRON	PER	she
59	3001	3002	PROP	PER	King Charming
-1	3007	3007	PRON	PER	my
-1	3007	3008	NOM	PER	my daughter
-1	3012	3013	NOM	PER	the Fairy
-1	3016	3016	PRON	PER	I
-1	3018	3018	PRON	PER	we
-1	3024	3024	PRON	PER	us
-1	3026	3026	PRON	PER	He
56	3028	3028	PROP	PER	Fiordelisa
-1	3032	3032	PRON	PER	he
-1	3039	3039	PRON	PER	I
-1	3042	3042	PRON	PER	he
-1	3045	3045	PRON	PER	us
-1	3049	3050	NOM	PER	the King
-1	3054	3070	NOM	FAC	a splendid room with diamond walls , so clear that he could see the Fairy and Turritella
-1	3064	3064	PRON	PER	he
-1	3067	3068	NOM	PER	the Fairy
57	3070	3070	PROP	PER	Turritella
-1	3072	3072	PRON	PER	they
-1	3078	3078	PRON	PER	he
-1	3089	3089	PRON	PER	us
-1	3092	3092	PRON	PER	he
-1	3095	3095	PRON	PER	himself
-1	3100	3100	PRON	PER	our
-1	3100	3101	NOM	PER	our enemy
-1	3104	3104	PRON	PER	She
-1	3110	3110	PRON	PER	our
-1	3116	3116	PRON	PER	my
-1	3116	3117	NOM	PER	my lovely
56	3118	3118	PROP	PER	Fiordelisa
-1	3125	3125	PRON	PER	me
-1	3134	3134	PRON	PER	he
