COREF	start_token	end_token	prop	cat	text
-1	6	15	PROP	PER	Andrew Lang CONTENTS Preface The Shifty Lad The False Prince
-1	17	27	NOM	PER	the True The Jogi ’s Punishment The Heart of a Monkey
-1	28	60	NOM	PER	The Fairy Nurse A Lost Paradise How Brave Walter Hunted Wolves The King of the Waterfalls A French Puck The Three Crowns The Story of a Very Bad Boy The Brown Bear of
1	61	61	PROP	GPE	Norway
-1	62	75	NOM	PER	Little Lasse ‘ Moti ’ The Enchanted Deer A Fish Story The Wonderful Tune
-1	77	79	NOM	PER	The Rich Brother
-1	81	88	NOM	PER	the Poor Brother The One - Handed Girl
-1	89	113	NOM	FAC	The Bones of Djulung The Sea King ’s Gift The Raspberry Worm The Stones of Plouhinec The Castle of Kerglas The Battle of the Birds
-1	114	118	NOM	PER	The Lady of the Fountain
-1	120	129	NOM	GPE	The Four Gifts The Groac’h of the Isle of Lok
2	130	141	PROP	FAC	The Escape of the Mouse The Believing Husbands The Hoodie - Crow
113	133	141	PROP	PER	the Mouse The Believing Husbands The Hoodie - Crow
3	143	154	PROP	FAC	The Brownie of the Lake The Winning of Olwen The Shifty Lad
4	146	147	PROP	LOC	the Lake
114	151	154	PROP	PER	Olwen The Shifty Lad
-1	156	159	NOM	LOC	the land of Erin
5	159	159	PROP	GPE	Erin
-1	160	160	NOM	GPE	there
-1	164	170	NOM	PER	a widow who had an only son
-1	168	170	NOM	PER	an only son
-1	172	172	PRON	PER	He
-1	174	176	NOM	PER	a clever boy
-1	179	179	PRON	PER	she
-1	186	186	PRON	PER	him
-1	188	188	NOM	FAC	school
-1	195	195	PRON	PER	he
-1	202	202	PRON	PER	him
-1	207	207	PRON	PER	he
-1	217	217	PRON	PER	he
-1	219	219	PRON	PER	he
-1	230	230	PRON	PER	he
-1	234	235	NOM	PER	a thief
-1	238	238	PRON	PER	his
-1	238	239	NOM	PER	his mother
-1	244	244	PRON	PER	she
-1	250	250	PRON	PER	she
-1	256	256	PRON	PER	she
-1	260	260	PRON	PER	his
-1	262	262	PRON	PER	his
-1	265	265	PRON	PER	he
-1	279	279	PRON	PER	she
-1	286	286	NOM	PER	thieves
-1	290	293	NOM	FAC	the bridge of Dublin
6	293	293	PROP	GPE	Dublin
-1	297	297	PRON	PER	she
-1	299	299	PRON	PER	him
-1	305	305	PRON	PER	he
-1	308	308	PRON	PER	he
-1	316	316	PRON	PER	she
-1	320	320	NOM	FAC	church
-1	326	328	NOM	PER	a great preacher
-1	331	331	PRON	PER	she
-1	333	335	NOM	PER	the Shifty Lad
-1	338	339	NOM	PER	the neighbours
-1	341	341	PRON	PER	him
-1	345	345	PRON	PER	he
-1	351	351	PRON	PER	her
-1	354	354	PRON	PER	he
-1	360	360	PRON	PER	he
-1	371	371	PRON	PER	I
-1	374	374	PRON	PER	you
-1	381	381	PRON	PER	you
-1	385	385	PRON	PER	you
-1	389	389	NOM	FAC	church
-1	392	392	PRON	PER	my
-1	398	398	PRON	PER	my
-1	409	411	NOM	PER	the poor woman
-1	414	414	PRON	PER	her
-1	421	421	PRON	PER	she
-1	423	423	PRON	PER	him
114	427	429	PROP	PER	the Shifty Lad
-1	444	444	PRON	PER	he
-1	446	446	PRON	PER	himself
-1	458	458	PRON	PER	his
-1	458	459	NOM	PER	his mother
-1	458	461	NOM	FAC	his mother ’s house
-1	466	466	PRON	PER	she
