COREF	start_token	end_token	prop	cat	text
-1	5	18	PROP	PER	ANDREW LANG WITH EIGHT COLOURED PLATES AND WITH NUMEROUS ILLUSTRATIONS BY H. J. FORD
0	23	23	PRON	PER	my
-1	23	24	NOM	PER	my friend
11	28	30	PROP	PER	Mr. Charles Longman
0	33	33	PRON	PER	me
1	35	38	PROP	FAC	Le Cabinet des Fées
0	68	68	PRON	PER	I
-1	75	78	NOM	PER	an intimately domestic character
12	87	88	PROP	PER	Mr. Micawber
0	97	97	PRON	PER	my
0	123	123	PRON	PER	I
0	140	140	PRON	PER	I
-1	161	161	NOM	PER	fairies
-1	163	163	NOM	PER	witches
-1	165	167	NOM	PER	genii or Djinn
-1	169	169	NOM	PER	monsters
-1	173	176	NOM	PER	wicked step - mothers
-1	178	178	NOM	PER	princesses
-1	180	182	NOM	PER	pretty or plain
-1	184	184	NOM	PER	princes
-1	189	189	NOM	PER	giants
-1	191	191	NOM	PER	dwarfs
-1	202	202	NOM	PER	children
-1	218	218	PRON	PER	my
-1	221	224	NOM	PER	Little Red Riding Hood
-1	226	228	NOM	PER	The Sleeping Beauty
2	245	245	PROP	GPE	Paris
-1	249	250	NOM	PER	The author
13	252	254	PROP	PER	Monsieur Charles Perrault
-1	256	267	NOM	PER	a famous personage in a great perruque , who in his day
-1	266	266	PRON	PER	his
-1	274	274	PRON	PER	He
-1	278	278	PRON	PER	he
14	305	306	PROP	PER	Mr. Ford
-1	322	332	NOM	PER	authors who play cricket , because of the force with which
-1	333	333	PRON	PER	he
13	336	336	PROP	PER	Perrault
-1	343	351	NOM	PER	the nurse of his little boy used to tell
-1	346	346	PRON	PER	his
-1	346	348	NOM	PER	his little boy
-1	354	354	PRON	PER	he
-1	359	359	PRON	PER	his
-1	383	383	PRON	PER	they
15	398	400	PROP	PER	a Mr. Pote
-1	402	405	NOM	PER	a bookseller at Eton
3	405	405	PROP	GPE	Eton
-1	408	411	NOM	PER	the younger Eton boys
-1	417	417	PRON	PER	they
16	435	443	PROP	PER	Messire François de Salignac de la Motte - Fénelon
-1	445	463	NOM	PER	tutor of the children of France , Archbishop Duke of Cambrai , and Prince of the Holy Roman Empire
-1	447	450	NOM	PER	the children of France
4	450	450	PROP	GPE	France
-1	452	455	NOM	PER	Archbishop Duke of Cambrai
5	455	455	PROP	GPE	Cambrai
-1	458	463	NOM	PER	Prince of the Holy Roman Empire
-1	460	463	NOM	GPE	the Holy Roman Empire
13	468	468	PROP	PER	Perrault
-1	475	479	NOM	FAC	the court of Louis XIV
17	478	479	PROP	PER	Louis XIV
-1	486	486	PRON	PER	we
-1	493	494	NOM	PER	Court ladies
18	500	502	PROP	PER	Madame de Sévigné
13	506	506	PROP	PER	Perrault
18	512	513	PROP	PER	Madame d’Aulnoy
-1	515	522	NOM	PER	a wandering lady of more wit than reputation
-1	525	525	PRON	PER	her
-1	526	526	PRON	PER	we
19	528	528	PROP	PER	Beauty
20	537	538	PROP	PER	Anthony Hamilton
-1	540	540	PRON	PER	his
21	560	560	PROP	PER	Ram
-1	562	562	PRON	PER	my
-1	562	563	NOM	PER	my friend
-1	577	578	NOM	PER	the Ram
22	592	593	PROP	PER	Monsieur Galland
-1	595	595	NOM	PER	Nobody
22	604	604	PROP	PER	Galland
-1	606	606	PRON	PER	His
23	629	630	PROP	PER	Alexandre Dumas
-1	633	633	PRON	PER	his
24	639	639	PROP	PER	Homer
22	641	641	PROP	PER	Galland
-1	652	652	NOM	PER	nobody
-1	657	658	NOM	PER	the anthropologist
6	683	684	PROP	LOC	the Sea
-1	701	702	NOM	PER	industrious men
