COREF	start_token	end_token	prop	cat	text
57	6	7	PROP	PER	Andrew Lang
-1	14	18	NOM	LOC	the fields of Fairy Land
-1	17	18	NOM	GPE	Fairy Land
-1	19	19	PRON	PER	we
-1	57	61	NOM	PER	many of the old friends
-1	59	61	NOM	PER	the old friends
-1	77	78	NOM	PER	Madame d’Aulnoy
58	86	87	PROP	PER	Mrs. Hunt
1	89	90	PROP	LOC	the Norse
59	93	95	PROP	PER	Miss Minnie Wright
60	101	102	PROP	PER	Mrs. Lang
61	104	105	PROP	PER	Miss Bruce
62	112	114	PROP	PER	Miss May Sellar
63	116	117	PROP	PER	Miss Farquharson
64	120	121	PROP	PER	Miss Blackley
2	123	124	PROP	LOC	the German
-1	136	137	NOM	PER	the Editor
65	139	141	PROP	PER	Mr. William Morris
-1	152	153	NOM	PER	The Editor
-1	157	157	PRON	PER	his
-1	157	158	NOM	PER	his friend
66	160	162	PROP	PER	M. Charles Marelles
-1	168	168	PRON	PER	his
67	179	179	PROP	PER	Drakestail
68	185	187	PROP	PER	Little Golden Hood
69	194	196	PROP	PER	M. Henri Carnoy
70	215	217	PROP	PER	Lady Frances Balfour
71	226	226	PROP	PER	Jack
72	233	234	PROP	PER	Messrs. Smith
73	236	236	PROP	PER	Elder
74	244	245	PROP	PER	Mr. Ralston
-1	254	258	NOM	PER	THE TWELVE DANCING PRINCESSES I
-1	266	268	NOM	GPE	the village of
3	269	272	PROP	GPE	Montignies - sur -
4	273	273	PROP	GPE	Roc
-1	274	278	NOM	PER	a little cow - boy
-1	282	282	NOM	PER	father
-1	284	284	NOM	PER	mother
-1	286	286	PRON	PER	His
75	290	290	PROP	PER	Michael
-1	293	293	PRON	PER	he
-1	297	299	NOM	PER	the Star Gazer
-1	303	303	PRON	PER	he
-1	305	305	PRON	PER	his
-1	308	309	NOM	FAC	the commons
-1	315	315	PRON	PER	he
-1	319	319	PRON	PER	his
-1	330	330	PRON	PER	he
-1	345	345	PRON	PER	his
-1	348	350	NOM	PER	the village girls
-1	355	355	PRON	PER	him
76	360	361	PROP	PER	Star Gazer
-1	365	365	PRON	PER	you
75	370	370	PROP	PER	Michael
-1	383	383	PRON	PER	his
-1	391	391	PRON	PER	them
-1	396	396	PRON	PER	he
-1	398	398	PRON	PER	them
-1	403	403	PRON	PER	their
-1	409	409	PRON	PER	their
-1	414	414	PRON	PER	their
-1	418	418	PRON	PER	their
-1	422	422	PRON	PER	He
-1	428	429	NOM	LOC	the world
-1	432	452	NOM	PER	girls whose necks were white and whose hands were small , who were always dressed in the finest silks and laces
-1	457	457	NOM	PER	princesses
-1	461	461	PRON	PER	his
-1	461	462	NOM	PER	his companions
-1	476	476	PRON	PER	he
-1	479	479	PRON	PER	he
-1	485	486	NOM	PER	a princess
75	508	508	PROP	PER	Michael
-1	510	510	PRON	PER	his
-1	529	529	PRON	PER	he
-1	531	531	PRON	PER	he
-1	537	537	PRON	PER	him
-1	538	562	NOM	PER	a beautiful lady , dressed in a robe of cloth of gold , who said to him : ‘ Go to the castle of Beloeil
-1	554	554	PRON	PER	him
-1	559	562	NOM	LOC	the castle of Beloeil
5	562	562	PROP	GPE	Beloeil
-1	566	566	PRON	PER	you
-1	569	570	NOM	PER	a princess
-1	575	579	NOM	PER	the little cow - boy
-1	592	597	NOM	PER	the lady in the golden dress
-1	600	600	PRON	PER	his
-1	603	605	NOM	PER	the farm people
-1	613	613	PRON	PER	they
-1	617	619	NOM	PER	the Star Gazer
-1	628	628	PRON	PER	he
-1	638	639	NOM	PER	The lady
-1	642	642	PRON	PER	him
-1	653	656	NOM	LOC	the castle of Beloeil
5	656	656	PROP	GPE	Beloeil
-1	659	659	PRON	PER	you
-1	662	663	NOM	PER	a princess
75	669	669	PROP	PER	Michael
-1	671	671	PRON	PER	his
-1	671	672	NOM	PER	his friends
-1	674	674	PRON	PER	he
-1	683	683	PRON	PER	they
-1	687	687	PRON	PER	him
-1	697	697	PRON	PER	he
-1	700	700	PRON	PER	himself
-1	704	705	NOM	PER	the lady
-1	708	708	PRON	PER	me
-1	713	713	PRON	PER	I
-1	717	717	PRON	PER	she
-1	719	719	PRON	PER	me
-1	732	733	NOM	GPE	the village
-1	760	764	NOM	PER	the little cow - boy
-1	766	766	PRON	PER	his
-1	770	771	NOM	GPE	the byre
-1	773	774	NOM	PER	The farmer
-1	778	778	PRON	PER	him
-1	782	782	PRON	PER	he
-1	787	787	PRON	PER	I
-1	794	794	PRON	PER	his
-1	805	807	NOM	PER	all his friends
-1	806	806	PRON	PER	his
-1	815	815	PRON	PER	his
-1	824	825	NOM	GPE	the village
-1	829	833	NOM	LOC	the top of the hill
-1	832	833	NOM	LOC	the hill
-1	834	835	NOM	PER	the people
-1	838	838	PRON	PER	their
-1	844	844	PRON	PER	they
76	846	848	PROP	PER	the Star Gazer
-1	852	853	NOM	LOC	the valley
-1	855	855	PRON	PER	his
-1	861	861	PRON	PER	his
-1	869	869	NOM	PER	anyone
-1	888	904	NOM	FAC	the castle of Beloeil twelve princesses of wonderful beauty , and as proud as they were beautiful
5	891	891	PROP	PER	Beloeil
-1	892	896	NOM	PER	twelve princesses of wonderful beauty
-1	902	902	PRON	PER	they
-1	907	918	NOM	PER	who were besides so very sensitive and of such truly royal blood
-1	921	921	PRON	PER	they
-1	933	933	PRON	PER	their
-1	951	951	PRON	PER	they
-1	957	957	NOM	PER	princesses
-1	977	977	PRON	PER	They
-1	983	985	NOM	FAC	the same room
-1	997	997	PRON	PER	they
-1	1007	1007	PRON	PER	their
-1	1017	1017	PRON	PER	they
-1	1021	1021	PRON	PER	they
-1	1028	1028	PRON	PER	they
-1	1032	1032	PRON	PER	they
-1	1047	1048	NOM	FAC	the room
-1	1056	1056	PRON	PER	themselves
-1	1062	1065	NOM	PER	the Duke of Beloeil
-1	1084	1084	PRON	PER	his
-1	1084	1085	NOM	PER	his daughters
-1	1088	1088	PRON	PER	their
-1	1094	1094	PRON	PER	them
-1	1096	1096	PRON	PER	his
-1	1096	1097	NOM	PER	his wife
-1	1103	1106	NOM	PER	a number of princes
-1	1106	1106	NOM	PER	princes
-1	1109	1110	NOM	FAC	the castle
-1	1113	1113	PRON	PER	their
-1	1116	1116	PRON	PER	They
-1	1125	1126	NOM	PER	the princesses
-1	1133	1133	PRON	PER	they
-1	1139	1140	NOM	PER	no one
-1	1147	1147	PRON	PER	them
-1	1151	1151	PRON	PER	he
-1	1153	1154	NOM	FAC	the castle
75	1156	1156	PROP	PER	Michael
-1	1160	1161	NOM	PER	the gardener
-1	1164	1164	PRON	PER	his
-1	1171	1173	NOM	PER	the garden boy
-1	1182	1184	NOM	PER	the Star Gazer
-1	1191	1192	NOM	PER	the gardener
-1	1196	1196	PRON	PER	him
-1	1199	1199	PRON	PER	he
-1	1202	1202	PRON	PER	his
-1	1210	1211	NOM	PER	the princesses
-1	1216	1216	PRON	PER	he
-1	1222	1223	NOM	PER	the princesses
-1	1226	1226	PRON	PER	he
-1	1230	1231	NOM	PER	each one
75	1237	1237	PROP	PER	Michael
-1	1241	1241	PRON	PER	he
-1	1250	1250	PRON	PER	he
-1	1258	1258	PRON	PER	he
-1	1260	1260	PRON	PER	himself
-1	1265	1266	NOM	PER	the princesses
-1	1265	1268	NOM	FAC	the princesses ’ room
-1	1278	1278	PRON	PER	He
-1	1282	1285	NOM	PER	each of the sisters
-1	1284	1285	NOM	PER	the sisters
-1	1288	1288	PRON	PER	they
-1	1290	1290	PRON	PER	them
-1	1297	1298	NOM	PER	the lad
78	1301	1301	PROP	PER	Lina
-1	1307	1307	PRON	PER	her
-1	1316	1316	PRON	PER	him
-1	1326	1326	PRON	PER	he
-1	1329	1329	PRON	PER	our
-1	1329	1332	NOM	PER	our new flower boy
-1	1335	1337	NOM	PER	The rest all
-1	1343	1344	NOM	PER	the eldest
-1	1348	1349	NOM	PER	a princess
-1	1354	1354	PRON	PER	herself
-1	1358	1360	NOM	PER	a garden boy
75	1363	1363	PROP	PER	Michael
-1	1371	1373	NOM	PER	all the princes
78	1382	1384	PROP	PER	the Princess Lina
-1	1386	1386	PRON	PER	him
-1	1393	1393	PRON	PER	his
-1	1397	1397	PRON	PER	he
-1	1408	1408	PRON	PER	he
-1	1420	1421	NOM	FAC	the castle
-1	1425	1425	PRON	PER	his
79	1428	1429	PROP	PER	V Nevertheless
-1	1431	1433	NOM	PER	the Star Gazer
-1	1438	1443	NOM	PER	The lady in the golden dress
-1	1446	1446	PRON	PER	him
-1	1487	1487	PRON	PER	She
-1	1490	1490	PRON	PER	him
-1	1523	1523	PRON	PER	they
-1	1529	1532	NOM	PER	a girl of fifteen
-1	1538	1538	PRON	PER	them
-1	1542	1542	PRON	PER	My
-1	1550	1550	PRON	PER	I
-1	1553	1553	PRON	PER	you
-1	1559	1559	PRON	PER	I
-1	1562	1562	PRON	PER	you
-1	1568	1568	PRON	PER	I
-1	1571	1571	PRON	PER	you
-1	1580	1580	PRON	PER	you
-1	1590	1590	PRON	PER	you
75	1593	1593	PROP	PER	Michael
-1	1595	1600	NOM	PER	the lady in the golden dress
-1	1604	1604	PRON	PER	he
-1	1606	1606	PRON	PER	he
-1	1613	1613	PRON	PER	him
-1	1616	1616	PRON	PER	he
-1	1621	1621	PRON	PER	he
-1	1626	1627	NOM	PER	the lady
-1	1637	1637	PRON	PER	they
-1	1642	1645	NOM	PER	a girl of fifteen
-1	1646	1646	PRON	PER	he
-1	1654	1654	PRON	PER	My
-1	1663	1663	PRON	PER	I
-1	1666	1666	PRON	PER	thee
-1	1672	1672	PRON	PER	I
-1	1675	1675	PRON	PER	thee
-1	1681	1681	PRON	PER	I
-1	1684	1684	PRON	PER	thee
-1	1687	1687	PRON	PER	me
75	1707	1707	PROP	PER	Michael
-1	1712	1712	PRON	PER	his
-1	1722	1723	NOM	PER	the princesses
-1	1725	1725	NOM	FAC	upstairs
-1	1729	1729	PRON	PER	he
-1	1731	1731	PRON	PER	them
-1	1736	1736	PRON	PER	he
-1	1744	1744	PRON	PER	himself
-1	1761	1762	NOM	PER	The princesses
-1	1768	1768	PRON	PER	their
-1	1773	1773	PRON	PER	They
-1	1777	1777	PRON	PER	them
-1	1784	1784	PRON	PER	they
-1	1788	1788	PRON	PER	their
-1	1793	1793	PRON	PER	they
-1	1798	1798	PRON	PER	themselves
-1	1803	1803	PRON	PER	their
75	1806	1806	PROP	PER	Michael
-1	1811	1811	PRON	PER	his
-1	1817	1817	PRON	PER	he
-1	1823	1823	PRON	PER	he
-1	1826	1827	NOM	PER	the princesses
-1	1836	1837	NOM	PER	the eldest
-1	1844	1844	PRON	PER	my
-1	1844	1845	NOM	PER	my sisters
-1	1847	1847	PRON	PER	our
-1	1847	1848	NOM	PER	our partners
-1	1862	1864	NOM	PER	the Star Gazer
-1	1870	1870	PRON	PER	he
-1	1875	1877	NOM	PER	the twelve sisters
-1	1883	1883	PRON	PER	their
-1	1887	1887	PRON	PER	their
-1	1892	1892	PRON	PER	their
-1	1896	1896	PRON	PER	he
-1	1899	1899	PRON	PER	them
-1	1903	1903	PRON	PER	you
-1	1908	1909	NOM	PER	the eldest
-1	1916	1920	NOM	PER	the other eleven in chorus
-1	1923	1923	PRON	PER	they
-1	1925	1925	PRON	PER	their
-1	1931	1931	PRON	PER	her
-1	1934	1936	NOM	PER	the eldest Princess
-1	1938	1938	PRON	PER	her
-1	1949	1950	NOM	PER	the princesses
-1	1953	1955	NOM	FAC	a secret staircase
75	1958	1958	PROP	PER	Michael
-1	1961	1961	PRON	PER	them
-1	1964	1964	PRON	PER	he
78	1971	1973	PROP	PER	the Princess Lina
-1	1975	1975	PRON	PER	he
-1	1979	1979	PRON	PER	her
-1	1985	1985	NOM	PER	somebody
-1	1987	1987	PRON	PER	me
-1	1991	1992	NOM	PER	the Princess
-1	1995	1995	PRON	PER	they
-1	1998	1998	PRON	PER	my
-1	2003	2003	PRON	PER	You
-1	2009	2009	PRON	PER	her
-1	2009	2011	NOM	PER	her eldest sister
-1	2014	2014	PRON	PER	you
-1	2028	2028	PRON	PER	you
-1	2032	2032	PRON	PER	They
-1	2043	2043	PRON	PER	they
-1	2046	2047	NOM	FAC	a passage
-1	2063	2065	NOM	PER	The eldest Princess
-1	2070	2070	PRON	PER	they
-1	2072	2072	PRON	PER	themselves
-1	2075	2097	NOM	LOC	a lovely little wood , where the leaves were spangled with drops of silver which shone in the brilliant light of the moon
-1	2099	2099	PRON	PER	They
76	2127	2129	PROP	PER	the Star Gazer
-1	2131	2133	NOM	LOC	a large lake
-1	2140	2141	NOM	LOC	the lake
-1	2152	2153	NOM	PER	twelve princes
-1	2158	2158	PRON	PER	their
-1	2162	2163	NOM	PER	the princesses
-1	2165	2166	NOM	PER	Each princess
-1	2168	2171	NOM	FAC	one of the boats
-1	2170	2171	NOM	VEH	the boats
75	2174	2174	PROP	PER	Michael
-1	2180	2181	NOM	PER	the youngest
-1	2183	2184	NOM	VEH	The boats
78	2190	2190	PROP	PER	Lina
-1	2204	2204	PRON	PER	We
