COREF	start_token	end_token	prop	cat	text
-1	2	6	NOM	FAC	A House of Pomegranates Author
53	8	9	PROP	PER	Oscar Wilde
-1	10	13	NOM	FAC	A HOUSE OF POMEGRANATES
53	15	16	PROP	PER	OSCAR WILDE
54	35	35	PROP	PER	Methuen
55	97	97	PROP	PER	Jessie
-1	117	125	NOM	PER	THE YOUNG KING 1 THE BIRTHDAY OF THE INFANTA
-1	130	130	PRON	PER	HIS
-1	138	140	NOM	PER	THE YOUNG KING
56	142	144	PROP	PER	MARGARET LADY BROOKE
-1	146	149	NOM	PER	THE RANEE OF SARAWAK
-1	160	160	PRON	PER	his
-1	164	166	NOM	PER	the young King
-1	171	171	PRON	PER	his
-1	171	173	NOM	FAC	his beautiful chamber
-1	175	175	PRON	PER	His
-1	175	176	NOM	PER	His courtiers
-1	180	180	PRON	PER	their
-1	183	183	PRON	PER	him
-1	186	186	PRON	PER	their
-1	205	210	NOM	FAC	the Great Hall of the Palace
-1	209	210	NOM	FAC	the Palace
-1	219	222	NOM	PER	the Professor of Etiquette
-1	228	228	PRON	PER	them
-1	238	239	NOM	PER	a courtier
0	242	242	PRON	PER	I
-1	252	253	NOM	PER	The lad
-1	256	256	PRON	PER	he
-1	259	260	NOM	PER	a lad
-1	273	273	PRON	PER	their
-1	279	279	PRON	PER	himself
-1	292	292	PRON	PER	his
-1	314	324	NOM	PER	some young animal of the forest newly snared by the hunters
-1	318	319	NOM	LOC	the forest
-1	323	324	NOM	PER	the hunters
-1	337	337	PRON	PER	him
-1	341	341	PRON	PER	him
-1	355	355	PRON	PER	he
-1	361	379	NOM	PER	the poor goatherd who had brought him up , and whose son he had always fancied himself to be
-1	367	367	PRON	PER	him
-1	373	373	PRON	PER	he
-1	377	377	PRON	PER	himself
-1	381	389	NOM	PER	The child of the old King ’s only daughter
-1	384	386	NOM	PER	the old King
-1	398	398	PRON	PER	her
-1	402	403	NOM	PER	a stranger
-1	405	405	NOM	PER	some
-1	415	415	PRON	PER	his
-1	422	424	NOM	PER	the young Princess
-1	426	426	PRON	PER	him
-1	429	429	NOM	PER	others
-1	432	457	NOM	PER	an artist from Rimini , to whom the Princess had shown much , perhaps too much honour , and who had suddenly disappeared from the city
1	435	435	PROP	GPE	Rimini
-1	439	440	NOM	PER	the Princess
-1	456	457	NOM	GPE	the city
-1	460	460	PRON	PER	his
-1	463	464	NOM	FAC	the Cathedral
-1	467	467	PRON	PER	he
-1	480	480	PRON	PER	his
-1	480	481	NOM	PER	his mother
-1	486	486	PRON	PER	she
-1	495	497	NOM	PER	a common peasant
-1	499	499	PRON	PER	his
-1	499	500	NOM	PER	his wife
-1	505	508	NOM	PER	children of their own
-1	507	507	PRON	PER	their
-1	513	518	NOM	LOC	a remote part of the forest
-1	517	518	NOM	LOC	the forest
-1	527	528	NOM	GPE	the town
-1	537	539	NOM	PER	the court physician
-1	545	545	NOM	PER	some
-1	566	566	PRON	PER	her
-1	569	576	NOM	PER	the white girl who had given him birth
-1	575	575	PRON	PER	him
-1	580	591	NOM	PER	the trusty messenger who bare the child across his saddle - bow
-1	585	586	NOM	PER	the child
-1	588	588	PRON	PER	his
-1	594	594	PRON	PER	his
