COREF	start_token	end_token	prop	cat	text
0	0	2	PROP	PER	KNAVE AND FOOL
-1	4	5	NOM	PER	A Fool
-1	7	8	NOM	PER	a Knave
-1	12	12	NOM	FAC	house
-1	18	19	NOM	PER	a fool
-1	20	21	NOM	PER	the Fool
0	24	25	PROP	PER	The Knave
-1	33	34	NOM	PER	the Fool
-1	36	36	PRON	PER	himself
-1	43	53	NOM	PER	a companion who would supply his lack of mother - wit
-1	48	48	PRON	PER	his
-1	51	53	NOM	PER	mother - wit
-1	58	58	PRON	PER	them
-1	62	63	NOM	PER	the Knave
-1	66	66	PRON	PER	they
-1	70	70	PRON	PER	their
-1	87	87	PRON	PER	they
-1	90	91	NOM	PER	the Fool
0	105	106	PROP	PER	the Knave
-1	117	117	PRON	PER	they
-1	123	124	NOM	PER	the Fool
-1	143	144	NOM	FAC	the store
-1	148	149	NOM	PER	the Knave
-1	153	154	NOM	PER	the Fool
-1	167	168	NOM	PER	Dear friend
-1	172	172	PRON	PER	we
-1	179	179	PRON	PER	I
-1	194	195	NOM	PER	some thief
-1	199	199	PRON	PER	my
-1	203	203	PRON	PER	My
-1	210	210	PRON	PER	yours
-1	220	220	PRON	PER	I
-1	225	225	PRON	PER	my
-1	231	231	PRON	PER	I
-1	233	233	PRON	PER	our
-1	244	245	NOM	PER	dear friend
-1	260	260	PRON	PER	we
-1	269	269	PRON	PER	we
-1	280	280	PRON	PER	I
-1	282	282	PRON	PER	we
-1	289	289	PRON	PER	You
0	296	297	PROP	PER	the Knave
-1	307	307	PRON	PER	you
-1	317	318	NOM	PER	the Fool
-1	324	324	PRON	PER	I
-1	332	332	PRON	PER	I
-1	336	337	NOM	PER	the Knave
-1	342	342	PRON	PER	you
-1	361	361	PRON	PER	my
-1	366	367	NOM	PER	the Fool
-1	371	371	PRON	PER	mine
0	375	376	PROP	PER	the Knave
-1	382	382	PRON	PER	you
-1	384	385	NOM	PER	a handicraftsman
-1	388	388	PRON	PER	you
-1	393	393	NOM	PER	mason
-1	404	404	PRON	PER	I
-1	409	409	PRON	PER	I
-1	414	414	PRON	PER	I
