COREF	start_token	end_token	prop	cat	text
-1	2	5	NOM	FAC	A House of Pomegranates
22	8	14	PROP	PER	Oscar Wilde THE BIRTHDAY OF THE INFANTA
23	16	23	PROP	PER	MRS . WILLIAM H. GRENFELL OF TAPLOW COURT
24	25	26	PROP	PER	LADY DESBOROUGH
-1	33	34	NOM	PER	the Infanta
-1	36	36	PRON	PER	She
-1	51	55	NOM	FAC	the gardens of the palace
-1	54	55	NOM	FAC	the palace
-1	58	58	PRON	PER	she
-1	60	62	NOM	PER	a real Princess
-1	64	67	NOM	PER	the Infanta of Spain
0	67	67	PROP	GPE	Spain
-1	69	69	PRON	PER	she
-1	79	84	NOM	PER	the children of quite poor people
-1	82	84	NOM	PER	quite poor people
-1	96	98	NOM	GPE	the whole country
-1	100	100	PRON	PER	she
-1	128	128	PRON	PER	their
-1	135	135	NOM	PER	soldiers
-1	151	151	PRON	PER	We
-1	157	157	PRON	PER	you
-1	171	171	PRON	PER	their
-1	212	212	PRON	PER	their
-1	234	236	NOM	FAC	the dim arcades
-1	275	277	NOM	PER	The little Princess
-1	278	278	PRON	PER	herself
-1	283	284	NOM	FAC	the terrace
-1	286	286	PRON	PER	her
-1	286	287	NOM	PER	her companions
-1	310	310	PRON	PER	she
-1	317	321	NOM	PER	children of her own rank
-1	319	319	PRON	PER	her
-1	324	324	PRON	PER	she
-1	332	332	PRON	PER	her
-1	339	340	NOM	PER	the King
-1	345	345	PRON	PER	she
-1	349	363	NOM	PER	any of her young friends whom she liked to come and amuse themselves with her
-1	351	351	PRON	PER	her
-1	351	353	NOM	PER	her young friends
-1	355	355	PRON	PER	she
-1	361	361	PRON	PER	themselves
-1	363	363	PRON	PER	her
-1	371	374	NOM	PER	these slim Spanish children
-1	376	376	PRON	PER	they
-1	380	381	NOM	PER	the boys
-1	383	383	PRON	PER	their
-1	393	394	NOM	PER	the girls
-1	400	400	PRON	PER	their
-1	410	410	PRON	PER	their
-1	421	422	NOM	PER	the Infanta
-1	445	445	PRON	PER	Her
-1	485	485	PRON	PER	her
-1	488	488	PRON	PER	she
-1	495	495	PRON	PER	her
-1	502	502	PRON	PER	her
-1	516	516	PRON	PER	her
-1	521	521	PRON	PER	she
-1	532	533	NOM	FAC	the palace
-1	534	537	NOM	PER	the sad melancholy King
-1	539	539	PRON	PER	them
-1	542	542	PRON	PER	him
-1	544	544	PRON	PER	his
-1	544	545	NOM	PER	his brother
25	547	550	PROP	PER	Don Pedro of Aragon
-1	553	553	PRON	PER	he
-1	557	557	PRON	PER	his
-1	557	558	NOM	PER	his confessor
-1	560	564	NOM	PER	the Grand Inquisitor of Granada
1	564	564	PROP	GPE	Granada
-1	568	568	PRON	PER	his
-1	576	577	NOM	PER	the King
-1	581	581	PRON	PER	he
-1	584	585	NOM	PER	the Infanta
-1	591	593	NOM	PER	the assembling counters
-1	598	598	PRON	PER	her
-1	601	609	NOM	PER	the grim Duchess of Albuquerque who always accompanied her
-1	609	609	PRON	PER	her
-1	611	611	PRON	PER	he
-1	614	616	NOM	PER	the young Queen
-1	618	618	PRON	PER	her
-1	618	619	NOM	PER	her mother
-1	632	632	PRON	PER	him
-1	637	641	NOM	GPE	the gay country of France
2	641	641	PROP	GPE	France
-1	652	653	NOM	GPE	the Spanish
-1	664	664	PRON	PER	her
-1	664	665	NOM	PER	her child
-1	669	669	PRON	PER	she
-1	677	678	NOM	FAC	the orchard
-1	700	705	NOM	FAC	the now grass - grown courtyard
-1	711	711	PRON	PER	his
-1	714	714	PRON	PER	her
-1	716	716	PRON	PER	he
-1	725	725	PRON	PER	her
-1	727	727	PRON	PER	him
-1	729	729	PRON	PER	She
-1	734	736	NOM	PER	a Moorish physician
-1	747	747	PRON	PER	his
-1	763	763	NOM	PER	men
-1	767	769	NOM	FAC	the Holy Office
-1	772	772	PRON	PER	her
-1	782	788	NOM	FAC	the black marble chapel of the Palace
-1	787	788	NOM	FAC	the Palace
-1	792	793	NOM	PER	the monks
-1	796	796	PRON	PER	her
-1	811	812	NOM	PER	the King
-1	825	825	PRON	PER	his
-1	833	833	PRON	PER	her
0	859	859	PROP	GPE	Spain
-1	875	876	NOM	PER	a King
-1	878	878	PRON	PER	he
-1	898	898	PRON	PER	his
-1	909	909	PRON	PER	he
-1	913	913	PRON	PER	her
-1	917	917	PRON	PER	he
-1	920	920	PRON	PER	her
-1	923	926	NOM	FAC	the Castle of Fontainebleau
3	926	926	PROP	GPE	Fontainebleau
-1	929	929	PRON	PER	he
-1	938	938	PRON	PER	she
-1	942	942	PRON	PER	They
-1	951	953	NOM	PER	the Papal Nuncio
-1	958	960	NOM	PER	the French King
-1	962	964	NOM	PER	all the Court
-1	967	967	PRON	PER	he
-1	975	975	PRON	PER	him
-1	994	994	PRON	PER	his
-1	997	997	PRON	PER	he
-1	1000	1000	PRON	PER	his
-1	1000	1001	NOM	VEH	his carriage
4	1013	1013	PROP	GPE	Burgos
-1	1015	1024	NOM	GPE	a small town on the frontier between the two countries
-1	1022	1024	NOM	GPE	the two countries
5	1032	1032	PROP	GPE	Madrid
-1	1041	1045	NOM	FAC	the Church of La Atocha
6	1044	1045	PROP	FAC	La Atocha
-1	1063	1066	NOM	PER	nearly three hundred heretics
-1	1071	1072	NOM	PER	many Englishmen
-1	1087	1087	PRON	PER	he
-1	1090	1090	PRON	PER	her
-1	1102	1102	PRON	PER	his
-1	1102	1103	NOM	GPE	his country
7	1109	1109	PROP	GPE	England
-1	1114	1119	NOM	LOC	the empire of the New World
8	1117	1119	PROP	LOC	the New World
-1	1121	1121	PRON	PER	He
