COREF	start_token	end_token	prop	cat	text
4	3	5	PROP	PER	DRAGONS E. Nesbit
-1	7	10	NOM	PER	The Book of Beasts
-1	11	11	PRON	PER	He
-1	16	17	NOM	FAC	a Palace
-1	24	24	PRON	PER	he
5	34	34	PROP	PER	Nurse
-1	48	48	PRON	PER	You
-1	62	62	NOM	FAC	downstairs
6	65	65	PROP	PER	Lionel
-1	69	70	NOM	PER	the man
6	90	90	PROP	PER	Lionel
-1	96	96	PRON	PER	his
5	110	110	PROP	PER	Nurse
6	117	118	PROP	PER	Master Lionel
-1	120	120	NOM	PER	dear
-1	122	122	PRON	PER	they
-1	127	127	PRON	PER	you
-1	132	132	NOM	PER	King
-1	136	136	PRON	PER	she
-1	141	141	PRON	PER	his
-1	146	146	PRON	PER	his
-1	152	152	PRON	PER	his
-1	159	159	PRON	PER	she
6	163	163	PROP	PER	Lionel
-1	177	177	NOM	PER	Nurse
-1	183	183	PRON	PER	I
-1	186	186	PRON	PER	my
-1	198	198	PRON	PER	my
-1	216	216	PRON	PER	You
-1	222	222	PRON	PER	you
-1	231	232	NOM	PER	a King
5	236	236	PROP	PER	Nurse
5	240	240	PROP	PER	Nurse
6	246	246	PROP	PER	Lionel
-1	252	252	PRON	PER	his
-1	258	260	NOM	FAC	the drawing room
-1	263	268	NOM	PER	two very grave - looking gentlemen
-1	296	296	PRON	PER	They
6	300	300	PROP	PER	Lionel
-1	303	305	NOM	PER	the gravest one
-1	309	309	NOM	PER	Sire
-1	311	311	PRON	PER	your
-1	311	322	NOM	PER	your great - great - great - great - great - grandfather
-1	324	328	NOM	PER	the King of this country
-1	327	328	NOM	GPE	this country
-1	335	335	PRON	PER	you
-1	342	342	NOM	PER	King
-1	350	350	NOM	PER	sir
6	354	354	PROP	PER	Lionel
-1	364	364	PRON	PER	You
-1	373	386	NOM	PER	the grave gentleman who was not quite so grave - looking as the other
-1	390	390	PRON	PER	you
-1	392	392	PRON	PER	me
-1	395	395	NOM	PER	Nurse
-1	401	401	PRON	PER	you
-1	403	403	PRON	PER	me
-1	411	411	PRON	PER	I
-1	415	415	PRON	PER	my
6	425	425	PROP	PER	Lionel
-1	436	436	PRON	PER	Your
-1	436	437	NOM	PER	Your Nurse
-1	442	443	NOM	FAC	the Palace
-1	452	452	PRON	PER	your
-1	465	467	NOM	PER	The grave gentlemen
-1	472	477	NOM	VEH	a coach with eight white horses
-1	486	490	NOM	FAC	the house where Lionel lived
6	489	489	PROP	PER	Lionel
-1	492	492	PRON	FAC	It
-1	494	496	NOM	FAC	No . 7
-1	505	506	NOM	FAC	the street
-1	508	508	PRON	PER	you
6	512	512	PROP	PER	Lionel
-1	514	514	NOM	FAC	upstairs
-1	521	521	PRON	PER	he
5	523	523	PROP	PER	Nurse
-1	529	529	PRON	PER	you
-1	532	532	PRON	PER	me
-1	534	534	PRON	PER	I
-1	536	536	PRON	PER	I
-1	539	539	PRON	PER	you
-1	554	554	PRON	PER	me
-1	562	562	NOM	PER	Nurse
-1	570	570	NOM	PER	ducky
5	574	574	PROP	PER	Nurse
-1	578	581	NOM	PER	a good little King
-1	592	592	PRON	PER	you
-1	602	604	NOM	PER	the little girls
6	621	621	PROP	PER	Lionel
-1	625	626	NOM	PER	a King
-1	628	628	PRON	PER	He
-1	634	635	NOM	PER	a King
-1	639	639	PRON	PER	you
-1	649	649	PRON	PER	him
-1	654	654	PRON	PER	he
-1	664	665	NOM	VEH	the coach
-1	668	669	NOM	GPE	the town
-1	670	670	PRON	PER	he
-1	674	674	PRON	PER	his
-1	686	686	PRON	PER	his
-1	692	692	PRON	PER	he
-1	701	701	PRON	PER	he
-1	708	709	NOM	FAC	the nursery
-1	714	715	NOM	FAC	the streets
-1	727	727	NOM	PER	people
-1	736	737	NOM	PER	scarlet soldiers
-1	748	750	NOM	FAC	all the churches
-1	765	765	PRON	PER	their
-1	767	767	PRON	PER	he
-1	769	771	NOM	PER	thousands of people
6	777	777	PROP	PER	Lionel
-1	781	781	PRON	PER	our
-1	781	783	NOM	PER	our little King
-1	786	786	PRON	PER	He
-1	794	794	PRON	PER	he
-1	799	799	PRON	PER	his
-1	804	804	PRON	PER	he
-1	813	813	PRON	PER	he
-1	816	817	NOM	PER	a girl
-1	818	818	PRON	PER	he
-1	831	831	PRON	PER	they
-1	835	837	NOM	PER	the grave gentlemen
-1	841	842	NOM	PER	the Chancellor
-1	844	846	NOM	PER	the Prime Minister
6	852	852	PROP	PER	Lionel
-1	858	858	PRON	PER	I
-1	860	860	PRON	PER	we
-1	862	863	NOM	GPE	a Republic
6	867	867	PROP	PER	Lionel
-1	870	870	PRON	PER	I
-1	877	878	NOM	PER	a King
-1	885	885	NOM	PER	Sire
-1	887	887	PRON	PER	your
-1	887	898	NOM	PER	your great - great - great - great - great - grandfather
-1	903	903	PRON	PER	my
-1	903	904	NOM	PER	my grandfather
-1	906	908	NOM	PER	a little boy
-1	912	914	NOM	PER	the Prime Minister
-1	920	920	PRON	PER	your
-1	920	922	NOM	PER	your loyal people
-1	929	929	PRON	PER	you
-1	938	938	PRON	PER	you
-1	943	943	NOM	PER	people
-1	951	958	NOM	PER	those who have first - rate pocket money
-1	967	972	NOM	PER	those who have n't so much
-1	974	974	PRON	PER	You
-1	988	989	NOM	PER	the people
-1	996	996	PRON	PER	my
-1	996	1009	NOM	PER	my great - great - however - much - it - is - grandfather
-1	1018	1018	PRON	PER	he
-1	1032	1032	PRON	PER	he
-1	1048	1048	PRON	PER	He
-1	1050	1052	NOM	PER	a strange man
-1	1054	1057	NOM	PER	a very good King
-1	1058	1058	PRON	PER	he
-1	1062	1062	PRON	PER	he
-1	1064	1064	PRON	PER	his
-1	1067	1067	PRON	PER	he
-1	1075	1075	PRON	PER	his
-1	1078	1078	PRON	PER	he
-1	1087	1087	PRON	PER	he
-1	1098	1098	NOM	FAC	Here
-1	1099	1101	NOM	PER	the Prime Minister
-1	1110	1111	NOM	VEH	the carriage
6	1114	1114	PROP	PER	Lionel
-1	1119	1120	NOM	VEH	the carriage
-1	1133	1133	PRON	PER	you
6	1146	1146	PROP	PER	Lionel
-1	1160	1160	PRON	PER	his
-1	1173	1173	PRON	PER	he
-1	1186	1188	NOM	FAC	the Palace nursery
5	1190	1190	PROP	PER	Nurse
-1	1192	1192	NOM	FAC	there
-1	1237	1237	PRON	PER	you
6	1242	1242	PROP	PER	Lionel
-1	1246	1246	PRON	PER	I
-1	1248	1248	PRON	PER	I
-1	1255	1255	PRON	PER	you
-1	1257	1257	PRON	PER	me
5	1260	1260	PROP	PER	Nurse
-1	1265	1266	NOM	PER	the child
5	1270	1270	PROP	PER	Nurse
-1	1273	1273	PRON	PER	You
-1	1277	1277	PRON	PER	you
-1	1283	1283	PRON	PER	your
-1	1288	1289	NOM	PER	a King
-1	1298	1298	PRON	PER	your
-1	1300	1300	PRON	PER	yourself
6	1304	1304	PROP	PER	Lionel
-1	1308	1309	NOM	FAC	the library
-1	1311	1313	NOM	PER	The Prime Minister
-1	1315	1316	NOM	PER	the Chancellor
6	1322	1322	PROP	PER	Lionel
-1	1325	1325	PRON	PER	they
6	1335	1335	PROP	PER	Lionel
-1	1341	1341	PRON	PER	he
6	1349	1349	PROP	PER	Lionel
-1	1364	1364	PRON	PER	yours
-1	1368	1368	PRON	PER	They
-1	1370	1370	PRON	PER	yours
-1	1372	1372	PRON	PER	Your
-1	1372	1373	NOM	PER	Your Majesty
-1	1377	1378	NOM	PER	the Chancellor
-1	1381	1381	PRON	PER	They
-1	1386	1388	NOM	PER	the late King
-1	1390	1390	PRON	PER	your
-1	1398	1398	PRON	PER	I
6	1402	1402	PROP	PER	Lionel
-1	1408	1408	PRON	PER	I
-1	1414	1414	PRON	PER	I
-1	1419	1419	PRON	PER	I
-1	1423	1423	PRON	PER	I
-1	1431	1431	PRON	PER	I
-1	1436	1436	PRON	PER	Your
-1	1436	1437	NOM	PER	Your Majesty
-1	1441	1443	NOM	PER	the Prime Minister
-1	1446	1446	PRON	PER	I
-1	1453	1453	PRON	PER	Your
6	1461	1461	PROP	PER	Lionel
-1	1466	1466	PRON	PER	He
-1	1468	1471	NOM	PER	a very good King
-1	1478	1481	NOM	PER	a very superior King
-1	1483	1483	PRON	PER	his
-1	1487	1487	PRON	PER	he
7	1498	1498	PROP	PER	Mad
6	1502	1502	PROP	PER	Lionel
-1	1510	1511	NOM	PER	the gentlemen
-1	1522	1522	PRON	PER	I
-1	1528	1528	PRON	PER	he
-1	1539	1539	PRON	PER	I
-1	1543	1547	NOM	PER	a little King of mine
-1	1547	1547	PRON	PER	mine
-1	1554	1554	PRON	PER	his
6	1558	1558	PROP	PER	Lionel
-1	1568	1569	NOM	PER	the Chancellor
-1	1574	1574	PRON	PER	his
-1	1583	1583	PRON	PER	your
6	1592	1592	PROP	PER	Lionel
-1	1597	1598	NOM	PER	a wizard
-1	1603	1603	PRON	PER	he
-1	1613	1616	NOM	PER	a most worthy King
-1	1618	1618	PRON	PER	your
-1	1622	1622	PRON	PER	I
-1	1628	1628	PRON	PER	I
-1	1632	1632	PRON	PER	his
6	1643	1643	PROP	PER	Lionel
-1	1646	1646	PRON	PER	his
-1	1701	1701	PRON	PER	I
6	1709	1709	PROP	PER	Lionel
-1	1719	1719	PRON	PER	he
-1	1729	1730	NOM	PER	The Chancellor
-1	1737	1740	NOM	PER	a silly little King
6	1744	1744	PROP	PER	Lionel
-1	1753	1753	PRON	PER	he
6	1794	1794	PROP	PER	Lionel
-1	1806	1806	PRON	PER	he
-1	1840	1842	NOM	PER	the Prime Minister
-1	1847	1847	PRON	PER	he
-1	1859	1859	PRON	PER	his
-1	1865	1865	PRON	PER	him
-1	1878	1878	PRON	PER	he
-1	1882	1883	NOM	PER	the King
-1	1904	1904	PRON	PER	him
-1	1907	1907	PRON	PER	him
-1	1920	1921	NOM	PER	the King
-1	1932	1932	PRON	PER	his
-1	1949	1951	NOM	PER	the Prime Minister
-1	1957	1958	NOM	PER	the King
-1	1983	1984	NOM	PER	the Chancellor
-1	1986	1987	NOM	PER	the King
-1	1996	1996	PRON	PER	You
-1	1998	2003	NOM	PER	a naughty , disobedient little King
-1	2013	2013	PRON	PER	I
-1	2018	2018	PRON	PER	I
6	2026	2026	PROP	PER	Lionel
-1	2028	2028	PRON	PER	He
-1	2034	2035	NOM	PER	all boys
-1	2038	2038	PRON	PER	he
-1	2052	2053	NOM	PER	the Chancellor
-1	2061	2061	PRON	PER	you
-1	2073	2073	PRON	PER	you
-1	2094	2095	NOM	PER	a revolutionist
-1	2106	2106	PRON	PER	I
-1	2110	2110	PRON	PER	I
-1	2113	2113	PRON	PER	you
6	2117	2117	PROP	PER	Lionel
-1	2127	2127	NOM	PER	friends
-1	2131	2131	PRON	PER	he
-1	2133	2135	NOM	PER	the Prime Minister
-1	2138	2138	PRON	PER	they
-1	2151	2152	NOM	PER	the Chancellor
-1	2157	2157	PRON	PER	his
6	2162	2162	PROP	PER	Lionel
-1	2166	2166	PRON	PER	he
-1	2185	2185	PRON	PER	her
-1	2189	2189	PRON	PER	he
-1	2196	2197	NOM	FAC	the library
-1	2210	2210	PRON	PER	He
-1	2215	2216	NOM	FAC	the terrace
-1	2228	2228	PRON	PER	he
-1	2253	2253	PRON	PER	he
8	2278	2278	PROP	PER	Dragon
8	2281	2282	PROP	PER	The Dragon
-1	2288	2289	NOM	PER	the King
-1	2306	2306	PRON	PER	he
-1	2312	2312	PRON	PER	he
-1	2318	2319	NOM	FAC	the garden
-1	2323	2323	PRON	PER	he
-1	2381	2382	NOM	FAC	the garden
-1	2384	2386	NOM	LOC	the far hills
6	2389	2389	PROP	PER	Lionel
-1	2397	2397	PRON	PER	him
-1	2407	2410	NOM	LOC	the green palm tree
-1	2412	2414	NOM	LOC	the yellow desert
