COREF	start_token	end_token	prop	cat	text
-1	10	28	NOM	PER	a baker who had a very bad , violent temper , and whenever a batch of bread was spoiled
-1	29	29	PRON	PER	he
-1	37	37	PRON	PER	his
-1	37	38	NOM	PER	his wife
-1	40	40	NOM	PER	daughters
-1	45	45	PRON	PER	him
-1	53	53	PRON	PER	his
-1	61	61	PRON	PER	he
-1	68	68	PRON	PER	He
-1	95	111	NOM	PER	a tiny thin black man , no thicker than an eel , with long arms and legs
-1	116	116	PRON	PER	you
0	123	124	PROP	PER	Master Baker
-1	128	128	PRON	PER	he
-1	132	132	PRON	PER	you
-1	135	135	PRON	PER	me
-1	139	139	PRON	PER	your
-1	139	140	NOM	FAC	your oven
-1	141	141	PRON	PER	I
-1	148	148	PRON	PER	your
-1	157	157	PRON	PER	you
-1	174	174	PRON	PER	you
-1	177	177	PRON	PER	me
-1	181	181	PRON	PER	your
-1	181	182	NOM	FAC	your oven
-1	183	183	PRON	PER	I
-1	190	190	PRON	PER	your
-1	199	199	PRON	PER	you
-1	226	226	PRON	PER	you
-1	240	241	NOM	PER	the baker
-1	244	244	PRON	PER	I
-1	246	246	PRON	PER	my
-1	246	247	NOM	PER	my customers
-1	263	264	NOM	PER	the imp
-1	267	267	PRON	PER	they
-1	280	280	PRON	PER	them
-1	289	289	PRON	PER	you
-1	292	292	PRON	PER	you
-1	297	297	PRON	PER	yourself
-1	305	305	PRON	PER	them
-1	310	311	NOM	PER	the baker
-1	332	332	PRON	PER	they
-1	348	349	NOM	PER	the imp
-1	356	360	NOM	PER	all who eat it discontented
-1	363	363	PRON	PER	they
-1	366	366	PRON	PER	themselves
-1	370	370	PRON	PER	they
-1	381	381	PRON	PER	you
-1	386	386	PRON	PER	I
-1	388	388	PRON	PER	you
-1	390	390	PRON	PER	you
-1	396	396	PRON	PER	you
-1	405	406	NOM	PER	the baker
-1	409	411	NOM	PER	the little imp
-1	418	418	PRON	PER	himself
-1	425	426	NOM	PER	the baker
-1	431	431	PRON	PER	him
-1	436	436	PRON	PER	he
-1	446	446	PRON	PER	he
-1	454	454	PRON	PER	he
-1	466	466	PRON	PER	he
-1	484	485	NOM	PER	the baker
-1	492	498	NOM	PER	The first person who tasted the bread
-1	500	502	NOM	PER	the chief justice
-1	504	504	PRON	PER	He
-1	514	514	PRON	PER	he
-1	519	521	NOM	PER	an old aunt
-1	528	528	PRON	PER	him
-1	536	536	PRON	PER	he
-1	538	538	PRON	PER	his
-1	538	539	NOM	PER	his wife
-1	542	542	PRON	PER	his
-1	542	543	NOM	PER	his daughters
-1	550	550	PRON	PER	them
-1	552	552	PRON	PER	he
-1	557	557	PRON	PER	them
-1	559	559	PRON	PER	His
-1	559	561	NOM	PER	His old aunt
-1	564	564	PRON	PER	him
-1	569	569	PRON	PER	her
-1	574	574	PRON	PER	his
-1	574	575	NOM	PER	his wife
-1	577	577	PRON	PER	her
-1	583	583	PRON	PER	his
-1	583	584	NOM	PER	his daughters
-1	587	587	PRON	PER	him
-1	590	590	PRON	PER	him
-1	594	594	PRON	PER	him
-1	597	597	PRON	PER	them
-1	604	604	PRON	PER	they
-1	618	619	NOM	PER	the justice
-1	624	624	PRON	PER	his
-1	635	635	PRON	PER	he
-1	644	644	PRON	PER	I
-1	654	654	PRON	PER	he
-1	665	665	PRON	PER	his
-1	665	666	NOM	PER	his wife
-1	680	680	PRON	PER	I
-1	688	688	PRON	PER	you
-1	699	700	NOM	PER	the mayor
-1	731	731	NOM	PER	one
-1	779	779	PRON	PER	I
-1	801	801	PRON	PER	his
-1	801	802	NOM	PER	his wife
-1	808	808	PRON	PER	her
-1	813	813	PRON	PER	you
-1	825	825	PRON	PER	I
-1	836	836	PRON	PER	we
-1	841	841	PRON	PER	we
-1	857	857	NOM	PER	people
-1	859	859	PRON	PER	our
-1	871	871	PRON	PER	we
-1	883	883	PRON	PER	I
-1	887	887	PRON	PER	I
-1	896	896	PRON	PER	me
-1	900	900	PRON	PER	we
-1	913	914	NOM	PER	the daughters
-1	928	928	PRON	PER	us
-1	934	934	PRON	PER	you
-1	936	936	PRON	PER	we
-1	944	944	PRON	PER	ourselves
-1	947	947	PRON	PER	we
-1	951	951	PRON	PER	you
-1	957	957	PRON	PER	you
-1	962	962	PRON	PER	we
-1	981	981	PRON	PER	us
-1	985	985	PRON	PER	they
-1	1001	1001	PRON	PER	they
-1	1006	1006	PRON	PER	their
-1	1015	1021	NOM	PER	The next person to eat the bread
-1	1023	1025	NOM	PER	the village doctor
-1	1030	1030	PRON	PER	he
-1	1036	1042	NOM	PER	a man who had broken his leg
-1	1041	1041	PRON	PER	his
-1	1045	1045	PRON	PER	he
-1	1049	1049	PRON	PER	he
-1	1057	1057	PRON	PER	he
-1	1059	1059	PRON	PER	he
-1	1064	1064	PRON	PER	he
-1	1066	1066	NOM	FAC	home
-1	1068	1068	PRON	PER	his
-1	1068	1069	NOM	PER	his wife
-1	1076	1076	PRON	PER	he
-1	1081	1082	NOM	PER	The wife
-1	1086	1086	PRON	PER	her
-1	1090	1090	PRON	PER	she
-1	1096	1096	PRON	PER	her
-1	1096	1097	NOM	PER	her husband
-1	1103	1104	NOM	PER	the baker
-1	1112	1113	NOM	PER	dear husband
-1	1116	1116	PRON	PER	she
-1	1122	1122	PRON	PER	your
-1	1133	1133	PRON	PER	I
-1	1135	1135	PRON	PER	you
-1	1141	1141	PRON	PER	we
-1	1147	1149	NOM	PER	this poor man
-1	1163	1164	NOM	PER	the doctor
-1	1176	1176	PRON	PER	I
-1	1182	1182	PRON	PER	I
-1	1193	1193	PRON	PER	he
-1	1199	1199	PRON	PER	I
-1	1208	1208	PRON	PER	I
-1	1217	1218	NOM	PER	this man
-1	1224	1224	PRON	PER	his
-1	1228	1228	PRON	PER	him
-1	1235	1235	PRON	PER	he
-1	1240	1240	PRON	PER	he
-1	1243	1243	PRON	PER	his
-1	1254	1254	PRON	PER	I
-1	1259	1259	PRON	PER	him
-1	1263	1263	PRON	PER	I
-1	1266	1266	PRON	PER	he
-1	1277	1277	PRON	PER	him
-1	1279	1279	PRON	PER	I
-1	1285	1285	PRON	PER	him
-1	1294	1294	PRON	PER	his
-1	1294	1295	NOM	PER	his wife
-1	1302	1302	PRON	PER	you
-1	1305	1305	NOM	PER	husband
-1	1308	1308	PRON	PER	you
-1	1310	1311	NOM	PER	a doctor
-1	1317	1317	PRON	PER	your
-1	1321	1321	NOM	PER	people
-1	1325	1325	PRON	PER	you
-1	1328	1328	PRON	PER	you
-1	1336	1336	PRON	PER	I
-1	1338	1338	PRON	PER	I
-1	1341	1342	NOM	PER	a doctor
-1	1346	1347	NOM	PER	the husband
-1	1360	1363	NOM	PER	no doctors at all
-1	1367	1367	PRON	PER	he
-1	1374	1374	PRON	PER	his
-1	1374	1375	NOM	PER	his wife
-1	1381	1381	PRON	PER	him
-1	1384	1387	NOM	FAC	a pretty little cottage
-1	1389	1390	NOM	PER	the doctor
-1	1389	1392	NOM	FAC	the doctor 's house
-1	1394	1411	NOM	PER	a young couple , who were newly married , and were as happy as the day was long
-1	1413	1413	PRON	PER	Their
-1	1413	1414	NOM	FAC	Their cottage
-1	1427	1427	PRON	PER	they
-1	1430	1430	PRON	PER	their
-1	1437	1437	PRON	PER	they
-1	1446	1448	NOM	PER	the young wife
-1	1450	1450	PRON	PER	her
-1	1450	1451	NOM	PER	her husband
-1	1459	1459	PRON	PER	they
-1	1477	1478	NOM	PER	the husband
-1	1483	1483	PRON	PER	his
-1	1488	1488	PRON	PER	he
-1	1496	1496	PRON	PER	he
-1	1510	1510	PRON	PER	we
-1	1526	1526	PRON	PER	us
-1	1532	1532	PRON	PER	we
-1	1541	1541	PRON	PER	we
-1	1554	1554	PRON	PER	me
-1	1559	1560	NOM	PER	The wife
-1	1572	1572	PRON	PER	you
-1	1577	1577	PRON	PER	she
-1	1583	1583	PRON	PER	you
-1	1589	1589	PRON	PER	I
-1	1593	1593	PRON	PER	you
-1	1595	1595	PRON	PER	you
-1	1601	1601	PRON	PER	I
-1	1608	1608	PRON	PER	me
-1	1613	1619	NOM	PER	a man who wants to be unhappy
-1	1626	1626	PRON	PER	we
-1	1633	1634	NOM	PER	the husband
-1	1646	1646	PRON	PER	us
-1	1649	1649	PRON	PER	we
-1	1656	1656	PRON	PER	we
-1	1662	1662	PRON	PER	we
-1	1673	1673	PRON	PER	we
-1	1679	1679	PRON	PER	our
-1	1688	1688	PRON	PER	his
-1	1688	1689	NOM	PER	his wife
-1	1692	1692	PRON	PER	I
-1	1704	1711	NOM	PER	a husband who does not like being happy
-1	1713	1713	PRON	PER	I
-1	1715	1715	PRON	PER	I
-1	1718	1720	NOM	PER	some one else
-1	1725	1728	NOM	PER	no husband at all
-1	1732	1732	NOM	PER	both
-1	1745	1745	NOM	PER	both
-1	1755	1756	NOM	GPE	the village
-1	1758	1765	NOM	FAC	a large pleasant farmhouse , standing amongst fields
-1	1768	1769	NOM	PER	the farmer
-1	1771	1775	NOM	PER	a hale , bright man
-1	1778	1780	NOM	PER	a good wife
-1	1782	1783	NOM	PER	pretty children
-1	1785	1785	PRON	PER	He
-1	1802	1802	PRON	PER	he
-1	1805	1805	PRON	PER	his
-1	1805	1806	NOM	PER	his men
-1	1809	1809	PRON	PER	them
-1	1811	1811	PRON	PER	they
-1	1814	1815	NOM	LOC	the fields
-1	1817	1817	PRON	PER	He
-1	1833	1833	PRON	PER	his
-1	1833	1834	NOM	PER	his wife
-1	1839	1839	PRON	PER	him
-1	1843	1844	NOM	PER	the baker
-1	1850	1850	PRON	PER	he
-1	1861	1861	PRON	PER	he
-1	1864	1864	PRON	PER	he
-1	1868	1869	NOM	FAC	the farmhouse
-1	1878	1878	PRON	FAC	it
-1	1880	1887	NOM	FAC	the largest farm in all the country round
-1	1885	1886	NOM	GPE	the country
-1	1891	1891	PRON	FAC	it
-1	1895	1895	PRON	PER	his
-1	1895	1896	NOM	PER	his father
-1	1899	1899	PRON	PER	his
-1	1899	1900	NOM	PER	his grandfather
-1	1903	1903	PRON	PER	his
-1	1903	1906	NOM	PER	his great - grandfather
-1	1909	1909	PRON	PER	him
-1	1914	1917	NOM	FAC	a fine old house
-1	1924	1924	PRON	PER	he
-1	1927	1927	PRON	PER	he
-1	1949	1949	PRON	PER	he
-1	1954	1954	PRON	PER	his
-1	1961	1961	PRON	PER	I
-1	1971	1971	PRON	PER	me
-1	1976	1976	PRON	PER	he
-1	1979	1979	PRON	PER	himself
-1	2006	2006	PRON	FAC	it
-1	2028	2028	PRON	PER	my
-1	2028	2031	NOM	PER	my great - grandfather
-1	2033	2033	PRON	FAC	it
-1	2034	2034	PRON	PER	he
-1	2043	2044	NOM	PER	all men
-1	2049	2049	PRON	PER	he
-1	2054	2054	PRON	PER	his
-1	2054	2055	NOM	FAC	his house
-1	2062	2062	PRON	PER	he
-1	2066	2067	NOM	FAC	the kitchen
-1	2068	2069	NOM	PER	the farmer
-1	2068	2071	NOM	PER	the farmer 's wife
-1	2091	2091	PRON	PER	she
-1	2107	2107	PRON	PER	she
-1	2112	2112	PRON	PER	she
-1	2116	2116	PRON	PER	her
-1	2116	2118	NOM	PER	her eldest girl
1	2122	2122	PROP	PER	Janey
2	2124	2124	PROP	PER	Jimmy
-1	2132	2132	NOM	FAC	school
-1	2135	2135	PRON	PER	Our
-1	2135	2136	NOM	PER	Our baker
-1	2145	2145	PRON	PER	she
-1	2154	2154	PRON	PER	my
-1	2159	2159	PRON	PER	she
-1	2164	2164	PRON	PER	she
-1	2166	2166	PRON	PER	her
-1	2166	2168	NOM	PER	her two children
-1	2171	2172	NOM	LOC	the fields
-1	2177	2177	PRON	PER	they
-1	2182	2182	PRON	PER	she
-1	2187	2187	PRON	PER	they
-1	2191	2191	PRON	PER	I
-1	2198	2198	PRON	PER	them
-1	2200	2200	PRON	PER	I
1	2209	2209	PROP	PER	Janey
2	2211	2211	PROP	PER	Jimmy
1	2223	2223	PROP	PER	Janey
-1	2225	2226	NOM	PER	the eldest
2	2234	2234	PROP	PER	Jimmy
-1	2238	2238	PRON	PER	she
-1	2246	2247	NOM	PER	the sister
-1	2252	2253	NOM	PER	the brother
-1	2258	2258	PRON	PER	he
-1	2260	2260	PRON	PER	her
-1	2264	2264	PRON	PER	she
-1	2266	2266	PRON	PER	his
-1	2276	2276	PRON	PER	he
-1	2281	2281	PRON	PER	her
-1	2285	2285	PRON	PER	her
-1	2293	2293	PRON	PER	she
-1	2298	2298	PRON	PER	him
-1	2301	2301	NOM	PER	boys
-1	2306	2306	PRON	PER	their
-1	2306	2307	NOM	PER	their sisters
-1	2309	2309	PRON	PER	I
-1	2313	2313	PRON	PER	I
-1	2319	2320	NOM	PER	any children
-1	2329	2329	PRON	PER	her
-1	2334	2334	PRON	PER	her
-1	2334	2335	NOM	PER	her girl
-1	2337	2337	NOM	PER	boy
-1	2341	2341	PRON	PER	her
-1	2343	2343	PRON	PER	her
-1	2350	2350	PRON	PER	she
-1	2358	2358	PRON	PER	them
-1	2366	2367	NOM	GPE	the village
-1	2369	2370	NOM	PER	Each one
-1	2372	2372	PRON	PER	he
-1	2384	2386	NOM	PER	all the people
-1	2400	2401	NOM	PER	the baker
-1	2402	2402	PRON	PER	himself
-1	2411	2411	PRON	PER	he
-1	2413	2413	PRON	PER	his
-1	2420	2420	PRON	PER	his
-1	2420	2421	NOM	PER	his customers
-1	2428	2428	PRON	PER	his
-1	2440	2440	PRON	PER	he
-1	2448	2448	PRON	PER	he
-1	2457	2459	NOM	PER	the other people
-1	2464	2464	PRON	PER	himself
-1	2466	2466	PRON	PER	he
-1	2468	2468	PRON	PER	them
-1	2477	2480	NOM	PER	the dark little elf
-1	2485	2485	PRON	PER	he
-1	2494	2494	PRON	PER	himself
-1	2496	2497	NOM	PER	the doctor
-1	2504	2504	PRON	PER	him
-1	2511	2511	PRON	PER	you
-1	2518	2518	PRON	PER	he
-1	2522	2522	PRON	PER	I
-1	2524	2524	NOM	PER	one
-1	2528	2528	PRON	PER	you
-1	2533	2534	NOM	PER	a man
-1	2542	2542	PRON	PER	I
-1	2547	2548	NOM	PER	the baker
-1	2553	2553	PRON	PER	I
-1	2557	2557	PRON	PER	you
-1	2561	2561	PRON	PER	you
-1	2566	2566	PRON	PER	you
-1	2573	2573	PRON	PER	me
-1	2575	2575	NOM	PER	forsooth
-1	2579	2580	NOM	PER	the doctor
-1	2588	2588	PRON	PER	you
-1	2590	2590	PRON	PER	me
-1	2595	2595	PRON	PER	I
-1	2597	2597	PRON	PER	you
-1	2602	2602	PRON	PER	my
-1	2602	2604	NOM	PER	my fine fellow
-1	2606	2606	PRON	PER	I
-1	2608	2608	PRON	PER	you
-1	2615	2615	PRON	PER	I
-1	2620	2620	PRON	PER	your
-1	2622	2622	PRON	PER	I
-1	2625	2625	PRON	PER	my
-1	2629	2629	PRON	PER	you
-1	2641	2642	NOM	PER	one man
-1	2648	2648	NOM	PER	another
-1	2650	2650	PRON	PER	he
-1	2662	2662	PRON	PER	you
-1	2672	2672	PRON	PER	you
-1	2678	2678	PRON	PER	I
-1	2684	2685	NOM	PER	the baker
-1	2688	2688	PRON	PER	he
-1	2695	2696	NOM	PER	the doctor
-1	2701	2701	PRON	PER	he
-1	2707	2708	NOM	PER	the baker
-1	2712	2713	NOM	PER	the farmer
-1	2720	2721	NOM	GPE	a village
-1	2726	2726	PRON	PER	he
-1	2735	2736	NOM	PER	any one
-1	2764	2765	NOM	PER	the doctor
-1	2770	2771	NOM	PER	a fellow
-1	2775	2775	PRON	PER	me
-1	2776	2776	PRON	PER	I
-1	2784	2784	PRON	PER	he
-1	2795	2796	NOM	PER	the farmer
-1	2799	2799	PRON	PER	he
-1	2807	2807	PRON	PER	he
3	2835	2836	PROP	PER	Master Farmer
-1	2840	2841	NOM	PER	the baker
-1	2845	2845	PRON	PER	you
-1	2854	2854	PRON	PER	you
-1	2864	2864	PRON	PER	I
-1	2866	2866	PRON	PER	you
-1	2878	2879	NOM	PER	the farmer
-1	2897	2897	PRON	PER	You
0	2906	2907	PROP	PER	Master Baker
-1	2910	2910	PRON	PER	I
-1	2915	2915	PRON	PER	you
-1	2919	2919	PRON	PER	we
-1	2921	2921	PRON	PER	you
4	2923	2924	PROP	PER	the Justice
-1	2927	2927	PRON	PER	us
-1	2930	2930	PRON	PER	he
-1	2933	2933	PRON	PER	your
-1	2942	2943	NOM	PER	the baker
-1	2953	2953	PRON	PER	I
-1	2956	2956	PRON	PER	I
4	2962	2963	PROP	PER	the Justice
-1	2969	2969	PRON	PER	you
-1	2976	2977	NOM	PER	the doctor
-1	2980	2980	PRON	PER	We
-1	2984	2985	NOM	PER	the Justice
-1	2996	2996	PRON	PER	they
-1	2998	2999	NOM	PER	the baker
-1	3002	3002	PRON	PER	him
-1	3007	3007	PRON	PER	himself
-1	3011	3011	PRON	PER	they
-1	3013	3013	PRON	PER	him
-1	3015	3016	NOM	GPE	the village
-1	3017	3018	NOM	PER	the people
-1	3021	3021	PRON	PER	them
-1	3029	3031	NOM	PER	a large crowd
4	3033	3034	PROP	PER	The Justice
-1	3037	3037	PRON	PER	his
