COREF	start_token	end_token	prop	cat	text
7	3	6	PROP	PER	DRAGONS E. Nesbit III
-1	8	12	NOM	PER	The Deliverers of Their Country
-1	11	11	PRON	PER	Their
-1	11	12	NOM	LOC	Their Country
8	17	17	PROP	PER	Effie
-1	22	22	PRON	PER	her
8	57	57	PROP	PER	Effie
-1	69	69	PRON	PER	your
-1	76	76	PRON	PER	your
-1	80	80	PRON	PER	your
-1	85	85	PRON	PER	she
-1	88	88	PRON	PER	her
-1	88	89	NOM	PER	her father
-1	95	95	PRON	PER	her
8	100	100	PROP	PER	Effie
-1	100	102	NOM	PER	Effie 's father
-1	104	105	NOM	PER	a doctor
-1	110	110	PRON	PER	he
-1	120	120	PRON	PER	he
-1	135	135	PRON	PER	he
-1	142	142	PRON	PER	he
8	152	152	PROP	PER	Effie
-1	158	158	PRON	PER	her
-1	163	163	PRON	PER	her
-1	163	164	NOM	PER	her father
-1	184	184	PRON	PER	He
8	192	192	PROP	PER	Effie
-1	195	195	PRON	PER	her
-1	198	198	PRON	PER	her
-1	205	205	PRON	PER	I
-1	214	214	NOM	PER	People
-1	219	219	PRON	PER	they
-1	224	224	PRON	PER	their
-1	238	239	NOM	PER	the doctor
8	256	256	PROP	PER	Effie
-1	260	260	PRON	PER	her
-1	260	261	NOM	PER	her father
-1	267	267	PRON	PER	she
-1	273	273	PRON	PER	She
-1	280	281	NOM	PER	The doctor
-1	288	289	NOM	FAC	the room
-1	298	298	PRON	PER	his
-1	302	302	PRON	PER	he
-1	322	322	PRON	PER	me
-1	325	325	PRON	PER	he
-1	331	331	NOM	PER	dear
-1	332	332	PRON	PER	me
-1	372	372	PRON	PER	his
-1	383	383	PRON	PER	he
8	400	400	PROP	PER	Effie
-1	405	406	NOM	PER	the professor
-1	409	409	PRON	PER	him
-1	424	424	PRON	PER	You
-1	427	427	PRON	PER	me
9	430	430	PROP	PER	Daddy
8	434	434	PROP	PER	Effie
-1	438	438	PRON	PER	I
-1	441	441	PRON	PER	you
-1	446	446	PRON	PER	I
-1	453	453	PRON	PER	my
-1	457	457	PRON	PER	my
-1	465	466	NOM	PER	The doctor
-1	475	475	PRON	PER	he
8	477	477	PROP	PER	Effie
-1	483	484	NOM	PER	the professor
-1	488	488	PRON	PER	He
-1	494	494	PRON	PER	he
-1	496	497	NOM	PER	the doctor
8	518	518	PROP	PER	Effie
8	529	529	PROP	PER	Effie
-1	529	531	NOM	PER	Effie 's brother
10	532	532	PROP	PER	Harry
-1	537	537	PRON	PER	his
-1	541	541	PRON	PER	he
-1	549	549	PRON	PER	He
10	604	604	PROP	PER	Harry
-1	617	618	NOM	PER	The professor
-1	622	623	NOM	PER	the doctor
-1	630	630	PRON	PER	I
-1	633	633	PRON	PER	you
10	640	640	PROP	PER	Harry
-1	642	642	PRON	PER	my
-1	642	643	NOM	PER	my lad
-1	646	646	PRON	PER	he
-1	655	655	PRON	PER	he
-1	661	661	PRON	PER	his
-1	665	665	PRON	PER	It
-1	672	672	PRON	PER	he
-1	679	679	PRON	PER	yours
-1	681	681	NOM	PER	Doctor
-1	703	704	NOM	PER	the doctor
-1	706	707	NOM	PER	the professor
-1	714	714	PRON	PER	they
-1	737	740	NOM	PER	the knife - boy
-1	743	744	NOM	PER	the doctor
-1	748	748	PRON	PER	he
-1	764	764	PRON	PER	he
8	794	794	PROP	PER	Effie
-1	797	797	PRON	PER	I
-1	803	803	PRON	PER	It
11	810	811	PROP	PER	St. George
8	816	816	PROP	PER	Effie
12	822	822	PROP	PER	Towser
-1	826	827	NOM	FAC	the garden
-1	839	839	PRON	PER	he
-1	866	867	NOM	LOC	the country
-1	874	874	PRON	PER	them
-1	882	883	NOM	PER	no one
-1	923	924	NOM	GPE	the country
-1	939	939	PRON	PER	you
-1	943	943	PRON	PER	them
-1	952	952	PRON	PER	They
-1	961	961	PRON	PER	They
-1	968	968	PRON	PER	they
-1	1002	1002	NOM	VEH	bicycles
-1	1004	1004	PRON	PER	They
-1	1023	1023	PRON	PER	they
-1	1028	1034	NOM	PER	the editor of the _ Standard _
-1	1042	1045	NOM	PER	a very large one
-1	1049	1052	NOM	PER	the other newspaper people
-1	1059	1059	PRON	PER	them
-1	1061	1061	PRON	PER	they
-1	1073	1074	NOM	FAC	the Zoo
-1	1109	1110	NOM	FAC	the zoo
-1	1123	1123	PRON	PER	You
-1	1152	1152	PRON	PER	you
-1	1157	1158	NOM	PER	the dragons
-1	1165	1165	PRON	PER	they
-1	1174	1174	PRON	PER	you
-1	1184	1184	PRON	PER	you
-1	1189	1191	NOM	PER	the big ones
-1	1202	1207	NOM	PER	The ones as big as earwigs
-1	1214	1214	PRON	PER	they
-1	1254	1255	NOM	PER	careless people
-1	1273	1273	NOM	FAC	workbaskets
-1	1279	1279	PRON	PER	you
-1	1281	1281	PRON	PER	you
-1	1306	1306	PRON	PER	you
-1	1314	1314	PRON	PER	they
-1	1324	1324	PRON	PER	your
-1	1328	1328	PRON	PER	you
-1	1332	1332	PRON	PER	them
-1	1334	1334	PRON	PER	you
-1	1345	1348	NOM	PER	The ones this size
-1	1352	1352	NOM	PER	people
-1	1358	1358	PRON	PER	they
-1	1370	1372	NOM	ORG	the County Council
-1	1374	1375	NOM	PER	the police
-1	1391	1392	NOM	PER	the Princess
-1	1394	1398	NOM	PER	anyone who killed a dragon
-1	1417	1418	NOM	PER	one Princess
-1	1428	1428	NOM	PER	Princesses
-1	1431	1433	NOM	PER	the Royal Family
-1	1450	1450	NOM	PER	Princesses
-1	1459	1459	NOM	PER	everybody
-1	1465	1465	PRON	PER	they
-1	1470	1470	PRON	PER	their
1	1490	1492	PROP	ORG	The County Council
-1	1500	1500	PRON	PER	their
-1	1500	1501	NOM	FAC	their offices
-1	1534	1542	NOM	FAC	the street where the County Council had their offices
-1	1537	1539	NOM	ORG	the County Council
-1	1541	1541	PRON	PER	their
-1	1541	1542	NOM	FAC	their offices
-1	1544	1544	NOM	PER	Boys
-1	1552	1552	NOM	PER	children
-1	1552	1559	NOM	PER	children on their way home from morning school
-1	1554	1554	PRON	PER	their
-1	1556	1556	NOM	FAC	home
-1	1558	1559	NOM	FAC	morning school
-1	1572	1572	PRON	PER	they
-1	1576	1576	PRON	PER	their
-1	1582	1582	PRON	PER	their
-1	1600	1601	NOM	PER	the police
-1	1619	1620	NOM	FAC	these towers
-1	1622	1622	PRON	PER	they
-1	1636	1637	NOM	FAC	the kitchen
-1	1641	1642	NOM	FAC	the towers
-1	1650	1652	NOM	PER	the police inspector
-1	1658	1659	NOM	FAC	the towers
-1	1680	1681	NOM	FAC	The shops
-1	1738	1738	PRON	PER	you
-1	1741	1741	PRON	PER	they
-1	1747	1749	NOM	PER	The largest kind
-1	1775	1776	NOM	LOC	the valley
-1	1787	1787	PRON	PER	they
-1	1802	1804	NOM	PER	servants in livery
-1	1815	1815	PRON	PER	them
2	1822	1823	PROP	FAC	Lambeth Infirmary
8	1831	1831	PROP	PER	Effie
-1	1841	1841	PRON	PER	your
-1	1841	1843	NOM	FAC	your dining room
-1	1849	1850	NOM	PER	little girls
-1	1852	1852	NOM	PER	boys
8	1856	1856	PROP	PER	Effie
-1	1858	1858	PRON	PER	her
-1	1858	1859	NOM	PER	her brother
-1	1867	1867	PRON	PER	their
-1	1889	1890	NOM	FAC	the garden
13	1903	1903	PROP	PER	Mother
-1	1907	1907	PRON	PER	they
-1	1917	1917	PRON	PER	my
-1	1917	1918	NOM	PER	my darlings
-1	1933	1933	PRON	PER	You
-1	1944	1944	PRON	PER	You
-1	1953	1953	PRON	PER	you
-1	1960	1960	PRON	PER	they
-1	1968	1968	PRON	PER	They
-1	1978	1979	NOM	FAC	the fields
-1	2003	2003	PRON	PER	they
-1	2012	2012	PRON	PER	they
-1	2019	2024	NOM	FAC	the electric lamp - lighted garden
-1	2033	2033	PRON	PER	they
-1	2055	2055	PRON	PER	they
-1	2065	2065	PRON	PER	they
-1	2072	2072	PRON	PER	they
-1	2078	2078	PRON	PER	their
-1	2078	2079	NOM	PER	their mother
-1	2084	2084	PRON	PER	their
-1	2084	2085	NOM	PER	their mother
-1	2097	2098	NOM	FAC	the cellars
-1	2101	2101	PRON	PER	their
-1	2101	2102	NOM	PER	their father
-1	2108	2110	NOM	PER	the boot boy
-1	2117	2132	NOM	PER	one of the dragons who liked to eat Prime Ministers when they were to be had
14	2125	2126	PROP	PER	Prime Ministers
-1	2128	2128	PRON	PER	they
-1	2135	2135	NOM	PER	nobody
-1	2140	2141	NOM	PER	the children
10	2161	2161	PROP	PER	Harry
-1	2173	2173	PRON	PER	I
-1	2177	2177	PRON	PER	we
-1	2183	2183	PRON	PER	I
-1	2188	2188	PRON	PER	we
-1	2198	2198	PRON	PER	we
8	2204	2204	PROP	PER	Effie
-1	2207	2207	PRON	PER	We
11	2211	2212	PROP	PER	St. George
10	2219	2219	PROP	PER	Harry
-1	2222	2222	PRON	PER	He
-1	2224	2235	NOM	PER	the only person in his town who knew how to manage dragons
-1	2228	2228	PRON	PER	his
-1	2228	2229	NOM	GPE	his town
-1	2237	2242	NOM	PER	the people in the fairy tales
11	2248	2249	PROP	PER	St. George
-1	2251	2253	NOM	PER	a real person
-1	2256	2256	PRON	PER	he
-1	2262	2262	PRON	PER	he
-1	2271	2271	NOM	PER	nobody
11	2274	2275	PROP	PER	St. George
-1	2278	2278	PRON	PER	I
-1	2280	2280	NOM	PER	father
-1	2286	2286	PRON	PER	We
8	2291	2291	PROP	PER	Effie
-1	2296	2296	PRON	PER	we
-1	2302	2302	PRON	PER	you
15	2305	2305	PROP	PER	Ef
-1	2313	2313	PRON	PER	we
-1	2316	2316	PRON	PER	him
-1	2318	2318	PRON	PER	You
-1	2322	2322	NOM	PER	people
-1	2324	2324	PRON	PER	you
-1	2329	2329	PRON	PER	them
-1	2332	2332	PRON	PER	you
8	2335	2335	PROP	PER	Effie
-1	2342	2342	PRON	PER	they
11	2344	2345	PROP	GPE	St. George
-1	2348	2348	PRON	PER	We
10	2356	2356	PROP	PER	Harry
-1	2360	2360	PRON	PER	You
-1	2375	2375	PRON	PER	I
-1	2378	2378	PRON	PER	myself
8	2389	2389	PROP	PER	Effie
-1	2391	2391	PRON	PER	her
10	2403	2403	PROP	PER	Harry
-1	2405	2405	PRON	PER	I
-1	2408	2408	PRON	PER	we
11	2411	2412	PROP	FAC	St. George
5	2415	2418	PROP	FAC	St. George 's Church
10	2429	2429	PROP	PER	Harry
-1	2432	2432	PRON	PER	he
-1	2438	2438	PRON	PER	himself
-1	2441	2441	PRON	PER	you
-1	2449	2450	NOM	PER	a girl
-1	2473	2473	NOM	PER	everybody
-1	2480	2482	NOM	PER	the two children
8	2488	2488	PROP	PER	Effie
-1	2490	2490	PRON	PER	herself
10	2508	2508	PROP	PER	Harry
-1	2514	2514	PRON	PER	himself
-1	2526	2526	NOM	PER	infants
-1	2528	2528	NOM	PER	invalids
-1	2531	2531	PRON	PER	he
-1	2537	2537	PRON	PER	they
5	2546	2549	PROP	FAC	St. George 's Church
-1	2552	2552	PRON	PER	you
-1	2557	2561	NOM	FAC	many St. George 's churches
11	2559	2559	PROP	PER	George
-1	2565	2565	PRON	PER	they
-1	2572	2574	NOM	FAC	the right one
-1	2592	2593	NOM	PER	no one
-1	2596	2597	NOM	FAC	the streets
-1	2602	2603	NOM	FAC	the place
-1	2608	2608	PRON	PER	them
-1	2622	2623	NOM	PER	little boys
-1	2625	2625	NOM	PER	girls
-1	2642	2643	NOM	FAC	the pavement
-1	2648	2649	NOM	FAC	the roadway
-1	2658	2659	NOM	FAC	public buildings
-1	2664	2664	PRON	PER	their
-1	2675	2676	NOM	GPE	The town
-1	2681	2681	PRON	PER	them
-1	2685	2686	NOM	PER	the children
-1	2691	2692	NOM	GPE	the town
-1	2697	2698	NOM	FAC	the lanes
-1	2700	2700	PRON	PER	they
-1	2703	2707	NOM	FAC	the fields on each side
8	2736	2736	PROP	PER	Effie
-1	2738	2738	PRON	PER	her
-1	2738	2739	NOM	PER	her brother
-1	2753	2753	PRON	PER	her
-1	2755	2755	PRON	PER	she
-1	2768	2769	NOM	FAC	the field
-1	2781	2782	NOM	PER	The children
-1	2788	2788	PRON	PER	their
-1	2791	2791	PRON	PER	they
-1	2797	2797	PRON	PER	I
-1	2801	2801	NOM	FAC	home
8	2805	2805	PROP	PER	Effie
10	2815	2815	PROP	PER	Harry
-1	2819	2819	PRON	PER	you
-1	2824	2826	NOM	PER	the Seven Champions
-1	2828	2830	NOM	PER	all the princes
-1	2832	2841	NOM	PER	People who are going to be their country 's deliverers
-1	2838	2838	PRON	PER	their
-1	2838	2841	NOM	PER	their country 's deliverers
-1	2846	2846	PRON	PER	they
-1	2850	2850	NOM	FAC	home
-1	2856	2856	PRON	PER	we
16	2860	2860	PROP	PER	Effie--"deliverers
-1	2862	2862	PRON	PER	I
-1	2867	2867	PRON	PER	You
-1	2873	2873	PRON	PER	her
-1	2873	2874	NOM	PER	her brother
-1	2878	2878	PRON	PER	they
-1	2882	2882	PRON	PER	they
11	2885	2886	PROP	FAC	St. George
-1	2885	2888	NOM	FAC	St. George 's Church
-1	2889	2889	PRON	PER	they
-1	2896	2896	PRON	PER	they
11	2902	2903	PROP	PER	St. George
-1	2909	2909	PRON	PER	they
-1	2912	2913	NOM	FAC	the churchyard
-1	2918	2918	PRON	PER	they
-1	2920	2926	NOM	FAC	the great stone tomb of St. George
11	2925	2926	PROP	PER	St. George
-1	2932	2932	PRON	PER	him
-1	2939	2939	PRON	PER	his
-1	2946	2946	PRON	PER	his
-1	2950	2950	PRON	PER	his
-1	2957	2957	PRON	PER	we
-1	2959	2959	PRON	PER	him
-1	2962	2962	PRON	PER	they
10	2966	2966	PROP	PER	Harry
11	2969	2970	PROP	PER	St. George
-1	2973	2973	PRON	PER	he
-1	2979	2979	PRON	PER	he
11	2983	2984	PROP	PER	St. George
-1	2993	2993	PRON	PER	he
-1	2998	3002	NOM	PER	the great dragon - slayer
-1	3005	3005	PRON	PER	his
11	3010	3011	PROP	PER	St. George
8	3017	3017	PROP	PER	Effie
-1	3023	3023	PRON	PER	she
-1	3025	3025	PRON	PER	her
11	3028	3029	PROP	PER	St. George
-1	3035	3035	PRON	PER	she
-1	3053	3053	PRON	PER	she
-1	3060	3060	PRON	PER	she
11	3071	3072	PROP	PER	St. George
-1	3079	3079	PRON	PER	us
11	3085	3086	PROP	PER	St. George
-1	3088	3088	PRON	PER	his
-1	3094	3094	PRON	PER	himself
-1	3104	3105	NOM	PER	little girl
-1	3109	3110	NOM	PER	the children
-1	3112	3112	PRON	PER	him
-1	3117	3117	PRON	PER	he
-1	3121	3121	PRON	PER	his
-1	3133	3133	PRON	PER	he
-1	3141	3141	PRON	PER	he
-1	3143	3143	PRON	PER	his
-1	3153	3153	PRON	PER	he
-1	3157	3157	PRON	PER	they
11	3164	3166	PROP	PER	poor old George
-1	3168	3168	PRON	PER	You
-1	3172	3172	PRON	PER	me
-1	3175	3175	PRON	PER	I
-1	3183	3186	NOM	PER	one man one dragon
-1	3189	3189	PRON	PER	my
11	3203	3204	PROP	PER	St. George
-1	3207	3207	PRON	PER	his
-1	3211	3211	PRON	PER	he
-1	3213	3213	PRON	PER	his
-1	3233	3233	PRON	PER	I
-1	3240	3240	PRON	PER	he
-1	3248	3248	PRON	PER	my
17	3251	3252	PROP	PER	St. Andrew
-1	3254	3254	PRON	PER	me
-1	3258	3258	PRON	PER	They
-1	3260	3260	PRON	PER	him
-1	3263	3264	NOM	PER	the engineers
-1	3269	3269	PRON	PER	he
-1	3274	3274	PRON	PER	me
-1	3276	3276	PRON	PER	He
-1	3304	3304	PRON	PER	you
10	3317	3317	PROP	PER	Harry
8	3323	3323	PROP	PER	Effie
18	3334	3334	PROP	PER	Father
-1	3346	3347	NOM	GPE	this country
-1	3353	3353	PRON	PER	I
-1	3360	3361	NOM	PER	the Champion
-1	3389	3389	PRON	PER	you
11	3396	3397	PROP	PER	St. George
-1	3405	3405	PRON	PER	his
-1	3415	3415	PRON	PER	I
-1	3419	3419	PRON	PER	you
-1	3422	3422	PRON	PER	he
-1	3427	3427	PRON	PER	his
-1	3435	3435	PRON	PER	you
8	3440	3440	PROP	PER	Effie
-1	3444	3444	PRON	PER	us
-1	3455	3456	NOM	FAC	the bathroom
11	3460	3461	PROP	PER	St. George
-1	3478	3478	PRON	PER	you
-1	3480	3481	NOM	LOC	the world
19	3488	3489	PROP	PER	St. Denis
-1	3491	3491	PRON	PER	me
-1	3503	3503	PRON	PER	I
-1	3506	3506	PRON	PER	I
-1	3514	3514	PRON	PER	he
-1	3518	3518	PRON	PER	his
-1	3530	3530	PRON	PER	We
10	3539	3539	PROP	PER	Harry
-1	3542	3542	PRON	PER	I
11	3551	3552	PROP	PER	St. George
-1	3566	3566	NOM	PER	champions
8	3569	3569	PROP	PER	Effie
-1	3572	3572	PRON	PER	her
-1	3577	3577	PRON	PER	We
-1	3585	3587	NOM	FAC	the dining room
-1	3589	3589	PRON	PER	we
-1	3594	3594	PRON	PER	she
-1	3598	3598	PRON	PER	I
-1	3600	3600	PRON	PER	we
-1	3608	3608	PRON	PER	she
11	3610	3611	PROP	PER	St. George
10	3617	3617	PROP	PER	Harry
-1	3623	3623	PRON	PER	he
11	3630	3631	PROP	PER	St. George
-1	3643	3643	PRON	PER	him
-1	3646	3646	PRON	PER	We
-1	3650	3651	NOM	FAC	the church
-1	3658	3658	PRON	PER	he
-1	3674	3674	PRON	PER	them
-1	3677	3677	PRON	PER	they
-1	3688	3690	NOM	FAC	the dining room
-1	3692	3692	NOM	FAC	home
-1	3696	3696	PRON	PER	they
-1	3709	3711	NOM	PER	the two children
-1	3713	3713	PRON	PER	his
-1	3716	3716	PRON	PER	he
8	3718	3718	PROP	PER	Effie
-1	3720	3720	PRON	PER	her
10	3726	3726	PROP	PER	Harry
