COREF	start_token	end_token	prop	cat	text
2	3	6	PROP	PER	DRAGONS E. Nesbit VII
0	21	21	PROP	GPE	Gold
-1	22	25	NOM	PER	The little white Princess
-1	29	29	PRON	PER	her
-1	48	49	NOM	LOC	the woods
-1	53	53	PRON	PER	she
-1	58	62	NOM	FAC	the twisting turret - stairs
-1	64	64	PRON	PER	her
-1	75	76	NOM	FAC	the tower
-1	78	78	PRON	PER	her
-1	86	86	PRON	PER	her
-1	93	94	NOM	LOC	the woods
-1	97	99	NOM	GPE	the sleeping town
-1	113	113	PRON	PER	she
-1	123	123	PRON	PER	herself
-1	125	125	PRON	PER	her
-1	129	129	PRON	PER	her
-1	141	141	PRON	PER	She
-1	143	144	NOM	FAC	the rooms
-1	150	150	PRON	PER	she
-1	155	155	PRON	PER	she
-1	163	163	PRON	PER	she
-1	166	166	PRON	PER	she
-1	168	170	NOM	PER	a real Princess
-1	179	179	PRON	PER	her
-1	186	186	PRON	PER	her
-1	186	202	NOM	PER	her old nurse , who had lived with her in the tower all the Princess 's life
-1	194	194	PRON	PER	her
-1	196	197	NOM	FAC	the tower
-1	199	200	NOM	PER	the Princess
-1	207	208	NOM	PER	the nurse
-1	214	215	NOM	PER	the Princess
-1	219	219	PRON	PER	her
-1	229	229	PRON	PER	herself
-1	232	232	NOM	PER	Nurse
-1	243	258	NOM	PER	a real Princess with skin like milk and hair like flax and a heart like gold
-1	260	260	PRON	PER	Her
3	263	263	PROP	PER	Sabrinetta
-1	266	266	PRON	PER	her
-1	266	267	NOM	PER	her grandmother
4	269	269	PROP	PER	Sabra
5	273	274	PROP	PER	St. George
-1	276	276	PRON	PER	he
-1	287	288	NOM	LOC	the country
-1	291	291	PRON	PER	her
-1	293	300	NOM	LOC	the woods that stretched away to the mountains
-1	299	300	NOM	LOC	the mountains
-1	302	309	NOM	LOC	the downs that sloped down to the sea
-1	308	309	NOM	LOC	the sea
-1	321	323	NOM	FAC	the olive orchards
-1	325	326	NOM	FAC	the vineyards
-1	329	332	NOM	GPE	the little town itself
-1	335	335	PRON	FAC	its
-1	338	338	PRON	FAC	its
-1	341	341	PRON	FAC	its
-1	351	359	NOM	LOC	the hollow between the sea , where the whirlpool
-1	363	364	NOM	LOC	the mountains
-1	376	376	PRON	PER	her
-1	376	377	NOM	PER	her father
-1	379	379	NOM	PER	mother
-1	384	384	PRON	PER	her
-1	384	385	NOM	PER	her cousin
-1	390	391	NOM	GPE	the kingdom
-1	393	393	PRON	PER	she
-1	397	397	PRON	PER	he
-1	400	403	NOM	PER	a very evil Prince
-1	409	409	PRON	PER	her
-1	412	414	NOM	PER	all the people
-1	416	416	PRON	PER	him
-1	423	423	PRON	PER	her
-1	426	426	PRON	PER	her
-1	429	442	NOM	FAC	the great dragon proof tower that her grandfather , St. George , had built
-1	435	435	PRON	PER	her
-1	435	436	NOM	PER	her grandfather
5	438	439	PROP	PER	St. George
-1	446	452	NOM	PER	all who should have been her servants
-1	451	451	PRON	PER	her
-1	451	452	NOM	PER	her servants
-1	454	456	NOM	PER	the good nurse
3	461	461	PROP	PER	Sabrinetta
-1	463	469	NOM	PER	the first person in all the land
-1	468	469	NOM	LOC	the land
-1	485	487	NOM	PER	all the townspeople
-1	492	492	PRON	PER	she
-1	495	498	NOM	FAC	the turret - steps
-1	503	504	NOM	FAC	the field
-1	512	513	NOM	FAC	the field
-1	516	520	NOM	LOC	a green , ferny ditch
-1	531	532	NOM	LOC	the wood
3	536	536	PROP	PER	Sabrinetta
-1	539	539	PRON	PER	her
-1	539	540	NOM	FAC	her tower
-1	541	541	PRON	PER	she
-1	567	569	NOM	LOC	the ferny ditch
-1	583	583	PRON	PER	she
-1	590	590	PRON	PER	she
-1	593	593	PRON	PER	herself
-1	597	597	PRON	PER	me
-1	600	608	NOM	PER	a curious , shiny , bright - looking creature
-1	617	617	PRON	PER	I
-1	625	627	NOM	PER	no fabulous monsters
-1	635	635	PRON	PER	I
-1	691	691	PRON	PER	I
-1	705	706	NOM	LOC	the wood
3	710	710	PROP	PER	Sabrinetta
-1	721	721	PRON	PER	me
-1	724	724	PRON	PER	my
-1	724	726	NOM	FAC	my dragonproof tower
-1	742	742	NOM	PER	people
-1	753	754	NOM	PER	the children
-1	761	762	NOM	LOC	the wood
3	766	766	PROP	PER	Sabrinetta
-1	772	772	PRON	PER	she
-1	791	793	NOM	FAC	the winding stair
-1	795	795	PRON	PER	she
-1	798	798	PRON	PER	her
-1	820	820	PRON	PER	her
-1	820	821	NOM	FAC	her tower
-1	825	826	NOM	FAC	the fields
