COREF	start_token	end_token	prop	cat	text
-1	0	2	NOM	FAC	The Light Princess
7	8	13	PROP	PER	George MacDonald THE GIANT 'S HEART
-1	18	35	NOM	PER	a giant who lived on the borders of Giantland where it touched on the country of common people
-1	23	26	NOM	LOC	the borders of Giantland
1	26	26	PROP	GPE	Giantland
-1	31	35	NOM	LOC	the country of common people
-1	34	35	NOM	PER	common people
1	39	39	PROP	GPE	Giantland
-1	44	46	NOM	PER	the common people
-1	49	53	NOM	LOC	a mass of awful mountains
-1	58	60	NOM	PER	no living man
-1	65	65	PRON	LOC	it
-1	70	70	NOM	PER	anybody
-1	76	76	PRON	PER	he
-1	80	80	PRON	LOC	it
-1	96	98	NOM	LOC	a great forest
-1	101	102	NOM	PER	a labourer
-1	104	104	PRON	PER	his
-1	104	105	NOM	PER	his wife
-1	107	110	NOM	PER	a great many children
8	114	116	PROP	PER	Tricksey - Wee
-1	119	119	PRON	PER	they
-1	121	121	PRON	PER	her
-1	124	124	PRON	PER	her
-1	124	125	NOM	PER	her brother
9	126	128	PROP	PER	Buffy - Bob
-1	131	131	PRON	PER	he
-1	141	141	PRON	PER	her
8	148	150	PROP	PER	Tricksey - Wee
9	154	156	PROP	PER	Buffy - Bob
-1	164	164	PRON	PER	himself
-1	166	166	PRON	PER	he
-1	174	175	NOM	LOC	the wood
-1	177	177	PRON	PER	He
8	183	185	PROP	PER	Tricksey - Wee
-1	192	192	PRON	PER	she
-1	197	197	PRON	PER	her
-1	197	198	NOM	PER	her brother
-1	201	201	PRON	PER	she
-1	206	206	PRON	PER	she
-1	210	210	PRON	PER	him
-1	218	218	PRON	PER	she
-1	226	226	PRON	PER	him
-1	235	235	PRON	PER	herself
-1	239	239	PRON	PER	him
-1	260	260	PRON	PER	she
-1	264	264	PRON	PER	herself
-1	266	271	NOM	LOC	a valley she knew nothing about
-1	268	268	PRON	PER	she
-1	279	279	PRON	PER	she
-1	282	288	NOM	LOC	a valley with round , rocky sides
-1	308	311	NOM	LOC	the borders of Giantland
1	311	311	PROP	GPE	Giantland
-1	313	313	PRON	PER	She
-1	319	319	PRON	LOC	it
-1	325	325	PRON	PER	she
-1	328	334	NOM	LOC	a black , round - topped mountain
-1	341	341	PRON	PER	she
-1	348	348	PRON	PER	her
-1	359	359	PRON	PER	she
-1	364	364	PRON	FAC	it
-1	372	372	PRON	FAC	it
-1	374	374	PRON	PER	she
-1	389	389	PRON	PER	she
-1	410	410	PRON	PER	her
-1	420	422	NOM	VEH	a big ship
-1	426	426	NOM	PER	nobody
8	432	434	PROP	PER	Tricksey - Wee
-1	438	438	PRON	PER	she
-1	443	443	NOM	PER	anybody
9	446	448	PROP	PER	Buffy - Bob
-1	454	454	PRON	PER	she
-1	481	481	PRON	PER	she
-1	488	488	PRON	PER	herself
-1	490	492	NOM	FAC	an enormous hall
-1	494	494	PRON	PER	She
-1	503	503	PRON	FAC	it
-1	528	528	PRON	PER	she
-1	533	533	PRON	PER	she
-1	546	546	PRON	PER	her
-1	554	554	PRON	PER	she
-1	564	564	PRON	PER	She
-1	579	579	PRON	PER	she
-1	583	583	PRON	PER	she
-1	596	596	PRON	PER	she
-1	602	602	PRON	PER	she
-1	634	635	NOM	FAC	a church
-1	639	639	PRON	PER	her
8	648	650	PROP	PER	Tricksey - Wee
-1	658	658	PRON	PER	her
-1	672	674	NOM	PER	the peering giantess
-1	679	681	NOM	PER	the old lady
-1	689	689	PRON	PER	her
8	701	703	PROP	PER	Tricksey - Wee
10	721	722	PROP	PER	Mrs. Giant
-1	734	734	PRON	PER	her
-1	734	735	NOM	PER	her husband
-1	748	748	PRON	PER	he
-1	751	752	NOM	PER	little children
-1	756	760	NOM	PER	_ very _ little ones
-1	767	767	PRON	PER	his
-1	777	777	PRON	PER	he
-1	781	781	PRON	PER	himself
-1	783	783	PRON	PER	he
-1	794	795	NOM	GPE	all Giantland
8	801	803	PROP	PER	Tricksey - Wee
-1	831	831	PRON	PER	she
-1	836	837	NOM	PER	the giantess
-1	840	840	PRON	PER	her
-1	844	844	PRON	PER	she
-1	848	848	PRON	PER	she
-1	852	852	PRON	PER	she
-1	861	863	NOM	PER	dear little girl
-1	866	866	PRON	PER	she
-1	873	873	PRON	PER	you
-1	877	877	PRON	PER	my
-1	877	878	NOM	PER	my husband
-1	881	881	NOM	FAC	home
-1	890	890	PRON	PER	I
-1	896	896	PRON	PER	your
-1	896	897	NOM	PER	your husband
8	901	903	PROP	PER	Tricksey - Wee
-1	908	909	NOM	PER	the giantess
-1	919	919	PRON	PER	You
-1	924	924	PRON	PER	He
-1	928	929	NOM	PER	little children
-1	932	933	NOM	PER	little girls
-1	940	940	PRON	PER	he
-1	944	944	PRON	PER	me
-1	948	948	PRON	PER	I
-1	955	955	PRON	PER	He
-1	960	960	PRON	PER	them
-1	962	962	PRON	PER	he
-1	968	968	PRON	PER	I
-1	971	971	PRON	PER	he
-1	976	976	PRON	PER	you
-1	980	980	PRON	PER	He
-1	982	985	NOM	PER	a very good man
8	995	997	PROP	PER	Tricksey - Wee
-1	1005	1005	PRON	PER	she
-1	1008	1008	PRON	PER	her
-1	1010	1010	PRON	PER	she
-1	1032	1032	PRON	PER	her
9	1044	1046	PROP	PER	Buffy - Bob
-1	1048	1048	PRON	PER	She
-1	1051	1051	PRON	PER	her
-1	1055	1055	PRON	PER	he
-1	1058	1058	PRON	PER	them
-1	1062	1062	PRON	PER	she
-1	1066	1066	PRON	PER	him
-1	1068	1068	PRON	PER	she
-1	1074	1074	PRON	PER	his
-1	1078	1078	PRON	PER	his
-1	1093	1093	NOM	PER	children
-1	1101	1102	NOM	PER	the giantess
9	1107	1107	PROP	PER	Buffy
8	1111	1111	PROP	PER	Tricksey
-1	1120	1120	PRON	PER	we
-1	1135	1135	PRON	PER	they
-1	1145	1145	PRON	PER	they
-1	1159	1160	NOM	PER	the giant
-1	1162	1162	PRON	PER	You
-1	1166	1166	PRON	PER	you
-1	1175	1175	PRON	PER	he
-1	1186	1186	PRON	PER	he
-1	1198	1200	NOM	PER	that little boy
-1	1203	1203	PRON	PER	he
-1	1217	1217	PRON	PER	He
-1	1219	1222	NOM	PER	a very nice boy
-1	1225	1225	PRON	PER	I
-1	1229	1229	PRON	PER	he
-1	1243	1243	PRON	PER	he
-1	1245	1245	PRON	PER	my
-1	1245	1246	NOM	PER	my dear
-1	1250	1250	PRON	PER	I
-1	1257	1258	NOM	PER	the giantess
-1	1262	1262	PRON	PER	you
-1	1273	1273	PRON	PER	you
-1	1275	1275	PRON	PER	my
-1	1275	1276	NOM	PER	my dear
-1	1280	1281	NOM	PER	the giant
-1	1286	1286	PRON	PER	you
-1	1286	1289	NOM	PER	you ridiculous old Thunderthump
11	1289	1289	PROP	PER	Thunderthump
-1	1293	1293	PRON	PER	his
-1	1293	1294	NOM	PER	his wife
-1	1311	1311	PRON	PER	I
-1	1313	1313	PRON	PER	your
-1	1319	1320	NOM	PER	little boys
-1	1322	1322	PRON	PER	You
-1	1328	1328	PRON	PER	you
-1	1332	1332	PRON	PER	I
-1	1339	1341	NOM	PER	good little boys
-1	1342	1342	PRON	PER	they
8	1346	1348	PROP	PER	Tricksey - Wee
9	1350	1352	PROP	PER	Buffy - Bob
-1	1363	1376	NOM	PER	little boys , about a dozen , with very fat faces and goggle eyes
11	1389	1389	PROP	PER	Thunderthump
-1	1401	1401	PRON	PER	them
-1	1413	1413	PRON	PER	he
-1	1417	1417	PRON	PER	his
-1	1433	1433	PRON	PER	He
-1	1437	1439	NOM	PER	the wretched children
-1	1445	1445	PRON	PER	them
-1	1452	1452	PRON	PER	they
-1	1455	1455	PRON	PER	they
-1	1466	1467	NOM	PER	the giant
-1	1470	1470	PRON	PER	them
-1	1474	1474	PRON	PER	them
-1	1478	1478	PRON	PER	their
-1	1480	1480	NOM	FAC	home
-1	1489	1489	PRON	PER	they
-1	1492	1492	PRON	PER	they
-1	1498	1498	PRON	PER	they
-1	1502	1503	NOM	PER	The giantess
-1	1507	1507	PRON	PER	them
-1	1510	1510	PRON	PER	herself
-1	1514	1514	PRON	PER	they
-1	1517	1518	NOM	PER	real boys
-1	1520	1520	NOM	PER	girls
-1	1524	1531	NOM	PER	little pigs pretending to be boys and girls
-1	1529	1529	NOM	PER	boys
-1	1531	1531	NOM	PER	girls
-1	1536	1536	PRON	PER	me
-1	1542	1543	NOM	PER	the giant
-1	1546	1546	PRON	PER	his
-1	1550	1550	PRON	PER	them
-1	1552	1552	PRON	PER	They
-1	1558	1559	NOM	PER	every one
-1	1565	1566	NOM	PER	the giant
-1	1573	1582	NOM	PER	the little boy that ran into the hall just now
-1	1579	1580	NOM	FAC	the hall
-1	1586	1586	PRON	PER	me
-1	1596	1596	PRON	PER	He
-1	1604	1608	NOM	PER	one dough - faced boy
-1	1611	1611	PRON	PER	He
-1	1617	1619	NOM	PER	a little girl
-1	1621	1621	PRON	PER	him
-1	1625	1627	NOM	PER	The naughty children
-1	1631	1632	NOM	PER	the giant
-1	1639	1639	PRON	PER	me
-1	1644	1644	PRON	PER	he
9	1659	1659	PROP	PER	Bobby
8	1673	1675	PROP	PER	Tricksey - Wee
-1	1681	1682	NOM	PER	The giant
-1	1703	1703	PRON	PER	them
-1	1709	1709	PRON	PER	He
-1	1715	1716	NOM	PER	the boys
-1	1719	1726	NOM	PER	the dough - faced one by the neck
-1	1743	1743	PRON	PER	him
-1	1747	1747	PRON	PER	he
-1	1766	1766	NOM	PER	boys
-1	1783	1783	PRON	PER	he
-1	1786	1786	PRON	PER	his
-1	1789	1789	PRON	PER	he
-1	1792	1792	PRON	PER	he
-1	1800	1800	PRON	PER	them
-1	1804	1804	PRON	PER	he
-1	1808	1809	NOM	PER	boiled boys
-1	1811	1811	PRON	PER	He
-1	1831	1831	PRON	PER	He
-1	1838	1838	PRON	PER	his
-1	1838	1839	NOM	PER	his wife
-1	1841	1841	PRON	PER	his
-1	1846	1846	PRON	PER	She
-1	1854	1855	NOM	PER	the boy
-1	1863	1863	PRON	PER	he
-1	1883	1883	PRON	PER	she
-1	1889	1889	PRON	PER	he
-1	1893	1893	PRON	PER	her
-1	1920	1920	PRON	PER	they
-1	1926	1930	NOM	PER	The children in the broom
-1	1935	1935	PRON	PER	they
-1	1944	1944	PRON	PER	them
-1	1947	1948	NOM	PER	the giant
-1	1954	1955	NOM	PER	the giantess
-1	1958	1959	NOM	LOC	the sea
-1	1962	1962	PRON	PER	they
-1	1970	1971	NOM	PER	the giant
-1	1974	1974	PRON	PER	I
-1	1984	1984	PRON	PER	mine
-1	1989	1989	PRON	PER	he
-1	1995	1995	PRON	PER	his
-1	1998	1998	PRON	PER	his
-1	2001	2001	PRON	PER	he
-1	2009	2010	NOM	PER	the children
-1	2027	2027	PRON	PER	you
-1	2030	2030	PRON	PER	my
-1	2030	2031	NOM	PER	my darling
11	2032	2032	PROP	PER	Thunderthump
-1	2036	2036	PRON	PER	his
-1	2036	2037	NOM	PER	his wife
-1	2040	2040	PRON	PER	I
-1	2048	2048	NOM	FAC	home
-1	2051	2051	PRON	PER	you
-1	2064	2064	PRON	PER	You
-1	2072	2072	NOM	PER	wife
-1	2074	2074	PRON	PER	I
-1	2086	2086	PRON	PER	you
11	2089	2089	PROP	PER	Thunderthump
-1	2091	2091	PRON	PER	You
-1	2093	2099	NOM	PER	any creature alive rather than your wife
-1	2098	2098	PRON	PER	your
-1	2098	2099	NOM	PER	your wife
-1	2103	2104	NOM	PER	the giantess
-1	2130	2130	PRON	PER	you
-1	2136	2136	PRON	PER	she
-1	2140	2140	PRON	PER	her
12	2146	2146	PROP	PER	Doodlem
-1	2148	2148	PRON	PER	I
-1	2154	2154	PRON	PER	you
-1	2159	2160	NOM	PER	the giant
-1	2167	2167	PRON	PER	she
-1	2178	2178	PRON	PER	She
-1	2188	2188	PRON	PER	she
-1	2200	2200	PRON	PER	his
-1	2203	2207	NOM	LOC	the rocks of Mount Skycrack
2	2206	2207	PROP	LOC	Mount Skycrack
-1	2209	2209	PRON	PER	I
-1	2212	2214	NOM	PER	no one else
-1	2219	2219	PRON	PER	she
-1	2225	2225	PRON	PER	she
-1	2231	2231	PRON	PER	I
-1	2233	2233	PRON	PER	I
-1	2247	2247	PRON	PER	her
-1	2252	2252	PRON	PER	me
-1	2257	2257	PRON	PER	she
0	2264	2264	PRON	PER	I
0	2272	2272	PRON	PER	my
1	2278	2278	PROP	GPE	Giantland
-1	2281	2283	NOM	GPE	the Celtic nations
-1	2292	2293	NOM	PER	a giant
-1	2296	2296	PRON	PER	his
-1	2303	2303	PRON	PER	he
-1	2314	2314	PRON	PER	himself
0	2317	2317	PRON	PER	I
9	2343	2345	PROP	PER	Buffy - Bob
8	2347	2349	PROP	PER	Tricksey - Wee
8	2361	2363	PROP	PER	Tricksey - Wee
-1	2367	2367	PRON	PER	I
-1	2371	2372	NOM	PER	the giant
-1	2379	2379	PRON	PER	I
-1	2386	2389	NOM	PER	The giant and giantess
-1	2398	2399	NOM	PER	The giantess
-1	2402	2403	NOM	PER	the giant
-1	2406	2406	PRON	PER	his
-1	2410	2411	NOM	FAC	the house
-1	2414	2414	PRON	PER	he
-1	2423	2423	PRON	PER	her
-1	2425	2425	PRON	PER	him
-1	2428	2428	PRON	PER	You
-1	2443	2443	PRON	PER	she
-1	2449	2449	PRON	PER	me
-1	2455	2455	PRON	PER	he
-1	2461	2464	NOM	FAC	the coal - cellar
-1	2468	2471	NOM	LOC	the dust - hole
-1	2475	2476	NOM	FAC	the place
-1	2478	2479	NOM	PER	No one
-1	2485	2485	PRON	PER	your
-1	2488	2491	NOM	LOC	the dust - hole
-1	2501	2502	NOM	PER	the giant
-1	2514	2514	PRON	PER	she
-1	2529	2529	PRON	PER	he
-1	2538	2538	PRON	PER	you
-1	2545	2545	PRON	PER	I
