COREF	start_token	end_token	prop	cat	text
18	1	5	PROP	PER	The Happy Prince The Nightingale
-1	7	20	NOM	FAC	the Rose The Selfish Giant The Devoted Friend The Remarkable Rocket THE HAPPY PRINCE
-1	23	24	NOM	GPE	the city
18	35	37	PROP	PER	the Happy Prince
-1	39	39	PRON	PER	He
-1	53	53	PRON	PER	he
-1	66	66	PRON	PER	his
-1	71	71	PRON	PER	He
-1	79	79	PRON	PER	He
-1	91	103	NOM	PER	the Town Councillors who wished to gain a reputation for having artistic tastes
-1	113	113	PRON	PER	he
-1	118	118	NOM	PER	people
-1	121	121	PRON	PER	him
-1	125	125	PRON	PER	he
-1	134	134	PRON	PER	you
-1	137	139	NOM	PER	the Happy Prince
-1	143	155	NOM	PER	a sensible mother of her little boy who was crying for the moon
-1	147	147	PRON	PER	her
-1	147	155	NOM	PER	her little boy who was crying for the moon
-1	158	160	NOM	PER	The Happy Prince
-1	170	170	PRON	PER	I
-1	175	179	NOM	PER	some one in the world
-1	178	179	NOM	LOC	the world
-1	187	189	NOM	PER	a disappointed man
-1	191	191	PRON	PER	he
-1	199	199	PRON	PER	He
-1	203	204	NOM	PER	an angel
-1	208	210	NOM	PER	the Charity Children
-1	212	212	PRON	PER	they
-1	216	217	NOM	FAC	the cathedral
-1	219	219	PRON	PER	their
-1	224	224	PRON	PER	their
-1	232	232	PRON	PER	you
-1	237	239	NOM	PER	the Mathematical Master
-1	242	242	PRON	PER	you
-1	253	253	PRON	PER	we
-1	257	257	PRON	PER	our
-1	262	263	NOM	PER	the children
-1	266	268	NOM	PER	the Mathematical Master
-1	276	276	PRON	PER	he
-1	281	282	NOM	PER	children dreaming
-1	289	290	NOM	GPE	the city
-1	291	293	NOM	PER	a little Swallow
-1	295	295	PRON	PER	His
-1	295	296	NOM	PER	His friends
1	301	301	PROP	GPE	Egypt
-1	307	307	PRON	PER	he
-1	313	313	PRON	PER	he
19	321	321	PROP	PER	Reed
-1	323	323	PRON	PER	He
-1	326	326	PRON	PER	her
-1	332	332	PRON	PER	he
-1	336	337	NOM	LOC	the river
-1	350	350	PRON	PER	her
-1	354	354	PRON	PER	he
-1	360	360	PRON	PER	her
-1	364	364	PRON	PER	I
-1	366	366	PRON	PER	you
19	384	385	PROP	PER	the Reed
-1	387	387	PRON	PER	him
-1	393	393	PRON	PER	he
-1	398	398	PRON	PER	her
-1	401	402	NOM	LOC	the water
-1	404	404	PRON	PER	his
-1	414	414	PRON	PER	his
-1	434	436	NOM	PER	the other Swallows
-1	439	439	PRON	PER	she
-1	453	454	NOM	LOC	the river
20	459	459	PROP	PER	Reeds
-1	467	467	PRON	PER	they
-1	473	473	PRON	PER	they
-1	476	476	PRON	PER	he
-1	485	485	PRON	PER	his
-1	485	486	NOM	PER	his lady
-1	491	491	PRON	PER	She
-1	497	497	PRON	PER	he
-1	502	502	PRON	PER	I
-1	506	506	PRON	PER	she
-1	508	509	NOM	PER	a coquette
-1	512	512	PRON	PER	she
