COREF	start_token	end_token	prop	cat	text
-1	0	5	NOM	PER	The King of the Golden River
1	3	5	PROP	LOC	the Golden River
22	7	8	PROP	PER	John Ruskin
-1	11	16	NOM	PER	The King of the Golden River
1	14	16	PROP	LOC	the Golden River
22	26	26	PROP	PER	Ruskin
-1	32	32	PRON	PER	his
-1	40	40	PRON	PER	his
-1	56	56	PRON	PER	his
-1	61	61	PRON	PER	his
-1	64	64	PRON	PER	his
-1	82	82	PRON	PER	he
-1	97	98	NOM	PER	a prophet
-1	102	108	NOM	PER	those whom he knew to be unawakened
-1	104	104	PRON	PER	he
-1	117	118	NOM	PER	the prophet
22	120	121	PROP	PER	John Ruskin
-1	125	133	NOM	PER	an interpreter with a singularly fine appreciation of beauty
-1	135	140	NOM	PER	no man of the nineteenth century
-1	145	145	PRON	PER	he
-1	151	151	NOM	PER	none
-1	157	157	PRON	PER	he
-1	182	185	NOM	PER	A certain English reviewer
-1	191	192	NOM	PER	the artist
23	193	193	PROP	PER	Turner
22	196	196	PROP	PER	Ruskin
23	198	198	PROP	PER	Turner
-1	201	206	NOM	PER	the greatest landscape painter the world
-1	211	211	PRON	PER	he
-1	218	218	PRON	PER	his
-1	241	242	NOM	PER	Modern Painters
-1	245	247	NOM	PER	The young man
-1	251	251	PRON	PER	himself
2	282	282	PROP	GPE	Venice
-1	286	290	NOM	PER	The Seven Lamps of Architecture
22	303	303	PROP	PER	Ruskin
-1	316	316	PRON	PER	His
-1	337	337	PRON	PER	He
-1	341	341	PRON	PER	himself
-1	354	354	PRON	PER	he
-1	383	383	PRON	PER	him
-1	403	403	PRON	PER	his
-1	425	425	PRON	PER	his
-1	427	427	PRON	PER	he
-1	439	440	NOM	PER	social reformer
-1	442	453	NOM	PER	a passionate pleader for what he believed to be true economic ideals
-1	447	447	PRON	PER	he
-1	463	468	NOM	PER	The King of the Golden River
1	466	468	PROP	LOC	the Golden River
-1	472	472	PRON	PER	his
-1	502	502	PRON	PER	him
-1	504	506	NOM	PER	a young girl
-1	515	515	PRON	PER	his
3	518	518	PROP	GPE	Oxford
22	520	520	PROP	PER	Ruskin
4	534	534	PROP	GPE	England
-1	536	539	NOM	LOC	the south of Europe
5	539	539	PROP	GPE	Europe
-1	549	549	PRON	PER	he
24	571	572	PROP	PER	the Guys
-1	574	580	NOM	PER	Scotch friends of his father and mother
-1	577	577	PRON	PER	his
-1	577	578	NOM	PER	his father
-1	580	580	NOM	PER	mother
-1	587	587	PRON	PER	his
-1	587	590	NOM	FAC	his home near London
6	590	590	PROP	GPE	London
-1	594	594	PRON	PER	them
-1	595	595	PRON	PER	their
-1	595	597	NOM	PER	their little daughter
25	598	598	PROP	PER	Euphemia
-1	603	611	NOM	PER	this beautiful , vivacious , light - hearted child
22	617	617	PROP	PER	Ruskin
-1	627	627	PRON	PER	she
-1	631	633	NOM	PER	the melancholy student
-1	643	643	PRON	PER	him
-1	649	649	PRON	PER	her
-1	654	654	PRON	PER	He
-1	664	664	PRON	PER	her
-1	677	677	PRON	PER	him
25	692	694	PROP	PER	Effie " Grey
22	696	697	PROP	PER	John Ruskin
-1	696	699	NOM	PER	John Ruskin 's wife
-1	702	702	PRON	PER	she
-1	708	709	NOM	PER	a friend
-1	718	719	NOM	PER	this friend
22	722	723	PROP	PER	John Ruskin
-1	731	732	NOM	LOC	the world
6	738	738	PROP	GPE	London
26	745	748	PROP	PER	the celebrated Richard Doyle
-1	782	783	NOM	PER	countless children
-1	791	793	NOM	PER	the young girl
27	801	801	PROP	PER	Gluck
28	811	813	PROP	PER	the Black Brothers
-1	815	818	NOM	PER	Southwest Wind , Esquire
29	829	832	PROP	PER	Mr. Hiram P. Barnes
-1	834	834	PRON	PER	They
26	841	841	PROP	PER	Doyle
16	871	872	PROP	LOC	Treasure Valley
27	875	875	PROP	PER	Gluck
-1	899	900	NOM	LOC	The valley
-1	902	902	PRON	PER	their
-1	907	907	NOM	LOC	earth
-1	923	929	NOM	GPE	THE AGRICULTURAL SYSTEM OF THE BLACK BROTHERS
8	934	935	PROP	LOC	SOUTHWEST WIND
9	937	937	PROP	GPE	ESQUIRE
-1	941	952	NOM	GPE	THE PROCEEDINGS OF THE THREE BROTHERS AFTER THE VISIT OF SOUTHWEST WIND
