COREF	start_token	end_token	prop	cat	text
5	4	5	PROP	PER	CHARLES DICKENS
6	9	11	PROP	PER	S. Beatrice Pearse
-1	15	16	NOM	PER	The Queen
1	25	27	PROP	FAC	THE MAGIC FISHBONE
7	35	37	PROP	PER	Miss Alice Rainbird
5	42	43	PROP	PER	CHARLES DICKENS
2	44	44	PROP	GPE	London
-1	46	48	NOM	ORG	Constable and Co.
5	58	59	PROP	PER	Charles Dickens
-1	80	81	NOM	PER	a children
3	85	85	PROP	GPE	America
-1	93	96	NOM	PER	a child aged seven
4	102	102	PROP	GPE	England
5	120	120	PROP	PER	Dickens
8	135	138	PROP	PER	Messrs Chapman & Hall
9	144	145	PROP	PER	Edwin Drood
-1	189	189	PRON	PER	THEIR
-1	195	196	NOM	PER	a King
-1	199	199	PRON	PER	he
-1	201	202	NOM	PER	a Queen
-1	205	205	PRON	PER	he
-1	210	210	PRON	PER	his
-1	214	214	PRON	PER	she
-1	219	219	PRON	PER	hers
-1	221	222	NOM	PER	The King
-1	226	226	PRON	PER	his
-1	233	234	NOM	PER	The Queen
-1	233	236	NOM	PER	The Queen 's father
-1	239	244	NOM	PER	a medical man out of town
-1	244	244	NOM	GPE	town
-1	246	246	PRON	PER	They
-1	248	249	NOM	PER	nineteen children
-1	257	260	NOM	PER	Seventeen of these children
-1	259	260	NOM	PER	these children
-1	264	265	NOM	PER	the baby
10	268	268	PROP	PER	Alicia
-1	270	271	NOM	PER	the eldest
-1	276	276	PRON	PER	them
-1	279	279	PRON	PER	Their
-1	290	290	PRON	PER	us
-1	293	293	PRON	PER	our
-1	298	299	NOM	PER	the King
-1	303	304	NOM	FAC	the office
-1	307	307	PRON	PER	he
-1	310	312	NOM	FAC	the fishmonger 's
-1	329	330	NOM	PER	the Queen
-1	334	336	NOM	PER	a careful housekeeper
-1	340	340	PRON	PER	him
-1	343	343	NOM	FAC	home
11	345	346	PROP	PER	Mr Pickles
-1	348	349	NOM	PER	the fishmonger
-1	356	356	NOM	PER	sir
-1	369	370	NOM	PER	The King
-1	374	375	NOM	FAC	the office
-1	392	396	NOM	PER	several of the dear children
-1	394	396	NOM	PER	the dear children
-1	401	401	PRON	PER	their
-1	404	404	PRON	PER	He
11	411	412	PROP	PER	Mr Pickles
-1	411	416	NOM	PER	Mr Pickles 's errand - boy
-1	420	420	PRON	PER	him
-1	426	426	NOM	PER	Sir
-1	428	428	PRON	PER	you
-1	432	434	NOM	PER	the old lady
-1	436	436	PRON	PER	our
-1	436	437	NOM	FAC	our shop
-1	442	443	NOM	PER	old lady
-1	447	448	NOM	PER	the King
-1	451	451	PRON	PER	I
-1	458	459	NOM	PER	the King
-1	463	465	NOM	PER	any old lady
-1	468	470	NOM	PER	this old lady
-1	475	475	PRON	PER	him
11	480	481	PROP	PER	Mr Pickles
-1	480	483	NOM	PER	Mr Pickles 's boy
-1	487	487	PRON	PER	he
-1	513	513	PRON	PER	she
-1	519	519	PRON	PER	him
-1	521	521	PRON	PER	he
-1	525	525	PRON	PER	her
-1	530	532	NOM	PER	the old lady
-1	537	537	PRON	PER	She
12	555	558	PROP	PER	King Watkins the First
-1	560	560	PRON	PER	I
-1	565	567	NOM	PER	the old lady
12	570	570	PROP	PER	Watkins
-1	574	575	NOM	PER	the King
-1	579	579	PRON	PER	my
13	584	584	PROP	PER	Papa
-1	587	587	PRON	PER	I
10	593	596	PROP	PER	the beautiful Princess Alicia
-1	600	602	NOM	PER	the old lady
-1	607	609	NOM	PER	eighteen other darlings
-1	613	614	NOM	PER	the King
-1	619	619	PRON	PER	You
-1	623	624	NOM	FAC	the office
-1	628	630	NOM	PER	the old lady
-1	632	632	PRON	PER	It
-1	636	637	NOM	PER	the King
-1	639	639	PRON	PER	she
-1	642	643	NOM	PER	a Fairy
-1	648	648	PRON	PER	she
-1	653	653	PRON	PER	You
-1	659	661	NOM	PER	the old lady
-1	664	664	PRON	PER	his
-1	668	668	PRON	PER	I
14	670	673	PROP	PER	the Good Fairy Grandmarina
-1	678	678	PRON	PER	you
-1	680	680	NOM	FAC	home
10	686	688	PROP	PER	the Princess Alicia
-1	695	695	PRON	PER	you
-1	702	702	PRON	PER	It
-1	706	706	PRON	PER	her
-1	710	711	NOM	PER	the King
-1	713	715	NOM	PER	The old lady
-1	726	727	NOM	PER	the King
-1	735	735	PRON	PER	her
-1	739	739	PRON	PER	We
-1	758	760	NOM	PER	the old lady
-1	778	778	PRON	PER	I
-1	780	780	PRON	PER	you
-1	784	784	PRON	PER	yourself
-1	787	788	NOM	PER	The King
-1	790	790	PRON	PER	his
-1	798	798	PRON	PER	he
14	817	819	PROP	PER	the Fairy Grandmarina
10	827	830	PROP	PER	the beautiful Princess Alicia
-1	839	839	PRON	PER	I
-1	841	841	PRON	PER	she
-1	844	844	PRON	PER	you
-1	847	847	PRON	PER	she
-1	855	855	PRON	PER	her
-1	859	859	PRON	PER	her
-1	893	893	PRON	PER	me
-1	903	904	NOM	PER	the King
-1	912	912	NOM	PER	sir
-1	916	918	NOM	PER	the Fairy Grandmarina
-1	921	921	PRON	PER	him
-1	928	928	NOM	PER	people
-1	932	932	PRON	PER	they
-1	941	941	PRON	PER	you
-1	941	945	NOM	PER	you grown - up persons
-1	947	947	PRON	PER	You
-1	954	955	NOM	PER	The King
-1	958	958	PRON	PER	his
-1	963	963	PRON	PER	he
14	978	980	PROP	PER	the Fairy Grandmarina
10	988	990	PROP	PER	the Princess Alicia
-1	993	993	PRON	PER	my
-1	1017	1017	PRON	PER	her
-1	1023	1023	PRON	PER	she
-1	1028	1028	PRON	PER	SHE
-1	1031	1031	PRON	PER	IT
0	1053	1053	PRON	PER	ME
-1	1056	1057	NOM	PER	The King
-1	1063	1063	PRON	PER	I
14	1070	1071	PROP	PER	the Fairy
-1	1080	1080	PRON	PER	you
-1	1084	1084	NOM	PER	sir
-1	1087	1087	PRON	PER	she
-1	1091	1091	PRON	PER	her
-1	1111	1111	PRON	PER	You
-1	1125	1125	PRON	PER	me
-1	1127	1127	PRON	PER	I
-1	1131	1131	PRON	PER	your
-1	1138	1139	NOM	PER	The King
-1	1144	1146	NOM	PER	the old lady
-1	1156	1156	PRON	PER	he
-1	1163	1163	PRON	PER	her
-1	1166	1166	PRON	PER	he
-1	1182	1184	NOM	PER	the old lady
14	1196	1196	PROP	PER	Grandmarina
-1	1200	1201	NOM	PER	the King
-1	1210	1210	PRON	PER	he
-1	1213	1214	NOM	FAC	the office
-1	1217	1217	PRON	PER	he
-1	1230	1230	NOM	FAC	home
-1	1234	1234	PRON	PER	he
10	1237	1239	PROP	PER	the Princess Alicia
-1	1242	1243	NOM	PER	the Fairy
-1	1246	1246	PRON	PER	him
-1	1256	1256	PRON	PER	she
-1	1263	1263	PRON	PER	he
-1	1270	1270	PRON	PER	her
-1	1274	1275	NOM	PER	the Fairy
-1	1278	1278	PRON	PER	him
-1	1279	1279	PRON	PER	he
-1	1283	1283	PRON	PER	he
-1	1285	1286	NOM	PER	the Fairy
10	1291	1293	PROP	PER	the Princess Alicia
-1	1323	1323	PRON	PER	He
-1	1330	1330	PRON	PER	her
-1	1336	1337	NOM	PER	the Queen
-1	1347	1347	PRON	PER	she
-1	1354	1354	PRON	PER	me
-1	1357	1357	PRON	PER	me
-1	1359	1359	PRON	PER	my
-1	1362	1362	PRON	PER	my
-1	1368	1368	PRON	PER	she
-1	1372	1386	NOM	PER	The Princess Alicia , who happened to be looking in at the chamber - door
-1	1397	1397	PRON	PER	she
-1	1399	1399	PRON	PER	her
