COREF	start_token	end_token	prop	cat	text
-1	0	1	NOM	PER	THE NECK
-1	6	7	NOM	GPE	a Lake
-1	10	12	NOM	LOC	a certain lake
-1	16	17	NOM	PER	a Neck
-1	20	34	NOM	PER	Water Sprite , who desired , above all things , to obtain a human soul
1	41	42	PROP	PER	this Neck
-1	53	53	PRON	PER	his
-1	57	57	PRON	PER	he
-1	68	68	PRON	PER	him
-1	75	75	PRON	PER	his
-1	83	83	PRON	PER	her
-1	99	100	NOM	LOC	the lake
-1	109	111	NOM	PER	an aged hermit
-1	117	117	PRON	PER	his
-1	134	134	PRON	PER	him
-1	136	136	PRON	PER	he
-1	142	142	PRON	PER	himself
-1	144	145	NOM	LOC	the water
-1	148	148	PRON	PER	his
-1	153	153	PRON	PER	him
-1	165	165	PRON	PER	him
-1	170	171	NOM	LOC	the rock
-1	174	174	PRON	PER	himself
-1	177	178	NOM	PER	the Neck
-1	213	214	NOM	PER	the hermit
-1	220	222	NOM	LOC	a dark cave
-1	227	227	PRON	PER	his
-1	231	231	PRON	PER	he
-1	239	239	PRON	PER	him
-1	248	248	PRON	PER	he
0	251	252	PROP	LOC	the Neck
-1	261	261	PRON	PER	thou
-1	265	265	PRON	PER	my
-1	265	266	NOM	PER	my son
1	270	271	PROP	PER	the Neck
-1	285	286	NOM	PER	the hermit
-1	289	289	PRON	PER	I
-1	292	292	PRON	PER	thou
-1	301	301	PRON	PER	I
-1	303	307	NOM	PER	an aged and solitary man
-1	313	313	PRON	PER	my
-1	321	321	PRON	PER	me
-1	324	324	PRON	PER	I
-1	344	344	PRON	PER	I
-1	346	346	PRON	PER	thee
-1	361	361	PRON	PER	I
-1	365	365	PRON	PER	thee
-1	370	370	PRON	PER	I
1	379	380	PROP	PER	the Neck
-1	388	389	NOM	LOC	the water
-1	394	394	PRON	PER	I
-1	402	402	PRON	PER	thou
-1	405	405	PRON	PER	me
-1	407	407	PRON	PER	I
-1	410	412	NOM	PER	a human soul
-1	414	414	PRON	PER	I
-1	419	419	PRON	PER	thou
-1	422	422	PRON	PER	me
-1	427	428	NOM	PER	the hermit
-1	432	432	PRON	PER	I
-1	439	439	PRON	PER	I
-1	450	450	PRON	PER	thee
-1	457	457	PRON	PER	he
-1	460	460	PRON	PER	he
-1	465	466	NOM	PER	the Neck
-1	471	472	NOM	LOC	the lake
-1	475	475	PRON	PER	he
-1	482	482	PRON	PER	my
-1	482	483	NOM	PER	my father
-1	487	488	NOM	PER	the hermit
-1	497	499	NOM	PER	some human being
-1	503	503	PRON	PER	his
-1	506	506	PRON	PER	thee
-1	508	508	PRON	PER	thou
-1	511	513	NOM	PER	a human soul
-1	516	516	PRON	PER	thou
1	536	537	PROP	PER	the Neck
-1	540	540	PRON	PER	he
-1	553	554	NOM	PER	the hermit
