COREF	start_token	end_token	prop	cat	text
-1	3	4	NOM	PER	a King
-1	14	17	NOM	PER	a most beautiful daughter
-1	22	23	NOM	PER	every one
-1	25	25	PRON	PER	she
-1	35	36	NOM	PER	the Princess
-1	50	50	PRON	PER	she
-1	54	68	NOM	PER	an old witch who lived in a hut on the side of a lonely mountain
-1	63	68	NOM	LOC	the side of a lonely mountain
-1	66	68	NOM	LOC	a lonely mountain
-1	70	72	NOM	PER	This old witch
-1	79	80	NOM	PER	no one
-1	82	83	NOM	PER	the King
-1	82	85	NOM	PER	the King 's daughter
-1	88	88	PRON	PER	she
-1	90	90	NOM	FAC	there
-1	97	99	NOM	PER	every one else
-1	103	104	NOM	PER	the Princess
2	109	109	PROP	PER	Fiorimonde
-1	114	114	PRON	PER	her
-1	124	125	NOM	PER	the witch
2	131	131	PROP	PER	Fiorimonde
-1	137	143	NOM	PER	no one like her in the world
-1	140	140	PRON	PER	her
-1	142	143	NOM	LOC	the world
-1	148	149	NOM	PER	the Princess
-1	151	151	PRON	PER	her
-1	154	154	PRON	PER	her
-1	160	161	NOM	PER	any one
-1	162	162	PRON	PER	she
-1	164	164	NOM	FAC	there
-1	170	171	NOM	PER	the King
-1	175	175	PRON	PER	he
-1	178	178	PRON	PER	his
-1	178	179	NOM	PER	his daughter
-1	184	184	PRON	PER	he
-1	186	186	PRON	PER	his
-1	186	187	NOM	PER	his council
-1	192	192	PRON	PER	We
-1	194	195	NOM	PER	no son
-1	199	199	PRON	PER	our
-1	203	203	PRON	PER	we
-1	208	210	NOM	PER	a suitable prince
-1	214	214	PRON	PER	our
-1	214	216	NOM	PER	our royal daughter
-1	222	222	PRON	PER	we
-1	227	227	PRON	PER	he
-1	230	230	NOM	PER	king
-1	232	232	PRON	PER	our
-1	237	239	NOM	PER	all the council
-1	241	241	PRON	PER	he
-1	252	253	NOM	PER	the Princess
-1	262	265	NOM	PER	all the neighbouring kings
-1	267	267	NOM	PER	princes
-1	271	272	NOM	PER	the King
-1	275	286	NOM	PER	a husband for the Princess , who should be king after him
-1	278	279	NOM	PER	the Princess
-1	286	286	PRON	PER	him
2	290	290	PROP	PER	Fiorimonde
-1	293	293	PRON	PER	she
-1	299	299	PRON	PER	she
-1	305	305	PRON	PER	she
-1	307	308	NOM	PER	a husband
-1	309	309	PRON	PER	he
-1	314	314	PRON	PER	she
-1	318	320	NOM	PER	the old witch
-1	325	325	PRON	PER	her
-1	331	331	PRON	PER	she
-1	334	334	PRON	PER	her
-1	342	346	NOM	PER	every one in the palace
-1	345	346	NOM	FAC	the palace
-1	351	352	NOM	PER	the Princess
-1	355	355	PRON	PER	her
-1	355	356	NOM	FAC	her bedroom
-1	364	364	PRON	PER	she
-1	367	367	PRON	PER	her
-1	398	398	PRON	PER	her
-1	412	412	PRON	PER	them
-1	428	429	NOM	PER	the Princess
-1	437	437	PRON	PER	it
-1	463	464	NOM	PER	the Princess
-1	472	472	PRON	PER	herself
-1	499	501	NOM	PER	the old witch
-1	512	512	PRON	PER	her
-1	512	513	NOM	FAC	her hut
-1	515	516	NOM	PER	The Princess
-1	529	533	NOM	PER	a croaking voice from within
-1	539	539	PRON	PER	you
-1	546	546	PRON	PER	I
-1	549	549	PRON	PER	you
-1	550	550	PRON	PER	I
-1	562	562	PRON	PER	you
-1	564	564	PRON	PER	me
-1	569	569	PRON	PER	I
-1	572	572	PRON	PER	you
-1	575	575	PRON	PER	me
-1	580	581	NOM	PER	the Princess
-1	585	585	PRON	PER	I
-1	591	591	PRON	PER	your
-1	612	613	NOM	PER	the Princess
-1	616	617	NOM	FAC	the hut
-1	633	633	PRON	PER	her
-1	636	637	NOM	PER	the witch
2	639	640	PROP	PER	Princess Fiorimonde
-1	644	644	PRON	PER	her
-1	648	648	PRON	PER	her
