COREF	start_token	end_token	prop	cat	text
3	0	2	PROP	PER	THE SELFISH GIANT
-1	7	7	PRON	PER	they
-1	11	11	NOM	FAC	school
-1	13	14	NOM	PER	the children
-1	21	24	NOM	FAC	the Giant ’s garden
-1	28	31	NOM	FAC	a large lovely garden
-1	92	93	NOM	PER	the children
-1	97	97	PRON	PER	their
-1	104	104	PRON	PER	them
-1	109	109	PRON	PER	we
-1	111	111	NOM	FAC	here
-1	114	114	PRON	PER	they
-1	117	118	NOM	PER	each other
-1	122	123	NOM	PER	the Giant
-1	127	127	PRON	PER	He
-1	132	132	PRON	PER	his
-1	132	133	NOM	PER	his friend
-1	134	136	NOM	PER	the Cornish ogre
-1	142	142	PRON	PER	him
-1	153	153	PRON	PER	he
-1	158	158	PRON	PER	he
-1	164	164	PRON	PER	his
-1	170	170	PRON	PER	he
-1	175	175	PRON	PER	his
-1	175	177	NOM	FAC	his own castle
-1	180	180	PRON	PER	he
-1	182	182	PRON	PER	he
-1	184	185	NOM	PER	the children
-1	188	189	NOM	FAC	the garden
-1	194	194	PRON	PER	you
-1	196	196	NOM	FAC	here
-1	199	199	PRON	PER	he
-1	208	209	NOM	PER	the children
-1	214	214	PRON	PER	My
-1	214	216	NOM	FAC	My own garden
-1	218	218	PRON	PER	my
-1	218	220	NOM	FAC	my own garden
-1	224	225	NOM	PER	the Giant
-1	228	229	NOM	PER	any one
-1	235	235	PRON	PER	I
-1	238	238	NOM	PER	nobody
-1	242	242	PRON	FAC	it
-1	244	244	PRON	PER	myself
-1	248	248	PRON	PER	he
-1	255	255	PRON	FAC	it
-1	265	265	NOM	PER	TRESPASSERS
-1	269	269	PRON	PER	He
-1	271	274	NOM	PER	a very selfish Giant
-1	276	278	NOM	PER	The poor children
-1	285	285	PRON	PER	They
-1	290	291	NOM	FAC	the road
-1	294	295	NOM	FAC	the road
-1	306	306	PRON	PER	they
-1	312	312	PRON	PER	They
-1	321	321	PRON	PER	their
-1	329	332	NOM	FAC	the beautiful garden inside
-1	337	337	PRON	PER	we
-1	339	339	NOM	GPE	there
-1	342	342	PRON	PER	they
-1	345	346	NOM	PER	each other
-1	356	357	NOM	LOC	the country
-1	368	373	NOM	FAC	the garden of the Selfish Giant
3	371	373	PROP	PER	the Selfish Giant
-1	379	380	NOM	PER	The birds
-1	391	392	NOM	PER	no children
-1	426	427	NOM	PER	the children
-1	443	448	NOM	PER	The only people who were pleased
4	450	451	PROP	PER	the Snow
5	453	454	PROP	PER	the Frost
6	457	457	PROP	PER	Spring
-1	460	461	NOM	FAC	this garden
-1	464	464	PRON	PER	they
-1	469	469	PRON	PER	we
-1	486	486	PRON	PER	her
-1	501	501	PRON	PER	they
7	503	505	PROP	PER	the North Wind
-1	509	509	PRON	PER	them
-1	512	512	PRON	PER	he
-1	515	515	PRON	PER	He
-1	522	522	PRON	PER	he
-1	527	528	NOM	FAC	the garden
-1	539	539	NOM	FAC	This
-1	541	543	NOM	LOC	a delightful spot
-1	546	546	PRON	PER	he
-1	550	550	PRON	PER	we
-1	553	554	NOM	PER	the Hail
-1	570	570	PRON	PER	he
-1	576	577	NOM	FAC	the castle
-1	579	579	PRON	PER	he
-1	588	588	PRON	PER	he
-1	593	594	NOM	FAC	the garden
-1	598	598	PRON	PER	he
-1	602	602	PRON	PER	He
-1	609	609	PRON	PER	his
-1	616	616	PRON	PER	I
0	621	622	PROP	LOC	the Spring
-1	631	633	NOM	PER	the Selfish Giant
-1	636	636	PRON	PER	he
-1	645	645	PRON	PER	his
-1	645	648	NOM	FAC	his cold white garden
-1	651	651	PRON	PER	I
8	673	674	PROP	PER	The Autumn
-1	679	680	NOM	FAC	every garden
3	684	685	PROP	PER	the Giant
-1	684	687	NOM	FAC	the Giant ’s garden
-1	688	688	PRON	PER	she
-1	693	693	PRON	PER	He
-1	699	699	PRON	PER	she
9	706	706	PROP	PER	Winter
-1	707	707	NOM	GPE	there
3	733	734	PROP	PER	the Giant
-1	741	741	PRON	PER	he
-1	752	752	PRON	PER	his
-1	755	755	PRON	PER	he
-1	760	761	NOM	PER	the King
-1	760	765	NOM	PER	the King ’s musicians passing by
-1	776	776	PRON	PER	his
-1	785	785	PRON	PER	he
-1	792	792	PRON	PER	his
-1	792	793	NOM	FAC	his garden
-1	798	798	PRON	PER	him
-1	806	807	NOM	LOC	the world
-1	815	815	PRON	PER	his
-1	831	831	PRON	PER	him
-1	838	838	PRON	PER	I
-1	849	850	NOM	PER	the Giant
-1	853	853	PRON	PER	he
-1	864	864	PRON	PER	he
-1	867	867	PRON	PER	He
-1	881	882	NOM	PER	the children
-1	888	888	PRON	PER	they
-1	902	902	PRON	PER	he
