COREF	start_token	end_token	prop	cat	text
-1	2	6	NOM	FAC	A House of Pomegranates Author
4	8	13	PROP	PER	Oscar Wilde THE STAR - CHILD
5	15	17	PROP	PER	MISS MARGOT TENNANT
6	19	21	PROP	PER	MRS . ASQUITH
-1	27	29	NOM	PER	two poor Woodcutters
-1	32	32	PRON	PER	their
-1	34	34	NOM	FAC	home
-1	36	40	NOM	LOC	a great pine - forest
-1	80	80	PRON	PER	them
-1	83	83	PRON	PER	they
-1	88	88	PRON	PER	they
0	91	94	PROP	LOC	the Mountain - Torrent
-1	95	95	PRON	PER	she
7	103	106	PROP	PER	the Ice - King
-1	109	109	PRON	PER	her
-1	136	137	NOM	PER	the Wolf
-1	140	140	PRON	PER	he
-1	146	146	PRON	PER	his
-1	149	149	PRON	PER	his
1	162	163	PROP	ORG	the Government
-1	183	185	NOM	PER	the old Earth
-1	189	189	PRON	PER	they
-1	192	192	PRON	PER	her
-1	195	195	PRON	PER	her
2	201	202	PROP	LOC	The Earth
-1	212	212	PRON	PER	her
-1	226	226	PRON	PER	Their
-1	237	237	PRON	PER	they
-1	242	242	PRON	PER	their
8	258	259	PROP	PER	the Wolf
-1	262	262	PRON	PER	I
-1	264	264	PRON	PER	you
1	272	273	PROP	ORG	the Government
-1	277	277	PRON	PER	you
-1	281	281	PRON	PER	me
-1	282	282	PRON	PER	I
-1	285	285	PRON	PER	you
8	288	289	PROP	PER	The Wolf
-1	311	311	PRON	PER	my
-1	322	324	NOM	PER	a born philosopher
-1	327	327	PRON	PER	I
-1	377	378	NOM	PER	each other
-1	383	383	PRON	PER	themselves
9	387	388	PROP	PER	the Rabbits
-1	390	390	PRON	PER	themselves
-1	393	393	PRON	PER	their
-1	407	414	NOM	PER	The only people who seemed to enjoy it
-1	421	421	PRON	PER	Their
-1	430	430	PRON	PER	they
-1	436	436	PRON	PER	they
-1	438	438	PRON	PER	their
-1	447	448	NOM	PER	each other
-1	450	451	NOM	LOC	the forest
-1	473	473	PRON	PER	we
-1	482	484	NOM	PER	the two Woodcutters
-1	489	489	PRON	PER	their
-1	495	495	PRON	PER	their
-1	507	507	PRON	PER	they
-1	520	520	NOM	PER	millers
-1	531	531	PRON	PER	they
-1	539	542	NOM	LOC	the marsh - water
-1	547	547	PRON	PER	their
-1	552	552	PRON	PER	their
-1	556	556	PRON	PER	they
-1	560	560	PRON	PER	them
-1	564	564	PRON	PER	them
-1	570	570	PRON	PER	they
-1	573	573	PRON	PER	they
-1	576	576	PRON	PER	their
-1	585	585	PRON	PER	them
-1	588	588	PRON	PER	they
-1	596	601	NOM	PER	those who sleep in her arms
-1	600	600	PRON	PER	her
-1	604	604	PRON	PER	they
-1	606	606	PRON	PER	their
10	609	623	PROP	PER	the good Saint Martin , who watches over all travellers , and retraced their steps
-1	617	618	NOM	PER	all travellers
-1	622	622	PRON	PER	their
-1	632	632	PRON	PER	they
