COREF	start_token	end_token	prop	cat	text
-1	0	3	NOM	PER	THE THREE CLEVER KINGS
0	5	9	PROP	PER	Illustration ] Old King Roland
-1	12	12	PRON	PER	his
-1	19	19	PRON	PER	he
-1	21	22	NOM	PER	no son
-1	26	26	PRON	PER	him
-1	27	27	PRON	PER	he
-1	30	30	PRON	PER	his
-1	30	32	NOM	PER	his three nephews
1	34	34	PROP	PER	Aldovrand
2	36	36	PROP	PER	Aldebert
3	39	39	PROP	PER	Alderete
-1	43	43	PRON	PER	them
-1	47	47	PRON	PER	My
-1	47	49	NOM	PER	My dear nephews
-1	51	51	PRON	PER	I
-1	54	54	PRON	PER	my
-1	66	66	PRON	PER	you
-1	71	71	NOM	PER	King
-1	73	73	PRON	PER	I
-1	84	84	NOM	PER	King
-1	86	86	PRON	PER	My
-1	86	87	NOM	PER	My people
-1	98	98	PRON	PER	I
-1	101	101	PRON	PER	them
-1	105	105	PRON	PER	my
-1	115	115	PRON	PER	I
-1	118	118	PRON	PER	you
-1	123	123	PRON	PER	I
-1	137	137	PRON	PER	my
-1	141	141	PRON	PER	you
-1	149	149	PRON	PER	You
1	151	151	PROP	PER	Aldovrand
-1	154	154	PRON	PER	you
-1	161	161	NOM	PER	King
-1	166	166	PRON	PER	you
-1	177	177	PRON	PER	you
2	181	181	PROP	PER	Aldebert
-1	183	183	PRON	PER	your
-1	188	188	PRON	PER	he
-1	192	192	PRON	PER	him
3	197	197	PROP	PER	Alderete
-1	201	201	PRON	PER	you
-1	215	218	NOM	PER	the three young men
-1	221	221	PRON	PER	their
-1	221	222	NOM	PER	their uncle
-1	225	226	NOM	PER	each one
-1	229	229	PRON	PER	he
-1	232	232	PRON	PER	his
0	238	240	PROP	PER	old King Roland
1	253	253	PROP	PER	Aldovrand
-1	257	257	NOM	PER	King
-1	260	260	PRON	PER	he
-1	279	279	NOM	PER	King
-1	283	283	PRON	PER	he
-1	290	290	PRON	PER	I
-1	293	293	PRON	PER	myself
-1	298	298	PRON	PER	I
-1	305	306	NOM	PER	no one
-1	309	309	PRON	PER	me
-1	312	312	PRON	PER	I
-1	320	320	PRON	PER	I
-1	330	330	NOM	PER	one
-1	333	333	NOM	PER	one
-1	335	335	NOM	PER	King
-1	340	342	NOM	PER	the Prime Minister
-1	344	345	NOM	PER	the Chancellor
-1	348	349	NOM	FAC	the palace
-1	352	354	NOM	PER	the new King
-1	362	362	PRON	PER	they
-1	366	366	PRON	PER	his
-1	366	367	NOM	PER	his majesty
-1	376	377	NOM	PER	no one
-1	380	380	PRON	PER	him
-1	391	393	NOM	PER	the Prime Minister
-1	401	402	NOM	PER	the Chancellor
-1	405	405	PRON	PER	they
-1	409	410	NOM	FAC	the palace
-1	415	416	NOM	PER	the King
4	422	422	PROP	PER	shuttlecock
-1	424	427	NOM	PER	some of his gentlemen
-1	426	426	PRON	PER	his
-1	426	427	NOM	PER	his gentlemen
-1	437	437	PRON	PER	his
-1	446	446	PRON	PER	he
-1	451	451	PRON	PER	I
-1	452	453	NOM	PER	the King
-1	464	464	PRON	PER	I
-1	469	469	PRON	PER	They
-1	483	485	NOM	PER	the Prime Minister
-1	487	487	NOM	PER	Chancellor
-1	497	502	NOM	PER	the Commander - in - Chief
-1	504	507	NOM	PER	the Lord High Admiral
-1	512	514	NOM	PER	the Prime Minister
-1	516	517	NOM	PER	the Chancellor
-1	526	527	NOM	PER	the King
-1	531	531	PRON	PER	he
-1	538	538	PRON	PER	they
-1	545	545	PRON	PER	they
-1	549	549	PRON	PER	his
-1	549	550	NOM	FAC	his bedroom
-1	562	562	PRON	PER	he
-1	572	572	PRON	PER	them
-1	573	573	PRON	PER	his
-1	582	585	NOM	PER	one of my cousins
-1	584	584	PRON	PER	my
-1	584	585	NOM	PER	my cousins
-1	587	587	NOM	PER	King
-1	590	590	PRON	PER	I
2	608	608	PROP	PER	Aldebert
3	610	610	PROP	PER	Alderete
-1	617	617	PRON	PER	they
-1	624	624	PRON	PER	me
-1	626	626	PRON	PER	I
-1	635	635	PRON	PER	he
-1	637	637	NOM	FAC	downstairs
-1	641	642	NOM	FAC	the palace
-1	646	648	NOM	PER	the Prime Minister
-1	650	651	NOM	PER	the Chancellor
-1	653	654	NOM	PER	the General
-1	656	656	NOM	PER	Admiral
-1	659	660	NOM	PER	each other
1	664	664	PROP	PER	Aldovrand
-1	668	669	NOM	GPE	the town
-1	675	676	NOM	LOC	the country
-1	681	681	PRON	PER	himself
-1	684	684	PRON	PER	he
-1	690	691	NOM	FAC	the fields
