COREF	start_token	end_token	prop	cat	text
1	3	3	PROP	PER	ARASMON
-1	11	13	NOM	PER	a wandering musician
-1	15	15	PRON	PER	his
-1	15	16	NOM	PER	his wife
1	21	21	PROP	PER	Arasmon
2	23	23	PROP	PER	Chrysea
1	25	25	PROP	PER	Arasmon
2	32	32	PROP	PER	Chrysea
-1	36	36	PRON	PER	their
-1	42	42	NOM	PER	people
-1	44	44	PRON	PER	them
-1	46	46	NOM	PER	crowds
-1	49	49	PRON	PER	them
-1	54	54	PRON	PER	they
1	58	58	PROP	PER	Arasmon
-1	60	62	NOM	PER	all who heard
-1	63	63	PRON	PER	him
2	73	73	PROP	PER	Chrysea
-1	75	75	PRON	PER	they
-1	83	83	PRON	PER	her
-1	90	90	PRON	PER	they
-1	96	96	NOM	PER	Both
-1	113	113	PRON	PER	they
-1	115	116	NOM	PER	each other
-1	124	125	NOM	GPE	new countries
-1	127	127	NOM	PER	people
-1	133	133	PRON	PER	They
-1	143	144	NOM	GPE	big cities
-1	148	149	NOM	GPE	little villages
-1	153	154	NOM	FAC	lonely cottages
-1	156	159	NOM	LOC	the sea - shore
-1	163	163	PRON	PER	they
-1	166	170	NOM	FAC	the green lanes and fields
-1	190	190	PRON	PER	them
-1	194	194	PRON	PER	they
-1	196	200	NOM	LOC	a dark line of hills
-1	206	209	NOM	LOC	a wild moorland country
-1	212	212	PRON	PER	they
-1	222	223	NOM	LOC	the hill
-1	224	224	PRON	PER	they
-1	226	228	NOM	GPE	a little village
-1	235	235	PRON	FAC	it
-1	239	239	PRON	PER	they
2	242	242	PROP	PER	Chrysea
-1	257	257	PRON	FAC	it
-1	268	269	NOM	PER	the villagers
-1	273	273	PRON	PER	their
-1	273	274	NOM	FAC	their cottages
-1	279	279	PRON	PER	them
-1	289	289	PRON	PER	us
1	300	300	PROP	PER	Arasmon
-1	307	307	PRON	PER	his
2	311	311	PROP	PER	Chrysea
-1	317	318	NOM	PER	the villagers
-1	322	322	PRON	PER	their
-1	322	323	NOM	FAC	their cottages
-1	327	327	PRON	PER	them
2	332	332	PROP	PER	Chrysea
-1	334	334	PRON	PER	she
-1	339	343	NOM	PER	such forlorn - looking people
-1	345	345	PRON	PER	They
-1	351	351	PRON	PER	their
-1	359	359	PRON	PER	their
-1	376	376	PRON	PER	they
1	379	379	PROP	PER	Arasmon
2	381	381	PROP	PER	Chrysea
-1	385	385	PRON	PER	them
-1	395	395	PRON	PER	they
-1	397	398	NOM	PER	the women
-1	403	404	NOM	PER	the men
-1	406	406	PRON	PER	their
-1	413	413	PRON	PER	they
-1	416	417	NOM	PER	the people
-1	422	422	PRON	PER	their
1	432	432	PROP	PER	Arasmon
-1	438	439	NOM	PER	good friends
-1	442	442	PRON	PER	your
-1	445	445	PRON	PER	yourselves
-1	447	447	PRON	PER	You
-1	458	458	PRON	PER	your
-1	463	463	PRON	PER	us
-1	466	466	PRON	PER	you
-1	474	474	PRON	PER	us
-1	480	480	PRON	PER	we
-1	483	483	PRON	PER	ourselves
-1	493	493	PRON	PER	you
-1	497	497	PRON	PER	you
-1	504	504	PRON	PER	us
-1	508	508	PRON	PER	you
-1	513	513	PRON	PER	us
-1	518	519	NOM	PER	the people
-1	522	523	NOM	PER	each one
-1	530	531	NOM	PER	the strangers
-1	534	534	PRON	PER	them
-1	537	537	PRON	PER	they
1	541	541	PROP	PER	Arasmon
2	543	543	PROP	PER	Chrysea
-1	548	548	PRON	PER	them
-1	550	550	PRON	PER	they
-1	566	566	PRON	PER	they
-1	569	570	NOM	GPE	the village
-1	574	574	PRON	PER	they
-1	577	577	PRON	FAC	its
-1	577	579	NOM	FAC	its narrow streets
-1	580	580	PRON	PER	they
-1	582	583	NOM	GPE	the place
