COREF	start_token	end_token	prop	cat	text
-1	0	2	NOM	PER	THE WISE PRINCESS
0	4	5	PROP	PER	Illustration ]
-1	11	14	NOM	PER	a King whose wife
-1	20	26	NOM	PER	one little daughter who was named Fernanda
1	26	26	PROP	PER	Fernanda
-1	28	28	PRON	PER	She
-1	37	37	PRON	PER	she
-1	39	40	NOM	PER	a child
-1	41	41	PRON	PER	she
-1	44	44	PRON	PER	her
-1	44	45	NOM	PER	her ladies
-1	48	48	PRON	PER	them
-1	52	52	PRON	PER	she
-1	56	56	PRON	PER	Your
-1	56	57	NOM	PER	Your Highness
-1	67	67	PRON	PER	they
-1	69	69	PRON	PER	her
1	72	73	PROP	PER	Princess Fernanda
-1	76	76	PRON	PER	her
-1	84	84	PRON	PER	I
-1	92	92	PRON	PER	she
-1	95	95	PRON	PER	she
-1	97	97	NOM	PER	masters
-1	99	99	NOM	PER	mistresses
-1	102	102	PRON	PER	her
-1	114	114	PRON	PER	she
-1	123	123	PRON	PER	I
-1	131	134	NOM	FAC	a deep cave underground
-1	137	163	NOM	PER	an old Wizard who was so wise that his face was well - nigh black with wrinkles , and his long white beard flowed to his feet
-1	145	145	PRON	PER	his
-1	156	156	PRON	PER	his
-1	162	162	PRON	PER	his
-1	165	165	PRON	PER	He
-1	180	180	PRON	PER	his
-1	191	191	PRON	PER	him
-1	198	199	NOM	PER	every one
1	203	204	PROP	PER	Princess Fernanda
-1	210	211	NOM	FAC	the stairs
-1	215	216	NOM	FAC	the palace
-1	219	220	NOM	PER	any one
-1	226	227	NOM	PER	the Wizard
-1	226	229	NOM	FAC	the Wizard 's cave
-1	231	233	NOM	PER	The old man
-1	237	237	PRON	PER	his
-1	253	253	PRON	PER	he
-1	255	255	PRON	PER	his
-1	258	259	NOM	PER	the Princess
-1	269	269	PRON	PER	her
-1	271	271	PRON	PER	She
-1	280	280	PRON	PER	her
-1	291	291	PRON	PER	her
-1	297	297	PRON	PER	you
-1	302	302	PRON	PER	you
-1	305	305	PRON	PER	me
-1	308	308	PRON	PER	he
-1	313	313	PRON	PER	I
1	315	317	PROP	PER	the Princess Fernanda
-1	320	320	PRON	PER	she
-1	325	325	PRON	PER	I
-1	329	329	PRON	PER	your
-1	329	330	NOM	PER	your pupil
-1	333	333	PRON	PER	me
-1	335	335	PRON	PER	you
-1	342	342	PRON	PER	you
-1	349	350	NOM	PER	the Wizard
-1	353	353	PRON	PER	you
-1	365	365	PRON	PER	I
-1	373	374	NOM	PER	the Princess
-1	380	380	PRON	PER	me
-1	382	382	PRON	PER	you
-1	385	385	PRON	PER	me
-1	386	388	NOM	PER	an apt pupil
-1	391	391	PRON	PER	I
-1	394	394	PRON	PER	you
-1	400	400	PRON	PER	I
-1	404	404	PRON	PER	your
-1	409	410	NOM	PER	the Wizard
-1	416	416	PRON	PER	me
-1	427	427	PRON	PER	you
-1	431	431	PRON	PER	I
-1	438	439	NOM	PER	the Princess
-1	443	444	NOM	PER	the Wizard
-1	443	446	NOM	FAC	the Wizard 's cave
-1	448	450	NOM	PER	all the court
-1	455	456	NOM	PER	the people
-1	459	459	PRON	PER	her
-1	470	470	PRON	PER	she
-1	475	475	PRON	PER	she
-1	486	487	NOM	PER	the Wizard
-1	490	490	PRON	PER	her
-1	495	495	PRON	PER	I
-1	498	498	PRON	PER	you
-1	503	503	PRON	PER	You
-1	508	508	PRON	PER	I.
-1	511	512	NOM	PER	the Princess
-1	514	514	PRON	PER	him
-1	519	519	PRON	PER	her
-1	519	520	NOM	PER	her father
-1	519	522	NOM	FAC	her father 's palace
-1	524	524	PRON	PER	She
-1	529	529	PRON	PER	She
-1	541	542	NOM	LOC	the deep
-1	544	544	PRON	PER	her
-1	554	554	PRON	PER	She
-1	565	566	NOM	LOC	the sea
-1	571	571	PRON	PER	She
-1	575	575	PRON	PER	her
-1	575	576	NOM	PER	her enemies
-1	585	585	PRON	PER	her
-1	585	586	NOM	PER	her friends
-1	594	594	PRON	PER	she
-1	597	597	PRON	PER	her
-1	604	604	PRON	PER	her
-1	612	612	PRON	PER	She
-1	614	614	PRON	PER	she
-1	619	619	PRON	PER	her
-1	619	620	NOM	PER	her father
-1	622	622	PRON	PER	she
-1	631	632	NOM	PER	the physicians
-1	635	635	PRON	PER	she
-1	637	637	PRON	PER	him
-1	642	642	NOM	PER	physicians
-1	644	644	PRON	PER	me
-1	646	646	PRON	PER	my
-1	646	647	NOM	PER	my father
-1	650	650	PRON	PER	she
-1	656	656	PRON	PER	I
-1	660	660	PRON	PER	they
-1	669	669	PRON	PER	she
-1	672	672	PRON	PER	her
-1	676	677	NOM	PER	the Wizard
