COREF	start_token	end_token	prop	cat	text
4	3	6	PROP	PER	DRAGONS E. Nesbit II
5	8	9	PROP	PER	Uncle James
-1	12	16	NOM	PER	The Purple Stranger The Princess
-1	18	21	NOM	PER	the gardener 's boy
-1	25	26	NOM	FAC	the backyard
-1	31	31	PRON	PER	you
-1	34	34	PRON	PER	you
6	38	38	PROP	PER	Princess
-1	42	45	NOM	PER	the gardener 's boy
-1	48	48	PRON	PER	I
-1	53	53	PRON	PER	you
7	55	55	PROP	PER	Tom
-1	59	60	NOM	PER	the Princess
-1	64	64	PRON	PER	you
-1	73	76	NOM	PER	the gardener 's boy
-1	79	79	PRON	PER	I
-1	85	85	PRON	PER	I
-1	88	88	PRON	PER	you
-1	90	90	PRON	PER	you
-1	94	94	PRON	PER	I
-1	100	103	NOM	PER	the gardener 's boy
-1	109	109	PRON	PER	he
-1	116	117	NOM	PER	a general
-1	119	120	NOM	PER	a poet
-1	122	124	NOM	PER	a Prime Minister
-1	126	127	NOM	PER	an admiral
-1	129	131	NOM	PER	a civil engineer
-1	135	135	PRON	PER	he
-1	140	140	PRON	PER	his
-1	143	143	NOM	FAC	school
-1	146	152	NOM	PER	tip - top of the geography class
6	156	159	PROP	PER	the Princess Mary Ann
-1	161	161	PRON	PER	she
-1	163	167	NOM	PER	a very good little girl
-1	170	170	NOM	PER	everyone
-1	172	172	PRON	PER	her
-1	174	174	PRON	PER	She
-1	183	183	PRON	PER	her
5	183	196	PROP	PER	her Uncle James and to other people whom she did not like very much
5	185	185	PROP	PER	James
-1	191	191	PRON	PER	she
-1	200	200	PRON	PER	she
-1	207	208	NOM	PER	a Princess
-1	210	210	PRON	PER	she
-1	215	215	PRON	PER	her
-1	220	220	PRON	PER	you
-1	225	225	PRON	PER	you
-1	229	229	PRON	PER	your
-1	232	232	PRON	PER	you
-1	240	240	PRON	PER	you
-1	247	247	PRON	PER	they
-1	255	256	NOM	PER	the Princess
-1	263	263	PRON	PER	She
-1	268	268	PRON	PER	her
-1	271	271	PRON	PER	She
-1	274	274	PRON	PER	her
-1	279	279	PRON	PER	her
-1	287	287	PRON	PER	she
-1	292	292	PRON	PER	her
-1	295	295	PRON	PER	their
-1	295	300	NOM	FAC	their little hutch in the backyard
-1	299	300	NOM	FAC	the backyard
-1	302	302	PRON	PER	Her
-1	307	307	PRON	PER	her
6	311	312	PROP	PER	Mary Ann
-1	314	314	PRON	PER	her
-1	314	315	NOM	PER	her nurse
-1	328	328	PRON	PER	her
-1	331	331	PRON	PER	it
-1	342	342	PRON	PER	her
-1	357	358	NOM	PER	the Princess
