COREF	start_token	end_token	prop	cat	text
-1	7	24	NOM	PER	a farmer who was so avaricious and miserly , and so hard and close in all his dealings
-1	23	23	PRON	PER	his
-1	28	28	NOM	PER	folks
-1	31	31	PRON	PER	he
-1	37	38	NOM	PER	A Jew
-1	40	41	NOM	PER	a Yorkshireman
-1	48	48	PRON	PER	him
-1	65	65	PRON	PER	he
-1	87	87	PRON	PER	he
-1	97	97	PRON	PER	he
-1	106	106	PRON	PER	he
-1	113	113	PRON	PER	himself
-1	119	119	PRON	PER	him
-1	123	123	PRON	PER	his
-1	123	125	NOM	PER	his next neighbour
-1	123	127	NOM	FAC	his next neighbour 's farm
-1	134	134	PRON	PER	his
-1	141	142	NOM	PER	the owner
-1	149	149	PRON	PER	our
-1	149	150	NOM	PER	our farmer
-1	157	157	PRON	PER	he
-1	159	159	PRON	PER	his
-1	159	164	NOM	LOC	his own worn - out land
-1	174	174	PRON	PER	his
-1	174	175	NOM	FAC	his field
-1	179	186	NOM	FAC	the richly - fed fields of his neighbour
-1	185	185	PRON	PER	his
-1	185	186	NOM	PER	his neighbour
-1	188	188	PRON	PER	he
-1	210	210	PRON	PER	he
-1	220	220	PRON	PER	his
-1	230	230	PRON	PER	he
-1	232	232	PRON	PER	his
-1	240	240	PRON	PER	his
-1	248	248	PRON	PER	his
-1	248	249	NOM	PER	his neighbour
-1	253	253	PRON	PER	he
-1	269	269	NOM	FAC	home
-1	278	280	NOM	PER	the liberal farmer
0	285	285	PROP	PER	Merryweather
-1	289	292	NOM	PER	a dwarf or hillman
-1	299	299	PRON	PER	he
-1	306	308	NOM	PER	the covetous farmer
-1	314	314	PRON	PER	him
-1	319	319	PRON	PER	he
-1	324	324	PRON	PER	his
-1	324	325	NOM	FAC	his house
-1	329	329	PRON	PER	him
-1	331	331	PRON	PER	he
-1	335	335	PRON	PER	him
-1	351	351	PRON	PER	he
-1	354	354	PRON	PER	him
-1	362	363	NOM	LOC	the hill
-1	375	376	NOM	PER	The farmer
-1	388	388	PRON	PER	his
-1	388	389	NOM	PER	his neighbour
-1	388	391	NOM	FAC	his neighbour 's estate
-1	395	395	PRON	PER	he
-1	402	404	NOM	PER	the liberal farmer
-1	406	406	PRON	PER	his
-1	410	412	NOM	PER	the good people
-1	414	414	PRON	PER	he
-1	418	420	NOM	PER	the little man
-1	427	427	PRON	PER	you
-1	429	429	NOM	PER	wife
-1	433	433	PRON	PER	he
-1	449	449	PRON	PER	we
-1	452	452	PRON	PER	our
-1	458	458	PRON	PER	I
-1	461	461	PRON	PER	my
-1	461	462	NOM	PER	my grandfather
-1	465	477	NOM	PER	a man who lent a sack of oats to one of the fairies
-1	476	477	NOM	PER	the fairies
-1	493	493	PRON	PER	he
-1	498	498	PRON	PER	he
-1	507	508	NOM	PER	the farmer
-1	526	527	NOM	PER	the dwarf
-1	545	545	PRON	PER	us
-1	549	549	NOM	PER	neighbour
-1	552	552	PRON	PER	you
-1	560	560	PRON	PER	you
-1	568	569	NOM	PER	the farmer
-1	572	572	PRON	PER	he
-1	577	577	PRON	PER	his
-1	583	583	PRON	PER	his
-1	599	599	PRON	PER	you
-1	601	602	NOM	PER	dear sir
-1	605	605	PRON	PER	he
-1	615	615	PRON	PER	I
-1	620	620	PRON	PER	My
-1	620	621	NOM	PER	My wife
-1	623	623	PRON	PER	us
-1	627	627	NOM	PER	witness
-1	629	629	NOM	PER	Wife
-1	631	631	NOM	PER	wife
-1	634	634	PRON	PER	he
-1	639	640	NOM	FAC	the kitchen
-1	643	643	PRON	PER	I
-1	652	652	PRON	PER	I
-1	658	658	PRON	PER	I
0	663	664	PROP	PER	neighbour Merryweather
-1	663	666	NOM	FAC	neighbour Merryweather 's estate
-1	680	680	PRON	PER	I
-1	702	702	PRON	PER	You
-1	715	716	NOM	PER	the dwarf
-1	723	723	PRON	PER	him
-1	726	726	PRON	PER	I
-1	734	734	PRON	PER	me
-1	735	735	PRON	PER	my
-1	744	744	PRON	PER	your
-1	744	745	NOM	FAC	your house
-1	753	753	PRON	PER	you
-1	756	756	PRON	PER	your
-1	764	765	NOM	PER	the farmer
-1	775	776	NOM	PER	the dwarf
-1	781	781	PRON	PER	his
-1	786	786	PRON	PER	he
-1	789	789	PRON	PER	he
-1	804	804	PRON	PER	his
-1	808	808	PRON	PER	he
-1	814	814	PRON	PER	he
-1	836	836	PRON	PER	he
-1	839	839	PRON	PER	himself
-1	848	849	NOM	PER	thriftless people
-1	857	857	PRON	PER	our
-1	857	858	NOM	FAC	our house
-1	886	886	PRON	PER	he
-1	894	894	PRON	PER	my
-1	921	921	PRON	PER	his
-1	924	924	PRON	PER	he
-1	926	926	PRON	PER	his
-1	938	938	PRON	PER	you
-1	941	941	NOM	PER	sir
-1	943	943	PRON	PER	You
-1	946	947	NOM	PER	dear sir
-1	954	954	PRON	PER	you
-1	962	963	NOM	PER	each other
-1	964	964	PRON	PER	we
-1	964	965	NOM	PER	we men
-1	976	976	PRON	PER	we
-1	987	987	PRON	PER	we
-1	991	991	PRON	PER	my
-1	991	993	NOM	PER	my dear sir
-1	998	998	PRON	PER	you
-1	1000	1000	PRON	PER	me
-1	1003	1003	PRON	PER	you
-1	1013	1014	NOM	PER	the dwarf
-1	1021	1021	PRON	PER	you
-1	1028	1029	NOM	PER	dear sir
-1	1031	1031	PRON	PER	I
-1	1035	1035	PRON	PER	you
-1	1039	1040	NOM	PER	the farmer
-1	1044	1044	PRON	PER	you
-1	1060	1060	PRON	PER	you
-1	1065	1065	PRON	PER	I
-1	1070	1070	PRON	PER	you
-1	1074	1074	PRON	PER	I
-1	1077	1077	PRON	PER	you
-1	1083	1083	PRON	PER	you
-1	1089	1090	NOM	PER	the dwarf
-1	1096	1096	PRON	PER	you
-1	1099	1099	PRON	PER	I
-1	1111	1111	PRON	PER	he
-1	1120	1120	PRON	PER	his
-1	1129	1130	NOM	PER	the farmer
-1	1149	1149	PRON	PER	his
-1	1153	1153	PRON	PER	His
-1	1153	1154	NOM	PER	His wife
-1	1160	1160	PRON	PER	he
-1	1166	1166	PRON	PER	he
-1	1173	1173	PRON	PER	her
-1	1179	1179	PRON	PER	he
-1	1183	1183	PRON	PER	we
-1	1188	1198	NOM	PER	the foolish couple who wasted three wishes on black - puddings
-1	1202	1202	PRON	PER	I
-1	1211	1212	NOM	PER	the fisherman
-1	1211	1214	NOM	PER	the fisherman 's wife
-1	1216	1216	PRON	PER	I
-1	1239	1239	PRON	PER	he
-1	1243	1243	PRON	PER	his
-1	1252	1252	PRON	PER	his
-1	1252	1253	NOM	PER	his neighbour
-1	1252	1255	NOM	FAC	his neighbour 's estate
-1	1269	1270	NOM	PER	the farmer
-1	1276	1277	NOM	PER	the dwarf
-1	1283	1283	PRON	PER	his
-1	1289	1289	PRON	PER	he
-1	1300	1300	PRON	PER	his
-1	1304	1304	PRON	PER	You
-1	1312	1313	NOM	PER	the farmer
-1	1319	1319	PRON	PER	My
-1	1319	1320	NOM	PER	My wife
-1	1324	1324	PRON	PER	I
-1	1333	1333	PRON	PER	I
-1	1338	1338	PRON	PER	I
-1	1352	1353	NOM	PER	the dwarf
-1	1356	1356	PRON	PER	I
0	1358	1359	PROP	PER	neighbour Merryweather
-1	1358	1361	NOM	FAC	neighbour Merryweather 's estate
-1	1365	1366	NOM	PER	the farmer
-1	1371	1375	NOM	LOC	all this land below here
-1	1381	1381	PRON	PER	your
-1	1391	1392	NOM	PER	the farmer
0	1395	1396	PROP	PER	Farmer Merryweather
-1	1395	1398	NOM	FAC	Farmer Merryweather 's fields
-1	1408	1409	NOM	PER	the dwarf
-1	1424	1424	PRON	PER	You
-1	1432	1433	NOM	PER	the farmer
-1	1445	1445	PRON	PER	he
-1	1449	1449	PRON	PER	he
-1	1455	1455	PRON	PER	his
-1	1463	1464	NOM	PER	the dwarf
-1	1467	1467	PRON	PER	him
-1	1471	1471	PRON	PER	me
-1	1472	1472	PRON	PER	my
-1	1480	1480	PRON	PER	he
-1	1489	1489	PRON	PER	your
-1	1494	1494	PRON	PER	you
-1	1508	1508	PRON	PER	he
-1	1513	1513	PRON	PER	I
-1	1528	1528	PRON	PER	your
-1	1533	1534	NOM	PER	the dwarf
-1	1539	1540	NOM	PER	the miser
-1	1559	1559	PRON	PER	your
-1	1563	1563	PRON	PER	he
-1	1570	1571	NOM	PER	the farmer
-1	1575	1575	PRON	PER	he
-1	1584	1584	PRON	PER	my
-1	1587	1587	PRON	PER	I
-1	1590	1590	PRON	PER	you
-1	1592	1592	PRON	PER	you
-1	1598	1598	PRON	PER	he
-1	1600	1601	NOM	PER	the farmer
-1	1607	1607	PRON	PER	he
-1	1609	1609	PRON	PER	him
-1	1616	1617	NOM	LOC	the hill
-1	1619	1619	PRON	PER	his
-1	1630	1630	PRON	PER	you
-1	1632	1632	PRON	PER	I
-1	1635	1635	PRON	PER	you
-1	1642	1643	NOM	PER	the dwarf
-1	1647	1648	NOM	PER	the farmer
-1	1653	1653	PRON	PER	he
-1	1658	1658	PRON	PER	his
-1	1658	1659	NOM	LOC	his hill
