COREF	start_token	end_token	prop	cat	text
1	0	1	PROP	FAC	Dymchurch Flit
61	14	17	NOM	PER	the hop - pickers
62	19	20	NOM	PER	The mothers
63	22	24	NOM	PER	the bouncing perambulators
64	27	28	NOM	FAC	the gardens
65	42	44	NOM	PER	The young couples
66	46	46	NOM	FAC	home
67	54	56	NOM	PER	the single men
65	59	59	PRON	PER	them
29	62	62	PROP	PER	Dan
30	64	64	PROP	PER	Una
65	71	71	PRON	PER	their
68	80	83	NOM	FAC	the oast - house
31	86	87	PROP	PER	old Hobden
32	90	93	PROP	PER	Blue - eyed Bess
31	95	95	PRON	PER	his
65	109	109	PRON	PER	They
65	111	111	PRON	PER	themselves
31	131	131	PROP	PER	Hobden
31	163	163	PRON	PER	he
31	191	191	PRON	PER	he
31	194	194	PRON	PER	him
29	196	196	PROP	PER	Dan
29	201	201	PRON	PER	his
29	209	209	PRON	PER	he
31	229	229	PRON	PER	he
68	234	237	NOM	FAC	the oast - house
31	247	247	PRON	PER	he
70	252	253	NOM	FAC	the lanthorn
71	255	256	NOM	PER	The children
71	262	262	PRON	PER	they
71	264	264	PRON	PER	them
33	268	270	PROP	PER	The Bee Boy
31	272	272	PROP	PER	Hobden
72	272	274	NOM	PER	Hobden ’s son
33	282	282	PRON	PER	his
33	286	286	PRON	PER	he
71	299	299	PRON	PER	They
32	304	304	PROP	PER	Bess
71	311	311	PRON	PER	them
34	324	326	PROP	PER	Old Mother Laidinwool
34	334	334	PRON	PER	She
34	346	346	PRON	PER	her
179	355	361	NOM	PER	two people made to holler like that
31	365	366	PROP	PER	old Hobden
34	375	375	PRON	PER	she
180	378	389	NOM	PER	The boys I ’ve picked with when I was young and fair
74	380	380	PRON	PER	I
74	385	385	PRON	PER	I
180	391	391	PRON	PER	They
74	401	401	PRON	PER	I
181	407	408	NOM	PER	A man
71	419	419	PRON	PER	They
73	430	430	PRON	PER	I
73	434	434	PRON	PER	You
35	436	436	PROP	PER	Tom
35	438	439	PROP	PER	Tom Shoesmith
31	442	442	PROP	PER	Hobden
31	444	444	PRON	PER	his
74	448	448	PRON	PER	You
74	457	457	PRON	PER	your
36	462	462	PROP	PER	Ralph
74	465	466	NOM	PER	The stranger
31	475	475	PROP	PER	Hobden
75	477	489	NOM	PER	a grey - whiskered , brown - faced giant with clear blue eyes
76	491	491	PRON	PER	They
71	496	497	NOM	PER	the children
74	507	507	PRON	PER	You
74	514	514	PRON	PER	your
31	519	519	PROP	PER	Hobden
74	529	529	PRON	PER	you
0	531	531	PRON	PER	my
2	534	535	PROP	LOC	Peasmarsh Fair
76	547	547	PRON	PER	us
74	554	554	PRON	PER	You
0	559	559	PRON	PER	me
76	568	568	PRON	PER	we
66	570	570	NOM	FAC	home
37	585	585	PROP	PER	Gubbs
31	603	604	PROP	PER	Old Hobden
31	607	607	PRON	PER	his
74	612	612	PRON	PER	I
74	614	614	PRON	PER	you
74	618	618	PRON	PER	your
182	621	622	NOM	LOC	the woods
183	624	624	PRON	PER	D’ye
74	633	634	NOM	PER	The stranger
31	642	642	PROP	PER	Hobden
31	653	653	PRON	PER	he
31	671	671	PRON	PER	me
74	675	675	PRON	PER	she
74	679	679	PRON	PER	she
74	686	686	PRON	PER	your
79	697	697	PRON	PER	I
3	701	701	PROP	GPE	Plymouth
79	703	703	PRON	PER	I
4	707	707	PROP	GPE	Dover
79	709	709	PRON	PER	I
79	715	715	NOM	PER	boys
80	717	719	NOM	LOC	the wide world
185	723	724	NOM	PER	the man
0	729	729	PRON	PER	I
0	731	731	PRON	PER	I
5	737	737	PROP	GPE	England
185	742	742	PRON	PER	He
71	745	746	NOM	PER	the children
38	752	752	PRON	PER	I
71	754	754	PRON	PER	they
71	756	756	PRON	PER	you
0	765	765	PRON	PER	I
5	769	769	PROP	GPE	England
38	772	772	PROP	PER	Wiltsheer
0	775	775	PRON	PER	I
31	789	789	PROP	PER	Hobden
0	800	800	PRON	PER	You
0	804	804	PRON	PER	your
36	812	812	PROP	PER	Ralph
31	829	829	PROP	PER	Hobden
0	835	835	PRON	PER	I
0	843	843	PRON	PER	you
0	849	849	PRON	PER	me
0	851	851	PRON	PER	my
81	858	860	NOM	PER	The great man
81	873	873	PRON	PER	his
81	879	879	PRON	PER	me
81	884	884	PRON	PER	he
82	888	888	PRON	PER	they
83	890	890	NOM	FAC	upstairs
71	893	894	NOM	PER	The children
71	896	896	PRON	PER	their
71	924	924	PRON	PER	they
30	934	934	PROP	PER	Una
85	937	939	NOM	PER	the Bee Boy
39	942	942	PROP	PER	Dunno
30	946	946	PRON	PER	you
30	949	949	PRON	PER	you
81	954	954	PRON	PER	he
40	980	980	PROP	PER	Presently
82	998	998	PRON	PER	they
41	1021	1021	PROP	PER	Gently
71	1024	1024	PRON	PER	they
31	1026	1026	PROP	PER	Hobden
30	1030	1030	PRON	PER	You
86	1033	1033	PRON	PER	her
30	1036	1036	PRON	PER	you
30	1041	1041	PRON	PER	You
42	1046	1046	PROP	PER	Gleason
35	1050	1050	PROP	PER	Tom
86	1060	1060	PRON	PER	She
82	1066	1066	PRON	PER	They
31	1072	1072	PROP	PER	Hobden
35	1083	1084	PROP	PER	Tom Shoesmith
71	1087	1088	NOM	PER	the children
71	1101	1101	PRON	PER	you
35	1107	1107	PRON	PER	I
35	1112	1112	PRON	PER	he
85	1117	1119	NOM	PER	the Bee Boy
30	1122	1122	PROP	PER	Una
29	1125	1125	PROP	PER	Dan
35	1128	1128	PRON	PER	I
187	1131	1134	NOM	PER	sort o ’ man
71	1135	1135	PRON	PER	you
31	1139	1140	PROP	PER	old Hobden
71	1153	1153	PRON	PER	ye
35	1156	1156	PROP	PER	Tom
35	1160	1160	PRON	PER	his
82	1166	1166	PRON	PER	us
188	1173	1174	NOM	FAC	Church Bells
6	1177	1178	PROP	LOC	Running Water
31	1192	1192	PROP	PER	Hobden
7	1206	1206	PROP	GPE	Robertsbridge
189	1209	1212	NOM	PER	the miller ’s man
190	1216	1217	NOM	FAC	the street
31	1226	1227	PROP	PER	Old Hobden
31	1229	1229	PRON	PER	himself
0	1241	1241	PRON	PER	I
0	1245	1245	PRON	PER	my
191	1245	1246	NOM	PER	my woman
8	1248	1249	PROP	LOC	the Marsh
43	1253	1253	PROP	PER	Carter
0	1258	1258	PRON	PER	I
0	1268	1268	PRON	PER	Mine
192	1270	1272	NOM	PER	a Marsh woman
193	1276	1280	NOM	FAC	Won’erful odd - gates place
9	1282	1283	PROP	LOC	Romney Marsh
35	1287	1288	PROP	PER	Tom Shoesmith
35	1291	1291	PRON	PER	I
194	1295	1296	NOM	LOC	the world
10	1301	1301	PROP	GPE	Europe
11	1303	1305	PROP	LOC	Ashy , Afriky
12	1307	1307	PROP	LOC	Ameriky
13	1309	1309	PROP	GPE	Australy
9	1313	1314	PROP	LOC	Romney Marsh
195	1318	1320	NOM	PER	The Marsh folk
31	1326	1326	PROP	PER	Hobden
31	1329	1329	PRON	PER	I
0	1338	1338	PRON	PER	my
191	1338	1339	NOM	PER	my woman
191	1348	1348	PRON	PER	she
35	1353	1353	PRON	PER	I
36	1357	1357	PROP	PER	Ralph
31	1367	1367	PROP	PER	Hobden
31	1373	1373	PRON	PER	his
191	1378	1378	PRON	PER	she
196	1381	1382	NOM	PER	a Pett
191	1389	1389	PRON	PER	she
31	1396	1396	PROP	PER	Hobden
90	1414	1414	PRON	PER	their
191	1422	1422	PRON	PER	She
91	1439	1439	PRON	PER	our
191	1445	1445	PRON	PER	she
191	1455	1455	PRON	PER	she
31	1464	1464	PRON	PER	He
35	1483	1483	PRON	PER	I
44	1487	1488	PROP	PER	the Whitgifts
35	1500	1500	PROP	PER	Shoesmith
191	1504	1504	PRON	PER	she
191	1510	1510	PRON	PER	She
197	1516	1520	NOM	PER	any nigro - mancin ’
31	1524	1524	PROP	PER	Hobden
191	1528	1528	PRON	PER	she
191	1554	1554	PRON	PER	she
191	1563	1563	PRON	PER	she
35	1576	1576	PROP	PER	Tom
198	1579	1581	NOM	PER	All Marsh folk
199	1584	1584	NOM	PER	smugglers
191	1594	1594	PRON	PER	her
200	1605	1607	NOM	PER	Nature - ally
31	1610	1611	PROP	PER	old Hobden
31	1617	1617	PRON	PER	I
92	1627	1627	PRON	PER	us
8	1629	1630	PROP	LOC	the Marsh
0	1637	1637	PRON	PER	my
191	1637	1638	NOM	PER	my woman
31	1653	1653	PRON	PER	his
94	1655	1655	NOM	PER	Pharisees
31	1661	1661	PRON	PER	I
201	1664	1665	NOM	PER	Marsh men
35	1671	1671	PROP	PER	Tom
202	1675	1681	NOM	PER	the wide - eyed children beside Bess
32	1681	1681	PROP	PER	Bess
45	1684	1684	PROP	PER	Pharisees
30	1688	1688	PROP	PER	Una
46	1691	1691	PROP	PER	Fairies
30	1695	1695	PRON	PER	I
14	1703	1704	PROP	LOC	the Hills
85	1708	1710	NOM	PER	the Bee Boy
85	1715	1715	PRON	PER	his
95	1723	1723	PRON	PER	you
31	1728	1728	PROP	PER	Hobden
95	1732	1732	PRON	PER	him
31	1735	1735	PRON	PER	My
204	1735	1736	NOM	PER	My boy
95	1738	1738	PRON	PER	he
32	1740	1740	PRON	PER	her
32	1743	1743	PRON	PER	her
32	1752	1752	PRON	PER	she
205	1754	1754	PRON	PER	’em
0	1761	1761	PRON	PER	you
31	1774	1774	PROP	PER	Hobden
206	1778	1793	NOM	PER	A man that uses fields an ’ shaws after dark as much as I ’ve done
207	1782	1782	NOM	FAC	fields
0	1791	1791	PRON	PER	I
96	1795	1795	PRON	PER	he
96	1801	1801	PRON	PER	his
208	1801	1806	NOM	FAC	his road excep ’ for keepers
209	1806	1806	NOM	PER	keepers
35	1818	1818	PROP	PER	Tom
0	1823	1823	PRON	PER	I
0	1825	1825	PRON	PER	ye
0	1839	1839	PRON	PER	ye
0	1844	1844	PRON	PER	ye
210	1855	1856	NOM	PER	that tater
31	1860	1860	PROP	PER	Hobden
0	1865	1865	PRON	PER	My
0	1879	1879	PRON	PER	you
97	1898	1898	PRON	PER	D’ye
0	1903	1903	PRON	PER	ye
0	1907	1907	PRON	PER	I
0	1915	1915	PRON	PER	I
0	1922	1922	PRON	PER	I
0	1929	1929	PRON	PER	you
211	1943	1943	NOM	PER	men
0	1954	1954	PRON	PER	I
0	1957	1957	PRON	PER	I
0	1964	1964	PRON	PER	you
212	1965	1966	NOM	PER	a liar
