COREF	start_token	end_token	prop	cat	text
1	0	1	PROP	FAC	Goblin Market
4	3	4	PROP	PER	CHRISTINA ROSSETTI
5	8	8	PROP	PER	Maids
-1	10	11	NOM	PER	the goblins
-1	17	17	PRON	PER	our
-1	55	75	NOM	PER	Wild free - born cranberries , Crab - apples , dewberries , Pine - apples , blackberries , Apricots , strawberries
-1	86	89	NOM	PER	Morns that pass by
-1	102	102	PRON	PER	Our
-1	124	126	NOM	PER	Damsons and bilberries
-1	147	147	PRON	PER	your
2	152	153	PROP	LOC	the South
6	178	178	PROP	PER	Laura
-1	180	180	PRON	PER	her
7	185	185	PROP	PER	Lizzie
-1	187	187	PRON	PER	her
6	217	217	PROP	PER	Laura
-1	222	222	PRON	PER	her
-1	227	227	PRON	PER	We
-1	232	233	NOM	PER	goblin men
-1	235	235	PRON	PER	We
-1	239	239	PRON	PER	their
-1	247	247	PRON	PER	they
-1	249	249	PRON	PER	Their
-1	265	266	NOM	LOC	the glen
7	273	273	PROP	PER	Lizzie
6	276	276	PROP	PER	Laura
6	278	278	PROP	PER	Laura
-1	280	280	PRON	PER	You
-1	285	286	NOM	PER	goblin men
7	289	289	PROP	PER	Lizzie
-1	292	292	PRON	PER	her
-1	298	298	PRON	PER	they
6	302	302	PROP	PER	Laura
-1	304	304	PRON	PER	her
-1	311	313	NOM	LOC	the restless brook
7	318	318	PROP	PER	Lizzie
7	322	322	PROP	PER	Lizzie
-1	325	326	NOM	LOC	the glen
-1	328	329	NOM	PER	little men
-1	331	331	NOM	PER	One
-1	336	336	NOM	PER	One
-1	341	341	NOM	PER	One
7	380	380	PROP	PER	Lizzie
-1	389	389	PRON	PER	Their
-1	394	394	PRON	PER	us
-1	396	396	PRON	PER	Their
-1	401	401	PRON	PER	us
-1	404	404	PRON	PER	She
6	419	419	PROP	PER	Laura
-1	425	427	NOM	PER	each merchant man
-1	429	429	NOM	PER	One
-1	441	445	NOM	PER	One tramp’d at a rat
-1	449	453	NOM	PER	One crawl’d like a snail
-1	455	470	NOM	PER	One like a wombat prowl’d obtuse and furry , One like a ratel tumbled hurry skurry
-1	472	472	PRON	PER	She
-1	484	484	PRON	PER	They
