COREF	start_token	end_token	prop	cat	text
3	1	1	PROP	PER	MELISANDE
3	12	14	PROP	PER	the Princess Melisande
3	18	18	PRON	PER	her
9	18	19	NOM	PER	her mother
10	21	22	NOM	PER	the Queen
11	32	33	NOM	PER	the King
11	35	35	PRON	PER	his
11	40	40	PRON	PER	he
11	47	47	PRON	PER	I
11	60	60	PRON	PER	he
10	65	65	PRON	PER	you
10	67	67	PRON	PER	your
284	72	75	NOM	PER	some fairy or other
10	84	84	PRON	PER	you
11	97	97	PRON	PER	my
285	97	99	NOM	PER	my own family
4	108	110	PROP	PER	The Fairy Malevola
11	115	115	PRON	PER	my
286	115	118	NOM	PER	my great - grandmother
10	123	123	PRON	PER	you
10	139	139	PRON	PER	you
10	145	146	NOM	PER	the Queen
10	149	149	PRON	PER	My
287	149	151	NOM	PER	My own cousin
287	162	162	PRON	PER	she
287	169	169	PRON	PER	her
288	169	170	NOM	PER	her daughter
289	175	177	NOM	PER	the old wretch
290	186	187	NOM	PER	the girl
290	192	192	PRON	PER	her
291	213	216	NOM	PER	the kitchen - maids
11	220	221	NOM	PER	the King
292	224	224	PRON	PER	we
11	232	232	PRON	PER	I
290	235	235	PRON	PER	her
293	235	236	NOM	PER	her godfather
10	239	239	PRON	PER	you
290	242	242	PRON	PER	her
294	242	243	NOM	PER	her godmother
292	246	246	PRON	PER	we
295	250	252	NOM	PER	a single fairy
296	255	257	NOM	PER	none of them
19	257	257	PRON	PER	them
19	265	265	PRON	PER	they
10	271	272	NOM	PER	the Queen
11	282	283	NOM	PER	the King
10	285	286	NOM	PER	the Queen
17	288	289	NOM	PER	the baby
18	295	296	NOM	PER	the parlourmaid
19	298	298	PRON	PER	them
11	309	309	PRON	PER	your
297	309	310	NOM	PER	your Majesty
298	312	313	NOM	PER	several ladies
18	317	317	PRON	PER	I
298	319	319	PRON	PER	them
11	320	320	PRON	PER	you
299	324	324	NOM	FAC	home
298	327	327	PRON	PER	they
298	330	330	PRON	PER	they
298	337	337	PRON	PER	they
300	339	340	NOM	FAC	the parlour
10	344	345	NOM	PER	the Queen
18	348	348	PRON	PER	I
298	351	351	PRON	PER	them
301	353	355	NOM	FAC	the Throne Room
11	357	357	PRON	PER	your
297	357	358	NOM	PER	your Majesty
18	362	363	NOM	PER	the parlourmaid
11	366	366	PRON	PER	You
298	373	373	PRON	PER	them
22	382	385	NOM	FAC	The great Throne Room
23	389	401	NOM	PER	fairies , of all ages and of all degrees of beauty and ugliness
24	403	407	NOM	PER	good fairies and bad fairies
25	412	413	NOM	PER	moon fairies
26	419	421	NOM	PER	fairies like butterflies
10	425	426	NOM	PER	the Queen
10	436	436	PRON	PER	she
23	441	441	PRON	PER	them
23	444	444	PRON	PER	they
10	456	456	PRON	PER	you
23	459	459	PRON	PER	me
10	462	462	PRON	PER	your
10	468	468	PRON	PER	I
10	477	478	NOM	PER	the Queen
10	481	481	PRON	PER	she
11	484	485	NOM	PER	the King
10	490	490	PRON	PER	I
11	492	492	PRON	PER	you
10	498	498	PRON	PER	her
10	503	503	PRON	PER	You
30	511	515	NOM	PER	the fairies , all together
31	518	518	PRON	PER	I
31	525	527	NOM	PER	the poor Queen
4	530	530	PROP	PER	Malevola
10	538	538	PRON	PER	your
4	545	545	PROP	PER	Malevola
32	547	559	NOM	PER	the oldest , as well as the most wicked , of the fairies
33	558	559	NOM	PER	the fairies
32	561	561	PRON	PER	She
34	576	581	NOM	PER	all the rest of the fairies
33	580	581	NOM	PER	the fairies
32	594	594	PRON	PER	she
32	598	598	PRON	PER	her
10	601	602	NOM	PER	the Queen
10	608	608	PRON	PER	your
10	612	612	PRON	PER	You
303	619	620	NOM	PER	a fairy
304	629	629	PRON	PER	We
304	635	635	PRON	PER	our
305	643	648	NOM	PER	the fairy of highest social position
32	650	650	PRON	PER	I
306	654	655	NOM	PER	The Princess
10	661	662	NOM	PER	The Queen
4	666	666	PROP	PER	Malevola
11	694	695	NOM	PER	the King
10	702	702	PRON	PER	you
11	708	708	PRON	PER	he
11	711	711	PRON	PER	I
10	714	714	PRON	PER	you
307	716	716	NOM	PER	ladies
11	718	718	PRON	PER	I
10	724	724	PRON	PER	you
308	730	732	NOM	PER	none of you
10	732	732	PRON	PER	you
309	735	735	NOM	FAC	school
10	740	740	PRON	PER	you
10	745	745	PRON	PER	your
310	745	747	NOM	PER	your own race
10	750	750	PRON	PER	you
311	754	760	NOM	PER	a poor , ignorant King like me
11	760	760	PRON	PER	me
10	763	763	PRON	PER	you
10	776	776	PRON	PER	you
39	780	784	NOM	PER	the fairy in the bonnet
39	793	793	PRON	PER	she
39	795	795	PRON	PER	her
39	801	801	PRON	PER	my
39	805	805	PRON	PER	I
306	807	808	NOM	PER	the Princess
11	814	815	NOM	PER	The King
11	818	818	PRON	PER	his
39	821	821	PRON	PER	her
11	829	829	PRON	PER	he
11	833	833	PRON	PER	I
10	844	844	PRON	PER	you
313	850	858	NOM	PER	A fairy who breaks the traditions of fairy history
10	862	862	PRON	PER	you
313	864	864	PRON	PER	she
314	879	884	NOM	PER	only _ one _ bad fairy
315	893	895	NOM	PER	the good ones
10	911	911	PRON	PER	you
313	921	921	PRON	PER	her
4	927	927	PROP	PER	Malevola
11	935	935	PRON	PER	I
11	937	937	PRON	PER	myself
41	941	956	NOM	PER	Several of the better - class fairies who had been led away by Malevola ’s influence
42	943	956	NOM	PER	the better - class fairies who had been led away by Malevola ’s influence
4	954	954	PROP	PER	Malevola
11	964	964	PRON	PER	His
43	964	965	NOM	PER	His Majesty
10	973	973	PRON	PER	you
11	977	977	PRON	PER	me
11	981	982	NOM	PER	the King
10	986	986	PRON	PER	your
11	990	990	PRON	PER	my
316	990	992	NOM	PER	my innocent child
10	998	998	PRON	PER	you
10	1002	1002	PRON	PER	you
10	1016	1016	PRON	PER	you
45	1021	1022	NOM	PER	No one
46	1027	1028	NOM	PER	several fairies
10	1032	1033	NOM	PER	the Queen
46	1045	1045	PRON	PER	they
33	1061	1062	NOM	PER	the fairies
10	1067	1068	NOM	PER	the Queen
33	1073	1073	PRON	PER	they
10	1077	1077	PRON	PER	her
50	1089	1095	NOM	PER	the lady with the snake - bonnet
33	1102	1102	PRON	PER	us
317	1106	1107	NOM	PER	dear Queen
50	1109	1109	PRON	PER	I
317	1118	1118	PRON	PER	you
318	1122	1126	NOM	PER	the _ dear _ baby
50	1131	1131	PRON	PER	she
51	1145	1148	NOM	PER	the very last fairy
10	1151	1152	NOM	PER	the Queen
17	1157	1158	NOM	PER	the baby
10	1160	1160	PRON	PER	she
17	1174	1175	NOM	PER	the baby
3	1187	1189	PROP	PER	the Princess Melisande
11	1202	1202	PRON	PER	my
319	1202	1203	NOM	PER	my love
11	1207	1208	NOM	PER	the King
11	1211	1211	PRON	PER	I
11	1219	1219	PRON	PER	I
11	1227	1227	PRON	PER	My
320	1227	1229	NOM	PER	My fairy godmother
11	1232	1232	PRON	PER	me
11	1241	1241	PRON	PER	I
11	1252	1252	PRON	PER	you
321	1254	1254	NOM	PER	dear
10	1258	1259	NOM	PER	the Queen
10	1263	1263	PRON	PER	her
11	1267	1267	PRON	PER	I
322	1273	1273	NOM	PER	baby
11	1278	1279	NOM	PER	the King
11	1286	1286	PRON	PER	I
322	1291	1291	PRON	PER	her
322	1295	1295	PRON	PER	she
322	1301	1301	PRON	PER	she
11	1310	1310	PRON	PER	you
10	1320	1321	NOM	PER	the Queen
17	1329	1330	NOM	PER	the baby
323	1340	1340	NOM	PER	dearest
322	1342	1342	PRON	PER	She
322	1349	1349	PRON	PER	she
322	1356	1356	PRON	PER	her
3	1369	1370	PROP	PER	Princess Melisande
3	1394	1394	PRON	PER	hers
10	1396	1397	NOM	PER	The Queen
10	1399	1399	PRON	PER	her
306	1407	1408	NOM	PER	the Princess
306	1431	1431	PRON	PER	she
306	1434	1434	PRON	PER	she
306	1440	1440	PRON	PER	she
306	1443	1443	PRON	PER	she
306	1449	1449	PRON	PER	she
306	1453	1453	PRON	PER	she
306	1461	1461	PRON	PER	she
10	1465	1466	NOM	PER	the Queen
11	1469	1470	NOM	PER	the King
10	1473	1473	PRON	PER	My
319	1473	1474	NOM	PER	My love
325	1476	1476	PRON	PER	our
326	1476	1478	NOM	PER	our dear daughter
326	1485	1485	PRON	PER	she
326	1489	1489	PRON	PER	her
11	1496	1497	NOM	PER	the King
11	1500	1500	PRON	PER	his
65	1500	1502	NOM	PER	his fairy godmother
11	1511	1511	PRON	PER	He
11	1514	1514	PRON	PER	he
11	1519	1519	PRON	PER	his
66	1519	1520	NOM	PER	his daughter
67	1523	1524	NOM	PER	the fairy
11	1527	1527	PRON	PER	him
11	1534	1534	PRON	PER	I
11	1545	1545	PRON	PER	he
11	1553	1553	PRON	PER	me
11	1558	1558	PRON	PER	I
327	1564	1565	NOM	FAC	the house
11	1576	1576	PRON	PER	my
328	1576	1577	NOM	PER	my daughter
67	1593	1594	NOM	PER	the fairy
329	1603	1604	NOM	PER	DEAR KING,—Pray
329	1607	1607	PRON	PER	you
67	1610	1610	PRON	PER	my
67	1615	1615	PRON	PER	I
67	1622	1622	PRON	PER	I
329	1628	1628	PRON	PER	you
67	1631	1631	PRON	PER	my
329	1639	1639	PRON	PER	Your
330	1639	1641	NOM	PER	Your affectionate godmother
11	1648	1649	NOM	PER	the King
11	1651	1651	PRON	PER	his
11	1664	1664	PRON	PER	his
11	1676	1676	PRON	PER	his
66	1676	1677	NOM	PER	his daughter
3	1680	1680	PROP	PER	Melisande
331	1684	1684	NOM	PER	Father
3	1686	1686	PRON	PER	I
332	1690	1692	NOM	PER	all your subjects
331	1691	1691	PRON	PER	your
71	1700	1700	PRON	PER	they
11	1706	1707	NOM	PER	the King
73	1709	1709	NOM	PER	Queen
3	1724	1724	PRON	PER	she
3	1729	1729	PRON	PER	I
71	1731	1731	PRON	PER	them
71	1739	1739	PRON	PER	they
71	1745	1745	PRON	PER	they
10	1757	1758	NOM	PER	the Queen
10	1765	1765	PRON	PER	my
10	1770	1770	PRON	PER	I
11	1772	1772	PRON	PER	you
3	1780	1780	PRON	PER	I
3	1785	1785	PROP	PER	Melisande
10	1787	1788	NOM	PER	The Queen
3	1791	1791	PRON	PER	her
3	1795	1795	PROP	PER	Melisande
3	1799	1799	PRON	PER	she
3	1805	1805	PRON	PER	I
3	1807	1807	PRON	PER	I
11	1845	1846	NOM	PER	the King
306	1858	1859	NOM	PER	the Princess
11	1863	1863	PRON	PER	him
10	1879	1880	NOM	PER	the Queen
11	1886	1886	PRON	PER	you
306	1888	1888	PRON	PER	her
321	1890	1890	NOM	PER	dear
306	1892	1892	PRON	PER	she
11	1906	1907	NOM	PER	the King
3	1914	1914	PROP	PER	Melisande
3	1917	1917	PRON	PER	I
10	1939	1939	PRON	PER	you
11	1945	1946	NOM	PER	the King
10	1949	1949	PRON	PER	You
11	1957	1957	PRON	PER	he
11	1989	1989	PRON	PER	his
10	2008	2009	NOM	PER	the Queen
10	2012	2012	PRON	PER	You
11	2020	2021	NOM	PER	the King
334	2031	2031	PRON	PER	we
11	2035	2035	PRON	PER	me
3	2039	2040	PROP	PER	little Melisande
335	2046	2046	NOM	PER	nurse
335	2049	2049	PRON	PER	her
321	2052	2052	PRON	PER	you
321	2056	2056	PRON	PER	your
3	2061	2061	PRON	PER	I
3	2066	2066	PROP	PER	Melisande
3	2069	2069	PRON	PER	I
336	2073	2073	NOM	PER	mother
306	2078	2078	PRON	PER	Your
337	2078	2079	NOM	PER	Your mother
11	2086	2087	NOM	PER	the King
11	2091	2091	PRON	PER	I
306	2093	2093	PRON	PER	you
306	2096	2096	PRON	PER	your
306	2112	2113	NOM	PER	The Princess
85	2132	2132	PRON	PER	you
85	2141	2141	PRON	PER	you
306	2149	2149	PRON	PER	her
86	2179	2179	NOM	FAC	palaces
85	2200	2200	PRON	PER	your
306	2204	2205	NOM	PER	the Princess
306	2221	2222	NOM	PER	the Princess
306	2239	2239	PRON	PER	she
335	2241	2241	NOM	PER	nurse
306	2259	2259	PRON	PER	she
90	2294	2296	NOM	PER	The poor Princess
306	2302	2302	PRON	PER	she
306	2309	2309	PRON	PER	she
306	2311	2311	PRON	PER	her
306	2347	2347	PRON	PER	she
306	2411	2412	NOM	PER	the Princess
306	2420	2420	PRON	PER	her
92	2443	2444	NOM	FAC	the room
306	2448	2448	PRON	PER	she
306	2454	2454	PRON	PER	her
335	2459	2459	NOM	PER	nurse
306	2469	2469	PRON	PER	she
306	2477	2477	PRON	PER	I
306	2479	2479	PRON	PER	I
3	2486	2487	PROP	PER	poor Melisande
306	2495	2495	PRON	PER	she
306	2501	2501	PRON	PER	she
306	2503	2503	PRON	PER	herself
306	2519	2519	PRON	PER	she
306	2522	2522	PRON	PER	her
9	2522	2523	NOM	PER	her mother
306	2525	2525	PRON	PER	her
10	2531	2532	NOM	PER	the Queen
3	2537	2537	PROP	PER	Melisande
9	2545	2545	PRON	PER	her
306	2549	2550	NOM	PER	the Princess
306	2554	2554	PRON	PER	her
