COREF	start_token	end_token	prop	cat	text
5	4	5	PROP	PER	CHARLES DICKENS
6	9	11	PROP	PER	S. Beatrice Pearse
19	15	16	NOM	PER	The Queen
1	25	27	PROP	FAC	THE MAGIC FISHBONE
7	35	37	PROP	PER	Miss Alice Rainbird
5	42	43	PROP	PER	CHARLES DICKENS
2	44	44	PROP	GPE	London
20	46	48	NOM	ORG	Constable and Co.
5	58	59	PROP	PER	Charles Dickens
21	80	81	NOM	PER	a children
3	85	85	PROP	GPE	America
22	93	96	NOM	PER	a child aged seven
4	102	102	PROP	GPE	England
5	120	120	PROP	PER	Dickens
8	135	138	PROP	PER	Messrs Chapman & Hall
9	144	145	PROP	PER	Edwin Drood
23	189	189	PRON	PER	THEIR
24	195	196	NOM	PER	a King
24	199	199	PRON	PER	he
25	201	202	NOM	PER	a Queen
24	205	205	PRON	PER	he
24	210	210	PRON	PER	his
25	214	214	PRON	PER	she
25	219	219	PRON	PER	hers
26	221	222	NOM	PER	The King
26	226	226	PRON	PER	his
19	233	234	NOM	PER	The Queen
28	233	236	NOM	PER	The Queen 's father
29	239	244	NOM	PER	a medical man out of town
30	244	244	NOM	GPE	town
31	246	246	PRON	PER	They
32	248	249	NOM	PER	nineteen children
33	257	260	NOM	PER	Seventeen of these children
34	259	260	NOM	PER	these children
35	264	265	NOM	PER	the baby
10	268	268	PROP	PER	Alicia
36	270	271	NOM	PER	the eldest
34	276	276	PRON	PER	them
34	279	279	PRON	PER	Their
37	290	290	PRON	PER	us
37	293	293	PRON	PER	our
26	298	299	NOM	PER	the King
39	303	304	NOM	FAC	the office
26	307	307	PRON	PER	he
40	310	312	NOM	FAC	the fishmonger 's
19	329	330	NOM	PER	the Queen
42	334	336	NOM	PER	a careful housekeeper
26	340	340	PRON	PER	him
43	343	343	NOM	FAC	home
11	345	346	PROP	PER	Mr Pickles
44	348	349	NOM	PER	the fishmonger
248	356	356	NOM	PER	sir
26	369	370	NOM	PER	The King
39	374	375	NOM	FAC	the office
47	392	396	NOM	PER	several of the dear children
48	394	396	NOM	PER	the dear children
47	401	401	PRON	PER	their
26	404	404	PRON	PER	He
11	411	412	PROP	PER	Mr Pickles
49	411	416	NOM	PER	Mr Pickles 's errand - boy
26	420	420	PRON	PER	him
248	426	426	NOM	PER	Sir
26	428	428	PRON	PER	you
250	432	434	NOM	PER	the old lady
251	436	436	PRON	PER	our
252	436	437	NOM	FAC	our shop
253	442	443	NOM	PER	old lady
26	447	448	NOM	PER	the King
26	451	451	PRON	PER	I
26	458	459	NOM	PER	the King
52	463	465	NOM	PER	any old lady
53	468	470	NOM	PER	this old lady
26	475	475	PRON	PER	him
11	480	481	PROP	PER	Mr Pickles
54	480	483	NOM	PER	Mr Pickles 's boy
26	487	487	PRON	PER	he
53	513	513	PRON	PER	she
26	519	519	PRON	PER	him
26	521	521	PRON	PER	he
53	525	525	PRON	PER	her
250	530	532	NOM	PER	the old lady
250	537	537	PRON	PER	She
12	555	558	PROP	PER	King Watkins the First
250	560	560	PRON	PER	I
250	565	567	NOM	PER	the old lady
12	570	570	PROP	PER	Watkins
26	574	575	NOM	PER	the King
26	579	579	PRON	PER	my
13	584	584	PROP	PER	Papa
250	587	587	PRON	PER	I
10	593	596	PROP	PER	the beautiful Princess Alicia
250	600	602	NOM	PER	the old lady
254	607	609	NOM	PER	eighteen other darlings
26	613	614	NOM	PER	the King
26	619	619	PRON	PER	You
39	623	624	NOM	FAC	the office
250	628	630	NOM	PER	the old lady
61	632	632	PRON	PER	It
26	636	637	NOM	PER	the King
250	639	639	PRON	PER	she
63	642	643	NOM	PER	a Fairy
250	648	648	PRON	PER	she
26	653	653	PRON	PER	You
250	659	661	NOM	PER	the old lady
26	664	664	PRON	PER	his
250	668	668	PRON	PER	I
14	670	673	PROP	PER	the Good Fairy Grandmarina
26	678	678	PRON	PER	you
43	680	680	NOM	FAC	home
10	686	688	PROP	PER	the Princess Alicia
26	695	695	PRON	PER	you
257	702	702	PRON	PER	It
10	706	706	PRON	PER	her
26	710	711	NOM	PER	the King
250	713	715	NOM	PER	The old lady
26	726	727	NOM	PER	the King
250	735	735	PRON	PER	her
258	739	739	PRON	PER	We
250	758	760	NOM	PER	the old lady
250	778	778	PRON	PER	I
26	780	780	PRON	PER	you
26	784	784	PRON	PER	yourself
26	787	788	NOM	PER	The King
26	790	790	PRON	PER	his
26	798	798	PRON	PER	he
14	817	819	PROP	PER	the Fairy Grandmarina
10	827	830	PROP	PER	the beautiful Princess Alicia
14	839	839	PRON	PER	I
10	841	841	PRON	PER	she
26	844	844	PRON	PER	you
10	847	847	PRON	PER	she
10	855	855	PRON	PER	her
10	859	859	PRON	PER	her
14	893	893	PRON	PER	me
26	903	904	NOM	PER	the King
248	912	912	NOM	PER	sir
71	916	918	NOM	PER	the Fairy Grandmarina
26	921	921	PRON	PER	him
260	928	928	NOM	PER	people
260	932	932	PRON	PER	they
26	941	941	PRON	PER	you
261	941	945	NOM	PER	you grown - up persons
26	947	947	PRON	PER	You
26	954	955	NOM	PER	The King
26	958	958	PRON	PER	his
26	963	963	PRON	PER	he
14	978	980	PROP	PER	the Fairy Grandmarina
10	988	990	PROP	PER	the Princess Alicia
14	993	993	PRON	PER	my
10	1017	1017	PRON	PER	her
10	1023	1023	PRON	PER	she
10	1028	1028	PRON	PER	SHE
262	1031	1031	PRON	PER	IT
0	1053	1053	PRON	PER	ME
26	1056	1057	NOM	PER	The King
26	1063	1063	PRON	PER	I
14	1070	1071	PROP	PER	the Fairy
26	1080	1080	PRON	PER	you
248	1084	1084	NOM	PER	sir
14	1087	1087	PRON	PER	she
14	1091	1091	PRON	PER	her
26	1111	1111	PRON	PER	You
14	1125	1125	PRON	PER	me
14	1127	1127	PRON	PER	I
26	1131	1131	PRON	PER	your
26	1138	1139	NOM	PER	The King
250	1144	1146	NOM	PER	the old lady
26	1156	1156	PRON	PER	he
250	1163	1163	PRON	PER	her
26	1166	1166	PRON	PER	he
250	1182	1184	NOM	PER	the old lady
14	1196	1196	PROP	PER	Grandmarina
26	1200	1201	NOM	PER	the King
26	1210	1210	PRON	PER	he
39	1213	1214	NOM	FAC	the office
26	1217	1217	PRON	PER	he
43	1230	1230	NOM	FAC	home
26	1234	1234	PRON	PER	he
10	1237	1239	PROP	PER	the Princess Alicia
80	1242	1243	NOM	PER	the Fairy
26	1246	1246	PRON	PER	him
10	1256	1256	PRON	PER	she
26	1263	1263	PRON	PER	he
10	1270	1270	PRON	PER	her
80	1274	1275	NOM	PER	the Fairy
26	1278	1278	PRON	PER	him
26	1279	1279	PRON	PER	he
26	1283	1283	PRON	PER	he
80	1285	1286	NOM	PER	the Fairy
10	1291	1293	PROP	PER	the Princess Alicia
26	1323	1323	PRON	PER	He
10	1330	1330	PRON	PER	her
19	1336	1337	NOM	PER	the Queen
19	1347	1347	PRON	PER	she
19	1354	1354	PRON	PER	me
19	1357	1357	PRON	PER	me
19	1359	1359	PRON	PER	my
19	1362	1362	PRON	PER	my
19	1368	1368	PRON	PER	she
84	1372	1386	NOM	PER	The Princess Alicia , who happened to be looking in at the chamber - door
84	1397	1397	PRON	PER	she
84	1399	1399	PRON	PER	her
85	1399	1401	NOM	PER	her Royal Mamma
84	1407	1407	PRON	PER	she
15	1412	1412	PROP	PER	Peggy
86	1419	1421	NOM	PER	the Lord Chamberlain
84	1432	1432	PRON	PER	she
84	1444	1444	PRON	PER	she
19	1459	1460	NOM	PER	the Queen
84	1467	1467	PRON	PER	she
84	1478	1478	PRON	PER	she
