COREF	start_token	end_token	prop	cat	text
44	3	4	NOM	PER	a King
45	14	17	NOM	PER	a most beautiful daughter
46	22	23	NOM	PER	every one
45	25	25	PRON	PER	she
47	35	36	NOM	PER	the Princess
47	50	50	PRON	PER	she
48	54	68	NOM	PER	an old witch who lived in a hut on the side of a lonely mountain
49	63	68	NOM	LOC	the side of a lonely mountain
50	66	68	NOM	LOC	a lonely mountain
51	70	72	NOM	PER	This old witch
52	79	80	NOM	PER	no one
53	82	83	NOM	PER	the King
54	82	85	NOM	PER	the King 's daughter
51	88	88	PRON	PER	she
55	90	90	NOM	FAC	there
56	97	99	NOM	PER	every one else
47	103	104	NOM	PER	the Princess
2	109	109	PROP	PER	Fiorimonde
51	114	114	PRON	PER	her
58	124	125	NOM	PER	the witch
2	131	131	PROP	PER	Fiorimonde
59	137	143	NOM	PER	no one like her in the world
2	140	140	PRON	PER	her
60	142	143	NOM	LOC	the world
47	148	149	NOM	PER	the Princess
51	151	151	PRON	PER	her
51	154	154	PRON	PER	her
62	160	161	NOM	PER	any one
51	162	162	PRON	PER	she
55	164	164	NOM	FAC	there
53	170	171	NOM	PER	the King
53	175	175	PRON	PER	he
53	178	178	PRON	PER	his
65	178	179	NOM	PER	his daughter
53	184	184	PRON	PER	he
53	186	186	PRON	PER	his
66	186	187	NOM	PER	his council
66	192	192	PRON	PER	We
1494	194	195	NOM	PER	no son
66	199	199	PRON	PER	our
66	203	203	PRON	PER	we
1495	208	210	NOM	PER	a suitable prince
66	214	214	PRON	PER	our
1496	214	216	NOM	PER	our royal daughter
66	222	222	PRON	PER	we
1495	227	227	PRON	PER	he
1497	230	230	NOM	PER	king
66	232	232	PRON	PER	our
67	237	239	NOM	PER	all the council
53	241	241	PRON	PER	he
47	252	253	NOM	PER	the Princess
69	262	265	NOM	PER	all the neighbouring kings
70	267	267	NOM	PER	princes
53	271	272	NOM	PER	the King
72	275	286	NOM	PER	a husband for the Princess , who should be king after him
47	278	279	NOM	PER	the Princess
53	286	286	PRON	PER	him
2	290	290	PROP	PER	Fiorimonde
2	293	293	PRON	PER	she
2	299	299	PRON	PER	she
2	305	305	PRON	PER	she
74	307	308	NOM	PER	a husband
53	309	309	PRON	PER	he
2	314	314	PRON	PER	she
75	318	320	NOM	PER	the old witch
2	325	325	PRON	PER	her
2	331	331	PRON	PER	she
2	334	334	PRON	PER	her
76	342	346	NOM	PER	every one in the palace
77	345	346	NOM	FAC	the palace
47	351	352	NOM	PER	the Princess
47	355	355	PRON	PER	her
79	355	356	NOM	FAC	her bedroom
47	364	364	PRON	PER	she
47	367	367	PRON	PER	her
47	398	398	PRON	PER	her
80	412	412	PRON	PER	them
47	428	429	NOM	PER	the Princess
82	437	437	PRON	PER	it
47	463	464	NOM	PER	the Princess
47	472	472	PRON	PER	herself
75	499	501	NOM	PER	the old witch
47	512	512	PRON	PER	her
85	512	513	NOM	FAC	her hut
47	515	516	NOM	PER	The Princess
87	529	533	NOM	PER	a croaking voice from within
47	539	539	PRON	PER	you
87	546	546	PRON	PER	I
47	549	549	PRON	PER	you
87	550	550	PRON	PER	I
47	562	562	PRON	PER	you
87	564	564	PRON	PER	me
47	569	569	PRON	PER	I
47	572	572	PRON	PER	you
47	575	575	PRON	PER	me
47	580	581	NOM	PER	the Princess
47	585	585	PRON	PER	I
47	591	591	PRON	PER	your
47	612	613	NOM	PER	the Princess
90	616	617	NOM	FAC	the hut
47	633	633	PRON	PER	her
58	636	637	NOM	PER	the witch
2	639	640	PROP	PER	Princess Fiorimonde
47	644	644	PRON	PER	her
47	648	648	PRON	PER	her
2	650	650	PRON	PER	her
53	654	655	NOM	PER	the King
47	657	657	PRON	PER	her
93	666	668	NOM	PER	the neighbouring princes
93	671	671	PRON	PER	they
47	676	676	PRON	PER	her
58	687	688	NOM	PER	the witch
1498	692	692	PRON	PER	we
93	695	695	PRON	PER	them
47	699	699	PRON	PER	you
1499	703	704	NOM	PER	each Prince
1499	706	706	PRON	PER	he
47	710	710	PRON	PER	you
93	712	712	PRON	PER	them
47	720	720	PRON	PER	your
47	735	735	PRON	PER	your
47	740	740	PRON	PER	you
1500	754	755	NOM	PER	never woman
47	765	765	PRON	PER	your
47	769	769	PRON	PER	you
47	774	774	PRON	PER	you
47	787	788	NOM	PER	the Princess
47	791	791	PRON	PER	her
47	814	814	PRON	PER	my
1501	819	820	NOM	PER	the courtiers
47	824	824	PRON	PER	my
58	839	840	NOM	PER	the witch
47	846	846	PRON	PER	you
47	851	851	PRON	PER	you
47	852	852	PRON	PER	yourself
47	868	868	PRON	PER	you
1502	872	873	NOM	PER	some one
47	880	880	PRON	PER	you
47	892	893	NOM	PER	the Princess
47	896	896	PRON	PER	I
47	903	903	PRON	PER	me
47	909	909	PRON	PER	I
1503	912	913	NOM	PER	great princes
1504	915	915	NOM	PER	kings
47	918	918	PRON	PER	me
1503	922	922	PRON	PER	their
1503	927	927	PRON	PER	them
58	931	932	NOM	PER	the witch
58	934	934	PRON	PER	her
58	946	946	PRON	PER	her
52	963	964	NOM	PER	no one
100	973	973	PRON	PER	you
2	986	986	PROP	PER	Fiorimonde
58	991	992	NOM	PER	the witch
58	996	996	PRON	PER	her
100	1008	1008	PRON	PER	you
100	1016	1016	PRON	PER	you
100	1018	1018	PRON	PER	your
100	1023	1023	PRON	PER	you
100	1030	1030	PRON	PER	your
1505	1030	1031	NOM	PER	your lovers
100	1037	1037	PRON	PER	yourself
1506	1041	1042	NOM	PER	the kings
100	1048	1048	PRON	PER	you
100	1051	1051	PRON	PER	you
1506	1058	1058	PRON	PER	them
1506	1060	1060	PRON	PER	their
1506	1069	1069	PRON	PER	they
1506	1091	1091	PRON	PER	they
47	1104	1105	NOM	PER	the Princess
47	1109	1109	PRON	PER	I
47	1120	1120	PRON	PER	I
58	1131	1132	NOM	PER	the witch
100	1136	1136	PRON	PER	you
1507	1146	1146	PRON	PER	we
58	1153	1153	PRON	PER	I
1508	1156	1157	NOM	PER	the guests
58	1163	1163	PRON	PER	she
104	1211	1216	NOM	PER	little dark elves with long tails
105	1219	1223	NOM	PER	goblins who chattered and laughed
106	1226	1233	NOM	PER	other witches who rode on broom - sticks
107	1237	1251	NOM	PER	one wicked fairy in the form of a large cat , with bright green eyes
58	1271	1272	NOM	PER	the witch
90	1283	1284	NOM	FAC	the hut
75	1301	1303	NOM	PER	The old witch
111	1306	1306	PRON	FAC	it
112	1313	1316	NOM	FAC	a narrow dark passage
113	1319	1322	NOM	FAC	a large underground chamber
114	1325	1328	NOM	PER	all her strange guests
75	1326	1326	PRON	PER	her
114	1333	1333	PRON	PER	they
1508	1353	1354	NOM	PER	the guests
47	1361	1362	NOM	PER	the Princess
117	1365	1367	NOM	FAC	the dark passage
90	1373	1374	NOM	FAC	the hut
47	1377	1377	PRON	PER	her
47	1383	1383	PRON	PER	her
47	1389	1389	PRON	PER	she
119	1391	1391	NOM	FAC	home
47	1399	1399	PRON	PER	she
47	1404	1404	PRON	PER	her
79	1404	1405	NOM	FAC	her bedroom
47	1408	1408	PRON	PER	she
47	1467	1468	NOM	PER	the Princess
47	1470	1470	PRON	PER	her
52	1483	1484	NOM	PER	no one
47	1487	1487	PRON	PER	her
47	1493	1493	PRON	PER	she
2	1499	1499	PROP	PER	Fiorimonde
2	1502	1502	PRON	PER	her
123	1502	1503	NOM	PER	her father
53	1504	1505	NOM	PER	the King
2	1508	1508	PRON	PER	she
125	1513	1513	PRON	PER	we
126	1515	1525	NOM	PER	any prince he should fix upon as a husband for her
53	1517	1517	PRON	PER	he
2	1525	1525	PRON	PER	her
53	1529	1529	PRON	PER	he
2	1538	1538	PRON	PER	her
127	1541	1543	NOM	PER	a young king
128	1548	1549	NOM	LOC	the sea
2	1552	1552	PRON	PER	her
129	1552	1553	NOM	PER	her husband
127	1555	1555	PRON	PER	He
130	1557	1574	NOM	PER	king of a large rich country , and would take back his bride with him to his home
131	1559	1562	NOM	GPE	a large rich country
127	1568	1568	PRON	PER	his
132	1568	1569	NOM	PER	his bride
127	1571	1571	PRON	PER	him
127	1573	1573	PRON	PER	his
133	1573	1574	NOM	FAC	his home
127	1576	1576	PRON	PER	He
3	1579	1580	PROP	PER	King Pierrot
127	1587	1587	PRON	PER	his
47	1591	1592	NOM	PER	the Princess
47	1596	1596	PRON	PER	her
127	1601	1601	PRON	PER	him
127	1605	1605	PRON	PER	he
135	1607	1609	NOM	PER	all the courtiers
1509	1616	1622	NOM	PER	a proper husband for our beautiful Princess
135	1620	1620	PRON	PER	our
1510	1620	1622	NOM	PER	our beautiful Princess
127	1626	1626	PRON	PER	he
3	1641	1642	PROP	PER	King Pierrot
2	1646	1646	PROP	PER	Fiorimonde
47	1679	1680	NOM	PER	the Princess
47	1701	1701	PRON	PER	she
47	1717	1717	PRON	PER	her
47	1729	1730	NOM	PER	the Princess
47	1733	1733	PRON	PER	her
47	1737	1737	PRON	PER	her
123	1737	1738	NOM	PER	her father
139	1746	1747	NOM	FAC	the garden
3	1766	1767	PROP	PER	King Pierrot
47	1769	1769	PRON	PER	her
47	1774	1774	PRON	PER	her
47	1778	1778	PRON	PER	her
47	1782	1782	PRON	PER	her
3	1792	1792	PRON	PER	my
1511	1792	1794	NOM	PER	my sweet Princess
47	1796	1796	PRON	PER	you
3	1799	1799	PRON	PER	my
1512	1799	1800	NOM	PER	my Queen
3	1805	1805	PRON	PER	I
47	1811	1811	PRON	PER	you
3	1813	1813	PRON	PER	me
47	1816	1816	PRON	PER	you
1513	1818	1818	PRON	PER	our
2	1824	1824	PRON	PER	I
2	1849	1849	PRON	PER	I
2	1852	1852	PRON	PER	my
2	1857	1858	PROP	PER	Princess Fiorimonde
3	1863	1863	PRON	PER	you
3	1870	1871	PROP	PER	King Pierrot
60	1896	1897	NOM	LOC	the world
2	1901	1901	PROP	PER	Fiorimonde
2	1904	1904	PRON	PER	her
2	1909	1909	PRON	PER	she
47	1940	1940	PRON	PER	you
3	1950	1951	PROP	PER	King Pierrot
3	1967	1967	PRON	PER	his
3	1973	1973	PRON	PER	he
2	2019	2020	PROP	PER	Princess Fiorimonde
2	2032	2032	PRON	PER	my
1515	2032	2034	NOM	PER	my proud lover
1515	2037	2037	PRON	PER	you
2	2041	2041	PRON	PER	she
2	2047	2047	PRON	PER	my
60	2056	2057	NOM	LOC	the world
2	2061	2061	PRON	PER	she
2	2069	2069	PRON	PER	her
2	2088	2088	PRON	PER	she
140	2091	2093	NOM	FAC	the banqueting hall
53	2098	2099	NOM	PER	the King
1517	2104	2104	NOM	PER	sire
2	2108	2108	PRON	PER	she
1502	2112	2113	NOM	PER	some one
3	2118	2119	PROP	PER	King Pierrot
3	2124	2124	PRON	PER	he
2	2128	2128	PRON	PER	me
3	2133	2133	PRON	PER	he
2	2136	2136	PRON	PER	me
2	2139	2139	PRON	PER	I
2	2143	2143	PRON	PER	I
