COREF	start_token	end_token	prop	cat	text
5	4	5	PROP	PER	Kenneth Grahame
12	18	33	NOM	FAC	a cottage half - way between this village and yonder shoulder of the Downs up there
13	24	25	NOM	GPE	this village
14	27	33	NOM	LOC	yonder shoulder of the Downs up there
15	30	33	NOM	LOC	the Downs up there
16	35	36	NOM	PER	a shepherd
16	39	39	PRON	PER	his
17	39	40	NOM	PER	his wife
18	42	42	PRON	PER	their
19	42	44	NOM	PER	their little son
20	47	48	NOM	PER	the shepherd
20	50	50	PRON	PER	his
20	60	60	PRON	PER	his
21	66	73	NOM	LOC	the wide ocean - bosom of the Downs
1	72	73	PROP	LOC	the Downs
22	94	94	NOM	PER	men
23	96	102	NOM	PER	women far out of sight arid hearing
16	105	105	PRON	PER	his
24	105	107	NOM	PER	his little son
24	110	110	PRON	PER	he
24	114	114	PRON	PER	his
25	114	115	NOM	PER	his father
24	120	120	PRON	PER	he
24	128	128	PRON	PER	his
24	135	135	PRON	PER	he
26	138	148	NOM	PER	the affable gentry and interested parsons of the country round about
27	145	148	NOM	LOC	the country round about
24	151	151	PRON	PER	his
28	151	152	NOM	PER	his parents
24	157	157	PRON	PER	him
24	163	163	PRON	PER	him
28	167	167	PRON	PER	they
24	173	173	PRON	PER	his
24	177	177	PRON	PER	he
24	182	182	PRON	PER	his
24	190	190	PRON	PER	he
24	214	214	PRON	PER	him
24	216	216	PRON	PER	he
24	226	226	PRON	PER	his
28	226	227	NOM	PER	his parents
28	240	240	PRON	PER	they
24	248	248	PRON	PER	he
28	254	254	PRON	PER	They
28	272	272	PRON	PER	their
30	272	273	NOM	PER	their neighbours
31	277	278	NOM	PER	the Boy
24	291	291	PRON	PER	he
28	296	296	PRON	PER	they
24	313	313	PRON	PER	his
32	325	337	NOM	PER	the shepherd , who for some nights past had been disturbed and preoccupied
24	341	341	PRON	PER	his
33	347	347	NOM	FAC	home
24	361	361	PRON	PER	his
17	361	362	NOM	PER	his wife
35	364	364	NOM	PER	son
17	369	369	PRON	PER	she
17	371	371	PRON	PER	her
24	374	374	PRON	PER	he
36	381	388	NOM	PER	the Giant with no Heart in his Body
36	387	387	PRON	PER	his
24	401	401	PRON	PER	me
6	403	403	PROP	PER	Maria
24	409	409	PRON	PER	I
352	413	413	PRON	PER	them
353	414	414	NOM	GPE	there
1	415	415	PROP	LOC	Downs
24	427	427	PRON	PER	you
24	435	435	PRON	PER	his
17	435	436	NOM	PER	his wife
38	440	443	NOM	PER	a very sensible woman
354	448	448	PRON	PER	us
24	460	460	PRON	PER	you
38	468	468	PRON	PER	me
41	470	470	PRON	PER	you
355	472	473	NOM	PER	the son
354	477	477	PRON	PER	us
354	479	479	PRON	PER	we
20	502	503	NOM	PER	the shepherd
41	506	506	PRON	PER	You
20	513	513	PRON	PER	I
356	521	522	NOM	PER	the sheep
357	530	530	NOM	PER	sheep
40	560	561	NOM	LOC	that cave
41	593	593	PRON	PER	you
0	595	595	PRON	PER	me
41	598	598	PRON	PER	you
0	603	603	PRON	PER	I
31	608	609	NOM	PER	the Boy
0	616	616	PRON	PER	I
20	622	623	NOM	PER	the shepherd
0	630	630	PRON	PER	I
0	642	642	PRON	PER	I
0	646	646	PRON	PER	I
42	652	653	NOM	LOC	the cave
43	660	661	PROP	PER	O Lord
0	664	664	PRON	PER	I
44	666	666	PRON	PER	him
0	673	673	PRON	PER	I
41	675	675	PRON	PER	you
0	684	684	PRON	PER	his
17	684	685	NOM	PER	his wife
17	691	691	PRON	PER	her
361	691	692	NOM	PER	her husband
44	699	699	PRON	PER	him
0	701	701	PRON	PER	I
46	705	705	PRON	PER	you
20	709	710	NOM	PER	the shepherd
44	713	713	PRON	PER	He
42	721	722	NOM	LOC	the cave
