COREF	start_token	end_token	prop	cat	text
203	2	7	NOM	PER	The Rose and the Ring Author
62	9	12	PROP	PER	William Makepeace Thackeray PRELUDE
204	16	17	NOM	PER	the undersigned
205	24	26	NOM	GPE	a foreign city
206	30	32	NOM	PER	many English children
207	35	36	NOM	GPE	that city
208	39	39	PRON	PER	you
209	43	44	NOM	PER	a child
208	48	48	PRON	PER	you
210	69	70	NOM	PER	the King
211	72	73	NOM	PER	the Queen
212	75	76	NOM	PER	the Lover
213	78	79	NOM	PER	the Lady
214	81	82	NOM	PER	the Dandy
215	84	85	NOM	PER	the Captain
216	93	93	PRON	PER	our
217	93	95	NOM	PER	our young ones
217	101	101	PRON	PER	themselves
0	107	107	PRON	PER	My
218	107	108	NOM	PER	My friend
63	109	110	PROP	PER	Miss Bunch
219	116	142	NOM	PER	a large family that lived in the Piano Nobile of the house inhabited by myself and my young charges ( it was the Palazzo Poniatowski at Rome
220	122	130	NOM	FAC	the Piano Nobile of the house inhabited by myself
0	130	130	PRON	PER	myself
0	132	132	PRON	PER	my
221	132	134	NOM	PER	my young charges
222	138	142	NOM	FAC	the Palazzo Poniatowski at Rome
1	142	142	PROP	GPE	Rome
64	145	146	PROP	PER	Messrs. Spillmann
223	148	154	NOM	PER	two of the best pastrycooks in Christendom
224	150	154	NOM	PER	the best pastrycooks in Christendom
2	154	154	PROP	GPE	Christendom
64	157	157	PRON	PER	their
225	157	162	NOM	FAC	their shop on the ground floor
226	160	162	NOM	FAC	the ground floor
63	164	165	PROP	PER	Miss Bunch
0	167	167	PRON	PER	I
0	171	171	PRON	PER	me
227	185	185	PRON	PER	our
228	185	187	NOM	PER	our young people
63	189	189	PRON	PER	She
229	191	198	NOM	PER	a lady of great fancy and droll imagination
63	207	207	PRON	PER	she
0	209	209	PRON	PER	I
230	214	214	PRON	PER	them
231	220	222	NOM	PER	the little folks
227	229	229	PRON	PER	our
227	233	233	PRON	PER	Our
232	233	235	NOM	PER	Our juvenile audience
65	242	242	PROP	PER	Giglio
66	244	244	PROP	PER	Bulbo
67	246	246	PROP	PER	Rosalba
68	248	248	PROP	PER	Angelica
0	250	250	PRON	PER	I
233	258	260	NOM	FAC	the Hall Porter
69	270	271	PROP	PER	Countess Gruffanuff
234	279	280	NOM	PER	these children
0	285	285	PRON	PER	I
235	290	290	NOM	PER	others
236	299	303	NOM	PER	Dr. Birch ’s young friends
3	310	311	PROP	FAC	Rodwell Regis
236	314	314	PRON	PER	they
237	327	328	NOM	PER	careful ushers
236	333	333	PRON	PER	their
227	350	350	PRON	PER	us
227	357	357	PRON	PER	we
238	361	361	PRON	PER	you
239	361	363	NOM	PER	you elder folk
238	377	377	PRON	PER	you
240	381	382	NOM	PER	The author
238	384	384	PRON	PER	you
238	391	391	PRON	PER	you
70	397	399	PROP	PER	W. M. THACKERAY
241	408	415	NOM	FAC	THE ROYAL FAMILY SATE DOWN TO BREAKFAST II
71	418	419	PROP	PER	KING VALOROSO
129	425	426	PROP	PER	PRINCE GIGLIO
242	433	447	NOM	PER	THE FAIRY BLACKSTICK WAS , AND WHO WERE EVER SO MANY GRAND PERSONAGES BESIDES IV
73	450	450	PROP	PER	BLACKSTICK
68	462	463	PROP	PER	PRINCESS ANGELICA
243	465	468	NOM	PER	A LITTLE MAID VI
129	471	475	PROP	PER	PRINCE GIGLIO BEHAVED HIMSELF VII
68	480	480	PROP	PER	ANGELICA
69	487	487	PROP	PER	GRUFFANUFF
74	495	496	PROP	PER	PRINCE BULBO
71	503	512	PROP	PER	BETSINDA GOT THE WARMING - PAN X. HOW KING VALOROSO
69	521	521	PROP	PER	GRUFFANUFF
129	524	524	PROP	GPE	GIGLIO
71	526	526	PROP	GPE	BETSINDA
