start_token	end_token	supersense_category	text
7	8	noun.person	JOSEPH JACOBS
13	13	noun.event	times
17	17	noun.body	eyes
20	21	noun.substance	Mothuighim boladh
34	34	verb.perception	see
38	38	verb.perception	see
41	45	noun.person	ALFRED NUTT CONTENTS I. CONNLA
56	57	noun.location	FIELD OF
58	59	noun.location	BOLIAUNS IV
62	67	noun.group	HORNED WOMEN V. CONAL YELLOWCLAW VI
73	75	noun.person	DONALD O'NEARY VII
91	96	noun.group	DEIRDRE X. MUNACHAR AND MANACHAR XI
98	98	noun.substance	GOLD
100	100	noun.plant	TREE
104	104	noun.plant	TREE
117	118	noun.location	OLWEN XIV
120	120	noun.person	JACK
129	129	noun.location	GANNON
132	133	noun.location	GRUAGACH GAIRE
180	181	noun.person	ANDREW COFFEY
191	191	noun.location	BREWERY
193	194	noun.person	EGGSHELLS XXVI
206	208	noun.person	FAIRY MAIDEN Connla
213	213	verb.stative	was
214	214	noun.person	son
216	216	noun.person	Conn
223	223	noun.time	day
226	226	verb.contact	stood
229	229	noun.location	side
232	232	noun.person	father
235	235	noun.attribute	height
237	237	noun.location	Usna
240	240	verb.perception	saw
242	242	noun.person	maiden
243	243	verb.body	clad
246	246	noun.artifact	attire
247	247	verb.motion	coming
256	256	noun.person	maiden
259	259	verb.communication	said
260	260	noun.person	Connla
264	264	verb.motion	come
267	267	noun.location	Plains
275	275	verb.communication	said
281	281	verb.stative	is
283	283	noun.state	death
285	285	noun.attribute	sin
289	289	verb.stative	keep
294	294	verb.stative	need
296	296	verb.social	help
301	301	noun.feeling	joy
307	307	noun.feeling	pleasure
309	309	verb.possession	have
311	311	noun.state	strife
316	316	verb.possession	have
318	318	noun.location	homes
322	323	noun.object	green hills
325	325	noun.person	men
326	326	verb.communication	call
329	330	noun.person	Hill Folk
334	334	noun.person	king
339	339	verb.cognition	wondered
342	342	verb.perception	hear
344	344	noun.communication	voice
347	347	verb.perception	saw
353	353	noun.person	Connla
357	357	verb.perception	saw
359	360	noun.person	Fairy Maiden
367	367	verb.communication	talking
370	370	noun.person	son
373	373	verb.communication	said
374	374	noun.person	Conn
376	376	noun.person	king
380	380	noun.person	maiden
381	381	verb.communication	answered
384	384	noun.person	Connla
385	386	verb.communication	speaks to
390	391	noun.person	fair maid
395	395	noun.state	death
397	398	noun.time	old age
399	399	verb.emotion	awaits
402	402	verb.emotion	love
403	403	noun.person	Connla
408	408	verb.communication	call
413	415	noun.location	Plain of Pleasure
417	418	noun.location	Moy Mell
421	421	noun.person	Boadag
422	422	verb.stative	is
423	423	noun.person	king
430	430	verb.stative	been
431	431	noun.state	complaint
433	433	noun.feeling	sorrow
436	436	noun.location	land
440	440	verb.possession	held
442	442	noun.state	kingship
446	446	verb.motion	come
450	450	noun.person	Connla
459	459	noun.time	dawn
463	463	noun.body	skin
467	467	noun.communication	crown
468	468	verb.emotion	awaits
471	471	verb.social	grace
474	474	noun.body	face
477	477	noun.attribute	form
486	486	verb.change	fade
490	490	noun.time	youth
496	496	noun.time	day
498	498	noun.cognition	judgment
502	502	noun.person	king
504	504	noun.feeling	fear
508	508	noun.person	maiden
509	509	verb.communication	said
513	513	verb.perception	heard
518	518	verb.perception	see
521	521	verb.communication	called
525	525	noun.person	Druid
527	527	noun.person	Coran
534	534	noun.person	Coran
538	538	noun.communication	spells
542	542	verb.communication	said
549	549	noun.attribute	magic
552	552	verb.communication	call
555	555	noun.act	aid
558	558	noun.act	task
559	559	verb.stative	is
567	567	noun.cognition	skill
569	569	noun.attribute	wit
579	579	verb.possession	seized
581	581	noun.state	kingship
584	584	noun.person	maiden
587	587	verb.motion	met
593	593	noun.attribute	power
595	595	verb.possession	take
603	603	noun.person	son
607	607	verb.social	help
613	613	verb.social	taken
616	616	noun.person	king
618	618	noun.person	woman
620	620	noun.act	wiles
622	622	noun.cognition	witchery
626	626	noun.person	Coran
628	628	noun.person	Druid
629	630	verb.motion	stood forth
632	632	verb.communication	chanted
634	634	noun.communication	spells
637	637	noun.location	spot
640	640	noun.person	maiden
642	642	noun.communication	voice
645	645	verb.perception	heard
649	649	verb.perception	heard
651	651	noun.communication	voice
656	656	noun.person	Connla
657	657	verb.perception	see
664	664	verb.change	vanished
667	667	noun.person	Druid
670	670	noun.communication	spell
673	673	verb.contact	threw
675	675	noun.food	apple
677	677	noun.person	Connla
682	682	noun.time	month
685	685	noun.time	day
686	686	noun.person	Connla
688	688	verb.stative	take
689	689	noun.quantity	nothing
693	693	verb.consumption	eat
696	696	verb.consumption	drink
702	702	noun.plant	apple
707	707	verb.consumption	ate
709	709	verb.change	grew
713	713	verb.stative	kept
719	719	noun.time	while
721	721	verb.change	grew
726	726	noun.feeling	yearning
728	728	noun.feeling	longing
731	731	noun.person	maiden
734	734	verb.perception	seen
740	740	noun.time	day
743	743	noun.time	month
745	745	noun.act	waiting
746	746	verb.change	came
748	748	noun.person	Connla
749	749	verb.contact	stood
752	752	noun.body	side
755	755	noun.person	king
757	757	noun.person	father
760	760	noun.location	Plain
762	762	noun.location	Arcomin
767	767	verb.perception	saw
769	769	noun.person	maiden
770	770	verb.motion	come
777	777	verb.communication	spoke
783	783	verb.stative	Tis
786	786	noun.location	place
791	791	noun.group	Connla
792	792	verb.emotion	holds
797	797	noun.person	mortals
798	798	verb.cognition	awaiting
800	800	noun.time	day
802	802	noun.phenomenon	death
807	807	noun.group	folk
809	809	noun.state	life
817	817	verb.communication	beg
819	819	verb.communication	bid
821	821	verb.motion	come
823	824	noun.location	Moy Mell
827	829	noun.location	Plain of Pleasure
834	834	verb.cognition	learnt
836	836	verb.cognition	know
839	839	verb.perception	seeing
843	843	noun.location	home
851	851	noun.person	Conn
853	853	noun.person	king
854	854	verb.perception	heard
856	856	noun.person	maiden
858	858	noun.attribute	voice
860	860	verb.communication	called
863	863	noun.group	men
866	866	verb.communication	said
869	869	verb.motion	Summon
872	873	noun.person	Druid Coran
877	877	verb.cognition	see
879	879	verb.possession	has
882	882	noun.time	day
884	884	noun.attribute	power
886	886	noun.communication	speech
891	891	noun.person	maiden
892	892	verb.communication	said
