start_token	end_token	supersense_category	text
7	8	noun.person	JOSEPH JACOBS
11	11	verb.possession	GET
14	14	noun.communication	BOOK
16	16	verb.contact	Knock
19	19	noun.artifact	Knocker
22	22	noun.artifact	Door
24	24	verb.contact	Pull
29	29	noun.location	side
35	35	verb.stative	are
41	41	verb.perception	hear
45	45	noun.communication	voice
46	46	verb.communication	say
49	49	noun.artifact	grating
51	52	verb.motion	Take down
60	60	verb.possession	find
68	68	verb.cognition	mistake
73	73	verb.possession	has
74	75	noun.person	J. J.
78	78	noun.artifact	wards
80	80	verb.contact	Put
82	82	noun.artifact	Key
85	85	noun.artifact	Keyhole
89	89	verb.stative	fits
92	92	verb.contact	unlock
94	94	noun.artifact	door
96	96	verb.motion	WALK
107	107	verb.change	GET
110	110	noun.communication	BOOK
130	130	noun.person	JACK
136	136	noun.person	MR
138	139	noun.person	VINEGAR NIX
143	145	noun.person	HANNAFORD BINNORIE MOUSE
147	151	noun.person	MOUSER CAP O ' RUSHES
154	155	noun.person	TINY JACK
170	172	noun.person	PUPIL TITTY MOUSE
174	175	noun.person	TATTY MOUSE
193	194	noun.person	KILLER HENNY
196	197	noun.person	PENNY CHILDE
198	200	noun.person	ROWLAND MOLLY WHUPPIE
214	216	noun.person	FOX LAZY JACK
219	224	noun.person	CAKE EARL MAR 'S DAUGHTER MR
226	227	noun.person	MIACCA WHITTINGTON
232	233	noun.person	STRANGE VISITOR
251	251	noun.person	MAGPIE
253	254	noun.location	NEST KATE
257	260	noun.person	CAULD LAD OF HILTON
265	265	noun.group	TABLE
269	270	noun.person	STICK FAIRY
271	271	noun.substance	OINTMENT
273	274	noun.artifact	WELL OF
275	276	noun.location	THE WORLD
282	282	noun.person	MASTERS
305	305	verb.stative	was
307	307	noun.person	woman
311	311	verb.contact	baked
313	313	noun.food	pies
318	319	verb.change	came out
322	322	noun.artifact	oven
325	325	verb.stative	were
327	327	verb.communication	overbaked
329	329	noun.food	crusts
330	330	verb.stative	were
334	334	verb.consumption	eat
338	338	verb.communication	says
341	341	noun.person	daughter
347	347	verb.communication	says
351	351	verb.contact	put
355	355	noun.food	pies
358	358	noun.artifact	shelf
361	361	verb.cognition	leave
370	370	verb.change	come
374	374	verb.communication	meant
377	377	verb.cognition	know
380	380	noun.object	crust
382	382	verb.change	get
387	387	noun.person	girl
390	390	verb.communication	says
400	400	verb.motion	come
405	405	verb.consumption	eat
412	412	verb.change	set
414	414	verb.social	work
416	416	verb.consumption	ate
426	426	verb.motion	come
427	427	noun.food	supper
429	429	noun.time	time
431	431	noun.person	woman
432	432	verb.communication	said
435	435	verb.motion	Go
439	439	verb.possession	get
445	445	noun.food	pies
449	449	verb.communication	say
452	452	verb.motion	come
458	458	noun.person	girl
459	459	verb.motion	went
462	462	verb.perception	looked
466	466	verb.stative	was
467	467	noun.quantity	nothing
470	470	noun.artifact	dishes
475	475	verb.motion	came
477	477	verb.communication	says
486	486	verb.motion	come
497	497	verb.communication	says
499	499	noun.person	mother
508	508	verb.communication	says
514	514	verb.motion	come
519	519	verb.motion	come
523	523	verb.communication	said
525	525	noun.person	woman
529	529	verb.consumption	have
532	532	noun.food	supper
545	545	verb.motion	come
548	548	verb.communication	said
550	550	noun.person	girl
558	558	verb.communication	says
566	566	verb.contact	bring
579	579	verb.communication	says
581	581	noun.person	girl
586	586	verb.consumption	ate
594	594	verb.possession	have
599	599	verb.motion	come
606	606	noun.person	woman
608	608	verb.stative	was
613	613	verb.motion	took
615	615	noun.act	spinning
618	618	noun.artifact	door
620	620	verb.motion	spin
625	625	verb.stative	span
627	627	verb.creation	sang
634	634	verb.consumption	ate
635	635	noun.quantity	five
638	638	noun.food	pies
641	641	noun.time	day
647	647	verb.consumption	ate
648	648	noun.quantity	five
651	651	noun.food	pies
654	654	noun.time	day
658	658	noun.person	king
660	660	verb.motion	coming
663	663	noun.artifact	street
667	667	verb.perception	heard
669	669	verb.creation	sing
674	674	verb.creation	sang
678	678	verb.perception	hear
682	682	verb.stative	stopped
684	684	verb.communication	said
688	688	verb.stative	was
692	692	verb.communication	singing
696	696	noun.person	woman
700	700	noun.person	woman
701	701	verb.stative	was
704	704	verb.social	let
706	706	verb.perception	hear
709	709	noun.person	daughter
712	712	verb.social	doing
716	716	verb.creation	sang
724	725	noun.artifact	darter ha
727	727	verb.motion	spun
728	728	noun.quantity	five
731	731	noun.artifact	skeins
734	734	noun.time	day
737	738	noun.artifact	darter ha
740	740	verb.contact	spun
744	744	noun.artifact	skeins
746	746	noun.time	-
747	747	noun.time	day
751	751	noun.person	Stars
757	757	verb.communication	said
759	759	noun.person	king
764	764	verb.perception	heard
765	765	verb.cognition	tell
771	771	verb.social	do
777	777	verb.communication	said
780	780	verb.perception	Look
785	785	verb.consumption	want
787	787	noun.person	wife
792	792	verb.social	marry
794	794	noun.person	daughter
797	797	verb.perception	look
802	802	verb.communication	says
807	807	noun.time	months
811	811	noun.time	year
814	814	verb.possession	have
817	817	verb.emotion	likes
819	819	verb.consumption	eat
824	824	noun.artifact	gowns
826	826	verb.emotion	likes
828	828	verb.possession	get
833	833	noun.act	company
835	835	verb.emotion	likes
837	837	verb.possession	keep
842	842	noun.time	month
845	845	noun.time	year
850	850	verb.motion	spin
852	852	noun.artifact	skeins
863	863	verb.contact	kill
872	872	verb.communication	says
874	874	noun.person	woman
878	878	verb.cognition	thought
882	882	noun.state	marriage
884	884	verb.stative	was
891	891	noun.animal	skeins
895	895	noun.time	time
896	896	verb.change	came
900	900	verb.stative	be
903	903	noun.act	ways
905	906	verb.motion	getting out
916	916	verb.cognition	forgotten
926	926	verb.social	married
931	931	noun.time	months
933	933	noun.person	girl
934	934	verb.possession	had
937	937	verb.emotion	liked
939	939	verb.consumption	eat
944	944	noun.artifact	gowns
946	946	verb.emotion	liked
948	948	verb.possession	get
953	953	noun.possession	company
955	955	verb.emotion	liked
957	957	verb.stative	keep
962	962	noun.time	time
964	965	verb.change	getting over
968	968	verb.change	began
970	971	verb.cognition	think about
973	973	noun.substance	skeins
976	976	verb.communication	wonder
987	987	noun.communication	word
990	990	verb.communication	say
996	996	verb.cognition	thought
1000	1000	verb.cognition	forgotten
1007	1007	noun.time	day
1011	1011	noun.time	month
1013	1013	verb.motion	takes
1017	1017	noun.artifact	room
1021	1021	verb.perception	set
1022	1022	noun.body	eyes
1027	1027	verb.stative	was
1028	1028	noun.quantity	nothing
1033	1033	noun.act	spinning
1035	1035	noun.artifact	wheel
1038	1038	noun.artifact	stool
1041	1041	verb.communication	says
1048	1048	noun.person	dear
1054	1055	verb.contact	shut in
1061	1061	noun.food	victuals
1064	1064	noun.substance	flax
1071	1071	verb.contact	spun
1073	1073	noun.artifact	skeins
1076	1076	noun.time	night
1080	1081	verb.motion	go off
1087	1088	verb.social	went about
1090	1090	noun.act	business
1095	1095	verb.stative	was
1102	1102	verb.stative	been
1106	1106	noun.person	girl
1115	1115	verb.cognition	know
1118	1118	verb.motion	spin
1125	1125	verb.social	do
1133	1133	verb.motion	come
1137	1137	verb.social	help
1141	1142	verb.motion	sat down
1145	1145	noun.artifact	stool
1148	1148	noun.artifact	kitchen
1151	1151	noun.person	law
1156	1156	verb.communication	cry
1165	1165	verb.perception	heard
1170	1170	noun.event	knocking
1175	1175	noun.artifact	door
1180	1180	verb.contact	oped
1187	1187	verb.perception	see
1193	1193	noun.artifact	thing
1197	1197	noun.body	tail
1200	1200	verb.perception	looked
1209	1209	verb.communication	said
1217	1217	verb.body	crying
1229	1229	verb.communication	says
1239	1239	verb.communication	said
1243	1243	verb.communication	tell
1247	1247	verb.stative	're
1250	1250	verb.body	crying
1258	1258	verb.possession	do
1267	1267	verb.communication	says
1274	1274	verb.cognition	know
1279	1279	verb.communication	said
1282	1282	verb.perception	twirled
1285	1285	noun.animal	tail
1292	1292	verb.communication	says
1299	1299	verb.social	do
1301	1301	noun.event	harm
1307	1307	verb.social	do
1309	1309	noun.attribute	good
1314	1314	verb.communication	upped
1316	1317	verb.communication	told about
1319	1319	noun.food	pies
1323	1323	noun.animal	skeins
1330	1330	verb.stative	is
1334	1334	verb.social	do
1337	1337	verb.communication	says
1341	1341	noun.artifact	thing
1346	1346	verb.motion	come
1349	1349	noun.artifact	window
1351	1351	noun.time	morning
1353	1353	verb.contact	take
1355	1355	noun.substance	flax
1357	1357	verb.motion	bring
1361	1361	noun.time	night
1368	1368	noun.possession	pay
1371	1371	verb.communication	says
1375	1375	verb.perception	looked
1379	1379	noun.shape	corner
1383	1383	noun.body	eyes
1387	1387	verb.communication	said
1392	1392	verb.possession	give
1395	1395	noun.communication	guesses
1397	1397	noun.time	night
1399	1399	verb.cognition	guess
1401	1401	noun.communication	name
1408	1408	verb.cognition	guessed
1412	1412	noun.time	month
1417	1417	verb.stative	be
1424	1424	verb.cognition	thought
1427	1427	verb.stative	be
1430	1430	verb.cognition	guess
1433	1433	noun.communication	name
1436	1436	noun.time	month
1437	1437	verb.stative	was
1438	1438	verb.motion	up
1445	1445	verb.communication	says
1450	1450	verb.communication	agree
1459	1459	verb.communication	says
1469	1469	noun.animal	tail
1475	1475	noun.time	day
1478	1478	noun.person	husband
1479	1479	verb.contact	took
1483	1483	noun.artifact	room
1487	1487	verb.stative	was
1489	1489	noun.substance	flax
1492	1492	noun.time	day
1494	1494	noun.food	food
1501	1501	noun.substance	flax
1504	1504	verb.communication	says
1513	1514	verb.contact	spun up
1516	1516	noun.time	night
1519	1519	verb.motion	goes
1521	1521	noun.body	head
1527	1528	verb.motion	went out
1530	1530	verb.contact	locked
1532	1532	noun.artifact	door
1537	1537	verb.motion	gone
1543	1543	noun.event	knocking
1546	1546	noun.artifact	window
1549	1549	verb.contact	upped
1552	1552	verb.contact	oped
1559	1559	verb.stative	was
1563	1563	noun.artifact	thing
1564	1564	verb.contact	sitting
1567	1567	noun.object	ledge
1573	1573	noun.substance	flax
1576	1576	verb.communication	says
1582	1582	verb.stative	be
1585	1585	verb.communication	says
1590	1590	verb.possession	gave
1599	1599	noun.time	evening
1601	1601	noun.event	knocking
1602	1602	verb.change	came
1606	1606	noun.artifact	window
1609	1609	verb.social	upped
1612	1612	verb.contact	oped
1617	1617	verb.stative	was
1621	1621	noun.artifact	thing
1624	1624	noun.quantity	skeins
1626	1626	noun.substance	flax
1629	1629	noun.body	arm
1634	1634	verb.stative	be
1637	1637	verb.communication	says
1642	1642	verb.possession	gave
1653	1653	noun.communication	name
1656	1656	verb.communication	says
1662	1662	verb.stative	is
1664	1664	noun.person	Bill
1667	1667	verb.communication	says
1678	1678	verb.communication	says
1683	1683	verb.contact	twirled
1685	1685	noun.animal	tail
1690	1690	noun.person	Ned
1693	1693	verb.communication	says
1697	1697	noun.communication	Noo
1704	1704	verb.communication	says
1709	1709	verb.contact	twirled
1711	1711	noun.animal	tail
1718	1718	noun.person	Mark
1721	1721	verb.communication	says
1732	1732	verb.communication	says
1737	1737	verb.motion	twirled
1739	1739	noun.animal	tail
1745	1745	verb.motion	flew
1751	1751	noun.person	husband
1752	1753	verb.motion	came in
1756	1756	verb.stative	were
1759	1759	noun.substance	skeins
1766	1766	verb.cognition	see
1772	1772	verb.social	kill
1776	1776	noun.time	night
1779	1779	noun.person	dear
1782	1782	verb.communication	says
1788	1788	verb.possession	have
1790	1790	noun.food	food
1793	1793	noun.substance	flax
1796	1796	noun.time	morning
1799	1799	verb.communication	says
1805	1805	verb.motion	goes
1812	1812	noun.substance	flax
1815	1815	noun.food	food
1817	1817	verb.contact	brought
1826	1826	noun.animal	impet
1829	1829	verb.motion	come
1830	1830	noun.time	mornings
1832	1832	noun.time	evenings
1837	1837	noun.time	day
1839	1839	noun.person	girl
1841	1841	verb.social	trying
1843	1844	verb.cognition	think of
1845	1845	noun.communication	names
1847	1847	verb.communication	say
1852	1852	verb.change	came
1854	1854	noun.time	night
1859	1859	verb.contact	hit
1868	1868	verb.motion	got
1871	1871	noun.event	end
1874	1874	noun.time	month
1877	1877	noun.artifact	impet
1878	1878	verb.change	began
1880	1880	verb.perception	look
1886	1886	verb.contact	twirled
1889	1889	noun.animal	tail
1894	1894	noun.event	time
1896	1896	verb.communication	gave
1898	1898	noun.communication	guess
1903	1903	verb.change	came
1907	1907	noun.time	day
1912	1912	noun.person	impet
1913	1913	verb.motion	came
1915	1915	noun.time	night
1920	1920	noun.animal	skeins
1924	1924	verb.communication	said
1932	1932	verb.possession	got
1934	1934	noun.communication	name
1941	1941	noun.person	Nicodemus
1944	1944	verb.communication	says
1954	1954	verb.communication	says
1959	1959	noun.person	Sammle
1962	1962	verb.communication	says
1972	1972	verb.communication	says
1984	1984	verb.communication	says
1996	1996	verb.communication	says
2000	2000	verb.perception	looks
2006	2006	noun.body	eyes
2009	2009	noun.substance	coal
2016	2016	verb.communication	says
2019	2019	noun.person	Woman
2026	2026	noun.time	morrow
2027	2027	noun.time	night
2033	2033	verb.stative	be
2040	2040	verb.motion	flew
2045	2045	verb.cognition	felt
2052	2052	verb.perception	heard
2054	2054	noun.person	king
2055	2055	verb.motion	coming
2058	2058	noun.artifact	passage
2062	2062	verb.motion	came
2067	2067	verb.perception	sees
2070	2070	noun.artifact	skeins
2073	2073	verb.communication	says
2075	2075	verb.communication	says
2082	2082	noun.person	dear
2085	2085	verb.communication	says
2092	2092	verb.perception	see
2099	2099	noun.animal	skeins
2103	2103	noun.time	morrow
2104	2104	noun.time	night
2111	2111	verb.cognition	reckon
2117	2117	verb.contact	kill
2122	2122	verb.consumption	have
2123	2123	noun.food	supper
2128	2128	noun.time	night
2133	2133	verb.contact	brought
2134	2134	noun.food	supper
2138	2138	noun.artifact	stool
2146	2146	verb.stative	sat
2153	2153	verb.consumption	eaten
2156	2156	noun.quantity	mouthful
2162	2162	verb.stative	stops
2164	2164	verb.change	begins
2166	2166	verb.body	laugh
