start_token	end_token	supersense_category	text
1	2	noun.communication	FAIRY TALES
7	9	noun.person	JOSEPH JACOBS PREFACE
11	11	verb.communication	says
14	14	noun.person	folk
15	15	verb.possession	have
17	17	noun.person	fairy
19	19	noun.communication	tales
26	26	noun.communication	volume
27	27	verb.stative	contains
30	30	noun.communication	selection
34	34	noun.quantity	140
40	40	verb.perception	found
41	41	noun.location	traces
44	44	noun.location	country
47	47	verb.stative	is
51	51	noun.quantity	more
52	52	verb.stative	exist
55	55	noun.quantity	quarter
58	58	noun.communication	tales
61	61	noun.communication	volume
65	65	verb.contact	collected
70	70	noun.time	years
82	82	verb.communication	published
90	90	verb.communication	said
92	92	noun.location	France
95	95	noun.location	Italy
99	99	verb.possession	possessed
101	101	noun.communication	folk
103	103	noun.communication	tales
109	109	noun.time	years
112	112	noun.time	date
116	116	noun.communication	tales
119	119	verb.communication	collected
122	122	noun.location	country
126	126	verb.emotion	hoping
130	130	noun.communication	volume
132	132	verb.stative	lead
135	135	noun.act	activity
138	138	noun.location	country
143	143	verb.communication	beg
145	145	noun.person	reader
148	148	noun.communication	book
150	150	verb.cognition	knows
153	153	noun.communication	tales
156	156	verb.communication	communicate
159	160	verb.cognition	written down
164	164	verb.communication	told
169	169	noun.act	care
171	172	noun.person	Mr. Nutt
176	176	noun.communication	reason
179	179	verb.creation	imagine
183	183	noun.communication	tales
188	188	verb.communication	brought
192	192	verb.stative	is
195	195	noun.attribute	gap
200	200	noun.act	recording
201	201	noun.group	classes
206	206	noun.group	classes
209	209	noun.group	country
221	221	verb.stative	be
224	224	noun.act	task
226	226	verb.social	help
228	228	verb.social	bridge
231	231	noun.state	gulf
234	234	verb.possession	giving
237	237	noun.possession	fund
239	240	noun.communication	nursery literature
243	243	noun.group	classes
247	247	noun.group	people
253	253	noun.state	case
257	257	verb.social	do
259	259	noun.state	harm
261	261	verb.change	add
265	265	noun.feeling	gaiety
268	268	noun.group	nation
271	271	noun.communication	word
277	277	noun.communication	title
278	278	verb.perception	seems
283	283	verb.communication	called
285	285	noun.communication	stories
292	292	verb.communication	speak
294	294	noun.person	fairies
297	297	noun.communication	Footnote
302	302	noun.cognition	views
304	304	noun.person	fairies
306	306	noun.communication	tales
308	308	noun.person	fairies
311	311	noun.communication	Notes
316	316	noun.communication	remark
317	317	verb.stative	applies
320	320	noun.group	collection
323	324	noun.person	Brothers Grimm
331	331	noun.communication	collections
334	334	verb.stative	contain
338	338	noun.group	classes
340	340	noun.communication	tales
346	346	noun.communication	stories
347	347	verb.stative	are
352	352	verb.communication	mean
355	355	verb.communication	clamour
359	359	noun.communication	Tales
364	364	verb.stative	is
367	367	noun.communication	name
370	370	verb.possession	give
377	377	verb.creation	imagine
379	379	noun.person	child
380	380	verb.communication	saying
383	383	verb.communication	Tell
386	386	noun.communication	folk
388	388	noun.communication	tale
390	390	noun.person	nurse
396	397	noun.communication	nursery tale
401	401	noun.person	grandma
406	406	noun.communication	book
408	408	verb.communication	intended
416	416	verb.communication	indicated
418	418	noun.cognition	contents
421	421	noun.communication	name
423	423	verb.consumption	use
426	426	noun.communication	words
428	429	noun.communication	Fairy Tales
434	434	verb.cognition	taken
436	436	verb.change	include
437	437	noun.communication	tales
440	440	verb.stative	occurs
449	449	noun.object	fairies
451	451	noun.animal	giants
453	453	noun.animal	dwarfs
455	455	verb.communication	speaking
456	456	noun.animal	animals
461	461	verb.cognition	taken
464	464	verb.competition	cover
465	465	noun.communication	tales
471	471	verb.stative	is
473	473	noun.attribute	stupidity
478	478	noun.person	actors
483	483	noun.communication	tales
486	486	noun.communication	volume
491	491	noun.communication	collections
494	495	noun.location	European countries
497	497	verb.stative	are
500	500	noun.person	folklorists
501	501	verb.communication	call
505	505	verb.stative	serve
507	507	verb.communication	justify
509	509	noun.communication	title
511	512	noun.location	Merrie England
518	518	verb.possession	given
521	521	noun.location	country
526	526	verb.communication	indicate
528	528	noun.attribute	capacity
530	530	noun.act	fun
532	532	noun.feeling	humour
536	536	noun.group	classes
539	539	noun.communication	story
541	543	noun.person	Tom Tit Tot
546	546	verb.change	opens
548	548	noun.communication	collection
550	550	verb.stative	is
555	557	noun.communication	folk - tales
566	566	noun.cognition	sense
568	568	noun.feeling	humour
571	571	noun.attribute	power
575	575	noun.communication	adjective
578	578	noun.communication	title
580	580	verb.stative	needs
583	583	noun.act	extension
586	586	noun.communication	meaning
590	590	verb.body	acted
592	592	noun.person	Molière
594	594	noun.cognition	principle
598	598	verb.possession	taken
600	600	verb.stative	was
605	605	verb.possession	find
614	614	noun.communication	stories
617	617	verb.possession	found
619	619	noun.person	descendants
622	622	noun.person	immigrants
624	624	noun.location	America
631	631	verb.communication	tell
634	634	verb.perception	heard
639	639	noun.time	youth
641	641	noun.location	Australia
648	649	verb.motion	taken down
652	652	noun.body	mouth
656	656	noun.person	Gipsy
661	661	verb.change	included
663	663	noun.communication	stories
668	668	verb.possession	found
670	671	noun.location	Lowland Scotch
675	675	verb.emotion	felt
678	678	verb.social	doing
687	687	noun.communication	folk
689	689	noun.communication	tales
690	690	verb.stative	contained
692	692	noun.person	Chambers
698	698	noun.location	Scotland
709	709	verb.possession	found
713	713	noun.communication	form
717	717	noun.communication	Folk
719	719	noun.communication	tale
723	723	noun.communication	Ballad
725	726	noun.location	Lowland Scotch
729	730	verb.cognition	regarded as
733	733	noun.communication	dialect
735	735	noun.communication	English
739	739	verb.stative	is
742	742	noun.state	chance
745	745	noun.communication	tale
746	746	verb.stative	is
759	759	verb.communication	rescued
761	761	verb.cognition	re
763	763	verb.communication	told
766	767	noun.communication	Fairy Tales
770	770	verb.stative	exist
775	775	noun.time	days
778	778	noun.attribute	form
780	780	noun.communication	ballads
783	783	verb.stative	are
785	785	noun.communication	indications
790	790	noun.cognition	form
795	796	noun.communication	Fairy Tale
797	797	verb.stative	was
801	801	noun.communication	fable
804	804	noun.group	mixture
806	806	noun.communication	narrative
808	808	noun.communication	verse
814	814	noun.cognition	example
816	816	noun.communication	literature
817	817	verb.stative	is
826	826	noun.event	case
829	829	verb.social	endeavoured
831	831	verb.possession	retain
833	833	noun.communication	form
837	837	noun.communication	tale
841	841	verb.change	occurs
849	849	verb.communication	mentioned
851	851	noun.person	Shakespeare
857	857	verb.stative	is
863	863	verb.communication	shown
866	866	noun.location	source
868	868	noun.person	Milton
877	877	verb.contact	collected
880	880	noun.quantity	dozen
883	883	noun.communication	tales
886	886	verb.cognition	traced
891	891	noun.time	century
893	893	noun.quantity	two
897	897	verb.communication	quoted
899	899	noun.person	Shakespeare
904	904	noun.attribute	majority
906	906	noun.event	instances
912	912	verb.communication	rewrite
