start_token	end_token	supersense_category	text
0	0	noun.act	INTRODUCTION
2	2	noun.artifact	mansion
4	4	noun.artifact	house
8	8	noun.group	village
10	10	noun.location	Beechgrove
13	13	verb.consumption	inhabited
16	16	noun.group	family
18	18	noun.person	Fairborne
20	21	verb.stative	consisting of
23	23	noun.person	master
25	25	noun.person	mistress
30	30	noun.person	progeny
32	32	noun.person	children
35	35	noun.group	sexes
42	42	verb.cognition	educated
44	44	noun.location	home
47	47	noun.person	parents
49	49	noun.act	care
54	55	verb.motion	sent out
57	57	noun.group	school
60	60	noun.artifact	house
65	65	noun.person	visiters
69	69	noun.person	friends
71	71	noun.person	relations
74	74	noun.person	owners
78	78	verb.emotion	entertained
80	80	noun.attribute	cheerfulness
82	82	noun.communication	hospitality
86	86	noun.act	ceremony
88	88	noun.act	parade
91	91	verb.social	formed
95	95	noun.act	stay
97	97	noun.relation	part
100	100	noun.group	family
103	103	verb.stative	were
106	106	verb.communication	concur
108	108	noun.person	Mr.
110	111	noun.person	Mrs. Fairborne
116	116	noun.cognition	plan
118	118	verb.social	varying
120	120	noun.feeling	amusements
125	125	verb.social	promoting
127	127	noun.act	instruction
129	129	noun.act	entertainment
133	133	noun.relation	part
136	136	noun.group	household
142	142	verb.stative	were
145	145	verb.communication	writing
150	150	verb.creation	produce
152	152	noun.communication	fable
155	155	noun.communication	story
158	158	noun.communication	dialogue
160	160	verb.cognition	adapted
163	163	noun.time	age
165	165	noun.cognition	understanding
169	169	noun.group	people
174	174	verb.cognition	considered
178	178	noun.state	favour
183	183	verb.consumption	employ
189	189	noun.artifact	pieces
192	192	verb.cognition	read
198	198	verb.possession	deposited
200	201	noun.person	Mrs. Fairborne
204	204	noun.artifact	box
209	209	verb.possession	kept
211	211	noun.artifact	key
217	217	verb.social	allowed
220	221	verb.change	taken out
226	226	noun.person	children
228	228	verb.social	assembled
231	231	noun.time	holydays
236	236	verb.social	made
240	240	noun.time	evening
241	241	noun.act	amusements
244	244	noun.group	family
246	246	verb.contact	rummage
248	248	noun.possession	budget
252	252	noun.communication	phrase
253	253	verb.stative	was
259	259	noun.person	children
261	261	verb.motion	sent
264	264	noun.artifact	box
267	268	verb.contact	putting in
271	271	noun.body	hand
273	274	verb.motion	drew out
276	276	noun.substance	paper
278	278	verb.change	came
282	282	verb.motion	brought
286	286	noun.artifact	parlour
291	291	verb.cognition	read
304	304	verb.perception	undergone
306	306	noun.cognition	consideration
310	310	noun.person	messenger
312	312	verb.communication	despatched
316	316	noun.quantity	supply
325	325	noun.time	time
328	328	verb.stative	spent
331	331	noun.attribute	manner
334	334	noun.person	parents
335	335	verb.cognition	thought
339	339	noun.person	children
341	341	verb.social	admitted
344	344	noun.communication	readings
349	349	noun.possession	Budget
351	352	noun.location	Beechgrove Hall
353	353	verb.change	became
355	355	verb.cognition	celebrated
358	358	noun.location	neighbourhood
361	361	noun.person	proprietors
365	365	verb.communication	urged
367	367	verb.contact	lay
372	372	noun.group	public
376	376	verb.communication	induced
378	378	verb.social	comply
385	385	noun.communication	preface
387	387	verb.change	begins
391	391	noun.time	Evening
