start_token	end_token	supersense_category	text
2	2	noun.communication	Tales
4	4	noun.communication	Legends
6	6	noun.person	Giants
8	8	noun.person	Dwarfs
10	10	noun.person	Fairies
12	14	noun.location	Water - Sprites
17	17	noun.person	Hobgoblins
20	22	noun.location	GERMAN OF VILLAMARIA
25	26	noun.communication	ILLUSTRATIONS CONTENTS
31	32	noun.location	Youthful Dream
35	36	noun.person	King Laurin
42	42	noun.location	Venice
45	46	noun.location	Rhine Gold
53	53	noun.person	Dwarfs
55	56	noun.person	PART I.
58	59	noun.group	Dying Dwarf
70	73	noun.group	Rock 124 The Flower
75	75	noun.location	Iceland
79	81	noun.person	Sea - fairy
85	86	noun.person	Faithful Goblin
90	91	noun.person	Fallen Bell
96	96	noun.location	Home
99	99	noun.person	Giants
102	102	noun.communication	Illustrations
104	104	noun.communication	PAGE
113	113	noun.communication	p.
116	116	noun.artifact	Frontispiece
118	118	noun.person	Frederick
119	119	verb.social	takes
120	120	noun.act	leave
122	122	noun.person	Gela
124	124	noun.location	Barbarossa
127	128	noun.location	Holy Land
130	130	noun.person	Barbarossa
132	132	noun.person	Gela
137	137	noun.location	Vreneli
139	140	noun.person	King Laurin
144	144	noun.location	Garden
146	147	noun.person	King Laurin
151	151	noun.artifact	Cottage
154	154	noun.person	Dwarf
156	156	noun.location	Venice
157	157	verb.social	takes
159	159	noun.act	Departure
162	163	noun.location	Native Land
165	165	noun.person	Hans
166	166	verb.perception	sees
167	168	noun.person	King Laurin
170	170	noun.location	Kingdom
173	174	noun.location	Magic Mirror
176	176	noun.person	Hans
177	177	verb.possession	receives
180	180	noun.state	Welcome
184	184	noun.person	Friend
186	186	noun.person	Haco
187	187	verb.possession	throws
189	189	noun.possession	Treasure
192	192	noun.location	Nibelungen
195	195	noun.location	Rhine
197	197	noun.person	Charlemagne
198	198	verb.social	meets
200	200	noun.person	Kriemhild
203	204	noun.person	Countess Matilda
205	205	verb.change	restores
207	207	noun.person	Dwarf
209	209	noun.person	Queen
211	211	noun.state	Health
213	213	noun.person	Eckbert
218	218	noun.person	Kuno
220	220	noun.animal	Horse
222	222	noun.person	Kuno
223	223	verb.perception	listens
226	227	noun.person	Wise Man
229	229	noun.person	Talk
231	231	noun.person	Helga
234	234	noun.person	Mother
236	236	noun.quantity	Feet
240	240	noun.location	Helga
244	244	verb.stative	ceased
246	246	verb.emotion	thrill
254	254	noun.person	Corpse
256	256	noun.person	Antonio
258	258	noun.person	Antonio
261	262	noun.location	Crystal Castle
264	264	noun.location	Antonio
265	265	verb.contact	lays
268	268	noun.person	Maiden
274	274	noun.location	place
279	279	noun.person	Puck
282	282	noun.person	Gero
283	283	verb.contact	caught
284	284	noun.person	Puck
287	287	verb.contact	set
293	293	noun.location	Saddle
297	297	noun.person	Storm
298	298	verb.motion	hurls
300	300	noun.person	Bell
303	303	noun.object	Stream
306	306	noun.substance	Water
308	308	noun.animal	elf
312	312	noun.person	Soul
315	315	noun.location	Raft
322	322	verb.motion	returns
325	325	noun.person	Father
327	327	noun.person	Guru
328	328	verb.body	awakes
330	330	noun.substance	Rock
332	333	noun.person	Life 269
335	335	noun.location	Barbarossa
340	340	noun.substance	ORE
344	344	noun.time	years
346	347	verb.motion	rolled away
350	350	noun.artifact	castle
351	351	verb.perception	looked
356	356	noun.attribute	height
360	360	noun.object	plains
366	367	noun.location	Kinzig Valley
372	372	noun.location	villages
374	374	noun.location	towns
378	379	verb.stative	belonged to
382	382	noun.person	Swabian
383	383	noun.person	duke
384	384	noun.person	Frederick
386	386	noun.location	Hohenstaufen
392	392	noun.person	son
393	393	verb.emotion	loved
400	400	noun.person	father
403	403	noun.artifact	castles
407	407	verb.motion	left
409	409	noun.person	uncle
412	412	noun.artifact	palace
414	414	noun.animal	hunt
417	417	noun.object	forests
421	421	verb.perception	look
427	427	noun.artifact	window
431	431	noun.object	plain
435	435	noun.person	father
437	437	noun.person	uncle
439	439	verb.emotion	missed
446	446	noun.body	eye
451	451	noun.attribute	expression
455	455	noun.attribute	countenance
457	457	verb.perception	seemed
466	466	noun.person	men
468	468	verb.emotion	gladdening
470	470	verb.perception	look
475	475	verb.stative	were
479	479	verb.social	let
481	481	verb.cognition	leave
487	487	noun.person	Frederick
490	490	verb.communication	beg
495	495	verb.possession	grant
498	498	noun.state	freedom
508	508	noun.person	father
510	510	noun.person	uncle
512	512	verb.communication	granted
514	514	noun.communication	permission
523	523	verb.communication	repeated
527	527	verb.change	happened
529	529	noun.time	autumn
532	532	noun.time	year
534	536	noun.person	Bernard of Clairvaux
537	538	verb.motion	passed through
539	539	noun.location	Germany
541	541	verb.communication	calling
542	542	noun.person	prince
544	544	noun.group	people
546	546	noun.communication	words
549	549	noun.communication	eloquence
551	551	verb.social	aid
554	554	noun.act	deliverance
566	566	verb.communication	said
567	568	noun.person	young Frederick
572	573	noun.person	King Conrad
575	576	noun.person	Duke Frederick
577	577	verb.possession	granted
579	579	noun.communication	permission
583	583	verb.motion	bent
586	586	noun.communication	farewell
588	588	verb.contact	take
590	590	noun.person	uncle
592	592	noun.body	hand
595	595	noun.person	king
596	596	verb.communication	whispered
599	599	verb.stative	Be
603	603	noun.person	Frederick
606	606	verb.motion	return
611	611	noun.person	messenger
612	612	verb.communication	calls
616	616	noun.state	things
617	617	verb.stative	are
625	625	verb.social	spare
629	629	noun.body	arm
633	634	noun.person	young Frederick
635	635	verb.body	smiled
639	639	noun.communication	smile
642	642	verb.communication	answered
646	646	verb.motion	come
649	649	noun.person	king
651	651	noun.person	lord
652	652	verb.communication	calls
657	657	verb.motion	galloped
663	663	verb.motion	bound
665	665	noun.time	day
667	667	verb.motion	ride
670	670	noun.object	world
674	674	noun.animal	steed
675	675	verb.stative	bore
679	679	noun.animal	wings
683	683	noun.plant	forests
686	686	noun.location	Spessart
692	692	noun.plant	sunbeams
693	693	verb.contact	sank
696	696	noun.object	waters
699	699	noun.location	Kinzig
702	702	verb.motion	mounted
705	705	noun.artifact	path
708	708	noun.artifact	castle
711	711	verb.motion	rode
714	714	verb.motion	lowered
715	715	noun.artifact	drawbridge
718	718	noun.artifact	court
724	724	noun.animal	stags
726	726	noun.animal	boars
730	730	noun.object	forests
734	734	noun.possession	treasure
738	738	noun.communication	manuscripts
741	741	noun.group	castle
742	742	noun.communication	archives
745	745	verb.emotion	drew
748	748	noun.person	prince
757	757	noun.artifact	fortress
761	761	noun.person	father
763	763	noun.person	uncle
764	764	verb.cognition	thought
768	768	verb.cognition	knew
774	774	noun.feeling	love
778	778	noun.person	Gela
781	781	noun.person	daughter
785	785	noun.person	retainer
789	789	verb.perception	seen
792	792	verb.motion	resting
795	795	noun.act	chase
798	798	noun.group	forest
801	802	noun.location	Kinzig Valley
809	809	noun.feeling	love
812	812	verb.change	become
815	815	verb.stative	was
818	818	verb.cognition	renounce
820	820	noun.cognition	dreams
823	823	noun.attribute	power
825	825	noun.attribute	greatness
827	827	verb.stative	live
830	830	noun.state	retirement
839	839	verb.social	raise
843	843	noun.state	rank
847	847	noun.person	lovers
850	850	verb.competition	guard
852	852	noun.communication	secret
857	857	verb.cognition	trust
859	859	noun.person	confidant
863	863	noun.location	paradise
866	866	verb.change	laid
870	870	noun.artifact	gates
874	874	verb.contact	opened
876	876	verb.communication	admit
881	881	verb.communication	breathed
883	883	noun.feeling	love
891	891	noun.person	prince
892	892	verb.possession	passed
893	893	noun.person	Gela
896	896	noun.feeling	indifference
899	899	verb.motion	met
903	903	noun.artifact	castle
904	904	noun.group	court
908	908	noun.act	work
911	911	noun.artifact	house
914	914	noun.person	Gela
915	915	verb.social	made
917	917	noun.feeling	reverence
922	922	verb.stative	were
927	927	noun.person	maids
932	932	verb.cognition	counted
936	936	noun.state	honour
938	938	verb.creation	do
940	940	noun.act	service
944	944	noun.time	evening
947	947	noun.person	Frederick
949	949	verb.motion	roamed
951	951	noun.group	forest
954	954	noun.time	morning
957	957	noun.artifact	bow
960	960	noun.body	shoulder
964	964	noun.animal	hounds
967	967	noun.body	side
970	971	noun.person	fair Gela
974	974	verb.perception	seen
975	975	verb.motion	walking
980	980	noun.artifact	road
983	983	noun.artifact	basket
986	986	noun.artifact	arm,10
990	990	noun.possession	stock
994	994	verb.body	spun
995	995	noun.artifact	yarn
1003	1003	verb.possession	seek
1004	1004	noun.person	purchasers
1008	1008	noun.location	town
1013	1013	noun.group	forest
1016	1016	verb.motion	leave
1019	1019	noun.act	path
1022	1022	verb.motion	make
1026	1026	noun.location	briars
1028	1028	noun.artifact	underwood
1031	1031	noun.attribute	height
1036	1036	noun.person	prince
1037	1037	verb.consumption	awaited
1041	1041	noun.artifact	shelter
1045	1045	noun.plant	oak
1050	1050	verb.communication	talk
1057	1057	noun.phenomenon	sunbeam
1059	1059	verb.change	quenched
1062	1062	noun.location	Kinzig
1063	1063	noun.object	stream
1067	1067	noun.artifact	convent
1068	1068	noun.artifact	bell
1069	1069	verb.weather	resounded
1072	1072	noun.artifact	arches
1075	1075	noun.group	forest
1080	1080	verb.contact	fold
1082	1082	noun.body	hands
1084	1084	noun.act	prayer
1086	1086	verb.communication	saying
1087	1087	noun.communication	farewell
1090	1090	noun.feeling	hope
1093	1093	noun.communication	meeting
1096	1096	noun.time	morrow
1105	1105	noun.time	year
1108	1108	noun.feeling	love
1109	1109	verb.change	remained
1113	1113	noun.feeling	hope
1117	1117	noun.cognition	faith
1123	1123	noun.artifact	halls
1126	1126	noun.artifact	palace
1133	1133	noun.person	ladies
1135	1135	verb.social	surrounded
1138	1138	noun.person	prince
1141	1141	noun.communication	marks
1143	1143	noun.feeling	favour
1146	1146	noun.feeling	longing
1150	1150	noun.group	forest
1153	1154	noun.location	Kinzig Valley
1163	1163	verb.change	died
1166	1166	noun.cognition	heart
1170	1170	verb.social	met
1173	1173	noun.time	evening
1181	1181	noun.feeling	tenderness
1183	1183	noun.person	Frederick
1184	1184	verb.motion	drew
1185	1185	noun.person	Gela
1188	1188	noun.body	head
1191	1191	noun.body	breast
1194	1195	verb.communication	spoke to
1202	1202	noun.time	future
1206	1206	verb.stative	be
1211	1211	noun.time	weeks
1216	1216	verb.stative	be
1222	1222	verb.stative	be
1225	1225	verb.motion	lead
1230	1230	noun.person	wife
1233	1233	noun.artifact	castle
1236	1237	noun.location	fair land
1239	1239	noun.location	Bavaria
1243	1243	noun.possession	inheritance
1247	1247	noun.person	mother
1251	1252	noun.plant	oak tree
1257	1257	verb.contact	scattering
1259	1259	noun.plant	leaves
1261	1261	noun.person	Gela
1264	1264	noun.body	hair
1268	1268	verb.stative	was
1272	1272	noun.time	autumn
1277	1277	noun.communication	bell
1280	1280	noun.group	forest
1281	1281	noun.artifact	cloister
1282	1282	verb.change	began
1284	1284	verb.perception	sound
1287	1287	verb.stative	was
1292	1292	noun.phenomenon	moonlight
1293	1293	verb.perception	gleamed
1296	1296	noun.artifact	path
1299	1299	noun.person	Gela
1300	1300	verb.motion	walked
1303	1303	noun.person	lover
1310	1310	noun.artifact	road
1312	1312	verb.stative	supported
1315	1315	noun.body	arm
1320	1320	noun.phenomenon	moon
1321	1321	verb.perception	shone
1328	1328	verb.motion	part
1333	1333	noun.body	eye
1335	1335	verb.perception	see
1339	1339	verb.motion	Meet
1348	1348	verb.communication	said
1351	1351	noun.person	prince
1355	1355	verb.contact	kissing
1358	1358	noun.body	cheek
1361	1361	noun.person	Gela
1362	1362	verb.motion	tripped
1368	1368	noun.artifact	road
1371	1371	noun.object	valley
1374	1374	noun.person	Frederick
1375	1375	verb.perception	gazed
1380	1380	verb.change	vanished
1383	1383	noun.cognition	sight
1387	1387	verb.communication	called
1389	1389	noun.animal	dogs
1392	1392	verb.motion	turned
1395	1395	noun.artifact	castle
1401	1401	noun.attribute	stillness
1403	1403	noun.state	loneliness
1405	1406	verb.motion	given place
1408	1408	noun.act	bustle
1410	1410	noun.state	confusion
1414	1414	noun.person	prince
1417	1417	noun.person	tutor
1420	1420	verb.stative	was
1422	1422	noun.person	father
1424	1424	noun.person	confessor
1427	1427	noun.person	friend
1431	1431	noun.person	father
1435	1435	noun.person	uncle
1438	1438	verb.motion	arrived
1441	1441	noun.time	hours
1444	1444	verb.motion	accompanied
1447	1447	noun.group	troop
1449	1449	noun.person	horsemen
1451	1451	noun.person	Inquiries
1455	1455	noun.person	prince
1456	1456	verb.motion	passed
1459	1459	noun.body	mouth
1461	1461	noun.body	mouth
1465	1465	noun.communication	message
1466	1466	verb.stative	was
1469	1470	verb.communication	called for
1471	1471	noun.attribute	haste
1476	1476	verb.motion	came
1477	1477	verb.motion	riding
1480	1480	noun.artifact	drawbridge
1484	1484	noun.body	face
1485	1485	verb.perception	glowing
1489	1489	noun.event	transformation
1493	1493	noun.cognition	vision
1496	1496	noun.group	forest
1498	1498	verb.stative	hovered
1501	1501	noun.cognition	mind
1505	1505	noun.person	chaplain
1508	1508	noun.person	brothers
1510	1510	noun.person	Hohenstaufen
1516	1516	verb.stative	awaiting
1518	1518	noun.person	pupil
1522	1522	verb.cognition	hastened
1524	1524	verb.social	meet
1530	1530	noun.state	infirmities
1531	1531	verb.social	permitted
1534	1534	verb.communication	greeted
1541	1541	verb.cognition	left
1546	1546	noun.time	days
1554	1554	verb.perception	seen
1557	1557	noun.time	years
1561	1562	verb.motion	went together
1565	1565	noun.artifact	room
1569	1569	noun.artifact	window
1575	1575	noun.person	prince
1576	1576	verb.emotion	liked
1579	1579	verb.contact	sit
1583	1583	verb.possession	afforded
1585	1585	noun.act	view
1587	1587	noun.person	Gela
1589	1589	noun.body	lattice
1592	1592	verb.contact	sat
1596	1596	noun.communication	conversation
1600	1600	noun.phenomenon	light
