start_token	end_token	supersense_category	text
8	8	noun.communication	Book
11	12	noun.person	Andrew Lang
13	13	noun.communication	Title
21	22	noun.person	Andrew Lang
39	39	noun.communication	CONTENTS
42	44	noun.location	Ilonka Lucky Luck
50	51	noun.attribute	Good Health
54	54	noun.communication	Story
69	69	noun.communication	Secret
74	74	noun.person	Dragon
76	77	noun.location	Wildrose Tiidu
96	98	noun.group	Cat The Prince
101	101	verb.communication	Seek
102	102	noun.attribute	Immortality
104	112	noun.group	Stone - Cutter The Gold - Bearded Man Tritill
114	114	noun.location	Litill
118	118	noun.group	Birds
120	121	noun.group	Three Robes
128	129	noun.person	Beggar Boy
132	135	noun.person	Count Piro The Rogue
138	139	noun.person	Herdsman Eisenkopf
141	144	noun.person	Death Of Abu Nowas
153	156	noun.person	Giants Shepherd Paul How
158	159	noun.person	Wicked Tanuki
163	164	noun.person	Crab And
168	169	noun.person	Horse Gullfaxi
178	179	noun.person	Sham Prince
192	192	noun.location	Out
193	202	noun.person	A True Friend Clever Maria The Magic Kettle Lovely Ilonka
204	204	verb.stative	was
207	207	noun.person	king
209	209	noun.person	son
211	211	verb.communication	told
213	213	noun.person	father
216	216	verb.emotion	wished
218	218	verb.social	marry
223	223	noun.communication	no
226	226	verb.communication	said
228	228	noun.person	king
234	234	verb.stative	be
238	238	noun.attribute	hurry
240	240	verb.stative	Wait
244	244	verb.social	done
247	247	noun.act	deed
250	250	noun.person	father
253	253	verb.social	let
255	255	verb.social	marry
259	259	verb.possession	won
262	262	noun.artifact	sword
264	264	verb.perception	see
266	266	verb.body	wear
270	270	noun.person	prince
271	271	verb.stative	was
273	273	verb.emotion	disappointed
278	279	verb.cognition	dreamed of
280	280	verb.communication	disobeying
282	282	noun.person	father
286	286	verb.change	began
288	288	verb.cognition	think
292	292	noun.attribute	might
296	296	verb.social	do
299	299	verb.stative	was
302	302	verb.stative	staying
304	304	noun.location	home
310	310	verb.motion	wandered
314	314	noun.object	world
316	316	verb.social	try
323	324	verb.motion	walked along
326	326	verb.motion	came
330	330	noun.artifact	hut
334	334	verb.perception	found
336	337	noun.person	old woman
338	338	verb.contact	crouching
341	341	noun.artifact	fire
344	345	noun.communication	Good evening
347	347	noun.person	mother
350	350	verb.cognition	see
353	353	verb.stative	lived
357	357	noun.object	world
361	361	verb.cognition	know
366	366	noun.person	bulrushes
376	376	verb.stative	lived
379	379	verb.stative	been
384	384	noun.object	world
390	390	verb.perception	seen
392	392	verb.cognition	heard
397	397	verb.communication	ask
404	404	verb.stative	wait
408	408	noun.time	morrow
411	411	verb.stative	be
414	414	verb.communication	tell
422	422	verb.stative	waited
425	425	noun.time	morning
431	432	noun.person	old woman
433	433	verb.change	appeared
435	436	verb.contact	took out
439	439	noun.artifact	pipe
441	441	verb.contact	blew
448	448	noun.time	moment
451	451	noun.animal	crows
454	454	noun.object	world
456	456	verb.motion	flying
462	462	verb.stative	was
467	467	verb.communication	asked
470	470	verb.cognition	knew
475	475	noun.artifact	bulrushes
485	485	noun.person	prince
486	487	verb.motion	went on
497	497	verb.possession	found
499	499	noun.artifact	hut
502	502	verb.stative	lived
504	505	noun.person	old man
509	509	verb.communication	questioned
511	512	noun.person	old man
513	513	verb.communication	said
515	515	verb.cognition	knew
516	516	noun.quantity	nothing
519	519	verb.communication	begged
521	521	noun.person	prince
523	523	verb.stative	stay
529	529	noun.time	morning
531	532	noun.person	old man
533	533	verb.communication	called
536	536	noun.person	ravens
542	542	verb.possession	had
543	543	noun.quantity	nothing
545	545	verb.communication	tell
548	548	noun.person	prince
549	549	verb.communication	bade
553	554	verb.motion	set out
557	557	verb.motion	wandered
562	562	verb.motion	crossed
564	564	noun.location	kingdoms
571	571	noun.time	evening
574	574	verb.motion	came
578	578	noun.artifact	house
581	581	verb.stative	was
583	584	noun.person	old woman
587	588	noun.communication	Good evening
591	591	noun.person	mother
594	594	verb.communication	said
600	600	noun.communication	evening
606	606	noun.person	son
609	609	verb.communication	answered
611	612	noun.person	old woman
616	616	verb.stative	is
622	622	verb.communication	spoke
629	629	verb.social	met
633	633	noun.event	death
638	638	verb.communication	ask
642	642	verb.motion	going
648	648	verb.contact	seeking
651	651	noun.artifact	bulrushes
655	655	verb.cognition	know
665	665	verb.cognition	know
670	670	verb.stative	wait
673	673	noun.time	-
674	674	noun.time	morrow
679	679	verb.communication	tell
687	687	noun.time	morning
689	689	verb.body	blew
692	692	noun.artifact	pipe
700	700	noun.animal	magpie
703	703	noun.object	world
704	705	verb.motion	flew up
714	714	noun.plant	magpies
719	719	verb.contact	broken
721	721	noun.body	leg
724	724	noun.animal	wing
727	728	noun.person	old woman
729	729	verb.motion	sent
738	738	verb.communication	questioned
740	740	noun.person	magpies
744	744	verb.stative	was
749	749	verb.cognition	knew
753	753	noun.person	bulrushes
754	754	verb.stative	were
758	758	noun.person	prince
759	760	verb.motion	started off
764	764	noun.animal	magpie
767	768	verb.motion	went on
773	773	verb.motion	reached
776	776	noun.substance	stone
777	777	noun.artifact	wall
782	782	noun.quantity	feet
788	788	noun.person	prince
791	791	verb.communication	said
793	793	noun.person	magpie
798	798	noun.person	bulrushes
799	799	verb.stative	are
802	802	noun.artifact	wall
806	806	noun.person	prince
807	807	verb.possession	wasted
809	809	noun.time	time
812	812	verb.contact	set
814	814	noun.animal	horse
817	817	noun.artifact	wall
819	819	verb.motion	leaped
825	825	verb.perception	looked
830	830	noun.person	bulrushes
832	832	verb.contact	pulled
836	837	verb.motion	set off
842	842	noun.act	way
847	848	verb.motion	rode along
852	852	noun.artifact	bulrushes
853	853	verb.social	happened
855	856	verb.contact	knock against
860	861	verb.change	split open
865	865	verb.cognition	think
868	868	verb.change	sprang
871	871	noun.person	girl
874	874	verb.communication	said
878	878	noun.cognition	heart
880	880	noun.feeling	love
883	883	verb.stative	are
887	887	verb.stative	am
891	891	verb.possession	give
894	894	noun.quantity	glass
896	896	noun.substance	water
903	903	noun.person	prince
904	904	verb.possession	give
909	909	verb.stative	was
911	911	noun.substance	water
918	918	noun.person	maiden
919	920	verb.motion	flew away
923	923	verb.contact	split
926	926	noun.artifact	bulrush
929	929	noun.act	experiment
934	934	noun.state	thing
935	935	verb.change	happened
940	940	verb.stative	was
