start_token	end_token	supersense_category	text
1	1	noun.communication	Pg
4	4	noun.communication	PREFACE
7	7	noun.communication	preface
8	8	verb.stative	is
11	11	noun.communication	book
14	14	noun.communication	prologue
15	15	verb.stative	is
18	18	noun.communication	play
31	31	noun.communication	precursor
37	37	verb.change	altered
39	39	verb.cognition	omitted
41	41	noun.feeling	pleasure
47	47	verb.social	exercised
49	49	noun.attribute	right
53	53	verb.stative	is
58	58	verb.creation	written
62	62	noun.artifact	work
70	70	verb.communication	stating
73	73	verb.possession	given
74	74	noun.motive	occasion
79	79	verb.possession	gave
81	81	noun.communication	germs
84	84	noun.cognition	theory
88	88	verb.change	developed
91	91	noun.communication	Tales
94	94	noun.communication	Fictions
98	98	verb.stative	contained
101	101	noun.communication	paragraph
107	108	verb.cognition	heard of
112	112	verb.cognition	read
115	115	verb.stative	was
123	123	verb.communication	translated
125	125	noun.communication	German
130	130	verb.change	appeared
136	136	verb.possession	received
138	138	noun.person	Goethe
139	139	verb.cognition	thought
144	146	noun.person	Dr. Jacob Grimm
151	151	noun.person	authority
154	154	noun.cognition	matters
156	156	noun.object	Europe
158	158	verb.communication	wrote
161	161	noun.communication	letter
162	162	verb.communication	commending
166	166	verb.communication	assuring
173	173	verb.possession	offered
179	179	verb.stative	was
184	184	verb.emotion	surprised
187	187	noun.act	receipt
190	190	noun.communication	letter
192	192	noun.location	Vienna
197	197	noun.person	orientalist
199	201	noun.person	Jos Von Hammer
203	203	verb.communication	informing
208	208	verb.stative	been
210	210	noun.person	companion
213	213	noun.act	journey
217	217	verb.social	made
221	221	noun.location	province
223	223	noun.location	Styria
227	227	verb.possession	afforded
229	229	noun.feeling	pleasure
231	231	noun.communication	information
237	237	noun.person	ladies
240	240	noun.state	rank
243	243	noun.attribute	minds
246	246	noun.location	country
249	249	noun.communication	initials
252	252	noun.location	end
255	255	noun.communication	preface
258	258	verb.communication	said
260	260	verb.communication	led
263	263	verb.cognition	suppose
265	265	verb.stative	was
267	267	noun.artifact	work
275	275	noun.object	Continent
281	281	noun.group	country
285	285	verb.communication	mention
287	287	noun.communication	name
289	290	noun.person	Robert Southey
300	300	verb.communication	expressed
303	303	noun.feeling	approbation
306	306	noun.act	performance
309	309	verb.stative	am
314	314	verb.communication	said
318	318	verb.consumption	satisfy
323	323	noun.artifact	work
324	324	verb.stative	is
328	328	noun.attribute	merit
334	334	verb.change	add
336	336	noun.communication	names
339	339	noun.person	persons
346	346	noun.artifact	work
349	349	noun.artifact	pendent
352	352	noun.communication	Tales
355	355	noun.communication	Fictions
360	360	verb.communication	mention
365	366	noun.person	Mr. Douce
374	374	noun.event	death
378	378	noun.event	occasion
381	381	noun.communication	publication
385	385	noun.artifact	work
387	388	verb.communication	called on
391	391	verb.communication	assure
396	396	verb.stative	was
400	400	noun.time	years
406	406	verb.cognition	read
408	408	noun.communication	book
411	411	verb.possession	yielded
415	415	noun.feeling	delight
419	419	noun.communication	contents
422	422	noun.artifact	work
424	424	verb.possession	gave
426	426	noun.feeling	pleasure
430	430	noun.person	antiquary
431	431	verb.stative	are
443	443	noun.communication	Customs
447	447	noun.communication	Names
454	454	noun.communication	Imitation
459	459	noun.person	Milton
461	461	noun.person	Dante
469	469	noun.time	Nights
471	472	noun.location	Bedoween Audience
477	477	noun.person	teller
479	479	noun.substance	Cleomades
481	481	noun.person	Claremond
486	486	noun.person	Peter
497	498	noun.location	Pleasant Nights
501	502	noun.location	Dancing Water
505	506	noun.person	Singing Apple
510	512	noun.location	Beautiful Green Bird
