start_token	end_token	supersense_category	text
8	9	noun.person	Andrew Lang
10	10	noun.communication	Preface
12	12	noun.person	children
14	14	verb.cognition	read
15	16	noun.communication	fairy books
20	21	noun.communication	fairy books
22	22	verb.cognition	read
28	28	verb.cognition	read
29	29	noun.communication	prefaces
33	33	noun.person	parents
35	35	noun.person	aunts
37	37	noun.person	uncles
40	40	noun.person	cousins
43	43	verb.possession	give
44	45	noun.communication	fairy books
48	48	noun.person	daughters
50	50	noun.person	nieces
53	53	noun.person	cousins
55	55	verb.change	leave
56	56	noun.communication	prefaces
65	65	noun.communication	prefaces
66	66	verb.creation	written
70	70	noun.person	author
71	71	verb.creation	publishes
73	73	noun.communication	book
79	79	noun.body	head
83	83	verb.creation	writes
85	85	noun.communication	preface
89	89	noun.feeling	pleasure
92	92	verb.cognition	reading
95	95	noun.communication	book
97	97	noun.communication	print
100	100	verb.change	make
111	111	verb.creation	printed
133	133	noun.communication	names
137	137	noun.person	author
138	138	verb.communication	says
144	144	noun.communication	preface
148	148	verb.cognition	thinks
152	152	noun.communication	book
157	157	verb.communication	means
160	160	verb.cognition	prove
164	164	verb.communication	means
167	167	verb.cognition	prove
173	173	verb.stative	is
177	177	noun.communication	book
180	180	verb.stative	is
187	187	verb.cognition	reads
188	188	noun.communication	prefaces
191	191	noun.person	authors
194	194	noun.person	critics
197	197	verb.emotion	hope
201	201	verb.possession	find
205	205	noun.communication	preface
207	207	verb.communication	enable
210	210	verb.social	do
212	212	verb.cognition	reading
216	216	noun.communication	book
219	219	verb.perception	appears
221	221	verb.stative	be
223	223	noun.cognition	philosophy
225	225	noun.communication	prefaces
231	231	noun.person	authors
233	233	verb.stative	be
240	240	verb.stative	are
242	242	noun.attribute	advantage
245	245	verb.creation	write
247	247	noun.communication	criticisms
251	251	noun.communication	books
254	254	noun.communication	prefaces
263	263	noun.person	critic
268	268	noun.person	author
272	272	verb.perception	has
274	274	noun.cognition	sense
276	276	noun.feeling	humour
286	286	verb.communication	says
289	289	noun.communication	preface
295	295	noun.communication	Books
301	301	verb.creation	written
304	304	noun.person	Editor
