start_token	end_token	supersense_category	text
3	3	noun.communication	BOOK
6	6	verb.communication	Edited
8	10	noun.person	Andrew Lang Preface
12	12	noun.group	people
15	15	noun.group	world
16	16	verb.communication	tell
17	17	noun.communication	nursery
18	18	noun.communication	tales
21	21	noun.person	children
25	25	verb.communication	tell
36	37	noun.artifact	camp fires
40	40	noun.person	Eskimo
45	45	noun.time	winter
46	46	noun.artifact	huts
49	49	noun.person	Kaffirs
51	52	noun.location	South Africa
53	53	verb.communication	tell
59	59	noun.person	Greeks
65	65	noun.person	Egyptians
69	69	noun.person	Moses
74	74	noun.time	years
75	75	verb.body	rescued
79	79	noun.event	bulrushes
82	82	noun.person	Germans
84	84	noun.person	French
86	86	noun.person	Spanish
88	88	noun.person	Italians
90	90	noun.person	Danes
92	92	noun.person	Highlanders
93	93	verb.communication	tell
99	99	noun.communication	stories
100	100	verb.stative	are
103	103	verb.stative	be
110	110	noun.person	child
113	113	verb.cognition	read
117	117	noun.group	Red
119	120	noun.group	Yellow Fairy
121	121	noun.communication	Books
123	123	verb.perception	find
126	126	noun.person	friends
129	129	noun.attribute	faces
134	134	noun.communication	Book
138	138	verb.cognition	examines
140	140	verb.cognition	compares
145	145	noun.communication	tales
148	148	verb.stative	be
153	153	noun.person	student
156	156	noun.person	Tanuki
157	157	verb.stative	is
159	159	noun.person	creature
161	161	noun.cognition	acquaintance
166	166	verb.social	made
171	171	verb.communication	remark
173	173	noun.person	Andersen
174	174	verb.emotion	wants
177	177	verb.communication	point
187	187	verb.communication	adorn
189	189	noun.communication	tale
195	195	verb.social	trying
197	198	verb.social	make fun
201	201	noun.communication	follies
203	203	noun.group	mankind
207	207	verb.stative	exist
210	210	noun.group	countries
214	214	noun.communication	story
226	226	verb.cognition	read
231	231	noun.person	child
236	236	verb.stative	borders
239	240	noun.communication	ghost story
245	245	verb.change	altered
248	248	verb.stative	is
255	255	noun.communication	language
258	258	noun.person	Danes
263	263	noun.time	history
264	264	verb.communication	tells
267	267	verb.stative	were
273	273	noun.group	people
276	276	verb.stative	am
281	281	noun.communication	story
282	282	verb.stative	is
291	291	noun.communication	stories
292	292	verb.stative	are
298	298	verb.communication	translated
300	303	noun.person	Mr. W. A. Craigie
308	308	noun.location	Sicilian
312	312	noun.communication	German
315	315	verb.communication	translated
319	319	noun.person	African
320	320	noun.communication	tales
324	324	noun.communication	French
328	328	noun.communication	Catalan
329	329	noun.communication	tales
334	334	noun.communication	stories
340	340	noun.communication	German
346	346	noun.communication	French
347	347	noun.communication	story
350	351	noun.person	Mrs. Lang
353	355	noun.person	Miss Alma Alleyne
356	356	verb.creation	did
358	358	noun.communication	stories
360	360	noun.person	Andersen
365	365	noun.communication	German
367	368	noun.person	Mr. Ford
374	374	verb.contact	drawn
376	376	noun.person	monsters
378	378	noun.person	mermaids
381	381	noun.person	princes
383	383	noun.animal	giants
388	388	noun.person	princesses
393	393	noun.person	Editor
394	394	verb.cognition	thinks
396	396	verb.stative	are
410	410	noun.communication	fancies
411	411	verb.motion	brought
414	414	noun.location	quarters
417	417	verb.cognition	see
421	421	noun.attribute	white
425	425	noun.group	peoples
426	426	verb.stative	are
432	432	noun.cognition	kinds
434	434	noun.act	adventures
436	436	noun.attribute	Courage
438	438	noun.time	youth
440	440	noun.attribute	beauty
442	442	noun.attribute	kindness
444	444	verb.stative	have
446	446	noun.act	trials
451	451	verb.competition	win
453	453	noun.act	battle
456	456	noun.person	witches
458	458	noun.animal	giants
462	462	noun.group	people
464	464	verb.stative	are
484	484	verb.stative	is
487	487	verb.stative	be
491	491	verb.stative	is
496	497	noun.communication	fairy tales
503	503	verb.stative	be
516	516	verb.social	prevents
519	519	verb.stative	being
525	525	noun.person	man
527	527	noun.person	woman
530	530	noun.animal	beast
532	532	noun.animal	bird
535	535	verb.change	comes
539	539	noun.attribute	good
543	543	noun.communication	fables
546	546	noun.object	world
552	552	noun.communication	tales
553	553	verb.stative	are
