start_token	end_token	supersense_category	text
1	2	noun.person	VIOLET FAIRY
3	3	noun.communication	BOOK
5	7	noun.group	Various Edited By
8	12	noun.person	Andrew Lang TO VIOLET MYERS
21	21	noun.person	Editor
22	22	verb.social	takes
24	24	noun.state	opportunity
26	26	verb.communication	repeat
31	31	verb.communication	said
36	36	verb.stative	is
39	39	noun.person	author
42	42	noun.communication	stories
52	52	verb.creation	invent
59	59	noun.body	head
67	67	verb.communication	asked
70	70	noun.person	ladies
75	75	verb.creation	written
80	81	noun.communication	Fairy Books
87	87	verb.communication	obliged
89	89	verb.communication	explain
94	94	verb.creation	written
97	97	noun.communication	Books
105	105	verb.creation	written
111	111	noun.communication	hymns
113	113	noun.communication	sermons
117	117	noun.artifact	works
120	120	noun.communication	stories
125	125	noun.communication	Book
134	134	noun.group	series
138	138	verb.communication	translated
144	144	noun.communication	tales
147	147	noun.attribute	number
150	150	noun.communication	languages
153	153	noun.communication	stories
154	154	verb.stative	are
160	160	noun.person	men
162	162	verb.creation	invented
166	166	verb.communication	narrated
170	170	noun.person	women
174	174	noun.person	children
179	179	verb.possession	inherited
184	184	noun.group	ancestors
188	188	verb.cognition	believed
190	190	noun.animal	beasts
192	192	noun.plant	trees
194	194	noun.substance	stones
196	196	verb.communication	talk
199	199	verb.cognition	choose
202	202	verb.body	behave
208	208	noun.communication	stories
209	209	verb.stative	are
214	214	noun.cognition	ideas
216	216	noun.time	ages
218	218	noun.cognition	science
221	221	verb.stative	exist
224	224	noun.cognition	magic
225	225	verb.change	took
227	227	noun.cognition	place
229	229	noun.cognition	science
233	233	verb.possession	has
235	235	noun.cognition	curiosity
237	237	verb.cognition	read
242	242	noun.communication	Tales
246	248	noun.person	Mrs. Langloh Parker
250	250	verb.possession	collected
253	253	noun.body	lips
257	257	noun.person	savages
260	260	verb.cognition	find
263	263	noun.communication	tales
264	264	verb.stative	are
272	272	verb.stative	were
275	275	noun.person	authors
279	279	verb.cognition	knows
284	284	noun.person	men
286	286	noun.person	women
288	288	noun.person	Eve
291	291	verb.communication	told
293	293	noun.communication	tales
295	295	verb.emotion	amuse
296	296	noun.person	Cain
298	298	noun.person	Abel
301	301	noun.group	people
302	302	verb.change	grew
306	306	verb.possession	had
307	307	noun.person	kings
309	309	noun.person	queens
311	311	noun.person	princes
313	313	noun.person	princesses
317	317	noun.person	persons
320	320	verb.cognition	chosen
322	322	noun.person	heroes
324	324	noun.person	heroines
329	329	noun.person	characters
330	330	verb.stative	were
334	334	noun.person	man
340	340	noun.person	woman
346	346	noun.person	boy
352	352	noun.person	girl
356	356	noun.group	crowds
358	358	noun.animal	beasts
360	360	noun.animal	birds
363	363	noun.animal	fishes
366	366	verb.body	behaving
368	369	noun.animal	human beings
373	373	noun.person	nobles
376	376	noun.group	people
377	377	verb.change	became
383	383	verb.cognition	forgot
386	386	noun.communication	stories
390	390	noun.location	country
391	391	noun.group	people
396	396	verb.possession	handed
401	401	noun.event	changes
403	403	noun.feeling	pleasure
406	406	noun.group	generation
408	408	noun.group	generation
411	411	verb.cognition	learned
412	412	noun.person	men
413	413	verb.possession	collected
415	415	verb.creation	printed
417	417	noun.group	country
418	418	noun.group	people
420	420	noun.communication	stories
426	426	verb.communication	translated
429	429	verb.emotion	amuse
430	430	noun.person	children
433	433	noun.feeling	tastes
434	434	verb.change	remain
437	437	noun.feeling	tastes
441	441	noun.person	ancestors
443	443	noun.quantity	thousands
445	445	noun.time	years
450	450	verb.perception	seem
452	452	verb.emotion	like
453	454	noun.communication	fairy tales
457	457	noun.cognition	history
459	459	noun.communication	poetry
461	461	noun.cognition	geography
464	464	noun.communication	arithmetic
471	471	noun.group	people
472	472	verb.emotion	like
473	473	noun.communication	novels
480	480	verb.stative	is
483	483	noun.cognition	truth
486	486	noun.cognition	matter
490	490	verb.communication	said
496	496	verb.communication	say
501	501	noun.quantity	nothing
503	503	verb.social	prevent
504	504	noun.person	children
506	506	verb.cognition	thinking
509	509	verb.creation	invented
511	511	noun.communication	stories
515	515	noun.person	ladies
517	517	verb.stative	being
521	521	noun.cognition	opinion
526	526	verb.creation	invented
528	528	noun.communication	stories
530	530	verb.cognition	knows
541	541	verb.cognition	reading
543	543	noun.act	writing
545	545	verb.creation	invented
548	548	noun.quantity	first
551	551	noun.communication	stories
553	554	verb.creation	written down
557	557	verb.creation	written
559	559	noun.communication	Egyptian
560	560	noun.artifact	hieroglyphs
565	565	noun.substance	cakes
567	567	noun.substance	clay
573	573	noun.time	years
576	576	noun.time	time
580	580	noun.communication	stories
583	583	noun.communication	book
585	586	noun.person	Miss Blackley
587	587	verb.communication	translated
589	591	noun.person	Dwarf Long Nose
597	597	noun.person	Beggars
602	603	noun.person	Lute Player
607	607	noun.quantity	Two
610	610	noun.artifact	Sack
616	616	noun.animal	Fish
618	618	verb.motion	swam
621	621	noun.location	Air
624	627	noun.person	Mr. W. A. Craigie
628	628	verb.communication	translated
631	631	noun.communication	Scandinavian
634	634	noun.person	Jasper
636	636	verb.social	herded
638	638	noun.animal	Hares
641	642	noun.person	Mrs. Lang
645	645	noun.relation	rest
652	652	verb.stative	are
661	661	verb.communication	published
665	666	noun.person	Dr. Steere
670	670	noun.communication	Tales
675	675	noun.communication	permission
678	678	noun.person	representatives
682	682	noun.communication	stories
686	686	verb.communication	abridged
688	688	verb.creation	simplified
690	690	noun.person	children
