start_token	end_token	supersense_category	text
0	1	noun.person	KIND WILLIAM
5	5	noun.person	SPRITE
9	9	verb.stative	lived
12	12	noun.person	weaver
15	15	noun.person	wife
16	16	verb.change	died
19	19	noun.time	years
22	22	noun.state	marriage
25	25	verb.stative	was
30	30	noun.object	world
34	34	noun.person	child
37	37	verb.stative	was
44	44	noun.person	lad
54	54	noun.attribute	disposition
57	57	verb.possession	gained
59	59	noun.communication	nickname
61	62	noun.person	Kind William
67	67	noun.time	birthday
69	69	noun.person	father
70	70	verb.possession	gave
74	74	noun.artifact	net
78	78	noun.artifact	handle
84	84	noun.person	William
85	85	verb.cognition	betook
90	90	noun.object	part
93	93	noun.object	river
95	95	noun.animal	fish
98	98	verb.motion	wandering
102	102	noun.time	time
105	105	verb.possession	found
108	108	noun.object	pool
109	110	verb.contact	dammed in
112	112	noun.substance	stones
117	117	verb.motion	dipped
120	120	noun.animal	minnows
122	122	verb.motion	darted
128	128	noun.substance	water
135	135	noun.act	casts
137	137	verb.contact	caught
138	138	noun.quantity	nothing
145	145	verb.motion	landed
149	149	noun.quantity	twenty
153	153	noun.animal	fishes
157	157	noun.animal	minnows
161	161	verb.perception	seen
166	166	verb.motion	leaped
168	168	verb.contact	struggled
171	171	noun.artifact	net
173	173	verb.perception	shone
176	176	noun.shape	tints
178	178	noun.attribute	green
180	180	noun.attribute	gold
184	184	verb.perception	gazing
188	188	noun.feeling	wonder
190	190	noun.feeling	delight
194	194	noun.communication	voice
197	197	verb.communication	cried
207	207	noun.person	sisters
213	213	noun.person	sisters
216	217	noun.person	Kind William
218	218	verb.motion	turned
222	222	verb.perception	saw
224	224	verb.contact	sitting
227	227	noun.object	rock
229	229	verb.stative	stood
233	233	noun.object	stream
237	237	noun.person	girl
238	238	verb.communication	weeping
242	242	verb.stative	had
246	246	noun.body	face
251	251	noun.body	hair
254	254	noun.attribute	length
260	260	noun.attribute	brightness
265	265	noun.state	shade
267	267	verb.perception	shone
269	269	noun.attribute	gold
275	276	noun.plant	grass green
281	281	noun.body	knees
284	284	verb.stative	was
288	288	noun.group	clumps
290	290	noun.plant	fern
292	292	noun.plant	rushes
294	294	verb.change	grew
297	297	noun.object	stream
301	301	verb.emotion	ails
306	306	noun.person	lass
309	309	verb.communication	said
310	311	noun.person	Kind William
315	315	noun.person	maid
317	317	verb.body	wept
322	322	verb.body	wringing
324	324	noun.body	hands
326	326	verb.communication	repeated
333	333	noun.person	sisters
339	339	noun.person	sisters
343	343	verb.communication	adding
347	347	noun.communication	tone
352	352	noun.animal	fishes
358	358	noun.animal	fishes
362	362	verb.change	Dry
364	364	noun.body	eyes
369	369	verb.possession	give
371	371	noun.quantity	half
376	376	verb.communication	said
381	381	noun.person	child
387	387	verb.possession	have
389	389	noun.artifact	net
392	392	verb.contact	fish
396	396	noun.time	afternoon
402	402	noun.communication	proposal
404	404	noun.person	maid
406	406	noun.act	sobs
407	407	verb.change	redoubled
411	411	verb.communication	prayed
413	413	verb.communication	begged
416	416	noun.feeling	eagerness
420	420	verb.contact	throw
422	422	noun.animal	fish
426	426	noun.object	river
430	430	noun.time	time
432	432	noun.person	William
435	435	verb.communication	consent
437	438	verb.possession	throw away
440	440	noun.possession	prize
446	447	verb.cognition	yielded to
450	450	noun.feeling	grief
453	453	verb.contact	emptied
455	455	noun.artifact	net
458	458	noun.object	pool
463	463	noun.animal	fishes
466	466	verb.possession	lost
468	468	noun.act	sight
471	471	noun.substance	sand
473	473	noun.substance	pebbles
476	476	noun.person	girl
478	478	verb.body	laughed
480	480	verb.contact	clapped
482	482	noun.body	hands
487	487	noun.act	deed
493	494	noun.person	Kind William
497	497	verb.communication	said
506	506	verb.possession	repay
512	512	noun.animal	fish
515	515	verb.contact	catch
519	519	noun.quantity	Twenty
524	524	verb.communication	said
525	526	noun.person	Kind William
530	530	noun.feeling	regret
533	533	noun.communication	tone
536	536	noun.person	maid
539	539	verb.change	began
541	541	verb.contact	pull
542	542	noun.artifact	hairs
546	546	noun.body	head
551	551	verb.motion	stop
555	555	verb.cognition	counted
561	561	verb.contact	laid
566	566	noun.body	fingers
570	570	verb.change	began
572	572	verb.motion	wind
574	574	noun.artifact	lock
578	578	noun.shape	curl
582	582	verb.possession	took
586	586	verb.contact	wind
592	592	noun.body	hairs
594	594	verb.stative	taken
596	596	verb.contact	pull
601	601	noun.body	hair
603	603	verb.stative	was
605	605	noun.person	William
608	608	verb.cognition	tell
613	613	verb.motion	reached
615	615	noun.body	knees
617	617	verb.possession	lost
618	618	noun.cognition	sight
623	623	noun.substance	fern
627	627	verb.change	began
629	629	verb.cognition	suspect
632	632	verb.stative	was
635	636	noun.person	village maid
640	640	noun.substance	water
641	641	noun.person	sprite
646	646	verb.emotion	wished
650	650	noun.location	home
656	656	verb.communication	said
661	661	noun.artifact	lock
663	663	verb.contact	wound
668	668	verb.communication	promise
671	671	noun.cognition	things
678	678	verb.social	do
681	681	noun.attribute	sin
684	684	verb.communication	said
685	686	noun.person	Kind William
693	693	verb.communication	continued
695	696	verb.contact	holding out
698	698	noun.artifact	lock
700	700	noun.body	hair
705	705	verb.stative	keep
711	711	verb.possession	give
721	721	noun.attribute	good
727	728	verb.possession	gives away
729	729	noun.act	gifts
732	732	verb.communication	said
733	734	noun.person	Kind William
738	738	verb.communication	promise
745	745	noun.state	thing
746	746	verb.stative	is
748	748	verb.possession	spare
752	752	verb.possession	spared
754	754	verb.creation	Fish
757	757	noun.object	river
761	761	noun.object	river
767	767	verb.communication	swear
770	770	verb.creation	cast
771	771	noun.artifact	net
774	774	noun.object	pool
782	782	verb.social	do
783	783	noun.attribute	kindness
788	788	verb.communication	said
789	790	noun.person	Kind William
794	794	verb.communication	promise
805	805	verb.communication	tell
810	810	verb.perception	seen
812	812	verb.perception	heard
816	816	noun.time	years
818	818	verb.change	passed
822	822	verb.change	come
826	826	noun.person	child
829	829	verb.possession	give
833	833	noun.body	finger
838	838	verb.cognition	see
842	842	verb.social	keep
844	844	noun.communication	secret
850	850	noun.event	time
851	852	noun.person	Kind William
854	854	noun.body	hairs
856	856	verb.contact	standing
858	858	noun.location	end
862	862	verb.communication	gave
865	865	noun.communication	promise
868	868	noun.feeling	fear
873	873	noun.Tops	motive
876	876	verb.contact	seized
878	878	noun.artifact	net
880	880	verb.motion	go
884	884	noun.state	hurry
887	887	noun.state	hurry
890	890	verb.communication	said
892	892	noun.person	maiden
896	896	noun.communication	words
897	897	verb.perception	sounded
900	900	noun.event	rippling
903	903	noun.object	brook
905	905	noun.object	pebbles
909	909	verb.motion	bending
916	916	noun.communication	smile
919	919	verb.communication	added
923	923	verb.stative	are
