start_token	end_token	supersense_category	text
3	6	noun.person	DRAGONS E. Nesbit VII
14	16	noun.location	Heart of Stone
19	19	noun.location	Heart
21	21	noun.substance	Gold
25	25	noun.person	Princess
27	27	verb.body	woke
32	32	noun.artifact	bed
35	35	noun.person	starlings
36	36	verb.change	began
38	38	verb.perception	chatter
41	41	noun.substance	pearl
43	43	noun.time	morning
49	49	noun.group	woods
50	50	verb.stative	were
56	56	verb.motion	run
60	60	noun.artifact	turret
62	62	noun.artifact	stairs
67	67	noun.body	feet
70	70	verb.contact	stand
73	73	noun.location	top
76	76	noun.artifact	tower
80	80	noun.artifact	bed
82	82	noun.artifact	gown
85	85	verb.contact	kiss
87	87	noun.body	hands
90	90	noun.object	sun
94	94	noun.group	woods
99	99	noun.location	town
102	102	verb.communication	say
106	106	noun.time	morning
109	109	noun.object	world
115	115	verb.motion	run
119	119	noun.substance	stone
120	120	noun.artifact	steps
122	122	verb.body	dress
126	126	noun.artifact	short
127	127	noun.artifact	skirt
130	130	noun.artifact	cap
132	132	noun.artifact	apron
135	135	verb.change	begin
137	137	noun.time	day
139	139	noun.act	work
142	142	verb.motion	swept
144	144	noun.artifact	rooms
146	146	verb.creation	made
148	148	noun.food	breakfast
151	151	verb.contact	washed
153	153	noun.artifact	dishes
156	156	verb.contact	scoured
158	158	noun.artifact	pans
164	164	verb.social	did
167	167	verb.stative	was
170	170	noun.person	Princess
178	178	verb.consumption	served
183	183	verb.change	remained
188	188	noun.person	nurse
192	192	verb.stative	lived
197	197	noun.artifact	tower
200	200	noun.person	Princess
202	202	noun.time	life
208	208	noun.person	nurse
209	209	verb.stative	was
215	215	noun.person	Princess
218	218	verb.social	let
220	220	verb.social	work
225	225	verb.social	did
228	228	noun.artifact	housework
232	232	noun.person	Nurse
233	234	verb.motion	sat still
236	236	verb.social	did
238	238	noun.act	sewing
242	242	verb.stative	was
245	245	noun.person	Princess
247	247	noun.body	skin
249	249	noun.food	milk
251	251	noun.body	hair
253	253	noun.substance	flax
256	256	noun.body	heart
258	258	noun.substance	gold
261	261	noun.communication	name
262	262	verb.stative	was
263	263	noun.person	Sabrinetta
267	267	noun.person	grandmother
268	268	verb.stative	was
269	269	noun.person	Sabra
272	272	verb.social	married
273	274	noun.person	St. George
278	278	verb.contact	killed
280	280	noun.animal	dragon
285	285	noun.attribute	rights
288	288	noun.location	country
289	290	verb.stative	belonged to
294	294	noun.group	woods
296	296	verb.stative	stretched
300	300	noun.object	mountains
303	303	noun.object	downs
305	305	verb.stative	sloped
309	309	noun.object	sea
313	313	noun.group	fields
315	315	noun.plant	corn
317	317	noun.substance	maize
319	319	noun.substance	rye
322	323	noun.plant	olive orchards
326	326	noun.artifact	vineyards
331	331	noun.location	town
336	336	noun.artifact	towers
339	339	noun.artifact	turrets
343	343	noun.artifact	roofs
346	346	noun.artifact	windows
349	349	verb.stative	nestled
352	352	noun.object	hollow
355	355	noun.object	sea
359	359	noun.object	whirlpool
360	360	verb.stative	was
364	364	noun.object	mountains
368	368	noun.substance	snow
372	372	noun.phenomenon	sunrise
377	377	noun.person	father
379	379	noun.person	mother
381	381	verb.change	died
383	383	verb.social	leaving
385	385	noun.person	cousin
387	388	verb.social	take care
391	391	noun.state	kingdom
394	395	verb.social	grew up
399	399	verb.stative	being
403	403	noun.person	Prince
405	405	verb.possession	took
414	414	noun.group	people
415	415	verb.motion	followed
420	420	noun.quantity	nothing
422	422	verb.cognition	left
427	427	noun.possession	possessions
431	431	noun.animal	dragon
432	433	noun.artifact	proof tower
436	436	noun.person	grandfather
438	439	noun.person	St. George
442	442	verb.creation	built
450	450	verb.stative	been
452	452	noun.person	servants
456	456	noun.person	nurse
459	459	verb.stative	was
461	461	noun.person	Sabrinetta
462	462	verb.stative	was
465	465	noun.person	person
469	469	noun.location	land
471	471	verb.perception	get
473	473	noun.act	glimpse
476	476	noun.feeling	wonder
487	487	noun.group	townspeople
488	488	verb.stative	were
490	490	verb.body	asleep
493	493	verb.motion	ran
496	496	noun.artifact	turret
498	498	noun.artifact	steps
500	501	verb.perception	looked out
504	504	noun.location	field
510	510	noun.location	side
513	513	noun.location	field
515	515	verb.stative	was
519	519	noun.plant	ferny
520	520	noun.object	ditch
523	523	noun.plant	rose
525	525	noun.animal	thorny
526	526	noun.artifact	hedge
530	530	verb.motion	came
532	532	noun.substance	wood
536	536	noun.person	Sabrinetta
537	537	verb.contact	stood
540	540	noun.artifact	tower
542	542	verb.perception	saw
544	544	noun.event	shaking
547	547	noun.act	twisting
550	550	noun.plant	rose
553	553	noun.artifact	hedge
562	562	verb.motion	wriggled
568	569	noun.object	ferny ditch
576	577	verb.change	came out
580	580	noun.time	minute
584	584	verb.perception	saw
591	591	verb.communication	said
608	608	noun.Tops	creature
612	612	verb.stative	were
620	620	verb.cognition	know
624	624	verb.stative	been
627	627	noun.person	monsters
631	632	noun.time	long time
638	638	verb.cognition	think
640	640	verb.stative	was
642	642	noun.animal	dragon
646	646	noun.artifact	thing
650	650	verb.stative	was
653	653	verb.perception	look
657	657	noun.animal	dragon
662	662	verb.stative	was
668	668	verb.perception	looked
672	672	noun.animal	lizard
677	677	verb.stative	was
682	682	verb.stative	was
688	688	noun.artifact	hearthrug
692	692	verb.emotion	wish
696	696	verb.stative	been
700	700	noun.state	hurry
702	703	verb.motion	get back
706	706	noun.substance	wood
709	709	verb.communication	said
710	710	noun.person	Sabrinetta
725	726	noun.artifact	dragonproof tower
731	731	verb.stative	is
733	733	noun.animal	dragon
736	736	verb.stative	's
741	741	verb.consumption	eat
742	742	noun.group	people
750	750	noun.time	May
754	754	noun.person	children
755	756	verb.motion	go out
758	758	verb.contact	get
759	759	noun.plant	flowers
762	762	noun.substance	wood
766	766	noun.person	Sabrinetta
768	768	verb.social	done
770	770	noun.artifact	housework
775	775	verb.change	leave
780	780	noun.attribute	speck
782	782	noun.substance	dust
789	789	noun.location	corner
793	793	noun.artifact	stair
796	797	verb.body	put on
803	803	noun.artifact	gown
808	808	noun.plant	daisies
809	809	verb.contact	worked
814	815	verb.motion	went up
818	818	noun.location	top
821	821	noun.artifact	tower
826	826	noun.state	fields
827	827	noun.group	troops
829	829	noun.person	children
831	832	verb.motion	going out
834	834	verb.contact	gather
836	836	noun.communication	may
840	840	noun.attribute	sound
843	843	noun.communication	laughter
845	845	noun.act	singing
846	847	verb.motion	came up
850	850	noun.location	top
853	853	noun.artifact	tower
858	858	verb.emotion	hope
860	860	verb.stative	was
863	863	noun.animal	dragon
866	866	verb.communication	said
867	867	noun.person	Sabrinetta
870	870	noun.person	children
871	872	verb.motion	went by
873	873	noun.quantity	twos
876	876	noun.quantity	threes
879	879	noun.quantity	tens
882	882	noun.time	twenties
895	895	noun.artifact	frocks
897	897	verb.contact	scattered
900	900	noun.attribute	green
903	903	noun.location	field
911	911	noun.artifact	silk
