start_token	end_token	supersense_category	text
2	2	noun.person	WIFE
9	9	noun.time	years
13	13	verb.stative	lived
17	17	noun.person	man
26	26	noun.person	wife
28	28	verb.possession	had
30	30	noun.person	son
36	36	noun.person	mother
38	38	noun.event	death
39	39	verb.cognition	resolved
41	41	verb.stative	become
43	43	noun.person	soldier
46	47	verb.motion	go to
49	49	noun.location	lands
55	55	verb.perception	seen
57	57	noun.object	world
60	60	verb.stative	values
66	66	verb.communication	said
73	73	verb.stative	live
76	76	verb.motion	return
81	81	noun.person	father
82	82	verb.possession	gave
85	85	noun.communication	blessing
89	89	noun.person	mother
91	91	noun.act	wedding
93	93	noun.group	ring
95	95	verb.communication	saying
98	98	verb.possession	Keep
100	100	noun.attribute	ring
108	108	verb.stative	stay
116	116	verb.stative	become
120	120	noun.communication	token
123	123	verb.cognition	know
126	126	verb.stative	be
129	129	noun.person	son
131	131	noun.person	heir
137	137	noun.time	time
139	139	noun.person	father
140	140	verb.social	married
146	146	noun.state	marriage
149	149	verb.possession	had
151	151	noun.person	son
153	153	noun.time	Years
154	155	verb.motion	passed by
160	160	noun.person	brother
163	163	verb.motion	return
170	170	verb.cognition	believed
173	173	verb.stative	be
180	180	verb.stative	was
186	187	noun.time	long time
189	189	verb.motion	turned
191	191	noun.act	steps
195	195	verb.stative	was
200	200	noun.time	age
202	202	noun.act	travelling
206	206	noun.person	mother
209	209	verb.cognition	known
215	215	verb.possession	had
217	217	noun.artifact	ring
218	218	verb.contact	tied
224	224	noun.body	neck
227	227	noun.time	night
232	232	verb.stative	was
236	236	noun.artifact	shelter
238	238	verb.possession	get
240	240	noun.artifact	bed
244	244	verb.body	slept
247	247	noun.artifact	hedge
252	252	verb.body	woke
255	255	noun.time	morning
257	257	noun.artifact	string
259	259	verb.contact	untied
262	262	noun.artifact	ring
263	263	verb.stative	was
267	267	verb.stative	spent
270	270	noun.time	day
272	273	verb.contact	searching for
284	284	verb.communication	resolved
286	286	verb.communication	proceed
288	288	verb.communication	explain
290	290	noun.cognition	matter
293	293	noun.person	father
296	297	noun.person	old man
299	299	verb.emotion	overjoyed
301	301	verb.perception	see
306	306	verb.cognition	believed
308	308	noun.communication	tale
314	314	noun.person	wife
316	316	verb.stative	was
324	324	verb.cognition	think
327	327	noun.person	child
328	328	verb.stative	was
332	332	verb.stative	be
335	335	noun.person	heir
338	338	noun.person	father
340	340	noun.person	goods
345	345	verb.emotion	pestered
