start_token	end_token	supersense_category	text
3	5	noun.person	DRAGONS E. Nesbit
6	8	noun.location	V. The Island
11	12	noun.location	Nine Whirlpools
15	15	noun.artifact	arch
17	17	verb.stative	led
20	20	noun.person	witch
22	22	noun.object	cave
24	24	verb.contact	hung
32	32	noun.communication	fringe
35	35	noun.animal	snakes
39	39	noun.person	Queen
40	41	verb.motion	went in
43	43	verb.stative	keeping
47	47	noun.location	middle
50	50	noun.artifact	arch
54	54	noun.animal	snakes
55	55	verb.body	lifted
60	60	noun.body	heads
62	62	verb.perception	stared
70	70	noun.body	eyes
73	73	verb.cognition	know
75	75	verb.stative	is
78	78	noun.attribute	manners
80	80	verb.perception	stare
84	84	noun.person	Royalty
90	90	noun.animal	cats
94	94	noun.animal	snakes
99	100	verb.contact	brought up
104	104	verb.contact	put
106	106	noun.body	tongues
111	111	noun.person	lady
118	118	noun.body	tongues
120	120	verb.stative	were
126	126	noun.person	Queen
128	128	noun.person	husband
129	129	verb.stative	was
135	135	noun.person	King
139	139	verb.stative	being
141	141	noun.person	King
143	143	verb.stative	was
145	145	noun.person	enchanter
148	148	verb.cognition	considered
150	150	verb.stative	be
154	154	noun.location	top
157	157	noun.act	profession
161	161	verb.stative	was
167	167	verb.cognition	knew
170	170	noun.person	Kings
172	172	noun.person	Queens
173	173	verb.emotion	want
174	174	noun.person	children
177	177	noun.person	Queen
179	179	verb.motion	goes
181	181	verb.social	see
183	183	noun.person	witch
187	187	verb.communication	gave
189	189	noun.person	Queen
191	191	noun.person	witch
193	193	noun.communication	address
197	197	noun.person	Queen
198	199	verb.communication	called on
204	204	verb.stative	was
210	210	verb.emotion	like
216	216	noun.person	witch
218	218	verb.contact	sitting
221	221	noun.artifact	fire
223	223	noun.artifact	sticks
225	225	verb.change	stirring
231	231	noun.substance	copper
232	232	noun.artifact	cauldron
238	238	verb.emotion	want
241	241	noun.person	dear
245	245	verb.communication	said
248	248	noun.person	Queen
255	255	verb.emotion	please
258	258	verb.communication	said
260	260	noun.person	Queen
264	264	verb.emotion	want
266	266	noun.person	baby
276	276	verb.emotion	want
278	278	noun.possession	expense
279	279	verb.possession	spared
282	282	noun.person	husband
291	291	verb.communication	said
293	293	noun.person	witch
297	297	verb.cognition	know
305	305	verb.emotion	want
307	307	noun.person	child
311	311	verb.cognition	know
314	314	verb.contact	bring
316	316	noun.feeling	sorrow
322	322	verb.motion	bring
324	324	noun.feeling	joy
328	328	verb.communication	said
330	330	noun.person	Queen
334	334	noun.feeling	sorrow
337	337	verb.communication	said
339	339	noun.person	witch
343	343	noun.feeling	joy
346	346	verb.communication	said
348	348	noun.person	Queen
352	352	noun.person	witch
353	353	verb.communication	said
358	358	verb.possession	have
361	361	noun.act	way
364	364	verb.cognition	suppose
371	371	noun.location	place
372	372	verb.stative	is
375	376	verb.motion	go back
382	383	noun.person	The King
385	385	verb.stative	be
388	388	verb.emotion	annoyed
391	391	verb.communication	said
394	394	noun.person	Queen
402	402	verb.communication	said
404	404	noun.person	witch
410	410	verb.possession	give
414	414	noun.person	child
420	420	verb.communication	ask
426	426	verb.possession	have
429	429	verb.communication	said
431	431	noun.person	Queen
435	435	verb.possession	give
438	438	noun.possession	gold
439	439	noun.communication	crown
452	452	noun.artifact	necklace
454	455	noun.substance	blue sapphires
459	459	noun.person	Queen
460	460	verb.contact	unfastened
466	467	noun.artifact	pearl bracelets
470	471	noun.person	The Queen
472	472	verb.contact	unclasped
478	478	noun.substance	ruby
479	479	noun.artifact	clasps
484	484	noun.person	Queen
485	485	verb.contact	undid
487	487	noun.artifact	clasps
492	492	noun.artifact	lilies
495	495	noun.body	breast
499	499	noun.person	Queen
500	501	verb.contact	gathered together
503	503	noun.artifact	lilies
508	508	noun.artifact	diamonds
513	513	noun.artifact	shoe
514	514	noun.artifact	buckles
518	518	noun.person	Queen
519	520	verb.body	pulled off
522	522	noun.artifact	shoes
526	526	noun.person	witch
527	527	verb.change	stirred
529	529	noun.substance	stuff
531	531	verb.stative	was
534	534	noun.artifact	cauldron
543	544	verb.contact	threw in
546	546	noun.possession	gold
547	547	noun.communication	crown
550	550	noun.substance	sapphire
551	551	noun.artifact	necklace
554	555	noun.artifact	pearl bracelets
558	558	noun.possession	ruby
559	559	noun.artifact	clasps
562	562	noun.artifact	diamonds
567	568	noun.artifact	shoe buckles
575	576	verb.body	threw in
578	578	noun.artifact	lilies
581	581	noun.substance	stuff
584	584	noun.artifact	cauldron
585	586	verb.weather	boiled up
589	589	noun.event	flashes
593	593	noun.attribute	blue
597	597	noun.attribute	white
599	599	noun.substance	silver
602	603	verb.contact	sent out
606	606	noun.cognition	scent
611	611	noun.person	witch
612	612	verb.motion	poured
617	617	noun.artifact	pot
619	619	verb.contact	set
622	622	verb.change	cool
625	625	noun.artifact	doorway
628	628	noun.animal	snakes
632	632	verb.communication	said
635	635	noun.person	Queen
639	639	noun.person	child
641	641	verb.stative	have
642	642	noun.body	hair
647	647	noun.communication	crown
649	649	noun.body	eyes
654	654	noun.substance	sapphires
657	657	noun.attribute	red
660	660	noun.body	rubies
662	662	verb.stative	lie
665	665	noun.body	lips
669	669	noun.substance	skin
671	671	verb.stative	be
677	677	noun.substance	pearls
680	680	noun.attribute	soul
682	682	verb.stative	be
688	688	noun.plant	lilies
692	692	noun.substance	diamonds
694	694	verb.stative	be
699	699	noun.cognition	wits
705	706	noun.communication	thank you
708	709	noun.communication	thank you
712	712	verb.communication	said
714	714	noun.person	Queen
721	721	verb.change	come
727	727	verb.possession	find
731	732	verb.motion	get home
740	740	verb.possession	have
746	746	verb.communication	asked
748	748	noun.person	Queen
753	753	noun.cognition	thing
759	759	verb.emotion	like
761	761	noun.group	country
765	765	noun.artifact	sack
767	767	noun.artifact	jewels
771	771	noun.quantity	Nothing
773	774	noun.communication	thank you
777	777	verb.communication	said
779	779	noun.person	witch
784	784	verb.creation	make
786	786	noun.artifact	diamonds
789	789	noun.time	day
793	793	verb.body	wear
796	796	noun.time	year
804	804	verb.social	let
806	806	verb.social	do
809	809	noun.act	thing
815	815	noun.person	Queen
816	817	verb.communication	went on
823	823	verb.emotion	tired
825	825	verb.stative	being
827	827	noun.person	witch
832	832	verb.emotion	like
834	834	verb.stative	be
836	836	noun.person	Duchess
839	839	noun.person	Princess
849	849	verb.stative	is
851	851	noun.cognition	thing
855	855	verb.emotion	like
858	858	verb.communication	said
860	860	noun.person	witch
868	868	verb.possession	get
871	871	noun.act	trade
877	877	verb.communication	tell
882	882	verb.communication	said
884	884	noun.person	Queen
889	889	verb.emotion	like
893	893	verb.emotion	love
897	897	verb.communication	said
899	899	noun.person	witch
903	903	noun.person	Queen
904	904	verb.motion	threw
906	906	noun.body	arms
909	909	noun.person	witch
911	911	noun.body	neck
913	913	verb.contact	kissed
918	918	noun.event	times
925	925	verb.communication	said
929	929	verb.emotion	love
934	934	noun.state	life
938	938	verb.possession	given
941	941	noun.animal	baby
945	945	noun.person	baby
947	947	verb.emotion	love
958	958	verb.communication	said
960	960	noun.person	witch
966	966	noun.feeling	sorrow
967	967	verb.change	comes
969	970	verb.communication	send for
977	977	noun.act	kisses
979	979	verb.stative	be
981	981	noun.state	spell
983	983	verb.motion	bring
990	990	verb.consumption	drink
993	993	noun.artifact	medicine
1001	1002	verb.motion	run along
1003	1003	noun.location	home
1008	1008	noun.person	Queen
1009	1009	verb.consumption	drank
1011	1011	noun.substance	stuff
1014	1014	noun.artifact	pot
1017	1017	verb.stative	was
1022	1022	noun.event	time
1026	1027	verb.motion	went out
1030	1030	noun.artifact	fringe
1032	1032	noun.animal	snakes
1037	1037	verb.body	behaved
1038	1038	verb.stative	like
1040	1040	noun.person	Sunday
1042	1042	noun.person	school
1043	1043	noun.person	children
1049	1049	verb.social	tried
1051	1051	verb.motion	drop
1053	1053	noun.communication	curtsy
1058	1059	verb.motion	went by
1063	1063	verb.stative	is
1069	1069	verb.contact	hanging
1075	1075	noun.animal	tail
1079	1079	noun.animal	snakes
1080	1080	verb.cognition	knew
1082	1082	noun.person	Queen
1083	1083	verb.stative	was
1084	1084	noun.person	friends
1087	1087	noun.person	mistress
1097	1097	verb.social	do
1101	1101	verb.stative	be
1106	1106	noun.person	Queen
1107	1108	verb.motion	got home
1113	1113	verb.stative	was
1115	1115	noun.person	baby
1116	1116	verb.contact	lying
1119	1119	noun.artifact	cradle
1123	1123	noun.body	arms
