start_token	end_token	supersense_category	text
4	5	noun.person	CHARLES DICKENS
7	7	noun.communication	Illustrations
9	11	noun.person	S. Beatrice Pearse
13	13	noun.communication	Illustration
16	16	noun.person	Queen
17	17	verb.motion	came
33	33	noun.location	Pen
35	37	noun.person	Miss Alice Rainbird
42	43	noun.person	CHARLES DICKENS
44	44	noun.location	London
46	46	noun.person	Constable
52	52	noun.communication	story
53	53	verb.stative	contained
56	56	verb.creation	written
58	59	noun.person	Charles Dickens
64	64	verb.stative	is
69	69	noun.communication	stories
70	70	verb.communication	entitled
77	77	verb.creation	published
81	81	noun.person	children
83	83	noun.communication	magazine
85	85	noun.location	America
88	88	verb.cognition	purports
91	91	verb.creation	written
94	94	noun.person	child
100	100	verb.change	republished
102	102	noun.location	England
107	108	noun.time	Year Round
119	119	noun.artifact	pieces
120	120	noun.person	Dickens
121	121	verb.possession	received
130	130	verb.creation	published
132	133	noun.communication	book form
135	136	noun.person	Messrs Chapman
144	145	noun.person	Edwin Drood
149	149	noun.communication	stories
153	153	noun.communication	reprint
155	155	noun.communication	text
158	158	noun.communication	story
161	161	verb.change	appeared
166	166	noun.time	Year
171	171	verb.stative	followed
179	179	noun.communication	Illustration
193	193	verb.stative	was
196	196	noun.person	King
200	200	verb.possession	had
202	202	noun.person	Queen
206	206	verb.stative	was
208	208	noun.person	manliest
211	211	noun.act	sex
215	215	verb.stative	was
221	222	noun.person	The King
223	223	verb.stative	was
228	228	noun.act	profession
231	231	noun.person	Government
234	234	noun.person	Queen
236	236	noun.person	father
238	238	verb.stative	been
241	241	noun.person	man
244	244	noun.location	town
247	247	verb.possession	had
249	249	noun.person	children
254	254	verb.social	having
255	255	noun.quantity	more
260	260	noun.person	children
261	262	verb.social	took care
265	265	noun.person	baby
268	268	noun.person	Alicia
273	274	verb.social	took care
280	280	noun.attribute	ages
281	281	verb.stative	varied
284	284	noun.time	years
287	287	noun.time	months
289	289	verb.social	Let
292	292	verb.change	resume
294	294	noun.communication	story
297	297	noun.time	day
299	299	noun.person	King
301	302	verb.motion	going to
304	304	noun.artifact	office
308	308	verb.motion	stopped
311	311	noun.person	fishmonger
314	314	verb.possession	buy
316	316	noun.quantity	pound
319	319	noun.quantity	half
321	321	noun.animal	salmon
326	326	noun.animal	tail
330	330	noun.person	Queen
333	333	verb.stative	was
336	336	noun.person	housekeeper
339	339	verb.communication	requested
342	343	verb.motion	send home
345	346	noun.person	Mr Pickles
349	349	noun.person	fishmonger
351	351	verb.communication	said
356	356	noun.person	sir
362	362	noun.communication	article
366	366	noun.time	morning
370	370	noun.person	King
371	372	verb.motion	went on
375	375	noun.artifact	office
379	379	noun.feeling	mood
382	382	noun.time	quarter
383	383	noun.time	day
384	384	verb.stative	was
388	388	noun.act	way
396	396	noun.person	children
398	398	verb.body	growing
402	402	noun.artifact	clothes
407	407	verb.motion	proceeded
411	412	noun.person	Mr Pickles
414	414	noun.act	errand
416	416	noun.person	boy
417	417	verb.motion	came
418	418	verb.motion	running
423	423	verb.communication	said
426	426	noun.person	Sir
431	431	verb.perception	notice
433	434	noun.person	old lady
437	437	noun.artifact	shop
442	443	noun.person	old lady
446	446	verb.communication	enquired
448	448	noun.person	King
452	452	verb.perception	saw
459	459	noun.person	King
462	462	verb.perception	seen
464	465	noun.person	old lady
469	470	noun.person	old lady
472	472	verb.stative	been
480	481	noun.person	Mr Pickles
483	483	noun.person	boy
488	488	verb.motion	messed
490	490	verb.motion	splashed
492	492	noun.substance	water
496	496	noun.attribute	degree
499	499	verb.contact	flopped
501	501	noun.quantity	pairs
503	503	noun.artifact	soles
508	508	noun.attribute	manner
524	524	verb.body	spoilt
526	526	noun.artifact	clothes
531	532	noun.person	old lady
533	533	verb.motion	came
534	535	verb.motion	trotting up
541	541	noun.artifact	shot
543	543	noun.artifact	silk
547	547	noun.attribute	quality
549	549	verb.perception	smelling
552	552	noun.plant	lavender
555	556	noun.person	King Watkins
558	558	noun.person	First
561	561	verb.cognition	believe
564	564	verb.communication	said
566	567	noun.person	old lady
570	570	noun.person	Watkins
573	573	verb.communication	replied
575	575	noun.person	King
578	578	verb.stative	is
580	580	noun.communication	name
584	584	noun.person	Papa
588	588	verb.stative	am
595	596	noun.person	Princess Alicia
599	599	verb.communication	said
601	602	noun.person	old lady
609	609	noun.person	darlings
612	612	verb.communication	replied
614	614	noun.person	King
621	622	verb.motion	going to
624	624	noun.artifact	office
627	627	verb.communication	said
629	630	noun.person	old lady
634	634	verb.perception	flashed
637	637	noun.person	King
641	641	verb.stative	be
643	643	noun.person	Fairy
649	649	verb.cognition	know
654	654	verb.stative	are
658	658	verb.communication	said
660	661	noun.person	old lady
663	663	verb.cognition	answering
665	665	noun.cognition	thoughts
669	669	verb.stative	am
671	673	noun.person	Good Fairy Grandmarina
675	675	noun.person	Attend
679	680	verb.motion	return home
682	682	noun.food	dinner
685	685	verb.communication	invite
687	688	noun.person	Princess Alicia
690	690	verb.possession	have
694	694	noun.artifact	salmon
696	696	verb.possession	bought
704	704	verb.communication	disagree
709	709	verb.communication	said
711	711	noun.person	King
714	715	noun.person	old lady
716	716	verb.change	became
723	723	noun.cognition	idea
727	727	noun.person	King
728	728	verb.stative	was
734	734	verb.communication	begged
736	736	noun.act	pardon
740	740	verb.cognition	hear
742	743	noun.quantity	great deal
748	748	noun.communication	thing
749	749	verb.communication	disagreeing
753	753	noun.artifact	thing
754	754	verb.communication	disagreeing
757	757	verb.communication	said
759	760	noun.person	old lady
765	765	noun.feeling	contempt
767	767	verb.stative	was
770	770	verb.communication	express
775	775	verb.stative	be
779	779	verb.cognition	think
781	781	verb.emotion	want
788	788	noun.person	King
789	789	verb.contact	hung
791	791	noun.body	head
794	794	noun.communication	reproof
797	797	verb.communication	said
