start_token	end_token	supersense_category	text
5	5	verb.stative	was
9	9	noun.person	fellow
11	11	noun.attribute	fortune
13	13	verb.communication	blessed
17	17	noun.person	mother
21	21	noun.body	head
26	26	noun.body	body
35	35	verb.emotion	favoured
44	44	verb.social	work
47	47	verb.possession	had
51	51	verb.social	do
54	54	noun.quantity	less
56	56	verb.consumption	eat
60	60	noun.person	mother
62	62	verb.communication	taught
65	65	verb.stative	be
74	74	verb.cognition	feel
83	83	verb.possession	inherited
86	86	noun.feeling	love
88	88	noun.plant	flowers
95	95	noun.body	pockets
96	96	verb.stative	were
100	100	noun.act	fair
102	102	verb.creation	held
106	106	noun.location	town
112	112	verb.motion	go
117	117	noun.relation	rest
121	121	verb.possession	had
123	123	noun.possession	money
125	125	verb.possession	spend
129	129	verb.contact	stuck
131	131	noun.plant	buttercup
134	134	noun.artifact	cap
139	139	verb.possession	had
140	140	noun.quantity	nothing
142	142	verb.possession	pay
145	145	verb.motion	strode
151	151	noun.quantity	most
154	154	noun.time	evening
158	158	noun.person	merrymakers
159	159	verb.change	became
164	164	noun.group	party
167	168	verb.contact	fell upon
171	171	noun.person	Jew
174	174	verb.stative	keeping
176	176	noun.artifact	stall
178	178	noun.artifact	glass
180	180	noun.artifact	china
184	184	verb.contact	smash
186	186	noun.possession	stock
191	191	noun.person	Jew
192	192	verb.contact	stood
195	195	noun.artifact	booth
196	196	verb.communication	beseeching
199	199	verb.possession	spare
201	201	noun.possession	property
204	204	verb.motion	came
207	208	noun.person	young man
212	212	noun.plant	flower
217	217	noun.artifact	cap
221	221	verb.possession	took
224	224	noun.person	Jew
226	226	noun.possession	part
228	228	verb.competition	defended
233	233	noun.time	childhood
235	235	noun.person	mother
237	237	verb.communication	taught
240	240	verb.emotion	feel
251	251	verb.body	treated
254	254	noun.person	Jew
256	257	verb.motion	moved off
261	262	noun.person	young man
263	263	verb.stative	stayed
269	270	verb.contact	packed up
272	272	noun.artifact	wares
276	276	noun.person	Jew
277	277	verb.motion	turned
281	281	verb.communication	said
285	285	noun.person	son
289	289	verb.possession	delivers
294	294	verb.possession	has
295	295	noun.cognition	respect
300	300	verb.possession	has
301	301	noun.state	need
304	304	noun.event	reward
308	308	noun.act	blessing
313	313	verb.stative	is
323	323	verb.perception	seem
326	326	verb.cognition	choose
329	329	verb.communication	pray
335	335	noun.substance	china
336	336	noun.artifact	jars
339	339	verb.possession	take
350	350	verb.cognition	choose
355	355	verb.stative	be
358	358	noun.attribute	use
