start_token	end_token	supersense_category	text
1	1	noun.person	MAGICIANS
3	3	noun.event	GIFTS
6	6	verb.stative	was
9	9	noun.person	king
12	12	noun.state	dominions
13	13	verb.stative	lived
18	18	noun.person	magicians
22	22	noun.person	king
25	25	noun.person	son
30	30	noun.person	king
31	31	verb.communication	invited
34	34	noun.person	magicians
37	37	noun.act	christening
38	38	noun.event	feast
42	42	verb.change	make
44	44	noun.communication	compliment
49	49	verb.communication	asked
54	54	verb.communication	stand
55	55	noun.person	godfather
65	65	verb.communication	asked
67	67	verb.stative	be
68	68	noun.person	godfathers
70	70	verb.stative	were
76	76	verb.cognition	held
78	78	verb.stative	be
80	80	noun.person	slight
85	85	verb.stative	waited
87	87	verb.cognition	see
92	92	verb.competition	revenge
97	97	noun.person	prince
101	101	noun.time	moment
102	102	verb.change	came
104	104	verb.possession	presenting
106	106	noun.act	christening
107	107	noun.event	gifts
110	110	noun.person	godfather
111	111	noun.person	magician
112	112	verb.motion	advanced
115	115	noun.artifact	cradle
117	117	verb.communication	said
121	121	noun.communication	gift
122	122	verb.stative	is
127	127	verb.emotion	wishes
131	131	verb.possession	have
137	137	verb.possession	give
139	139	verb.stative	be
142	142	verb.cognition	recall
144	144	noun.communication	gift
149	149	verb.perception	perceived
151	151	noun.feeling	jealousy
155	155	noun.person	magicians
158	158	verb.cognition	knew
166	166	verb.creation	undo
169	169	verb.social	did
174	174	noun.person	magician
175	175	verb.communication	muttered
178	178	noun.body	beard
185	185	verb.change	change
189	189	noun.communication	curse
193	194	verb.motion	coming up
197	197	noun.artifact	cradle
200	200	verb.communication	said
204	204	noun.communication	wishes
209	209	verb.possession	obtained
216	216	verb.possession	revoke
218	218	verb.change	change
224	224	noun.person	magician
225	225	verb.communication	grumbled
229	229	noun.artifact	robe
234	234	verb.stative	were
242	242	verb.stative	be
248	248	verb.social	secure
250	250	noun.act	punishment
256	257	verb.motion	drew near
260	260	noun.artifact	cradle
263	263	verb.communication	said
271	271	verb.possession	give
275	275	noun.feeling	temper
284	284	noun.person	magicians
285	285	verb.motion	withdrew
288	288	verb.communication	saying
293	293	verb.communication	permit
297	297	verb.social	slighted
299	299	noun.quantity	nothing
304	304	noun.person	king
307	307	noun.person	courtiers
308	308	verb.stative	were
316	316	noun.person	son
320	320	verb.stative	be
325	325	verb.emotion	wants
328	328	verb.communication	said
330	330	noun.person	king
337	337	verb.cognition	suppose
342	342	verb.emotion	desire
344	344	verb.cognition	recall
346	346	noun.act	wishes
351	351	noun.person	courtiers
352	352	verb.communication	added
357	357	noun.person	prince
360	360	verb.perception	have
363	363	noun.attribute	temper
370	370	verb.emotion	like
372	372	verb.cognition	know
377	377	verb.body	laughed
381	382	noun.person	godfather magician
385	386	verb.motion	went out
387	387	verb.body	sighing
389	389	verb.body	shaking
391	391	noun.body	head
395	395	verb.perception	seen
401	401	noun.person	king
403	403	noun.person	son
404	404	verb.stative	was
407	407	noun.person	child
410	410	noun.possession	gift
413	414	noun.person	godfather magician
415	415	verb.change	began
417	418	verb.change	take effect
421	421	verb.stative	was
422	422	noun.quantity	nothing
431	431	verb.possession	obtain
442	442	verb.creation	accomplished
446	446	noun.feeling	wish
460	460	verb.communication	spoke
466	466	verb.change	changed
468	468	noun.cognition	mind
474	474	verb.emotion	wished
476	476	verb.change	remain
480	480	verb.emotion	wished
492	492	verb.emotion	wished
494	494	noun.cognition	things
496	496	verb.stative	were
504	504	verb.emotion	wished
507	507	noun.artifact	thing
509	509	noun.time	day
511	511	verb.emotion	regretted
517	517	noun.attribute	power
518	518	verb.stative	was
520	520	noun.location	source
525	525	noun.feeling	pain
527	527	noun.feeling	pleasure
533	533	noun.feeling	temper
534	534	verb.stative	was
544	544	verb.emotion	wish
549	549	verb.emotion	offended
556	556	verb.emotion	regret
558	558	noun.act	mischief
563	563	verb.creation	undo
572	572	noun.person	king
573	573	verb.social	appointed
576	576	noun.person	counsellors
579	579	noun.act	charge
582	582	noun.person	son
592	592	noun.act	discharge
595	595	noun.act	duty
597	597	verb.stative	were
601	601	verb.communication	obliged
603	603	verb.social	thwart
610	610	noun.person	prince
612	612	verb.communication	cry
616	616	verb.emotion	wish
618	618	verb.stative	were
621	621	noun.location	bottom
624	624	noun.object	sea
627	627	noun.cognition	rules
629	629	noun.communication	regulations
634	634	noun.person	counsellors
635	635	verb.change	disappeared
639	639	verb.motion	returned
645	645	verb.stative	was
648	649	noun.person	wise man
652	652	noun.group	court
656	656	noun.person	king
658	658	verb.stative	lived
661	661	noun.feeling	dread
663	663	verb.social	being
666	666	noun.person	victim
669	669	verb.communication	said
674	674	noun.state	thing
675	675	verb.stative	remains
678	678	verb.social	done
681	681	verb.possession	find
684	684	noun.person	magician
687	687	verb.communication	persuade
690	690	verb.possession	withdraw
692	692	noun.possession	gift
697	697	noun.person	king
698	698	verb.possession	offered
699	699	noun.communication	rewards
702	703	verb.contact	sent out
704	704	noun.person	messengers
707	707	noun.location	direction
711	711	noun.person	magician
716	716	verb.perception	found
722	722	noun.time	day
724	724	verb.motion	met
727	727	noun.person	beggar
730	730	verb.communication	said
736	736	noun.time	nights
739	739	verb.cognition	dreamed
742	743	verb.motion	went by
748	748	noun.artifact	roads
750	750	verb.possession	seek
754	755	verb.contact	looking for
758	758	verb.stative	was
764	764	noun.person	king
765	766	verb.motion	returned home
769	769	verb.communication	asked
771	771	noun.person	courtiers
778	778	noun.artifact	roads
779	779	verb.stative	lying
797	797	verb.communication	replied
803	803	noun.quantity	miles
806	806	noun.relation	west
809	809	noun.artifact	palace
810	810	verb.stative	is
814	815	noun.artifact	cross road
819	819	noun.location	field
821	821	noun.artifact	paths
823	823	verb.motion	diverge
828	828	noun.location	place
830	830	noun.person	king
831	831	verb.motion	made
833	833	noun.location	way
836	836	verb.motion	taking
841	841	noun.object	field
843	843	noun.artifact	paths
845	846	verb.motion	went on
851	851	verb.motion	led
856	856	noun.object	cave
860	861	noun.person	old woman
862	862	verb.contact	sat
865	865	noun.artifact	fire
870	870	noun.person	magician
871	871	verb.stative	live
875	875	verb.communication	asked
877	877	noun.person	king
882	882	verb.stative	lives
888	888	verb.communication	said
890	891	noun.person	old woman
897	897	verb.stative	am
900	900	noun.person	woman
903	903	verb.stative	be
906	906	verb.social	help
910	910	verb.consumption	need
915	915	noun.person	king
917	917	verb.communication	told
921	921	noun.feeling	perplexities
